CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
VN011001	1	1	0	0	1
VN011001	2	2	0	0	1
VN011001	3	5	0	0	0
VN011001	4	12	0	0	0
VN011002	1	1	1	0	0
VN011002	2	2	1	0	1
VN011002	3	5	1	0	1
VN011002	4	10	0	0	1
VN011003	1	1	1	0	0
VN011003	2	5	0	1	0
VN011003	3	2	0	0	0
VN011003	4	10	0	0	1
VN011004	1	1	1	0	0
VN011004	2	2	1	0	0
VN011004	3	5	0	0	1
VN011004	4	15	0	1	1
VN011005	1	1	0	0	1
VN011005	2	2	0	0	1
VN011005	3	5	0	0	1
VN011005	4	3	0	1	1
VN011005	5	10	0	0	1
VN011006	1	1	1	0	0
VN011006	2	2	0	0	1
VN011006	3	5	0	0	0
VN011007	1	1	1	0	0
VN011007	2	5	0	1	1
VN011007	3	2	1	1	0
VN011007	4	10	0	1	1
VN011007	5	12	0	1	1
VN011008	1	1	1	0	0
VN011008	2	5	0	0	1
VN011008	3	2	1	0	1
VN011008	4	10	1	0	0
VN011009	1	1	1	0	0
VN011009	2	2	1	1	0
VN011009	3	5	1	0	0
VN011009	4	10	0	0	0
VN011009	5	12	1	0	0
VN011010	1	2	0	0	1
VN011010	2	1	1	0	0
VN011010	3	10	0	0	1
VN011010	4	5	0	0	1
VN011010	5	12	0	0	1
VN011011	0	1	1	0	0
VN011011	2	2	0	0	1
VN011011	3	10	0	0	1
VN011011	4	12	0	0	1
VN011012	1	1	1	0	0
VN011012	2	5	1	0	1
VN011012	3	2	0	0	1
VN011012	4	10	0	0	1
VN011012	5	12	1	0	1
VN011013	1	1	1	0	0
VN011013	2	5	1	0	0
VN011013	3	2	0	0	1
VN011013	4	12	0	0	1
VN011013	5	10	0	0	1
VN011014	1	1	1	0	0
VN011014	2	10	0	0	1
VN011014	3	2	1	0	0
VN011014	4	5	0	0	1
VN011015	1	1	1	0	0
VN011015	2	2	1	0	1
VN011015	3	5	1	0	1
VN011015	4	10	0	0	1
VN011015	5	12	0	0	1
VN011016	1	1	1	0	0
VN011016	2	2	1	0	1
VN011016	3	5	0	0	0
VN011016	4	10	1	0	1
VN011016	5	3	0	1	1
VN011017	1	1	1	0	1
VN011017	2	2	0	0	1
VN011017	3	10	0	0	1
VN011017	4	12	0	0	1
VN011018	0	1	1	0	0
VN011018	2	2	0	1	0
VN011018	3	5	0	1	1
VN011018	4	3	0	1	0
VN011018	5	10	0	0	1
VN011019	1	1	1	0	0
VN011019	2	2	0	0	0
VN011019	3	5	0	0	1
VN011020	1	1	1	0	0
VN011020	2	5	0	0	1
VN011020	3	2	0	0	1
VN011020	4	10	0	0	1
VN011021	1	1	0	0	1
VN011021	2	2	0	0	1
VN011021	3	10	0	0	1
VN011021	4	5	0	0	0
VN011021	5	12	0	0	1
VN011022	1	1	1	0	0
VN011022	2	5	0	0	0
VN011022	3	7	0	0	0
VN011022	4	2	0	0	0
VN011022	5	10	0	0	1
VN011022	6	12	0	0	1
VN011024	1	1	0	0	1
VN011024	2	2	0	0	1
VN011024	3	10	0	0	1
VN011024	4	5	0	0	1
VN011025	1	1	1	0	0
VN011025	2	2	0	0	1
VN011025	3	5	0	0	0
VN011025	4	10	0	0	1
VN011025	5	12	0	0	1
VN011026	1	1	0	0	1
VN011026	2	2	0	0	1
VN011026	3	5	0	0	1
VN011026	4	10	0	0	1
VN011028	1	1	1	0	0
VN011028	2	2	0	0	0
VN011028	3	3	0	1	1
VN011028	4	10	0	0	1
VN011029	1	1	1	0	0
VN011029	2	2	0	0	1
VN011029	3	10	0	0	1
VN011030	1	1	1	0	0
VN011030	2	2	1	1	1
VN011030	3	3	0	1	0
VN011030	4	5	1	1	1
VN011030	5	10	0	1	1
VN011030	6	12	1	0	1
VN011031	1	1	0	0	1
VN011031	2	2	0	0	1
VN011031	3	5	0	0	1
VN011031	4	10	0	0	1
VN011031	5	21	0	0	1
VN011032	1	1	1	0	0
VN011032	2	2	1	0	1
VN011032	3	5	1	0	1
VN011032	4	10	0	0	0
VN011032	5	12	0	0	0
VN011033	1	1	0	0	1
VN011033	2	2	1	1	1
VN011033	3	3	0	1	1
VN011033	4	5	1	0	0
VN011034	1	1	1	0	1
VN011034	2	2	1	0	1
VN011034	3	5	1	0	1
VN011035	1	1	1	0	0
VN011035	2	2	0	0	1
VN011035	3	10	0	0	1
VN011037	1	1	1	0	0
VN011037	2	2	0	0	1
VN011037	3	3	0	1	1
VN011037	4	5	1	0	1
VN011037	5	10	0	0	0
VN011037	6	12	1	1	1
VN011038	1	1	1	0	0
VN011038	2	2	1	0	0
VN011038	3	10	0	0	1
VN011038	4	12	0	0	1
VN011039	1	1	1	0	1
VN011039	2	2	1	0	1
VN011039	3	5	0	0	1
VN011039	4	12	0	0	1
VN011039	5	14	1	0	1
VN011040	1	3	0	1	1
VN011040	2	7	0	0	0
VN011040	3	5	0	0	1
VN011040	4	1	1	0	0
VN011040	5	2	0	1	1
VN011040	6	12	0	1	1
VN011041	1	1	1	0	0
VN011041	2	2	1	0	0
VN011041	3	5	1	0	0
VN011041	4	10	0	0	0
VN011041	5	12	1	0	0
VN011042	1	1	1	0	0
VN011042	2	2	1	0	0
VN011042	3	5	0	0	0
VN011042	4	10	0	0	1
VN011043	1	1	1	0	1
VN011043	2	2	0	0	1
VN011043	3	5	1	0	1
VN011043	4	12	0	0	1
VN011043	5	3	0	1	1
VN011044	1	1	1	0	1
VN011044	2	5	0	1	0
VN011044	3	2	1	0	1
VN011044	4	10	1	1	0
VN011044	5	12	1	1	0
VN011047	1	1	1	0	0
VN011047	2	2	0	0	0
VN011047	3	5	0	0	0
VN011047	4	10	0	0	0
VN011047	5	12	0	0	0
VN011048	1	23	1	0	1
VN011048	2	2	1	0	1
VN011048	3	5	0	0	1
VN011048	4	1	1	0	1
VN011050	1	1	1	0	0
VN011050	2	2	0	0	1
VN011050	3	10	0	0	1
VN011050	4	12	0	0	1
VN011052	1	1	1	0	0
VN011052	2	2	1	0	0
VN011052	3	5	0	0	0
VN011052	4	12	1	0	1
VN011052	5	10	0	0	1
VN011061	1	1	1	0	0
VN011061	2	2	0	1	0
VN011061	3	3	0	1	0
VN011061	4	5	0	1	0
VN011061	5	12	0	1	1
VN011063	1	1	1	0	0
VN011063	2	2	1	0	0
VN011063	3	5	1	0	0
VN011063	4	12	1	0	0
VN011069	1	1	1	0	0
VN011069	2	5	0	0	1
VN011069	3	7	0	0	1
VN011069	4	10	0	0	1
VN011074	1	1	1	0	0
VN011074	2	5	1	1	0
VN011074	3	2	1	0	1
VN011074	4	10	0	1	1
VN011074	5	12	0	0	1
VN011088	1	1	1	0	0
VN011088	2	2	0	0	0
VN011088	3	10	0	0	1
VN011088	4	12	0	0	1
VN021002	1	1	0	0	1
VN021002	2	2	0	0	1
VN021002	3	5	0	0	1
VN021002	4	7	0	0	1
VN021002	5	10	0	0	1
VN021003	1	1	0	0	1
VN021003	2	17	1	1	1
VN021003	3	10	0	0	1
VN021003	4	12	0	0	1
VN021004	1	1	1	0	1
VN021004	2	2	0	0	1
