CHILDID	ID	AGE	MEMSEX	RELATE	LIVHSE	GRADE	STILL	CHGRADE	CHSTILL	WHYNOT	AGEGRADE	AGESTSCH	HHSCHTYP	PERF	SCHOOLEN	DISAB	ACT1	MONTHS1	DAYS1	HOURS1	ACT2	MONTHS2	DAYS2	HOURS2	ACT3	MONTHS3	DAYS3	HOURS3	SLEEP	CHCARE	HHCHORE	NPAYWORK	PAYWORK	SCHOOL	STUDY	PLAY
VN011001	0	11	1	0	1	 	 	5	1	88	88	6	3	2	1	0	15	12	30	1	17	88	88	88	88	88	88	88	11	0	1	0	0	5	2	5
VN011001	1	87	1	5	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011001	2	37	2	1	1	12	0	 	 	 	 	 	 	 	 	0	13	12	30	8	1	2	20	5	88	88	88	88	 	 	 	 	 	 	 	 
VN011001	3	23	1	14	1	12	0	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011001	4	21	2	14	1	12	0	 	 	 	 	 	 	 	 	0	12	12	30	8	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011002	0	11	2	0	1	 	 	5	1	88	88	6	3	2	2	0	15	10	20	2	88	88	88	88	88	88	88	88	9	0	2	0	0	4	4	5
VN011002	1	43	1	1	1	9	0	 	 	 	 	 	 	 	 	0	4	12	30	4	1	4	8	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011002	2	40	2	1	1	9	0	 	 	 	 	 	 	 	 	0	4	12	30	2	1	4	10	3	15	12	30	2	 	 	 	 	 	 	 	 
VN011002	3	18	2	7	1	12	1	 	 	 	 	 	 	 	 	0	14	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011002	4	14	2	7	1	 	 	8	1	88	88	6	3	2	2	0	4	4	8	1	15	6	5	2	88	88	88	88	8	0	3	1	0	4	5	3
VN011002	17	7	2	7	1	 	 	1	1	88	88	6	3	1	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	3	7
VN011003	0	12	2	0	1	 	 	6	1	88	88	6	3	3	2	0	15	12	15	2	17	88	88	88	88	88	88	88	10	1	1	0	0	4	2	6
VN011003	1	43	1	1	1	6	0	 	 	 	 	 	 	 	 	0	1	6	10	4	4	4	30	1	12	4	30	16	 	 	 	 	 	 	 	 
VN011003	2	36	2	1	1	6	0	 	 	 	 	 	 	 	 	0	12	6	30	18	1	3	10	4	15	11	30	5	 	 	 	 	 	 	 	 
VN011003	17	8	2	7	1	 	 	2	1	88	88	6	3	2	2	0	15	10	10	1	17	88	88	88	88	88	88	88	10	1	0	0	0	4	2	7
VN011003	18	6	1	7	1	 	 	0	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	8	1	5
VN011004	0	12	2	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	20	4	17	88	88	88	88	88	88	88	8	3	1	0	0	4	3	5
VN011004	1	40	1	1	1	9	0	 	 	 	 	 	 	 	 	0	1	2	12	4	12	6	20	8	15	4	30	2	 	 	 	 	 	 	 	 
VN011004	2	40	2	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	12	3	15	11	30	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011004	3	19	2	7	1	9	0	 	 	 	 	 	 	 	 	0	12	12	28	8	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011004	4	17	1	7	1	 	 	9	1	88	88	6	3	3	2	0	15	10	20	4	88	88	88	88	88	88	88	88	7	3	1	0	0	4	4	5
VN011004	17	6	2	7	1	 	 	0	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	9	0	0	0	0	4	2	9
VN011005	0	12	2	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	15	3	17	88	88	88	88	88	88	88	10	2	1	0	0	5	3	3
VN011005	1	42	1	1	1	8	0	 	 	 	 	 	 	 	 	0	1	6	20	8	6	3	20	8	88	88	88	88	 	 	 	 	 	 	 	 
VN011005	2	46	2	1	1	5	0	 	 	 	 	 	 	 	 	0	1	6	20	8	15	3	5	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011005	3	22	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011005	4	18	1	7	1	10	1	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011005	5	7	1	15	1	 	 	0	1	88	88	7	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	8	1	4
VN011005	6	5	1	15	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	0	0	13
VN011006	0	12	1	0	1	 	 	6	1	88	88	6	3	2	2	0	15	12	20	3	17	88	88	88	88	88	88	88	8	1	2	0	0	4	6	3
VN011006	1	36	1	1	1	12	0	 	 	 	 	 	 	 	 	0	4	12	30	5	1	6	12	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011006	2	34	2	1	1	9	0	 	 	 	 	 	 	 	 	0	4	12	20	6	1	6	15	4	15	12	30	2	 	 	 	 	 	 	 	 
VN011006	3	9	1	7	1	 	 	3	1	88	88	6	3	2	2	0	15	10	20	1	17	88	88	88	88	88	88	88	9	0	1	0	0	4	4	6
VN011007	0	12	2	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	20	2	17	88	88	88	88	88	88	88	10	0	2	0	0	6	2	4
VN011007	1	40	1	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	20	8	4	12	30	4	15	12	30	5	 	 	 	 	 	 	 	 
VN011007	2	38	2	1	1	6	0	 	 	 	 	 	 	 	 	0	12	12	24	8	1	2	5	10	88	88	88	88	 	 	 	 	 	 	 	 
VN011007	3	21	2	7	1	9	0	 	 	 	 	 	 	 	 	0	12	12	24	8	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011007	4	17	2	7	1	 	 	8	0	21	16	99	 	 	 	0	12	12	24	8	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011007	5	9	2	7	1	 	 	3	1	88	88	6	3	2	2	0	15	8	15	1	17	88	88	88	88	88	88	88	10	0	1	0	0	6	2	5
VN011008	0	12	1	0	1	 	 	6	1	88	88	6	3	2	2	0	15	5	10	3	17	88	88	88	88	88	88	88	8	0	1	3	0	4	3	5
VN011008	1	39	1	1	1	12	0	 	 	 	 	 	 	 	 	0	1	6	10	3	10	12	26	4	4	12	26	3	 	 	 	 	 	 	 	 
VN011008	2	38	2	1	1	5	0	 	 	 	 	 	 	 	 	0	1	6	12	4	10	12	26	4	4	12	25	2	 	 	 	 	 	 	 	 
