CHILDID	PLOTID	LAREA	LOWN	LUSE	TRANS	COLLAT	TRANSID	PLINCOME	PLVALUE	PLCOST	CROP01	CROP02	CROP03	IRRIGAT	PERIRRIG
VN011001	1	200	1	4	1	1	2	0	-88	5000	 	 	 	 	 
VN011001	2	940	1	1	3	0	88	 	 	 	1	88	88	1	4
VN011002	1	200	1	4	1	1	1	0	-88	0	 	 	 	 	 
VN011002	2	2100	1	1	3	0	88	 	 	 	1	88	88	1	4
VN011002	3	580	1	2	3	0	88	 	 	 	 	 	 	 	 
VN011003	1	267	1	4	1	1	80	0	-88	2035	 	 	 	 	 
VN011003	2	1000	1	1	1	0	88	 	 	 	1	88	88	1	4
VN011004	1	150	1	4	1	1	80	0	-88	470	 	 	 	 	 
VN011004	2	2250	1	1	1	0	88	 	 	 	1	88	88	1	4
VN011004	3	120	1	1	1	1	80	 	 	 	31	56	88	1	4
VN011005	1	300	1	4	1	0	1	0	-88	0	 	 	 	 	 
VN011005	2	2500	1	1	3	0	88	 	 	 	1	88	88	1	4
VN011006	1	100	1	4	1	1	1	0	-88	0	 	 	 	 	 
VN011006	2	1350	1	1	1	0	88	 	 	 	1	88	88	1	1
VN011006	3	2500	31	1	0	0	88	 	 	 	1	88	88	1	1
VN011007	1	500	1	4	1	0	88	0	-88	0	 	 	 	 	 
VN011007	2	2240	1	1	3	0	88	 	 	 	1	88	88	1	4
VN011008	1	200	1	4	1	1	80	99	-99	19	 	 	 	 	 
VN011008	2	2300	5	1	0	0	88	 	 	 	1	88	88	1	4
VN011008	3	30	2	4	0	0	88	 	 	 	 	 	 	 	 
VN011009	1	200	1	4	1	1	1	0	-88	500	 	 	 	 	 
VN011009	2	1500	5	1	0	0	88	 	 	 	1	88	88	1	4
VN011009	3	280	1	3	1	1	1	 	 	 	4	88	88	1	4
VN011010	1	480	1	4	2	1	80	0	-88	2500	 	 	 	 	 
VN011010	2	2800	1	1	3	0	88	 	 	 	1	88	88	1	4
VN011010	3	200	1	1	2	1	80	 	 	 	116	126	109	1	1
