CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
VN011001	1	1	4	50	2
VN011002	1	1	5	300	1
VN011003	1	30	-99	-99	99
VN011004	1	30	-99	-99	99
VN011005	1	1	4	100	1
VN011005	2	3	1	200	1
VN011006	1	1	4	350	80
VN011006	2	6	1	500	80
VN011007	1	30	-99	-99	99
VN011008	1	23	7	300	80
VN011009	1	13	4	370	1
VN011010	1	30	-99	-99	99
VN011011	1	23	3	800	1
VN011012	1	23	2	500	80
VN011013	1	30	-99	-99	99
VN011014	1	30	-99	-99	99
VN011015	1	30	3	200	2
VN011016	1	30	-99	-99	99
VN011017	1	25	1	120000	1
VN011018	1	30	-99	-99	99
VN011019	1	22	-99	-99	99
VN011020	1	1	5	85	1
VN011020	2	3	1	50	1
VN011021	1	30	3	50	1
VN011022	1	30	-99	-99	99
VN011024	1	1	4	60	1
VN011024	2	3	1	50	1
VN011025	1	1	4	200	80
VN011026	1	1	4	50	2
VN011028	1	13	2	20	1
VN011029	1	30	0	-99	99
VN011030	1	1	4	200	1
VN011031	1	1	3	50	3
VN011032	1	1	3	150	1
VN011033	1	23	2	300	2
VN011033	2	 	 	 	 
VN011034	1	23	2	4000	80
VN011034	2	25	2	12000	80
VN011034	3	1	4	20	80
VN011035	1	13	2	20	2
VN011037	1	13	3	50	1
VN011038	1	23	1	1200	80
VN011038	2	30	4	60	80
VN011039	1	30	-99	-99	99
VN011040	1	30	-99	-99	99
VN011041	1	1	3	250	80
VN011041	2	8	5	700	80
VN011042	1	26	3	240	2
VN011043	1	30	1	120	1
VN011044	1	8	2	2000	1
VN011044	2	1	4	100	1
VN011047	1	13	5	650	3
VN011048	1	8	2	60	1
VN011050	1	8	3	1000	2
VN011052	1	23	8	1500	80
VN011061	1	23	5	5800	2
VN011063	1	1	2	100	1
VN011069	1	8	-77	180	3
VN011069	2	1	5	120	2
VN011074	1	13	6	60	1
VN011088	1	30	-99	-99	99
VN021002	1	23	1	20	1
VN021003	1	31	-99	30000	1
VN021004	1	30	5	2000	1
VN021005	1	25	1	15000	1
VN021006	1	30	24	40000	1
VN021007	1	15	20	150	2
VN021008	1	1	1	200	1
VN021008	2	8	1	600	1
VN021009	1	30	30	2500	3
VN021011	1	30	4	2500	1
VN021011	2	31	1	20000	1
VN021012	1	1	2	5	1
VN021012	2	8	1	500	1
VN021013	1	1	1	70	1
VN021014	1	10	4	15000	80
VN021015	1	30	1	2000	1
VN021017	1	23	3	1000	2
VN021018	1	30	15	5000	1
VN021020	1	30	4	210	2
VN021022	1	1	4	30	2
VN021023	1	25	1	8000	1
VN021023	2	23	1	200	2
VN021024	1	1	2	100	2
VN021025	1	1	2	5	2
VN021026	1	31	1	15000	1
VN021026	2	30	3	300	1
VN021027	1	31	1	1500	1
VN021027	2	30	1	5000	1
VN021029	1	1	2	10	2
VN021030	1	25	1	200	2
VN021031	1	1	5	18	2
VN021031	2	3	1	15	2
VN021031	3	8	1	200	1
VN021032	1	1	1	20	2
VN021032	2	8	1	200	2
VN021033	1	1	5	30	2
VN021033	2	2	1	1000	1
VN021034	1	1	6	20	1
VN021034	2	8	1	1500	1
VN021036	1	1	4	50	80
VN021037	1	1	4	40	80
VN021037	2	8	1	1000	80
VN021038	1	25	1	4000	1
VN021039	1	22	1	300	1
VN021040	1	23	1	500	2
VN021041	1	30	1	6000	1
VN021041	2	30	-77	100	1
VN021042	1	1	1	100	1
VN021044	1	31	2	2000	1
VN021044	2	30	1	1700	1
VN021046	1	31	1	700	1
VN021046	2	30	1	400	1
VN021047	1	31	1	400	2
VN021047	2	30	1	50	2
VN021048	1	31	2	2500	2
VN021048	2	30	20	2000	2
VN021049	1	31	1	1000	1
VN021049	2	30	10	50	1
VN021069	1	1	5	20	2
VN021069	2	3	1	18	2
VN021069	3	8	1	200	1
VN021072	1	1	1	300	1
VN021078	1	31	1	56000	1
VN021078	2	30	1	6180	1
VN021083	1	30	3	1000	2
VN021089	1	31	1	1500	1
VN021089	2	30	8	2500	1
VN021090	1	23	6	7000	80
VN021094	1	1	1	100	1
VN021094	2	6	1	400	1
VN031002	1	1	6	2000	80
VN031002	2	8	1	8000	80
VN031003	1	1	2	15	18
VN031003	2	3	1	30	18
VN031004	1	1	5	300	2
VN031004	2	8	2	100	2
VN031005	1	1	3	250	80
VN031005	2	8	5	1200	80
VN031006	1	1	4	100	2
VN031006	2	8	1	2000	2
VN031007	1	1	5	300	1
VN031007	2	8	1	1000	1
VN031008	1	1	7	80	1
VN031008	2	8	3	620	1
VN031009	1	1	4	520	80
VN031009	2	8	6	780	80
VN031010	1	1	3	30	1
VN031010	2	8	2	500	1
VN031011	1	1	3	350	80
VN031011	2	8	5	1200	80
VN031012	1	30	3	200	1
VN031013	1	1	12	120	2
VN031013	2	8	2	80	2
VN031018	1	1	4	280	80
VN031018	2	8	3	850	80
VN031018	3	2	1	350	80
VN031020	1	30	3	25	1
VN031021	1	30	3	2000	80
VN031023	1	1	18	230	80
VN031023	2	8	4	400	1
VN031024	1	1	4	120	1
VN031025	1	1	15	300	3
VN031025	2	8	2	150	2
VN031027	1	1	3	200	80
VN031027	2	2	1	1200	1
VN031027	3	8	5	750	80
VN031028	1	1	5	230	80
VN031028	2	2	1	1200	1
VN031028	3	8	5	920	80
VN031029	1	1	4	370	80
VN031029	2	2	1	1400	1
VN031029	3	8	5	900	80
VN031031	1	1	4	220	2
VN031031	2	2	1	1200	1
VN031031	3	8	6	710	80
VN031032	1	1	3	250	80
VN031032	2	1	1	1200	1
VN031032	3	8	5	900	80
VN031033	1	1	5	180	80
VN031033	2	2	1	1400	2
VN031033	3	8	4	730	80
VN031034	1	1	7	40	1
VN031034	2	8	1	70	1
VN031035	1	30	5	130	1
VN031036	1	8	1	2000	2
VN031037	1	25	1	60000	80
VN031038	1	1	5	300	1
VN031038	2	8	2	1500	1
VN031039	1	23	5	1800	80
VN031040	1	1	6	30	2
VN031043	1	1	4	100	1
VN031043	2	8	2	700	1
VN031044	1	1	4	320	80
VN031044	2	2	1	1500	80
VN031044	3	8	5	950	80
VN031045	1	22	-77	-77	80
VN031046	1	22	6	2500	80
VN031048	1	12	14	3000	80
VN031048	2	15	10	2300	80
VN031048	3	24	1	35	80
VN031049	1	1	5	200	1
VN031049	2	8	1	300	1
VN031050	1	30	1	500	1
VN031052	1	1	3	180	80
VN031052	2	2	1	7000	80
VN031052	3	8	4	850	80
VN031058	1	30	-99	-99	99
VN031059	1	1	3	220	80
VN031059	2	2	1	500	1
VN031059	3	8	4	700	80
VN031060	1	1	3	180	80
VN031060	2	2	1	400	80
VN031060	3	8	4	900	80
VN031079	1	1	4	70	1
VN031096	1	1	3	250	80
VN031096	2	2	1	1400	1
VN031096	3	8	5	920	80
VN031098	1	1	6	150	1
VN031098	2	8	1	500	2
VN031108	1	1	6	80	2
VN031108	2	8	2	300	1
VN031134	1	1	4	280	2
VN031134	2	8	6	1200	80
VN041001	1	31	1	4000	1
VN041001	2	30	1	1500	1
VN041001	3	30	1	4000	1
VN041002	1	31	1	200	1
VN041002	2	30	2	300	1
VN041003	1	31	1	2000	1
VN041003	2	30	1	4000	1
VN041004	1	30	1	1000	1
VN041005	1	30	4	8	1
VN041005	2	30	4	40	1
VN041006	1	31	1	50000	1
VN041006	2	30	1	12000	1
VN041007	1	31	1	20000	1
VN041007	2	30	1	30000	1
VN041008	1	30	1	1000	1
VN041009	1	31	1	45000	1
VN041009	2	30	1	15	1
VN041010	1	31	1	20000	1
