CHILDID	PROJID	PRJPRTLV	PRJMANDV	PRJPROC	PRJOPMNT	COMPRJLV	COMPRJDV	COMPRJPC	COMPRJMT	PRJAGREE	IMPINCOM	IMPHEAL	IMPKIDS	IMPSAFE
VN011001	2	4	5	5	5	3	3	3	3	1	1	2	1	1
VN011001	3	4	5	5	5	3	3	3	3	1	2	1	2	2
VN011001	7	4	5	5	5	3	3	3	3	1	2	2	2	2
VN011002	2	5	5	5	5	2	2	2	2	2	1	2	1	1
VN011002	3	5	5	5	5	3	3	3	3	2	2	2	1	1
VN011002	4	5	5	5	5	3	3	2	2	2	2	2	1	1
VN011002	7	4	4	4	5	2	2	2	3	2	1	1	1	1
VN011003	2	4	5	5	5	4	4	4	4	1	3	3	3	2
VN011003	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011003	7	5	5	5	5	4	4	4	4	1	3	2	3	3
VN011004	1	4	5	4	5	4	4	4	4	1	3	3	3	3
VN011004	2	4	5	5	5	4	4	4	4	1	3	2	3	3
VN011004	3	4	5	5	5	4	4	4	4	1	3	3	3	3
VN011004	4	4	5	5	5	4	4	4	4	1	3	3	3	3
VN011004	7	4	5	5	5	4	4	4	4	1	3	3	3	3
VN011005	2	5	5	5	5	77	77	77	77	1	1	2	2	2
VN011005	3	5	5	5	5	77	77	77	77	1	1	2	2	2
VN011005	7	5	5	5	5	77	77	77	77	1	1	1	2	2
VN011006	2	5	5	5	5	3	3	4	3	2	1	1	1	1
VN011006	4	5	5	5	5	3	3	4	3	2	2	2	1	2
VN011006	7	5	5	5	5	3	3	4	3	2	2	1	1	1
VN011008	4	4	4	5	5	3	3	3	3	1	3	3	2	3
VN011008	5	4	4	5	5	3	3	3	3	1	3	3	2	3
VN011008	7	4	4	5	5	3	3	3	3	1	3	1	3	3
VN011010	2	5	5	5	5	3	3	4	4	1	3	2	2	2
VN011010	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011011	2	5	5	5	5	3	3	4	4	1	3	3	3	3
VN011011	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011011	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011012	2	5	5	5	5	3	4	4	4	1	1	1	1	1
VN011012	3	5	5	5	5	3	4	4	3	1	1	1	1	1
VN011012	4	5	5	5	5	3	4	4	3	1	1	1	1	1
VN011012	7	5	5	5	5	3	4	4	3	2	1	1	1	1
VN011013	2	5	5	5	5	3	3	4	3	2	1	1	1	1
VN011013	7	5	5	5	5	3	3	4	3	2	1	1	1	1
VN011014	2	4	5	5	5	3	3	3	3	1	3	3	3	3
VN011014	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011014	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011016	2	5	5	5	5	3	3	4	4	1	3	3	3	3
VN011016	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011017	2	4	4	4	4	3	3	3	3	1	2	2	2	2
VN011017	4	4	4	4	4	3	3	3	3	1	2	2	2	2
VN011017	7	4	4	4	4	3	3	3	3	1	2	2	2	2
VN011019	2	5	5	5	5	4	3	4	3	2	1	1	1	1
VN011019	3	5	5	5	5	4	3	4	3	2	1	1	1	1
VN011019	4	5	5	5	5	4	3	4	3	2	1	1	1	1
VN011019	7	5	5	5	5	4	3	4	3	2	1	1	1	1
VN011020	2	4	4	5	5	3	3	4	4	1	3	3	3	3
VN011020	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011020	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011020	7	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011021	2	4	4	4	4	77	77	77	77	1	2	1	1	2
VN011021	4	4	4	4	4	77	77	77	77	1	2	1	1	2
VN011021	5	4	4	4	4	77	77	77	77	1	2	1	1	2
VN011021	7	4	4	4	4	77	77	77	77	1	2	1	1	2
VN011022	2	4	4	4	4	4	4	4	4	1	2	3	4	1
VN011022	5	4	4	4	4	4	4	4	4	1	2	3	1	2
VN011025	2	5	5	5	5	3	3	4	3	2	1	1	1	1
VN011025	7	5	5	5	5	3	3	4	3	2	1	1	1	1
VN011026	2	4	5	5	4	3	3	3	3	1	1	1	2	1
VN011026	3	4	5	5	4	3	3	3	3	1	1	1	1	2
VN011026	7	4	5	5	4	3	3	3	3	1	1	1	2	1
VN011028	1	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011028	2	5	5	5	5	4	2	4	4	1	3	2	2	1
VN011028	3	5	5	5	5	4	4	3	4	1	3	3	3	3
VN011028	7	5	5	5	5	4	4	4	4	1	3	2	2	2
VN011029	2	5	5	5	5	3	3	77	77	1	3	2	2	2
VN011029	4	5	5	5	5	4	4	77	77	1	3	3	3	3
VN011029	7	5	5	5	5	4	77	77	77	1	3	2	2	3
VN011030	2	4	5	5	5	4	3	3	4	1	1	1	1	1
VN011030	3	5	5	5	5	4	3	3	4	1	2	2	2	2
VN011030	4	5	5	5	5	4	3	3	4	1	2	2	2	2
VN011030	7	4	5	5	5	4	3	3	4	1	1	1	1	1
VN011031	2	5	5	5	5	4	4	4	4	1	1	1	1	1
VN011031	3	5	5	5	5	4	4	4	4	1	1	1	1	1
VN011031	7	5	5	5	5	4	4	4	4	1	1	1	1	1
VN011032	4	5	5	5	5	3	3	4	3	1	1	2	1	2
VN011032	7	5	5	5	5	3	3	4	3	2	1	1	2	1
VN011033	1	4	4	4	4	3	4	4	4	1	2	2	2	2
VN011033	2	4	4	4	4	3	4	4	4	1	2	1	1	1
VN011033	3	3	3	3	3	3	4	4	4	1	2	2	2	2
VN011033	7	3	3	3	3	3	4	4	4	1	2	1	1	1
VN011035	2	4	5	5	5	3	3	4	4	1	3	3	3	2
VN011035	3	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011035	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011035	7	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011038	2	4	4	5	5	3	3	4	4	1	3	3	3	3
VN011038	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011039	2	5	5	5	5	3	3	4	3	2	1	1	1	1
VN011039	7	5	5	5	5	3	3	4	3	2	1	1	1	1
VN011040	2	5	5	5	5	3	3	4	3	2	1	1	1	1
VN011040	7	5	5	5	5	3	3	4	3	2	1	1	1	1
VN011041	2	4	5	5	5	3	4	4	3	2	1	1	1	1
VN011041	3	4	5	5	5	3	4	4	3	2	1	1	1	1
VN011041	7	4	5	5	5	3	4	4	3	2	1	1	1	1
VN011042	2	5	5	5	5	3	4	4	3	2	1	1	1	1
VN011042	3	5	5	5	5	3	4	4	3	2	1	1	1	1
VN011042	4	5	5	5	5	3	4	4	3	2	1	1	1	1
VN011044	12	5	5	5	5	77	77	77	77	1	1	3	3	3
VN011047	2	4	5	5	4	3	3	4	3	2	1	2	1	1
VN011047	4	4	5	5	4	3	3	4	3	2	2	2	2	2
VN011047	7	4	5	5	4	3	3	4	3	2	2	1	1	2
VN011047	8	4	5	5	4	3	3	4	3	2	1	2	2	2
VN011050	2	4	5	5	5	3	4	4	4	1	3	2	2	2
VN011050	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011050	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011052	2	4	5	5	4	3	3	4	3	2	1	2	1	1
VN011052	3	4	5	5	4	3	3	4	3	2	2	2	1	1
VN011052	4	4	5	5	4	3	3	4	3	2	2	2	1	1
VN011052	7	4	5	5	4	3	3	4	3	2	2	1	1	1
VN011052	8	4	5	5	4	3	3	4	3	2	1	2	2	2
VN011061	2	4	4	5	5	3	3	4	4	1	3	3	3	3
VN011061	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011061	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011069	2	4	4	5	5	3	3	4	4	1	3	1	2	1
VN011074	2	5	5	5	5	77	77	77	77	1	3	2	2	2
VN011074	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN011088	2	4	4	5	5	3	3	4	4	1	3	3	3	3
VN011088	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021002	2	5	5	5	5	3	4	4	4	1	3	3	3	3
VN021002	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021002	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021006	1	4	4	3	2	4	4	4	4	1	3	3	3	3
VN021006	4	4	4	3	5	4	4	4	4	1	3	3	3	3
VN021006	5	4	4	3	5	4	4	4	4	1	3	3	3	3
VN021006	8	4	4	3	2	4	4	4	4	1	3	3	3	3
VN021006	9	4	4	3	2	4	4	4	4	1	3	3	3	3
VN021007	2	5	5	5	5	4	4	4	4	1	5	5	2	2
VN021007	9	5	5	5	5	4	4	4	4	1	5	5	1	1
VN021008	5	4	5	5	5	3	3	4	4	1	3	3	1	1
VN021008	9	4	5	5	5	3	3	4	4	1	3	3	1	1
VN021009	2	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021009	9	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021011	2	5	5	5	5	4	4	4	4	1	3	3	2	3
VN021011	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021011	9	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021013	2	4	4	4	5	3	3	4	4	1	3	1	1	1
VN021013	5	4	4	4	5	3	3	4	4	1	3	3	1	1
VN021014	2	5	5	5	5	4	4	4	4	1	3	2	3	3
VN021014	3	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021014	4	5	5	5	5	4	4	4	4	1	3	3	2	3
VN021017	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021017	7	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021018	2	5	5	5	5	4	4	4	4	77	3	3	3	3
VN021018	3	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021018	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021018	5	5	5	5	5	4	4	4	4	77	3	3	3	3
VN021023	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021023	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN021024	4	5	5	5	5	4	4	4	4	1	1	1	1	1
VN021024	5	5	5	5	5	4	4	4	4	1	1	1	1	1
