FORMNO	CHILDID	ACTID	ACTYEST	WHOACT	CHOICE
R2INDX	ET010001	1	17	8	0
R2INDX	ET010001	2	1	9	0
R2INDX	ET010002	1	1	9	0
R2INDX	ET010002	2	2	1	0
R2INDX	ET010004	1	1	10	1
R2INDX	ET010004	2	24	6	1
R2INDX	ET010005	1	1	10	1
R2INDX	ET010005	2	24	6	1
R2INDX	ET010006	1	1	10	1
R2INDX	ET010006	2	9	1	2
R2INDX	ET010007	1	1	9	0
R2INDX	ET010007	2	10	8	0
R2INDX	ET010007	3	2	2	1
R2INDX	ET010008	1	1	9	0
R2INDX	ET010008	2	22	10	0
R2INDX	ET010008	3	2	1	0
R2INDX	ET010009	1	1	10	0
R2INDX	ET010009	2	24	6	1
R2INDX	ET010009	3	12	6	1
R2INDX	ET010010	1	1	10	0
R2INDX	ET010010	2	24	12	1
R2INDX	ET010010	3	2	1	0
R2INDX	ET010011	1	1	11	1
R2INDX	ET010011	2	10	11	1
R2INDX	ET010012	1	1	10	0
R2INDX	ET010012	2	23	10	1
R2INDX	ET010014	1	24	12	1
R2INDX	ET010015	1	1	6	0
R2INDX	ET010015	2	23	10	1
R2INDX	ET010015	3	2	6	1
R2INDX	ET010015	4	12	10	1
R2INDX	ET010016	1	1	6	1
R2INDX	ET010016	2	10	6	1
R2INDX	ET010017	1	17	8	1
R2INDX	ET010017	2	1	10	0
R2INDX	ET010017	3	2	1	0
R2INDX	ET010018	1	1	10	1
R2INDX	ET010018	2	2	1	1
R2INDX	ET010018	3	12	1	1
R2INDX	ET010018	4	17	11	1
R2INDX	ET010020	1	1	9	1
R2INDX	ET010020	2	2	1	0
R2INDX	ET010020	3	10	8	1
R2INDX	ET010021	1	1	10	1
R2INDX	ET010021	2	10	10	1
R2INDX	ET010021	3	12	1	1
R2INDX	ET010021	4	17	7	1
R2INDX	ET010022	1	1	9	0
R2INDX	ET010022	2	10	9	1
R2INDX	ET010023	1	1	2	0
R2INDX	ET010023	2	17	11	1
R2INDX	ET010023	3	9	1	1
R2INDX	ET010024	1	1	1	0
R2INDX	ET010024	2	17	9	0
R2INDX	ET010024	3	12	1	0
R2INDX	ET010025	1	1	9	0
R2INDX	ET010025	2	12	11	0
R2INDX	ET010025	3	24	6	1
R2INDX	ET010025	4	10	11	1
R2INDX	ET010026	1	1	11	1
R2INDX	ET010026	2	2	1	1
R2INDX	ET010027	1	1	10	1
R2INDX	ET010027	2	10	8	1
R2INDX	ET010028	1	1	10	1
R2INDX	ET010028	2	2	12	1
R2INDX	ET010028	3	5	1	1
R2INDX	ET010029	1	1	10	0
R2INDX	ET010029	2	10	9	0
R2INDX	ET010029	3	2	1	0
R2INDX	ET010030	1	1	10	0
R2INDX	ET010030	2	10	7	0
R2INDX	ET010030	3	2	1	0
R2INDX	ET010031	1	10	10	1
R2INDX	ET010031	2	1	10	1
R2INDX	ET010032	1	1	9	0
R2INDX	ET010032	2	2	1	0
R2INDX	ET010032	3	10	10	0
R2INDX	ET010033	1	17	10	1
R2INDX	ET010033	2	1	10	1
R2INDX	ET010035	1	1	9	0
R2INDX	ET010035	2	24	12	0
R2INDX	ET010035	3	2	6	0
R2INDX	ET010036	1	17	10	0
R2INDX	ET010036	2	1	10	0
R2INDX	ET010037	1	1	10	1
R2INDX	ET010037	2	17	10	1
R2INDX	ET010038	1	1	7	0
R2INDX	ET010038	2	10	2	1
R2INDX	ET010038	3	12	2	1
R2INDX	ET010040	1	1	10	1
R2INDX	ET010040	2	17	10	1
R2INDX	ET010041	1	1	6	0
R2INDX	ET010041	2	2	6	1
R2INDX	ET010041	3	23	6	1
R2INDX	ET010042	1	1	10	0
R2INDX	ET010042	2	2	5	0
R2INDX	ET010042	3	23	10	1
R2INDX	ET010043	1	23	10	1
R2INDX	ET010044	1	1	10	0
R2INDX	ET010044	2	23	10	1
R2INDX	ET010044	3	2	6	2
R2INDX	ET010045	1	1	9	0
R2INDX	ET010045	2	17	8	0
R2INDX	ET010046	1	1	10	1
R2INDX	ET010046	2	17	10	1
R2INDX	ET010047	1	1	10	1
R2INDX	ET010047	2	17	10	1
R2INDX	ET010048	1	17	1	1
R2INDX	ET010049	1	1	10	0
R2INDX	ET010049	2	10	11	0
R2INDX	ET010049	3	2	6	1
R2INDX	ET010050	1	1	10	1
R2INDX	ET010050	2	17	10	1
R2INDX	ET010051	1	1	9	0
R2INDX	ET010051	2	17	8	0
R2INDX	ET010052	1	1	11	1
R2INDX	ET010052	2	10	11	1
R2INDX	ET010052	3	2	6	1
R2INDX	ET010053	1	10	3	0
R2INDX	ET010054	1	17	7	0
R2INDX	ET010055	1	17	10	1
R2INDX	ET010056	1	1	10	1
R2INDX	ET010056	2	17	9	1
R2INDX	ET010057	1	1	10	1
R2INDX	ET010057	2	18	6	1
R2INDX	ET010058	1	1	10	0
R2INDX	ET010058	2	24	10	1
R2INDX	ET010059	1	1	9	0
R2INDX	ET010059	2	17	9	0
R2INDX	ET010060	1	1	10	1
R2INDX	ET010060	2	17	9	1
R2INDX	ET010060	3	12	1	1
R2INDX	ET010061	1	1	8	0
R2INDX	ET010061	2	23	10	1
R2INDX	ET010061	3	2	8	0
R2INDX	ET010062	1	1	8	0
R2INDX	ET010062	2	17	8	1
R2INDX	ET010062	3	2	8	1
R2INDX	ET010063	1	1	10	1
R2INDX	ET010063	2	17	10	1
R2INDX	ET010064	1	1	9	0
R2INDX	ET010064	2	5	1	0
R2INDX	ET010064	3	10	9	1
R2INDX	ET010065	1	1	10	1
R2INDX	ET010065	2	24	6	1
R2INDX	ET010066	1	24	10	2
R2INDX	ET010067	1	1	11	1
R2INDX	ET010067	2	10	11	1
R2INDX	ET010067	3	10	6	1
R2INDX	ET010068	1	1	10	1
R2INDX	ET010068	2	17	10	1
R2INDX	ET010068	3	9	10	1
R2INDX	ET010069	1	1	9	0
R2INDX	ET010069	2	17	8	0
R2INDX	ET010070	1	1	10	0
R2INDX	ET010070	2	17	8	1
R2INDX	ET010070	3	12	8	1
R2INDX	ET010071	1	1	10	1
R2INDX	ET010071	2	17	10	1
R2INDX	ET010072	1	1	10	0
R2INDX	ET010072	2	2	8	0
R2INDX	ET010072	3	10	8	0
R2INDX	ET010072	4	23	10	0
R2INDX	ET010073	1	1	9	0
R2INDX	ET010073	2	10	10	0
