FORMNO	CHILDID	GRPID	GROUP	IDGRP	YEARMEM	BENGRP1	BENGRP2	FRQATTEN	LEADMEM	YEARLEAD	PAREPOST	WHYJOIN	INFLNCE
R2INDX	ET010001	1	26	3	-77	5	88	3	0	-88	88	88	88
R2INDX	ET010002	1	26	1	-77	5	88	3	0	-88	88	88	88
R2INDX	ET010002	2	26	2	1997	5	88	3	0	-88	88	88	88
R2INDX	ET010002	3	33	2	1997	3	88	5	0	-88	88	88	88
R2INDX	ET010004	1	26	2	1979	5	88	3	0	-88	88	88	88
R2INDX	ET010004	2	26	3	1995	5	88	3	0	-88	88	88	88
R2INDX	ET010005	1	26	1	1996	5	88	3	0	-88	88	88	88
R2INDX	ET010005	2	26	2	1997	5	88	3	0	-88	88	88	88
R2INDX	ET010006	1	26	1	1995	5	3	3	0	-88	88	88	88
R2INDX	ET010006	2	26	2	1996	5	88	3	0	-88	88	88	88
R2INDX	ET010006	3	18	80	1990	8	5	1	0	-88	88	88	88
R2INDX	ET010007	1	26	1	-77	5	88	3	0	-88	88	88	88
R2INDX	ET010008	1	26	1	1977	5	88	3	0	-88	88	88	88
R2INDX	ET010008	2	18	1	1999	8	88	5	0	-88	88	88	88
R2INDX	ET010008	3	23	1	1995	1	88	5	0	-88	88	88	88
R2INDX	ET010009	1	1	1	1974	5	88	3	0	-88	88	88	88
R2INDX	ET010009	2	1	1	1996	5	88	3	0	-88	88	88	88
R2INDX	ET010009	3	2	2	1996	5	88	3	0	-88	88	88	88
R2INDX	ET010011	1	26	1	1975	5	88	3	0	-88	88	88	88
R2INDX	ET010011	2	26	2	1977	5	88	3	0	-88	88	88	88
R2INDX	ET010012	1	26	1	1991	5	88	3	0	-88	88	88	88
R2INDX	ET010014	1	18	4	1994	8	88	3	0	-88	88	88	88
R2INDX	ET010015	1	26	1	1989	5	88	3	0	-88	88	88	88
R2INDX	ET010015	2	33	2	1993	3	88	2	0	-88	88	88	88
R2INDX	ET010016	1	8	1	1999	5	88	4	0	-88	88	88	88
R2INDX	ET010017	1	26	2	1968	5	88	3	0	-88	88	88	88
R2INDX	ET010021	1	23	2	1996	4	88	4	0	-88	88	88	88
R2INDX	ET010023	1	10	2	1993	2	3	2	0	-88	88	88	88
