FORMNO	CHILDID	PLOTID	LAREA	LUNIT	LOWN	LUSE	TRANS	COLLAT	TRANSID	PLINCOME	PLVALUE	PLCOST	CRPRAIN1	CRPRAIN2	CROPDRY1	CROPDRY2	IRRIGAT	PERIRRIG
R2INDX	ET010001	1	20	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010002	1	10	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010004	1	24	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010005	1	6	17	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	ET010006	1	18	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010007	1	24	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010008	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010009	1	105	17	1	1	1	1	80	 	 	 	 	 	 	 	 	 
R2INDX	ET010010	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010011	1	12	17	2	3	0	0	88	1	600	0	 	 	 	 	 	 
R2INDX	ET010012	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010014	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010015	1	6	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010016	1	15	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010017	1	15	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010018	1	29	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010020	1	170	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010021	1	28	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010022	1	50	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010023	1	40	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010024	1	60	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010025	1	60	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010026	1	12	17	3	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010027	1	6	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010028	1	50	17	2	3	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010029	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010030	1	480	17	3	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010031	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010032	1	40	17	2	3	0	0	88	1	540	0	 	 	 	 	 	 
R2INDX	ET010033	1	20	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010035	1	18	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010036	1	24	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010037	1	28	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010038	1	30	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010040	1	18	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010041	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010042	1	25	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010043	1	15	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010043	2	9	17	2	3	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010044	1	24	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010045	1	6	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010046	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010047	1	300	17	1	1	1	1	4	 	 	 	 	 	 	 	 	 
R2INDX	ET010048	1	10	17	3	1	0	0	88	0	-88	250	 	 	 	 	 	 
R2INDX	ET010049	1	8	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010050	1	16	17	1	1	1	1	80	 	 	 	 	 	 	 	 	 
R2INDX	ET010051	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010052	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010053	1	60	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010054	1	300	17	1	1	1	1	80	0	-88	-88	 	 	 	 	 	 
R2INDX	ET010055	1	300	17	1	1	1	1	1	 	 	 	 	 	 	 	 	 
R2INDX	ET010056	1	18	17	1	1	1	1	1	0	-88	-88	 	 	 	 	 	 
R2INDX	ET010057	1	15	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010058	1	5	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010059	1	36	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010060	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010061	1	32	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010062	1	20	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010062	2	2	17	2	3	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010063	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010064	1	40.1500015258789	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010065	1	24	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010066	1	56	17	2	3	0	0	88	1	1660	0	 	 	 	 	 	 
R2INDX	ET010067	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010068	1	8	17	2	1	0	0	88	0	-88	-88	 	 	 	 	 	 
R2INDX	ET010069	1	40	17	2	1	0	0	88	0	-88	-88	 	 	 	 	 	 
R2INDX	ET010070	1	14	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010071	1	2.25	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010072	1	15	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	ET010073	1	50	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
