FORMNO	CHILDID	SASSID	SASSET	NUMSRNT	NUMSASS	VALSASS	DECSASS
R2INDX	ET010005	1	7	0	3	60	1
R2INDX	ET010020	1	23	1	0	-88	90
R2INDX	ET010029	1	12	0	2	6	2
R2INDX	ET010031	1	30	0	1	2	2
R2INDX	ET010036	1	15	0	5	71	2
R2INDX	ET010042	1	30	-88	-88	-88	88
R2INDX	ET010043	1	30	-88	-88	-88	88
R2INDX	ET010047	1	30	-88	-88	-88	88
R2INDX	ET010065	1	30	0	1	800	1
R2INDX	ET010070	1	30	0	4	15	1
R2INDX	ET010072	1	30	-88	-88	-88	88
R2INDX	ET010087	1	9	0	2	600	80
R2INDX	ET010088	1	30	-88	-88	-88	88
R2INDX	ET010090	1	17	0	3	200	1
R2INDX	ET010091	1	21	0	2	1500	2
R2INDX	ET020017	1	24	1	1	-77	1
R2INDX	ET020017	2	23	1	1	100	1
R2INDX	ET020017	3	30	1	3	210	1
R2INDX	ET020035	1	1	4	4	40	1
R2INDX	ET020047	1	24	1	1	500	2
R2INDX	ET020047	2	30	1	1	40	2
R2INDX	ET020047	3	20	1	1	40	2
R2INDX	ET020060	1	30	1	1	15	2
R2INDX	ET020065	1	23	17	6	132	2
R2INDX	ET020076	1	15	0	12	120	80
R2INDX	ET020081	1	15	3	3	45	2
R2INDX	ET020087	1	13	0	5	15	16
R2INDX	ET030003	1	1	1	0	-88	90
R2INDX	ET030007	1	23	0	3	10	5
R2INDX	ET030012	1	22	5	4	20	3
R2INDX	ET030018	1	21	1	0	-77	90
R2INDX	ET030022	1	23	0	3	16	80
R2INDX	ET030041	1	23	1	0	-88	90
R2INDX	ET030066	1	15	0	3	75	80
R2INDX	ET030084	1	13	0	1	50	4
R2INDX	ET030088	1	23	0	7	500	2
R2INDX	ET040003	1	27	0	2	25000	1
R2INDX	ET040005	1	24	0	1	-88	88
R2INDX	ET040005	2	38	0	1	4500	80
R2INDX	ET040005	3	14	0	3	3500	80
R2INDX	ET040009	1	1	0	12	80	1
R2INDX	ET040014	1	15	0	3	80	2
R2INDX	ET040015	1	27	0	6	24000	1
R2INDX	ET040021	1	30	0	4	20	5
R2INDX	ET040022	1	21	0	1	1000	80
R2INDX	ET040027	1	27	-99	-99	-99	99
R2INDX	ET040031	1	30	0	1	7000	1
R2INDX	ET040035	1	1	0	7	150	1
R2INDX	ET040035	2	4	0	2	10	1
R2INDX	ET040039	1	15	0	14	50	2
R2INDX	ET040046	1	30	6	0	-88	90
R2INDX	ET040046	2	1	0	7	27	1
R2INDX	ET040046	3	4	3	0	-88	90
R2INDX	ET040047	1	1	4	-88	-88	88
R2INDX	ET040051	1	30	0	6	600	80
R2INDX	ET040054	1	23	1	0	-88	90
R2INDX	ET040056	1	13	0	4	195	5
R2INDX	ET040064	1	13	2	4	145	3
R2INDX	ET040070	1	23	1	0	-88	90
R2INDX	ET040071	1	15	0	3	40	1
R2INDX	ET040072	1	88	-88	88	-88	88
R2INDX	ET040078	1	14	0	1	200	2
R2INDX	ET040078	2	15	0	1	350	2
R2INDX	ET040081	1	30	4	0	-88	90
R2INDX	ET040081	2	1	0	3	20	80
R2INDX	ET040084	1	25	0	1	1000	1
R2INDX	ET040085	1	1	0	3	-77	1
R2INDX	ET040085	2	4	0	1	-77	1
R2INDX	ET040087	1	27	0	2	10000	1
R2INDX	ET040089	1	1	0	3	50	80
R2INDX	ET040089	2	30	0	1	1100	80
R2INDX	ET040090	1	13	0	3	120	1
R2INDX	ET040091	1	99	-99	-99	-99	99
R2INDX	ET040096	1	27	0	3	-77	1
R2INDX	ET040097	1	23	0	5	80	2
R2INDX	ET050001	1	15	0	4	60	80
R2INDX	ET050002	1	1	0	2	25	80
R2INDX	ET050006	1	13	0	6	250	80
R2INDX	ET050007	1	15	0	4	60	2
R2INDX	ET050008	1	1	0	1	4	1
R2INDX	ET050009	1	23	0	2	116	1
R2INDX	ET050011	1	23	0	4	50	1
R2INDX	ET050014	1	15	0	9	50	1
R2INDX	ET050021	1	1	0	2	10	80
R2INDX	ET050023	1	1	0	12	130	1
R2INDX	ET050025	1	15	0	22	120	1
R2INDX	ET050027	1	1	0	1	10	80
R2INDX	ET050035	1	15	0	8	30	2
R2INDX	ET050038	1	23	0	5	50	80
R2INDX	ET050039	1	1	0	2	11	16
R2INDX	ET050041	1	23	0	1	5	1
R2INDX	ET050045	1	16	0	1	1500	1
R2INDX	ET050048	1	1	0	8	150	1
R2INDX	ET050056	1	23	0	2	15	2
R2INDX	ET050061	1	15	0	8	70	3
R2INDX	ET050064	1	15	1	4	30	2
R2INDX	ET050066	1	1	4	0	-88	90
R2INDX	ET050067	1	15	0	10	60	2
R2INDX	ET050071	1	15	0	6	70	1
R2INDX	ET050073	1	16	1	0	-88	90
R2INDX	ET050074	1	15	0	4	60	80
R2INDX	ET050077	1	15	0	5	56	80
R2INDX	ET050088	1	15	1	1	30	1
R2INDX	ET050089	1	1	0	4	80	1
R2INDX	ET050094	1	1	0	2	14	1
R2INDX	ET050100	1	23	0	2	100	1
R2INDX	ET060002	1	30	0	0	-88	88
R2INDX	ET060021	1	30	0	2	6	2
R2INDX	ET060025	1	1	0	2	25	80
R2INDX	ET060029	1	30	0	3	4	2
R2INDX	ET060037	1	1	0	1	5	1
R2INDX	ET060037	2	26	0	3	3	2
R2INDX	ET060040	1	1	0	4	30	1
R2INDX	ET060086	1	30	0	3	90	1
R2INDX	ET060099	1	1	1	1	50	17
R2INDX	ET070003	1	15	0	15	100	2
R2INDX	ET070003	2	88	88	88	88	88
R2INDX	ET070003	3	88	88	88	88	88
R2INDX	ET070010	1	2	88	1	1700	1
R2INDX	ET070014	1	13	1	1	15	1
R2INDX	ET070019	1	13	0	3	40	1
R2INDX	ET070025	1	13	0	6	94	1
R2INDX	ET070026	1	13	0	4	80	1
R2INDX	ET070027	1	13	0	7	186	1
R2INDX	ET070030	1	13	0	3	60	2
R2INDX	ET070031	1	23	0	3	50	2
R2INDX	ET070035	1	2	0	2	1500	1
R2INDX	ET070037	1	15	0	6	180	80
R2INDX	ET070040	1	13	0	5	100	1
R2INDX	ET070045	1	1	0	1	6	1
R2INDX	ET070047	1	25	0	1	1700	80
R2INDX	ET070048	1	30	1	1	10	80
R2INDX	ET070062	1	13	2	2	50	1
R2INDX	ET070070	1	1	0	2	30	1
R2INDX	ET070070	2	4	0	1	15	1
R2INDX	ET070074	1	13	0	1	150	80
R2INDX	ET070078	1	1	0	3	30	1
R2INDX	ET070078	2	4	1	0	-88	90
R2INDX	ET070085	1	23	0	4	21	3
R2INDX	ET070086	1	13	0	3	61	1
R2INDX	ET070089	1	13	0	3	130	1
R2INDX	ET070095	1	12	2	2	20	1
R2INDX	ET080001	1	30	0	2	4	80
