FORMNO	CHILDID	CROPID	CROP	QNTHARV	VLCRSLD	CROPCOST
R2INDX	IN010023	1	53	26.25	21600	8000
R2INDX	IN010023	2	53	22.5	0	8000
R2INDX	IN010038	1	53	55.5	22500	14000
R2INDX	IN010051	1	53	106.5	43600	32000
R2INDX	IN010052	1	53	90	75	20000
R2INDX	IN020002	1	2	1	0	0
R2INDX	IN020002	2	3	8	24000	5000
R2INDX	IN020002	3	4	3	4500	2500
R2INDX	IN020003	1	48	3	6000	800
R2INDX	IN020004	1	48	4	8000	1500
R2INDX	IN020005	1	48	4.8	18000	2500
R2INDX	IN020006	1	48	6	14400	2500
R2INDX	IN020007	1	18	3	5400	6000
R2INDX	IN020007	2	30	.2	400	100
R2INDX	IN020007	3	71	.3	1200	3000
R2INDX	IN020007	4	48	0	0	0
R2INDX	IN020008	1	52	1.5	0	0
R2INDX	IN020008	2	37	4.56	0	200
R2INDX	IN020008	3	30	3	6750	0
R2INDX	IN020009	1	37	1	0	0
R2INDX	IN020010	1	48	2	4000	0
R2INDX	IN020010	2	57	600	-88	0
R2INDX	IN020010	3	52	300	-88	0
R2INDX	IN020011	1	37	6.84	0	0
R2INDX	IN020011	2	30	0	0	4000
R2INDX	IN020012	1	48	8	16000	0
R2INDX	IN020012	2	37	3	0	0
R2INDX	IN020014	1	37	1.2	0	300
R2INDX	IN020014	2	30	.2	0	150
R2INDX	IN020014	3	48	2	4800	0
R2INDX	IN020015	1	57	.08	0	100
R2INDX	IN020015	2	30	.1	300	100
R2INDX	IN020015	3	48	3.5	10500	-88
R2INDX	IN020016	1	48	0	0	0
R2INDX	IN020017	1	30	88	-88	500
R2INDX	IN020018	1	48	4.2	36000	800
R2INDX	IN020018	2	37	1.5	450	0
R2INDX	IN020018	3	30	2	2400	0
R2INDX	IN020018	4	57	2	300	0
R2INDX	IN020019	1	48	1.5	5250	500
R2INDX	IN020022	1	18	7.5	12750	7500
R2INDX	IN020022	2	48	2.4	6600	1500
R2INDX	IN020024	1	21	0	0	30000
R2INDX	IN020025	1	37	1.5	0	450
R2INDX	IN020030	1	30	.25	0	300
R2INDX	IN020030	2	37	.25	0	100
R2INDX	IN020031	1	48	40	200000	18250
R2INDX	IN020033	1	30	1.5	3000	1500
R2INDX	IN020033	2	48	0	0	0
R2INDX	IN020043	1	71	144.5	629000	497200
R2INDX	IN020043	2	53	91.2	96000	61600
R2INDX	IN020044	1	18	3	6000	4000
R2INDX	IN020049	1	71	68	421600	315000
R2INDX	IN020053	1	18	4	-88	6500
R2INDX	IN020053	2	53	11.2	0	4950
R2INDX	IN020053	3	52	0	-88	-88
R2INDX	IN020056	1	67	385	327250	147202
R2INDX	IN020056	2	18	6	10200	11400
R2INDX	IN020056	3	53	67.5	18000	28500
R2INDX	IN020057	1	53	24	-88	7000
R2INDX	IN020058	1	53	10	-88	3500
R2INDX	IN020061	1	53	9.12	0	4050
R2INDX	IN020061	2	18	2	3600	3000
R2INDX	IN020065	1	71	65	315250	340000
R2INDX	IN020070	1	53	10	0	2500
R2INDX	IN020071	1	53	20.52	0	6100
R2INDX	IN020071	2	18	2	4000	1950
R2INDX	IN020074	1	53	7.5	0	3500
R2INDX	IN020074	2	48	0	0	0
R2INDX	IN020074	3	18	0	0	1500
R2INDX	IN020075	1	53	6	0	2000
R2INDX	IN020076	1	53	9	0	4500
R2INDX	IN020076	2	30	.5	0	120
R2INDX	IN020078	1	53	4	0	3000
R2INDX	IN020080	1	53	18.75	6750	5800
R2INDX	IN020082	1	53	7.5	0	4500
R2INDX	IN020083	1	53	15.2	0	5200
R2INDX	IN020097	1	53	75	27300	26000
R2INDX	IN020097	2	48	12	30000	8000
R2INDX	IN030004	1	53	22	-88	10000
R2INDX	IN030032	1	88	-88	-88	-88
R2INDX	IN030073	1	53	16	10000	9000
R2INDX	IN030073	2	30	1	3200	2000
R2INDX	IN030090	1	53	16	10000	7000
R2INDX	IN030090	2	30	3	6000	3000
R2INDX	IN040003	1	53	6	0	400
R2INDX	IN040003	2	30	1.2	800	200
R2INDX	IN040004	1	30	1	400	0
R2INDX	IN040004	2	30	.3	100	0
R2INDX	IN040004	3	16	.15	0	200
R2INDX	IN040004	4	75	1.5	900	200
R2INDX	IN040004	5	30	.6	0	0
R2INDX	IN040004	6	48	0	0	0
R2INDX	IN040005	1	53	15	-88	5500
R2INDX	IN040005	2	57	1.5	-88	1000
R2INDX	IN040005	3	30	2	2600	1200
R2INDX	IN040005	4	24	.5	250	0
R2INDX	IN040005	5	75	.5	1000	0
R2INDX	IN040006	1	53	5	0	1000
R2INDX	IN040006	2	30	1	0	400
R2INDX	IN040007	1	48	.35	875	0
R2INDX	IN040007	2	30	.6	1200	0
R2INDX	IN040008	1	48	.5	2000	350
R2INDX	IN040008	2	30	.3	540	150
R2INDX	IN040008	3	52	0	-88	500
R2INDX	IN040009	1	53	4.5	-88	500
R2INDX	IN040009	2	48	4	10000	0
R2INDX	IN040009	3	48	2	5000	0
R2INDX	IN040010	1	2	.6	-77	500
R2INDX	IN040011	1	53	6	0	300
R2INDX	IN040011	2	57	.6	0	0
R2INDX	IN040011	3	30	.27	0	0
R2INDX	IN040011	4	48	.5	1500	0
R2INDX	IN040012	1	57	.5	-77	100
R2INDX	IN040012	2	37	1	-77	100
R2INDX	IN040012	3	48	5	15000	600
R2INDX	IN040012	4	24	2	1000	0
R2INDX	IN040012	5	30	1	1500	600
R2INDX	IN040013	1	30	.5	720	200
R2INDX	IN040013	2	52	.2	0	100
R2INDX	IN040013	3	48	1.5	6000	1500
