formno	childid	id	age	memsex	relate	livhse	grade	still	chgrade	chstill	whynot	agegrade	agestsch	hhschtyp	perf	schoolen	disab	act1	months1	days1	hours1	act2	months2	days2	hours2	act3	months3	days3	hours3	sleep	chcare	hhchore	npaywork	paywork	school	study	play	inegsday	inegwage	inegchld	inegvill	inegcomp
R2INDX	IN010001	0	4	1	0	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	11	0	0	0	0	6	3	4	 	 	 	 	 
R2INDX	IN010001	1	31	1	1	1	10	0	 	 	 	 	 	 	 	 	0	9	12	6	10	15	12	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010001	2	23	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010001	3	1	2	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010002	0	5	1	0	1	 	 	0	1	 	 	5	1	1	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	6	1	8	 	 	 	 	 
R2INDX	IN010002	1	45	1	1	1	14	0	 	 	 	 	 	 	 	 	0	10	12	6	7	15	12	7	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010002	2	36	2	1	1	14	0	 	 	 	 	 	 	 	 	0	15	7	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010003	0	4	1	0	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	6	0	9	 	 	 	 	 
R2INDX	IN010003	1	74	2	6	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010003	2	34	1	1	1	0	0	 	 	 	 	 	 	 	 	0	10	12	6	7	15	12	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010003	3	26	2	1	1	7	0	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010003	4	3	2	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010004	0	5	2	0	1	 	 	0	0	30	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	5	2	8	 	 	 	 	 
R2INDX	IN010004	1	39	1	1	1	14	0	 	 	 	 	 	 	 	 	0	13	12	6	8	15	12	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010004	2	31	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	5	16	12	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010004	3	10	2	7	1	 	 	5	1	 	 	5	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	0	0	0	6	4	6	 	 	 	 	 
R2INDX	IN010004	4	9	2	7	1	 	 	4	0	 	 	5	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	0	0	0	6	4	6	 	 	 	 	 
