FORMNO	CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
R2INDX	IN010008	1	21	1	2000	2
R2INDX	IN010008	2	88	88	-88	88
R2INDX	IN010008	3	88	88	-88	88
R2INDX	IN010012	1	88	88	-88	88
R2INDX	IN010012	2	88	88	-88	88
R2INDX	IN010012	3	88	88	-88	88
R2INDX	IN010014	1	21	2	8600	3
R2INDX	IN010014	2	88	88	-88	88
R2INDX	IN010014	3	88	88	-88	88
R2INDX	IN010017	1	21	1	2000	1
R2INDX	IN010017	2	88	88	-88	88
R2INDX	IN010017	3	88	88	-88	88
R2INDX	IN010018	1	15	0	-88	1
R2INDX	IN010018	2	88	88	-88	88
R2INDX	IN010018	3	88	88	-88	88
R2INDX	IN010019	1	88	88	-88	88
R2INDX	IN010019	2	88	88	-88	88
R2INDX	IN010019	3	88	88	-88	88
R2INDX	IN010021	1	88	88	-88	88
R2INDX	IN010021	2	88	88	-88	88
R2INDX	IN010021	3	88	88	-88	88
R2INDX	IN010033	1	88	88	-88	88
R2INDX	IN010033	2	88	88	-88	88
R2INDX	IN010033	3	88	88	-88	88
R2INDX	IN010034	1	88	88	-88	88
R2INDX	IN010034	2	88	88	-88	88
R2INDX	IN010034	3	88	88	-88	88
R2INDX	IN010037	1	88	88	-88	88
R2INDX	IN010037	2	88	88	-88	88
R2INDX	IN010037	3	88	88	-88	88
R2INDX	IN010038	1	1	5	1500	3
R2INDX	IN010038	2	88	88	-88	88
R2INDX	IN010038	3	88	88	-88	88
R2INDX	IN010039	1	88	88	-88	88
R2INDX	IN010039	2	88	88	-88	88
R2INDX	IN010039	3	88	88	-88	88
R2INDX	IN010045	1	88	88	-88	88
R2INDX	IN010045	2	88	88	-88	88
R2INDX	IN010045	3	88	88	-88	88
R2INDX	IN010046	1	88	88	-88	88
R2INDX	IN010046	2	88	88	-88	88
R2INDX	IN010046	3	88	88	-88	88
R2INDX	IN010048	1	22	2	200	2
R2INDX	IN010048	2	88	88	-88	88
R2INDX	IN010048	3	88	88	-88	88
R2INDX	IN010049	1	30	3	7000	2
R2INDX	IN010049	2	88	88	-88	88
R2INDX	IN010049	3	88	88	-88	88
R2INDX	IN010055	1	30	1	20	3
R2INDX	IN010055	2	88	88	-88	88
R2INDX	IN010055	3	88	88	-88	88
R2INDX	IN010060	1	30	4	200	3
R2INDX	IN010060	2	88	88	-88	88
R2INDX	IN010060	3	88	88	-88	88
R2INDX	IN010068	1	21	1	1000	6
R2INDX	IN010068	2	88	88	-88	88
R2INDX	IN010068	3	88	88	-88	88
R2INDX	IN010070	1	30	2	500	2
R2INDX	IN010070	2	88	88	-88	88
R2INDX	IN010070	3	88	88	-88	88
R2INDX	IN010071	1	88	88	-88	88
R2INDX	IN010071	2	88	88	-88	88
R2INDX	IN010071	3	88	88	-88	88
R2INDX	IN010072	1	1	2	150	1
R2INDX	IN010072	2	88	88	-88	88
R2INDX	IN010072	3	88	88	-88	88
R2INDX	IN010078	1	17	5	250	1
R2INDX	IN010078	2	88	88	-88	88
R2INDX	IN010078	3	88	88	-88	88
R2INDX	IN010081	1	21	1	1500	3
R2INDX	IN010081	2	88	88	-88	88
R2INDX	IN010081	3	88	88	-88	88
R2INDX	IN010083	1	15	2	300	2
R2INDX	IN010083	2	88	88	-88	88
R2INDX	IN010083	3	88	88	-88	88
R2INDX	IN010091	1	88	88	-88	88
R2INDX	IN010091	2	88	88	-88	88
R2INDX	IN010091	3	88	88	-88	88
R2INDX	IN010094	1	88	88	-88	88
R2INDX	IN010094	2	88	88	-88	88
R2INDX	IN010094	3	88	88	-88	88
R2INDX	IN010098	1	88	88	-88	88
R2INDX	IN010098	2	88	88	-88	88
R2INDX	IN010098	3	88	88	-88	88
R2INDX	IN010100	1	88	88	-88	88
R2INDX	IN010100	2	88	88	-88	88
R2INDX	IN010100	3	88	88	-88	88
R2INDX	IN020003	1	1	4	200	1
R2INDX	IN020003	2	88	88	-88	88
R2INDX	IN020003	3	88	88	-88	88
R2INDX	IN020004	1	88	88	-88	88
R2INDX	IN020004	2	88	88	-88	88
R2INDX	IN020004	3	88	88	-88	88
R2INDX	IN020005	1	4	1	200	1
R2INDX	IN020005	2	1	4	160	1
R2INDX	IN020005	3	88	88	-88	88
R2INDX	IN020006	1	1	2	50	80
R2INDX	IN020006	2	88	88	-88	88
R2INDX	IN020006	3	88	88	-88	88
R2INDX	IN020007	1	88	88	-88	88
R2INDX	IN020007	2	88	88	-88	88
R2INDX	IN020007	3	88	88	-88	88
R2INDX	IN020008	1	88	88	-88	88
R2INDX	IN020008	2	88	88	-88	88
R2INDX	IN020008	3	88	88	-88	88
R2INDX	IN020009	1	1	2	100	2
R2INDX	IN020009	2	88	88	-88	88
R2INDX	IN020009	3	88	88	-88	88
R2INDX	IN020010	1	1	10	500	2
R2INDX	IN020010	2	88	88	-88	88
R2INDX	IN020010	3	88	88	-88	88
R2INDX	IN020011	1	4	1	300	2
R2INDX	IN020011	2	1	2	100	2
R2INDX	IN020012	1	1	10	400	2
R2INDX	IN020015	1	8	2	200	3
R2INDX	IN020018	1	88	88	-88	88
R2INDX	IN020018	2	88	88	-88	88
R2INDX	IN020018	3	88	88	-88	88
R2INDX	IN020019	1	1	2	100	1
R2INDX	IN020019	2	88	88	-88	88
R2INDX	IN020019	3	88	88	-88	88
R2INDX	IN020022	1	1	6	300	1
R2INDX	IN020022	2	88	88	-88	88
R2INDX	IN020022	3	88	88	-88	88
R2INDX	IN020024	1	7	1	100000	1
R2INDX	IN020024	2	1	3	90	1
R2INDX	IN020024	3	8	1	2000	1
R2INDX	IN020027	1	88	88	-88	88
R2INDX	IN020027	2	88	88	-88	88
R2INDX	IN020027	3	88	88	-88	88
R2INDX	IN020030	1	8	4	200	1
R2INDX	IN020030	2	88	88	-88	88
R2INDX	IN020030	3	88	88	-88	88
R2INDX	IN020031	1	8	4	150	2
R2INDX	IN020031	2	1	8	300	2
R2INDX	IN020031	3	88	88	-88	88
R2INDX	IN020032	1	1	4	250	1
R2INDX	IN020032	2	88	88	-88	88
R2INDX	IN020032	3	88	88	-88	88
R2INDX	IN020033	1	1	2	250	2
R2INDX	IN020033	2	88	88	-88	88
R2INDX	IN020033	3	88	88	-88	88
R2INDX	IN020036	1	22	4	100	2
R2INDX	IN020036	2	88	88	-88	88
R2INDX	IN020036	3	88	88	-88	88
R2INDX	IN020044	1	1	5	150	1
R2INDX	IN020044	2	88	88	-88	88
R2INDX	IN020044	3	88	88	-88	88
R2INDX	IN020046	1	88	88	-88	88
R2INDX	IN020046	2	88	88	-88	88
R2INDX	IN020046	3	88	88	-88	88
R2INDX	IN020047	1	3	3	180	1
R2INDX	IN020047	2	88	88	-88	88
R2INDX	IN020047	3	88	88	-88	88
R2INDX	IN020049	1	25	1	45000	1
R2INDX	IN020049	2	88	88	-88	88
R2INDX	IN020049	3	88	88	-88	88
R2INDX	IN020050	1	8	5	200	1
R2INDX	IN020050	2	88	88	-88	88
R2INDX	IN020050	3	88	88	-88	88
R2INDX	IN020053	1	88	88	-88	88
R2INDX	IN020053	2	88	88	-88	88
R2INDX	IN020053	3	88	88	-88	88
R2INDX	IN020057	1	4	2	500	3
R2INDX	IN020057	2	88	88	-88	88
R2INDX	IN020057	3	88	88	-88	88
R2INDX	IN020058	1	1	4	200	1
R2INDX	IN020058	2	88	88	-88	88
R2INDX	IN020058	3	88	88	-88	88
R2INDX	IN020061	1	88	88	-88	88
R2INDX	IN020061	2	88	88	-88	88
R2INDX	IN020061	3	88	88	-88	88
R2INDX	IN020064	1	8	7	100	2
R2INDX	IN020064	2	88	88	-88	88
R2INDX	IN020064	3	88	88	-88	88
R2INDX	IN020066	1	8	3	100	2
R2INDX	IN020066	2	88	88	-88	88
R2INDX	IN020066	3	88	88	-88	88
R2INDX	IN020070	1	4	1	400	1
R2INDX	IN020074	1	4	1	200	80
R2INDX	IN020074	2	1	4	200	1
R2INDX	IN020074	3	88	88	-88	88
R2INDX	IN020075	1	23	2	500	2
R2INDX	IN020076	1	1	5	200	80
R2INDX	IN020076	2	88	88	-88	88
R2INDX	IN020076	3	88	88	-88	88
R2INDX	IN020078	1	1	4	350	1
R2INDX	IN020078	2	88	88	-88	88
R2INDX	IN020078	3	88	88	-88	88
R2INDX	IN020080	1	88	88	-88	88
R2INDX	IN020080	2	88	88	-88	88
R2INDX	IN020080	3	88	88	-88	88
R2INDX	IN020082	1	4	1	250	2
R2INDX	IN020082	2	88	88	-88	88
R2INDX	IN020082	3	88	88	-88	88
R2INDX	IN020083	1	1	2	140	1
R2INDX	IN020083	2	88	88	-88	88
R2INDX	IN020083	3	88	88	-88	88
R2INDX	IN020088	1	88	88	-88	88
R2INDX	IN020088	2	88	88	-88	88
R2INDX	IN020088	3	88	88	-88	88
R2INDX	IN020089	1	25	1	100000	1
R2INDX	IN020089	2	88	88	-88	88
R2INDX	IN020089	3	88	88	-88	88
R2INDX	IN020090	1	88	88	-88	88
R2INDX	IN020090	2	88	88	-88	88
R2INDX	IN020090	3	88	88	-88	88
R2INDX	IN020091	1	88	88	-88	88
R2INDX	IN020091	2	88	88	-88	88
R2INDX	IN020091	3	88	88	-88	88
R2INDX	IN020092	1	8	6	30	3
R2INDX	IN020092	2	1	4	150	3
R2INDX	IN020092	3	88	88	-88	88
R2INDX	IN020093	1	88	88	-88	88
R2INDX	IN020093	2	88	88	-88	88
R2INDX	IN020093	3	88	88	-88	88
R2INDX	IN020094	1	21	1	1000	4
R2INDX	IN020094	2	88	88	-88	88
R2INDX	IN020094	3	88	88	-88	88
R2INDX	IN020097	1	88	88	-88	88
R2INDX	IN020097	2	88	88	-88	88
R2INDX	IN020097	3	88	88	-88	88
R2INDX	IN020098	1	21	1	2000	2
R2INDX	IN020098	2	88	88	-88	88
R2INDX	IN020098	3	88	88	-88	88
R2INDX	IN020099	1	88	88	-88	88
R2INDX	IN020099	2	88	88	-88	88
R2INDX	IN020099	3	88	88	-88	88
R2INDX	IN020100	1	1	4	400	3
R2INDX	IN020100	2	4	1	150	3
R2INDX	IN020100	3	8	1	50	3
R2INDX	IN030001	1	23	4	2000	80
R2INDX	IN030001	2	88	88	-88	88
R2INDX	IN030001	3	88	88	-88	88
R2INDX	IN030004	1	1	10	1000	1
R2INDX	IN030004	2	88	88	-88	88
R2INDX	IN030004	3	88	88	-88	88
R2INDX	IN030005	1	30	1	2000	6
R2INDX	IN030005	2	88	88	-88	88
R2INDX	IN030005	3	88	88	-88	88
R2INDX	IN030020	1	88	88	-88	88
R2INDX	IN030020	2	88	88	-88	88
R2INDX	IN030020	3	88	88	-88	88
R2INDX	IN030021	1	24	2	4000	2
R2INDX	IN030021	2	88	88	-88	88
R2INDX	IN030021	3	88	88	-88	88
R2INDX	IN030022	1	88	88	-88	88
R2INDX	IN030022	2	88	88	-88	88
R2INDX	IN030022	3	88	88	-88	88
R2INDX	IN030023	1	88	88	-88	88
R2INDX	IN030023	2	88	88	-88	88
R2INDX	IN030023	3	88	88	-88	88
R2INDX	IN030024	1	88	88	-88	88
R2INDX	IN030024	2	88	88	-88	88
R2INDX	IN030024	3	88	88	-88	88
R2INDX	IN030027	1	17	10	5000	4
R2INDX	IN030027	2	88	88	-88	88
R2INDX	IN030027	3	88	88	-88	88
R2INDX	IN030029	1	88	88	-88	88
R2INDX	IN030029	2	88	88	-88	88
R2INDX	IN030029	3	88	88	-88	88
R2INDX	IN030030	1	88	88	-88	88
R2INDX	IN030030	2	88	88	-88	88
R2INDX	IN030030	3	88	88	-88	88
R2INDX	IN030031	1	88	88	-88	88
R2INDX	IN030031	2	88	88	-88	88
R2INDX	IN030031	3	88	88	-88	88
R2INDX	IN030034	1	88	88	-88	88
R2INDX	IN030034	2	88	88	-88	88
R2INDX	IN030034	3	88	88	-88	88
R2INDX	IN030040	1	88	88	-88	88
R2INDX	IN030040	2	88	88	-88	88
R2INDX	IN030040	3	88	88	-88	88
R2INDX	IN030043	1	88	88	-88	88
R2INDX	IN030043	2	88	88	-88	88
R2INDX	IN030043	3	88	88	-88	88
R2INDX	IN030045	1	88	88	-88	88
R2INDX	IN030045	2	88	88	-88	88
R2INDX	IN030045	3	88	88	-88	88
R2INDX	IN030047	1	15	7	1500	3
R2INDX	IN030047	2	88	88	-88	88
R2INDX	IN030047	3	88	88	-88	88
R2INDX	IN030048	1	30	0	-88	88
R2INDX	IN030048	2	88	88	-88	88
R2INDX	IN030048	3	88	88	-88	88
R2INDX	IN030053	1	88	88	-88	88
R2INDX	IN030053	2	88	88	-88	88
R2INDX	IN030053	3	88	88	-88	88
R2INDX	IN030065	1	23	2	200	80
R2INDX	IN030065	2	88	88	-88	88
R2INDX	IN030065	3	88	88	-88	88
R2INDX	IN030066	1	88	88	-88	88
R2INDX	IN030066	2	88	88	-88	88
R2INDX	IN030066	3	88	88	-88	88
R2INDX	IN030067	1	88	88	-88	88
R2INDX	IN030067	2	88	88	-88	88
R2INDX	IN030067	3	88	88	-88	88
R2INDX	IN030068	1	88	88	-88	88
R2INDX	IN030068	2	88	88	-88	88
R2INDX	IN030068	3	88	88	-88	88
R2INDX	IN030069	1	88	88	-88	88
R2INDX	IN030069	2	88	88	-88	88
R2INDX	IN030069	3	88	88	-88	88
R2INDX	IN030071	1	88	88	-88	88
R2INDX	IN030071	2	88	88	-88	88
R2INDX	IN030071	3	88	88	-88	88
R2INDX	IN030073	1	1	5	1200	1
R2INDX	IN030073	2	88	88	-88	88
R2INDX	IN030073	3	88	88	-88	88
R2INDX	IN030079	1	17	2	400	1
R2INDX	IN030079	2	88	88	-88	88
R2INDX	IN030079	3	88	88	-88	88
R2INDX	IN030087	1	88	88	-88	88
R2INDX	IN030087	2	88	88	-88	88
R2INDX	IN030087	3	88	88	-88	88
R2INDX	IN030089	1	23	6	5000	1
R2INDX	IN030089	2	88	88	-88	88
R2INDX	IN030089	3	88	88	-88	88
R2INDX	IN030090	1	1	4	2000	3
R2INDX	IN030090	2	88	88	-88	88
R2INDX	IN030090	3	88	88	-88	88
R2INDX	IN030091	1	21	2	3000	2
R2INDX	IN030091	2	88	88	-88	88
R2INDX	IN030091	3	88	88	-88	88
R2INDX	IN030092	1	25	2	200000	3
R2INDX	IN030092	2	88	88	-88	88
R2INDX	IN030092	3	88	88	-88	88
R2INDX	IN030093	1	88	88	-88	88
R2INDX	IN030093	2	88	88	-88	88
R2INDX	IN030093	3	88	88	-88	88
R2INDX	IN030094	1	12	5	8000	1
R2INDX	IN030094	2	88	88	-88	88
R2INDX	IN030094	3	88	88	-88	88
R2INDX	IN030099	1	2	1	1200	2
R2INDX	IN030099	2	88	88	-88	88
R2INDX	IN030099	3	88	88	-88	88
R2INDX	IN040003	1	8	2	20	1
R2INDX	IN040003	2	88	88	-88	88
R2INDX	IN040003	3	88	88	-88	88
R2INDX	IN040004	1	88	88	-88	88
R2INDX	IN040004	2	88	88	-88	88
R2INDX	IN040004	3	88	88	-88	88
R2INDX	IN040005	1	8	8	0	88
R2INDX	IN040005	2	88	88	-88	88
R2INDX	IN040005	3	88	88	-88	88
R2INDX	IN040006	1	88	88	-88	88
R2INDX	IN040006	2	88	88	-88	88
R2INDX	IN040006	3	88	88	-88	88
R2INDX	IN040007	1	1	1	150	1
R2INDX	IN040007	2	88	88	-88	88
R2INDX	IN040007	3	88	88	-88	88
R2INDX	IN040008	1	4	1	200	1
R2INDX	IN040008	2	1	4	100	80
R2INDX	IN040008	3	88	88	-88	88
R2INDX	IN040009	1	1	2	300	1
R2INDX	IN040009	2	88	88	-88	88
R2INDX	IN040009	3	88	88	-88	88
R2INDX	IN040010	1	88	88	-88	88
R2INDX	IN040010	2	88	88	-88	88
R2INDX	IN040010	3	88	88	-88	88
R2INDX	IN040011	1	88	88	-88	88
R2INDX	IN040011	2	88	88	-88	88
R2INDX	IN040011	3	88	88	-88	88
R2INDX	IN040012	1	88	88	-88	88
R2INDX	IN040012	2	88	88	-88	88
R2INDX	IN040012	3	88	88	-88	88
R2INDX	IN040013	1	1	4	100	80
R2INDX	IN040013	2	88	88	-88	88
R2INDX	IN040013	3	88	88	-88	88
R2INDX	IN040014	1	1	5	200	2
R2INDX	IN040014	2	88	88	-88	88
R2INDX	IN040014	3	88	88	-88	88
R2INDX	IN040015	1	5	5	150	80
R2INDX	IN040015	2	88	88	-88	88
R2INDX	IN040015	3	88	88	-88	88
R2INDX	IN040016	1	1	10	700	1
R2INDX	IN040016	2	88	88	-88	88
R2INDX	IN040016	3	88	88	-88	88
R2INDX	IN040017	1	1	2	50	80
R2INDX	IN040017	2	88	88	-88	88
R2INDX	IN040017	3	88	88	-88	88
R2INDX	IN040018	1	88	88	-88	88
R2INDX	IN040018	2	88	88	-88	88
R2INDX	IN040018	3	88	88	-88	88
R2INDX	IN040019	1	1	3	60	3
R2INDX	IN040019	2	88	88	-88	88
R2INDX	IN040019	3	88	88	-88	88
R2INDX	IN040020	1	88	88	-88	88
R2INDX	IN040020	2	88	88	-88	88
R2INDX	IN040020	3	88	88	-88	88
R2INDX	IN040021	1	88	88	-88	88
R2INDX	IN040021	2	88	88	-88	88
R2INDX	IN040021	3	88	88	-88	88
R2INDX	IN040022	1	88	88	-88	88
R2INDX	IN040022	2	88	88	-88	88
R2INDX	IN040022	3	88	88	-88	88
R2INDX	IN040023	1	1	4	200	1
R2INDX	IN040023	2	88	88	-88	88
R2INDX	IN040023	3	88	88	-88	88
R2INDX	IN040024	1	1	10	300	3
R2INDX	IN040024	2	88	88	-88	88
R2INDX	IN040024	3	88	88	-88	88
R2INDX	IN040025	1	88	88	-88	88
R2INDX	IN040025	2	88	88	-88	88
R2INDX	IN040025	3	88	88	-88	88
R2INDX	IN040027	1	1	5	200	80
R2INDX	IN040027	2	88	88	-88	88
R2INDX	IN040027	3	88	88	-88	88
R2INDX	IN040028	1	1	6	200	80
R2INDX	IN040028	2	88	88	-88	88
R2INDX	IN040028	3	88	88	-88	88
R2INDX	IN040029	1	1	4	160	1
R2INDX	IN040029	2	4	1	100	1
R2INDX	IN040029	3	88	88	-88	88
R2INDX	IN040030	1	1	5	200	80
R2INDX	IN040030	2	88	88	-88	88
R2INDX	IN040030	3	88	88	-88	88
R2INDX	IN040031	1	5	6	200	80
R2INDX	IN040031	2	88	88	-88	88
R2INDX	IN040031	3	88	88	-88	88
R2INDX	IN040032	1	88	88	-88	88
R2INDX	IN040032	2	88	88	-88	88
R2INDX	IN040032	3	88	88	-88	88
R2INDX	IN040034	1	1	3	120	80
R2INDX	IN040034	2	88	88	-88	88
R2INDX	IN040034	3	88	88	-88	88
R2INDX	IN040037	1	1	4	200	1
R2INDX	IN040037	2	88	88	-88	88
R2INDX	IN040037	3	88	88	-88	88
R2INDX	IN040038	1	1	5	300	1
R2INDX	IN040038	2	4	1	80	1
R2INDX	IN040038	3	88	88	-88	88
R2INDX	IN040039	1	88	88	-88	88
R2INDX	IN040039	2	88	88	-88	88
R2INDX	IN040039	3	88	88	-88	88
R2INDX	IN040040	1	88	88	-88	88
R2INDX	IN040040	2	88	88	-88	88
R2INDX	IN040040	3	88	88	-88	88
R2INDX	IN040041	1	1	8	300	1
R2INDX	IN040041	2	88	88	-88	88
R2INDX	IN040041	3	88	88	-88	88
R2INDX	IN040042	1	88	88	-88	88
R2INDX	IN040042	2	88	88	-88	88
R2INDX	IN040042	3	88	88	-88	88
R2INDX	IN040043	1	1	4	150	80
R2INDX	IN040043	2	88	88	-88	88
R2INDX	IN040043	3	88	88	-88	88
R2INDX	IN040044	1	1	10	400	1
R2INDX	IN040044	2	88	88	-88	88
R2INDX	IN040044	3	88	88	-88	88
R2INDX	IN040045	1	88	88	-88	88
R2INDX	IN040045	2	88	88	-88	88
R2INDX	IN040045	3	88	88	-88	88
R2INDX	IN040046	1	1	4	200	80
R2INDX	IN040046	2	88	88	-88	88
R2INDX	IN040046	3	88	88	-88	88
R2INDX	IN040047	1	88	88	-88	88
R2INDX	IN040047	2	88	88	-88	88
R2INDX	IN040047	3	88	88	-88	88
R2INDX	IN040048	1	5	4	150	80
R2INDX	IN040048	2	88	88	-88	88
R2INDX	IN040048	3	88	88	-88	88
R2INDX	IN040049	1	88	88	-88	88
R2INDX	IN040049	2	88	88	-88	88
R2INDX	IN040049	3	88	88	-88	88
R2INDX	IN040050	1	88	88	-88	88
R2INDX	IN040050	2	88	88	-88	88
R2INDX	IN040050	3	88	88	-88	88
R2INDX	IN040051	1	1	6	200	3
R2INDX	IN040051	2	88	88	-88	88
R2INDX	IN040051	3	88	88	-88	88
R2INDX	IN040052	1	88	88	-88	88
R2INDX	IN040052	2	88	88	-88	88
R2INDX	IN040052	3	88	88	-88	88
R2INDX	IN040053	1	1	3	400	2
R2INDX	IN040053	2	88	88	-88	88
R2INDX	IN040053	3	88	88	-88	88
R2INDX	IN040054	1	1	6	300	1
R2INDX	IN040054	2	88	88	-88	88
R2INDX	IN040054	3	88	88	-88	88
R2INDX	IN040055	1	1	5	600	1
R2INDX	IN040055	2	88	88	-88	88
R2INDX	IN040055	3	88	88	-88	88
R2INDX	IN040056	1	1	10	450	3
R2INDX	IN040056	2	88	88	-88	88
R2INDX	IN040056	3	88	88	-88	88
R2INDX	IN040065	1	88	88	-88	88
R2INDX	IN040065	2	88	88	-88	88
R2INDX	IN040065	3	88	88	-88	88
R2INDX	IN040069	1	88	88	-88	88
R2INDX	IN040069	2	88	88	-88	88
R2INDX	IN040069	3	88	88	-88	88
R2INDX	IN040075	1	1	18	1000	3
R2INDX	IN040075	2	88	88	-88	88
R2INDX	IN040075	3	88	88	-88	88
R2INDX	IN040080	1	88	88	-88	88
R2INDX	IN040080	2	88	88	-88	88
R2INDX	IN040080	3	88	88	-88	88
R2INDX	IN040082	1	1	4	100	80
R2INDX	IN040082	2	88	88	-88	88
R2INDX	IN040082	3	88	88	-88	88
