childid	cropid	crop	qntharv
PE011024	1	124	5
PE011024	2	4	1
PE011024	3	85	150
PE011024	4	44	200
PE011024	5	89	50
PE011051	1	4	100
PE011051	2	85	5
PE011076	1	4	600
PE011076	2	108	18
PE021003	1	4	1890
PE021004	1	89	7
PE021004	2	4	3552
PE021004	3	109	250
PE021004	4	45	300
PE021004	5	85	15
PE021004	6	69	18
PE021005	1	4	60
PE021006	1	4	3216
PE021007	1	4	1400
PE021010	1	4	352
PE021014	1	4	400
PE021016	1	4	1200
PE021018	1	4	870
PE021019	1	53	36
PE021020	1	4	1080
PE021020	2	45	1
PE021021	1	53	62
PE021022	1	4	432
PE021024	1	4	18
PE021027	1	89	3
PE021027	2	4	91
PE021033	1	53	220
PE021038	1	53	100
PE021038	2	4	60
PE021042	1	53	200
PE021042	2	44	2
PE021042	3	89	20
PE021043	1	4	1600
PE021045	1	4	84
PE021046	1	53	500
PE021047	1	53	36
PE021053	1	53	90
PE021055	1	53	184
PE021055	2	45	2
PE021055	3	108	3
PE021055	4	93	10
PE021055	5	108	1
PE021055	6	108	4
PE021055	7	56	500
PE021055	8	89	180
PE021055	9	85	1
PE021055	10	44	120
PE021055	11	69	2
PE021058	1	53	126
PE021064	1	4	168
PE021065	1	53	160
PE021065	2	4	240
PE021067	1	53	200
PE021068	1	53	30
PE021072	1	53	40000
PE021072	2	45	1
PE021072	3	109	1
PE021074	1	53	115
PE021075	1	89	30
PE021075	2	69	30
PE021075	3	53	80
PE021077	1	53	120
PE021078	1	53	475
PE021081	1	53	130
PE021081	2	4	1940
PE021083	1	53	20
PE021083	2	4	313
PE021084	1	4	960
PE021084	2	45	300
PE021084	3	108	50
PE021086	1	53	27
PE021091	1	53	40
PE021094	1	53	14
PE021099	1	53	250
PE031002	1	75	25
PE031002	2	44	30
PE031002	3	55	30
PE031002	4	89	4
PE031002	5	99	4
PE031002	6	12	2
PE031002	7	96	3
PE031003	1	44	4
PE031004	1	44	8
PE031004	2	99	2
PE031004	3	75	2
PE031005	1	75	2.5
PE031005	2	44	1
PE031005	3	55	2
PE031005	4	89	3
PE031005	5	12	5
PE031005	6	69	10
PE031006	1	44	15
PE031006	2	75	15
PE031007	1	44	24
PE031007	2	75	14
PE031008	1	85	2
PE031008	2	89	2
PE031008	3	44	4
PE031008	4	75	12
PE031010	1	44	3
PE031010	2	75	4
PE031010	3	99	2
PE031010	4	55	5
PE031011	1	44	4
PE031011	2	55	4
PE031011	3	99	1
PE031011	4	75	6
PE031012	1	17	3
PE031012	2	85	3
PE031012	3	75	2
PE031012	4	44	2
PE031013	1	44	9
PE031013	2	75	10
PE031013	3	89	2
PE031013	4	99	1
PE031013	5	55	12
PE031013	6	26	.5
PE031014	1	44	3
PE031014	2	75	4
PE031014	3	89	3
PE031014	4	99	2
PE031014	5	55	10
PE031015	1	44	6
PE031015	2	75	6
PE031015	3	99	2
PE031015	4	89	2
PE031015	5	67	40
PE031015	6	4	200
PE031015	7	17	35
PE031015	8	85	6
