childid	orgid	orgcode	orgyrs	orgmths
PE011001	1	13	2	0
PE011004	1	12	0	7
PE011004	2	6	4	0
PE011005	1	13	3	0
PE011006	1	6	0	6
PE011008	1	6	1	0
PE011010	1	6	4	0
PE011010	2	13	1	0
PE011011	1	13	2	0
PE011013	1	6	0	1
PE011013	2	12	1	0
PE011013	3	8	0	9
PE011014	1	6	5	4
PE011014	2	13	6	0
PE011014	3	5	3	0
PE011017	1	6	9	0
PE011017	2	13	2	0
PE011018	1	6	3	3
PE011019	1	6	4	0
PE011020	1	6	2	0
PE011021	1	6	3	0
PE011022	1	6	5	10
PE011022	2	13	5	10
PE011023	1	6	0	3
PE011024	1	6	5	9
PE011024	2	13	1	1
PE011025	1	6	3	0
PE011026	1	6	3	0
PE011027	1	13	9	0
PE011029	1	11	1	0
PE011030	1	12	5	0
PE011030	2	6	5	0
PE011031	1	6	5	0
PE011031	2	12	0	10
PE011033	1	6	2	0
PE011034	1	12	1	0
PE011034	2	6	4	0
PE011035	1	13	5	0
PE011036	1	13	11	0
PE011036	2	6	5	0
PE011038	1	6	0	2
PE011038	2	12	0	9
PE011039	1	11	7	6
PE011040	1	6	13	0
PE011041	1	6	5	0
PE011041	2	11	1	0
PE011041	3	5	0	2
PE011042	1	6	5	7
PE011042	2	13	2	0
PE011043	1	6	3	0
PE011044	1	13	10	0
PE011045	1	6	1	0
PE011046	1	6	0	1
PE011048	1	12	0	1
PE011048	2	11	0	2
PE011049	1	6	5	0
PE011049	2	12	2	0
PE011049	3	11	5	0
PE011050	1	6	3	0
PE011050	2	11	0	1
PE011051	1	6	12	0
PE011051	2	13	10	0
PE011053	1	13	6	6
PE011055	1	6	5	11
PE011055	2	12	2	0
PE011059	1	6	6	0
PE011060	1	6	5	8
PE011062	1	6	5	0
PE011064	1	13	2	0
PE011065	1	6	4	0
PE011066	1	11	0	1
PE011067	1	11	0	1
PE011070	1	6	5	0
PE011071	1	6	2	6
PE011072	1	6	4	0
PE011072	2	13	4	0
PE011073	1	12	2	0
PE011076	1	11	0	1
PE011076	2	12	2	0
PE011077	1	6	9	0
PE011077	2	12	2	2
PE011078	1	6	5	0
PE011078	2	13	2	0
PE011079	1	13	4	0
PE011079	2	6	4	0
PE011081	1	6	6	6
PE011081	2	11	2	0
PE011081	3	12	1	1
PE011082	1	6	2	6
PE011082	2	12	2	0
PE011083	1	6	6	0
PE011085	1	6	8	0
PE011085	2	13	5	0
PE011088	1	6	3	0
PE011088	2	12	3	0
PE011089	1	11	5	0
PE011090	1	13	2	0
PE011091	1	6	0	1
PE011092	1	6	5	0
PE011094	1	6	2	0
PE011094	2	13	3	0
PE011095	1	12	3	0
PE011099	1	6	6	0
PE011099	2	11	6	0
PE011100	1	6	1	0
PE011100	2	11	1	0
PE011100	3	12	1	0
PE021001	1	6	5	10
PE021002	1	6	12	0
PE021003	1	6	9	0
PE021004	1	6	5	0
PE021005	1	6	5	0
PE021006	1	6	11	0
PE021007	1	6	6	0
PE021007	2	5	1	0
PE021009	1	6	5	0
PE021010	1	6	5	0
PE021011	1	6	7	0
PE021011	2	13	0	1
PE021012	1	6	2	0
PE021013	1	6	5	5
PE021014	1	6	5	0
PE021015	1	6	4	5
PE021016	1	6	1	0
PE021017	1	6	3	0
PE021018	1	6	5	6
PE021019	1	6	5	2
PE021020	1	6	5	3
PE021021	1	6	4	0
PE021022	1	6	3	6
PE021023	1	6	4	0
PE021024	1	6	5	0
PE021025	1	6	6	0
PE021026	1	6	7	0
PE021026	2	5	0	1
PE021027	1	6	1	0
PE021028	1	6	5	0
PE021029	1	6	8	0
PE021030	1	6	6	0
PE021031	1	6	11	0
PE021032	1	6	12	0
PE021033	1	6	6	0
PE021034	1	6	5	3
PE021035	1	6	5	0
PE021036	1	6	7	0
PE021037	1	6	15	0
PE021038	1	6	9	0
PE021039	1	6	5	9
PE021040	1	6	5	0
PE021041	1	13	2	9
PE021042	1	6	6	0
PE021044	1	6	5	0
PE021045	1	6	5	1
PE021046	1	6	7	0
PE021049	1	6	5	0
PE021050	1	6	5	6
PE021051	1	6	5	6
PE021052	1	6	5	0
PE021053	1	6	6	0
PE021054	1	6	5	11
PE021055	1	6	5	10
PE021055	2	8	0	2
PE021057	1	6	12	0
PE021057	2	5	0	6
PE021058	1	6	5	2
PE021059	1	6	5	0
PE021060	1	6	6	0
PE021061	1	6	4	4
PE021062	1	6	5	0
PE021062	2	5	0	6
PE021063	1	6	5	11
PE021064	1	6	5	2
PE021065	1	6	5	2
PE021066	1	6	5	8
PE021067	1	6	2	0
PE021068	1	6	13	0
PE021069	1	6	10	0
PE021070	1	6	5	0
PE021071	1	6	9	3
PE021072	1	6	5	0
PE021073	1	6	3	0
PE021074	1	6	4	6
PE021075	1	6	4	0
PE021075	2	5	20	1
PE021076	1	6	4	0
PE021077	1	6	4	1
PE021078	1	6	13	0
PE021079	1	6	5	0
PE021080	1	6	5	0
PE021081	1	6	5	4
PE021082	1	6	4	0
PE021084	1	6	5	9
PE021086	1	6	5	0
PE021088	1	6	1	9
PE021089	1	6	12	0
PE021091	1	6	23	0
PE021092	1	6	4	3
PE021093	1	6	5	10
PE021094	1	6	5	9
PE021095	1	6	5	6
PE021096	1	6	9	0
PE021097	1	6	12	0
PE021098	1	6	3	6
PE021100	1	6	5	0
PE031002	1	6	8	0
PE031002	2	12	0	7
PE031002	3	13	3	0
PE031003	1	6	10	0
PE031003	2	13	10	0
PE031004	1	6	9	0
PE031004	2	13	9	0
PE031005	1	6	4	0
PE031006	1	6	13	0
PE031006	2	11	6	0
PE031007	1	6	4	8
PE031007	2	11	1	4
PE031007	3	11	1	4
PE031008	1	6	10	6
PE031008	2	11	10	0
PE031008	3	12	2	7
PE031010	1	6	6	0
PE031010	2	12	3	0
PE031011	1	6	10	0
PE031011	2	11	5	0
PE031012	1	6	0	1
PE031012	2	12	0	7
PE031013	1	6	5	0
PE031014	1	6	4	6
PE031015	1	6	13	0
PE031015	2	12	7	0
PE031016	1	6	10	0
PE031016	2	13	10	0
PE031017	1	6	12	6
PE031017	2	12	0	7
PE031019	1	6	6	0
PE031019	2	12	0	6
PE031020	1	6	5	0
PE031020	2	12	3	7
PE031021	1	6	8	0
PE031021	2	12	3	0
PE031022	1	6	4	0
PE031023	1	6	7	5
PE031023	2	12	4	0
PE031024	1	6	8	0
PE031024	2	12	2	0
PE031025	1	6	5	7
PE031025	2	12	2	7
PE031026	1	6	5	6
PE031027	1	6	5	0
PE031027	2	12	2	0
PE031028	1	6	4	9
PE031028	2	12	3	0
PE031030	1	6	0	2
PE031030	2	12	0	5
PE031031	1	6	4	0
PE031031	2	11	3	0
PE031032	1	6	4	0
PE031032	2	12	4	0
PE031033	1	12	0	10
PE031033	2	6	4	9
PE031034	1	6	4	2
PE031034	2	12	2	0
PE031035	1	6	4	7
PE031035	2	12	1	2
PE031036	1	6	4	0
PE031036	2	12	0	6
PE031037	1	6	3	7
PE031037	2	12	2	0
PE031038	1	6	6	0
PE031038	2	12	6	0
PE031039	1	6	5	2
PE031039	2	13	5	2
PE031040	1	6	10	0
PE031040	2	12	6	0
PE031041	1	6	5	2
PE031041	2	12	0	9
PE031042	1	6	5	1
PE031043	1	6	5	4
PE031043	2	12	2	0
PE031044	1	6	9	0
PE031044	2	13	9	0
PE031045	1	6	0	11
PE031045	2	12	0	7
PE031046	1	6	4	0
PE031046	2	12	2	0
PE031047	1	6	0	2
PE031048	1	6	9	8
PE031048	2	12	2	6
PE031049	1	6	8	0
PE031049	2	12	3	0
PE031050	1	6	6	2
PE031050	2	12	2	0
PE031051	1	12	0	8
PE031052	1	6	12	0
PE031052	2	12	2	0
PE031053	1	6	9	3
PE031053	2	12	7	7
PE031054	1	6	5	0
PE031054	2	12	2	0
PE031055	1	6	7	0
PE031055	2	12	0	8
PE031055	3	11	2	0
PE031056	1	6	18	0
PE031056	2	13	3	0
PE031057	1	6	9	0
PE031057	2	11	2	0
PE031057	3	12	2	0
PE031058	1	6	6	0
PE031058	2	11	3	0
PE031059	1	6	8	0
PE031059	2	11	2	0
PE031060	1	6	6	4
PE031060	2	12	2	3
PE031061	1	6	5	0
PE031061	2	12	1	0
PE031062	1	6	5	0
PE031062	2	12	5	7
PE031063	1	6	10	0
PE031063	2	11	3	0
PE031064	1	6	16	0
PE031064	2	12	3	0
PE031065	1	6	5	1
PE031066	1	6	4	0
PE031067	1	6	1	0
PE031067	2	13	2	0
PE031068	1	12	5	0
PE031069	1	6	6	0
PE031069	2	11	0	7
PE031070	1	6	3	0
PE031070	2	12	0	8
PE031071	1	6	2	0
PE031071	2	12	2	0
PE031072	1	6	9	0
PE031072	2	13	15	0
PE031073	1	6	6	0
PE031073	2	12	4	0
PE031074	1	6	6	5
PE031074	2	12	3	2
PE031075	1	6	3	6
PE031075	2	12	1	0
PE031076	1	6	8	0
PE031076	2	12	2	0
PE031077	1	6	8	0
PE031077	2	11	7	0
PE031078	1	6	4	0
PE031078	2	12	0	8
PE031079	1	6	5	0
PE031079	2	12	0	8
PE031080	1	6	9	0
PE031080	2	11	9	0
PE031080	3	12	2	0
PE031081	1	6	4	0
PE031081	2	12	2	0
PE031081	3	11	2	0
PE031082	1	6	0	1
PE031083	1	6	9	0
PE031083	2	12	3	0
PE031084	1	6	5	2
PE031084	2	12	1	2
PE031085	1	6	10	0
PE031085	2	12	10	0
PE031086	1	6	8	0
PE031086	2	13	8	0
PE031087	1	6	5	0
PE031087	2	11	2	0
PE031087	3	12	2	0
PE031088	1	6	12	0
PE031088	2	11	4	0
PE031088	3	12	3	0
PE031089	1	6	10	0
PE031089	2	12	3	0
PE031090	1	6	5	2
PE031090	2	11	1	0
PE031090	3	12	0	7
PE031091	1	13	10	0
PE031091	2	6	6	0
PE031092	1	6	10	0
PE031092	2	11	4	0
PE031092	3	12	2	0
PE031092	4	5	0	5
PE031093	1	6	5	1
PE031093	2	12	2	0
PE031094	1	6	5	0
PE031094	2	12	2	0
PE031095	1	6	5	0
PE031095	2	11	3	0
PE031097	1	6	7	0
PE031098	1	6	5	0
PE031098	2	12	2	0
PE031100	1	6	10	0
PE031100	2	12	2	5
PE031101	1	6	5	1
PE031101	2	13	1	0
PE041001	1	6	5	5
PE041001	2	12	3	0
PE041001	3	13	3	6
PE041002	1	6	10	0
PE041003	1	6	4	8
PE041004	1	6	7	0
PE041004	2	12	1	0
PE041004	3	11	2	0
PE041005	1	6	4	0
PE041006	1	6	5	0
PE041008	1	6	4	7
PE041008	2	8	2	0
PE041009	1	6	2	0
PE041010	1	6	4	1
PE041011	1	6	4	8
PE041011	2	11	1	8
PE041012	1	6	5	4
PE041012	2	12	0	7
PE041013	1	6	5	4
PE041014	1	6	5	0
PE041014	2	12	4	0
PE041015	1	6	5	0
PE041015	2	12	2	6
PE041016	1	6	15	0
PE041017	1	6	5	0
PE041017	2	11	5	0
PE041018	1	6	5	0
PE041019	1	6	3	0
PE041019	2	12	0	5
PE041020	1	6	5	0
PE041020	2	11	5	0
PE041021	1	6	4	6
PE041022	1	6	5	2
PE041023	1	6	0	4
PE041024	1	6	5	7
PE041025	1	6	3	0
PE041025	2	12	0	2
PE041026	1	6	5	3
PE041027	1	6	4	0
PE041027	2	12	0	10
PE041028	1	6	4	0
PE041028	2	12	2	0
PE041030	1	6	5	5
PE041030	2	12	5	0
PE041031	1	6	4	0
PE041031	2	13	3	0
PE041032	1	6	5	6
PE041033	1	6	5	1
PE041034	1	6	20	0
PE041034	2	11	2	0
PE041034	3	12	2	0
PE041035	1	6	3	6
PE041036	1	6	4	3
PE041037	1	6	5	0
PE041037	2	13	0	7
PE041038	1	6	1	4
PE041039	1	6	12	0
PE041039	2	10	0	6
PE041040	1	6	5	0
PE041041	1	6	5	3
PE041042	1	6	9	0
PE041043	1	6	4	10
PE041044	1	6	16	0
PE041045	1	6	4	8
PE041046	1	6	12	0
PE041047	1	6	5	4
PE041047	2	12	0	4
PE041048	1	12	0	6
PE041048	2	6	5	6
PE041049	1	6	8	0
PE041049	2	13	0	4
PE041050	1	6	4	6
PE041051	1	12	0	6
PE041052	1	6	0	2
PE041053	1	6	5	5
PE041053	2	10	9	0
PE041054	1	6	12	0
PE041055	1	6	8	5
PE041055	2	10	1	5
PE041056	1	6	11	0
PE041058	1	11	0	8
PE041059	1	6	5	6
PE041059	2	12	1	8
PE041059	3	11	6	8
PE041060	1	6	10	0
PE041060	2	11	4	8
PE041061	1	6	6	0
PE041063	1	6	15	0
PE041064	1	6	4	1
PE041065	1	6	17	0
PE041066	1	6	4	0
PE041066	2	12	2	0
PE041067	1	6	2	0
PE041067	2	11	2	0
PE041068	1	6	12	7
PE041069	1	6	5	0
PE041069	2	11	5	0
