formno	childid	grpid	group	idgrp	yearmem	bengrp1	bengrp2	frqatten	leadmem	yearlead	parepost	whyjoin	inflnce
R2INDX	PE011007	1	18	1	1982	8	 	8	1	1993	0	10	0
R2INDX	PE011007	2	20	1	1993	8	 	8	1	2007	0	9	2
R2INDX	PE011008	1	7	2	2006	11	 	3	1	2006	0	16	3
R2INDX	PE011014	1	7	1	2006	4	 	8	1	2006	0	10	3
R2INDX	PE011017	1	23	2	1997	6	 	2	1	2007	0	10	3
R2INDX	PE011024	1	20	1	2002	7	1	2	0	 	 	 	 
R2INDX	PE011025	1	28	2	2005	4	 	2	1	2005	0	2	3
R2INDX	PE011026	1	18	1	2006	5	8	1	0	 	 	 	 
R2INDX	PE011026	2	18	2	2006	5	8	1	0	 	 	 	 
R2INDX	PE011028	1	18	1	2000	1	 	1	0	 	 	 	 
R2INDX	PE011030	1	6	4	2002	8	 	1	1	2003	0	9	3
R2INDX	PE011032	1	22	4	2005	1	6	3	0	 	 	 	 
R2INDX	PE011040	1	30	1	1988	4	8	2	0	 	 	 	 
R2INDX	PE011045	1	23	2	2006	5	 	3	1	2006	0	2	2
R2INDX	PE011046	1	23	2	2007	6	 	8	1	2007	0	6	2
R2INDX	PE011047	1	18	1	2005	8	 	2	1	2005	0	16	3
R2INDX	PE011050	1	23	2	2005	6	 	3	1	2005	0	7	3
R2INDX	PE011052	1	31	2	2006	2	 	3	1	2006	1	2	3
R2INDX	PE011053	1	18	16	2002	8	1	1	0	 	 	 	 
R2INDX	PE011062	1	28	3	2000	4	 	7	0	 	 	 	 
R2INDX	PE011062	2	10	3	2000	7	 	2	0	 	 	 	 
R2INDX	PE011065	1	23	2	2002	5	 	3	1	2007	0	10	2
R2INDX	PE011070	1	23	2	2001	11	 	7	1	2007	0	10	3
R2INDX	PE011070	2	18	2	1999	5	 	2	0	 	 	 	 
R2INDX	PE011070	3	18	1	1985	5	 	2	0	 	 	 	 
R2INDX	PE011070	4	18	16	1985	5	 	2	1	1999	0	10	3
R2INDX	PE011070	5	18	17	1985	5	 	2	 	 	 	 	 
R2INDX	PE011073	1	7	2	2005	7	 	3	1	2005	0	3	3
R2INDX	PE011077	1	23	2	2006	2	6	1	1	2006	0	 	0
