childid	plotid	larea	lunit	lown	luse	trans	transid1	transid2	collat	collat1	collat2
PE011001	1	117	1	4	4	0	 	1	1	1	 
PE011002	1	160	1	4	4	2	1	2	1	1	2
PE011003	1	120	1	2	4	 	 	 	 	 	 
PE011004	1	164	1	4	4	4	1	2	1	1	2
PE011005	1	124	1	4	4	1	1	3	1	1	3
PE011006	1	160	1	2	4	 	 	 	 	 	 
PE011006	2	80	1	4	6	1	1	 	1	1	 
PE011007	1	200	1	4	4	2	1	2	1	1	2
PE011008	1	160	1	4	4	1	1	2	1	1	2
PE011009	1	120	1	4	4	0	 	 	1	2	 
PE011010	1	175	1	4	4	1	3	 	1	3	 
PE011011	1	150	1	4	4	1	1	2	1	1	2
PE011012	1	480	1	4	4	4	1	2	1	1	2
PE011013	1	150	1	2	4	 	 	 	 	 	 
PE011014	1	48	1	4	4	1	1	 	0	 	 
PE011015	1	80	1	4	4	1	13	 	1	13	 
PE011015	2	125	1	4	4	1	13	 	1	13	 
PE011015	3	60	1	4	4	1	13	 	1	13	 
PE011016	1	90	1	4	4	1	1	2	1	1	2
PE011017	1	144	1	4	4	1	1	2	1	1	2
PE011018	1	100	1	4	4	1	1	2	1	1	2
PE011019	1	150	1	4	4	1	1	2	1	1	2
PE011020	1	180	1	4	4	1	1	2	1	1	2
PE011021	1	200	1	4	4	2	1	2	1	1	2
PE011022	1	100	1	4	4	1	1	2	1	1	2
PE011023	1	100	1	4	4	0	 	 	1	2	 
PE011024	1	125	1	4	4	1	16	17	1	16	17
PE011024	2	16000	1	2	1	 	 	 	 	 	 
PE011025	1	20	1	2	4	 	 	 	 	 	 
PE011025	2	130	1	4	4	1	1	2	1	1	2
PE011026	1	280	1	4	4	1	1	2	1	1	2
PE011027	1	190	1	4	4	1	1	2	1	1	2
PE011028	1	264	1	3	4	 	 	 	 	 	 
PE011028	2	3	2	3	1	 	 	 	 	 	 
PE011029	1	120	1	4	4	1	1	2	1	1	2
PE011030	1	250	1	4	4	1	3	4	1	3	4
PE011030	2	9	2	1	11	 	 	 	 	 	 
PE011031	1	143	1	4	4	4	2	 	1	2	 
PE011031	2	150	1	4	8	4	1	 	1	1	 
PE011032	1	300	1	4	4	1	5	6	1	5	6
PE011032	2	80	1	1	4	 	 	 	 	 	 
PE011033	1	225	1	4	4	2	3	2	1	3	2
