formno	childid	posid	id	posheld	posfirst	posyears	postill	posrel	posout	poseffec
R2INDX	PE011008	1	2	18	2005	1	0	0	16	3
R2INDX	PE011065	1	2	27	2007	0	1	0	16	2
R2INDX	PE031008	1	5	23	2007	0	1	0	1	2
R2INDX	PE031016	1	1	21	2001	5	1	0	14	3
R2INDX	PE031017	1	4	13	1990	16	1	1	5	2
R2INDX	PE031017	2	5	13	1982	24	1	0	10	2
R2INDX	PE031020	1	1	23	1991	15	1	0	10	3
R2INDX	PE031032	1	1	20	2002	4	1	0	16	2
R2INDX	PE031053	1	1	13	1991	17	1	0	8	2
R2INDX	PE031054	1	1	23	2000	2	0	0	8	3
R2INDX	PE031065	1	2	23	2002	4	1	1	1	0
R2INDX	PE031065	2	1	27	2006	0	1	0	1	0
R2INDX	PE031069	1	2	18	2002	4	1	0	10	3
R2INDX	PE031069	2	1	22	2002	4	0	0	10	3
R2INDX	PE031074	1	1	25	2004	2	1	1	10	3
R2INDX	PE031074	2	2	27	2006	0	1	0	10	3
R2INDX	PE031075	1	1	2	2005	1	1	0	10	2
R2INDX	PE031084	1	1	25	2006	0	1	0	10	2
R2INDX	PE031084	2	2	18	2005	1	1	0	10	3
R2INDX	PE031085	1	1	24	2005	1	1	0	10	3
R2INDX	PE031090	1	1	25	2006	0	1	0	10	2
R2INDX	PE041010	1	1	21	2003	3	1	0	 	0
R2INDX	PE041027	1	2	21	2006	1	1	0	17	2
R2INDX	PE041028	1	1	13	2001	5	1	1	10	3
R2INDX	PE041049	1	1	23	2006	0	1	0	1	0
R2INDX	PE041052	1	1	26	2005	1	1	1	1	0
R2INDX	PE041067	1	2	13	2002	5	1	0	5	3
R2INDX	PE041071	1	1	18	2000	6	1	0	7	2
R2INDX	PE041099	1	16	23	2006	0	1	1	 	3
R2INDX	PE051029	1	1	18	2006	0	1	0	16	3
R2INDX	PE051029	2	2	18	2006	0	1	1	10	2
R2INDX	PE051035	1	1	18	2006	0	1	1	9	3
R2INDX	PE051043	1	1	18	2002	4	1	0	16	3
R2INDX	PE051043	2	2	18	1998	8	1	0	16	3
R2INDX	PE051063	1	1	20	2005	2	1	0	16	3
R2INDX	PE051074	1	1	22	2006	1	1	0	16	2
R2INDX	PE051087	1	1	23	1997	0	0	0	2	3
R2INDX	PE051088	1	7	22	2007	0	1	0	16	3
R2INDX	PE051091	1	2	26	2005	2	1	0	10	3
R2INDX	PE051095	1	1	18	2004	3	1	0	16	3
R2INDX	PE061004	1	1	18	2005	2	1	0	16	0
R2INDX	PE061031	1	1	18	2000	7	1	0	10	3
R2INDX	PE061065	1	1	27	2006	1	1	0	17	0
R2INDX	PE061077	1	1	13	1996	10	1	1	10	2
R2INDX	PE061092	1	1	13	2002	5	1	0	8	2
R2INDX	PE071072	1	1	22	1987	20	1	0	17	2
R2INDX	PE071096	1	1	22	1998	9	1	0	17	3
R2INDX	PE071106	1	2	27	2004	3	1	1	16	3
R2INDX	PE081032	1	1	18	2006	1	1	0	16	0
R2INDX	PE081032	2	2	18	2007	0	1	0	16	0
R2INDX	PE081048	1	18	18	2007	0	1	0	17	2
R2INDX	PE081091	1	1	18	2006	2	1	0	17	0
R2INDX	PE091002	1	2	18	2004	3	0	0	16	2
R2INDX	PE091009	1	1	27	2005	2	1	0	17	3
R2INDX	PE091035	1	1	22	2006	1	1	0	16	0
