childid	rcbid	cocdborn	ageborn	whyborn
PE011009	1	1	2	1
PE011009	2	8888	3	1
PE011009	3	8888	9	1
PE011009	4	1	 	 
PE011029	1	1	27	13
PE011029	2	8888	32	5
PE011029	3	1	 	 
PE011033	1	1	7	5
PE011033	2	8888	8	5
PE011033	3	1	 	 
PE011036	1	1	9	10
PE011036	2	8888	14	7
PE011036	3	1	 	 
PE011040	1	1	34	1
PE011040	2	8888	35	8
PE011040	3	1	 	 
PE011041	1	1	15	4
PE011041	2	8888	16	15
PE011041	3	1	 	 
PE011054	1	1	28	1
PE011054	2	8888	28	1
PE011054	3	1	 	 
PE011057	1	1	33	6
PE011057	2	8888	35	8
PE011057	3	1	 	 
PE011061	1	1	22	13
PE011061	2	8888	24	1
PE011061	3	8888	26	6
PE011061	4	8888	29	7
PE011061	5	1	 	 
PE011062	1	1	26	2
PE011062	2	1	 	 
PE011066	1	1	16	13
PE011066	2	8888	19	7
PE011066	3	1	 	 
PE011067	1	1	23	4
PE011067	2	8888	24	5
PE011067	3	1	 	 
PE011082	1	1	12	14
PE011082	2	8888	23	13
PE011082	3	1	 	 
PE021010	1	46	17	13
PE021010	2	8888	26	7
PE021010	3	46	 	 
PE021014	1	46	12	1
PE021014	2	8888	14	3
PE021014	3	8888	19	1
PE021014	4	8888	20	1
PE021014	5	46	 	 
PE021018	1	46	20	2
PE021018	2	8888	21	13
PE021018	3	46	 	 
PE021021	1	46	14	1
PE021021	2	8888	18	10
PE021021	3	46	 	 
PE021022	1	46	17	13
PE021022	2	8888	23	5
PE021022	3	46	 	 
PE021024	1	46	19	13
PE021024	2	8888	29	4
PE021024	3	46	 	 
PE021031	1	48	28	8
PE021031	2	8888	30	5
PE021031	3	48	 	 
PE021034	1	47	12	1
PE021034	2	8888	16	15
PE021034	3	47	 	 
PE021043	1	48	24	13
PE021043	2	8888	25	1
PE021043	3	8888	28	7
PE021043	4	48	 	 
PE021050	1	48	17	1
PE021050	2	8888	26	15
PE021050	3	48	 	 
PE021063	1	48	22	13
PE021063	2	8888	2	18
PE021063	3	48	 	 
PE021072	1	56	26	13
PE021072	2	8888	29	3
PE021072	3	56	 	 
PE021081	1	48	23	13
PE021081	2	8888	28	17
PE021081	3	48	 	 
PE021082	1	48	29	12
PE021082	2	8888	30	8
PE021082	3	48	 	 
PE021084	1	48	4	3
PE021084	2	8888	24	13
PE021084	3	48	 	 
PE021093	1	48	17	1
PE021093	2	8888	21	3
PE021093	3	48	 	 
PE021095	1	48	14	1
PE021095	2	8888	25	12
PE021095	3	8888	28	1
PE021095	4	8888	29	2
PE021095	5	48	 	 
PE031016	1	23	23	12
PE031016	2	8888	24	3
PE031016	3	23	 	 
PE031017	1	1	20	2
PE031017	2	8888	25	1
PE031017	3	1	 	 
PE031021	1	25	26	13
PE031021	2	8888	28	5
PE031021	3	25	 	 
PE031022	1	25	17	1
PE031022	2	8888	23	5
PE031022	3	25	 	 
PE031023	1	1	17	2
PE031023	2	8888	20	2
PE031023	3	1	 	 
PE031035	1	7	25	2
PE031035	2	8888	31	13
PE031035	3	7	 	 
PE031039	1	1	17	1
PE031039	2	8888	18	2
PE031039	3	1	 	 
PE031041	1	1	13	2
PE031041	2	8888	21	5
PE031041	3	1	 	 
PE031043	1	1	16	2
PE031043	2	8888	17	1
PE031043	3	1	 	 
PE031047	1	48	15	13
PE031047	2	8888	22	7
PE031047	3	48	 	 
PE031048	1	8	22	1
PE031048	2	8888	24	5
PE031048	3	8	 	 
PE031049	1	21	20	13
PE031049	2	8888	24	5
PE031049	3	21	 	 
PE031050	1	21	21	1
PE031050	2	8888	24	15
PE031050	3	21	 	 
PE031052	1	21	18	13
PE031052	2	8888	22	8
PE031052	3	21	 	 
PE031056	1	10	15	1
PE031056	2	8888	16	3
PE031056	3	10	 	 
PE031067	1	45	27	13
PE031067	2	8888	31	7
PE031067	3	45	 	 
PE031072	1	47	15	2
PE031072	2	8888	21	15
PE031072	3	47	 	 
PE031074	1	47	15	1
PE031074	2	8888	20	12
PE031074	3	8888	21	15
PE031074	4	8888	23	5
PE031074	5	47	 	 
PE031076	1	47	12	1
PE031076	2	8888	16	15
PE031076	3	8888	17	1
PE031076	4	8888	19	15
PE031076	5	47	 	 
PE031078	1	51	12	2
PE031078	2	8888	36	2
PE031078	3	51	 	 
PE031087	1	42	22	1
PE031087	2	8888	23	1
PE031087	3	8888	24	15
PE031087	4	42	 	 
PE031090	1	42	23	1
PE031090	2	8888	27	5
PE031090	3	42	 	 
PE031098	1	22	23	1
PE031098	2	8888	24	3
PE031098	3	22	 	 
PE041001	1	2	15	1
PE041001	2	8888	17	3
PE041001	3	2	 	 
PE041015	1	66	30	3
PE041015	2	8888	31	15
PE041015	3	66	 	 
PE041021	1	38	31	1
PE041021	2	0	31	12
PE041021	3	38	 	 
PE041026	1	1	20	2
PE041026	2	8888	30	1
PE041026	3	8888	36	1
PE041026	4	1	 	 
PE041027	1	1	14	2
PE041027	2	8888	16	1
PE041027	3	8888	22	13
PE041027	4	8888	23	1
PE041027	5	8888	24	1
PE041027	6	1	 	 
PE041032	1	1	10	15
PE041032	2	8888	17	13
PE041032	3	1	 	 
PE041045	1	1	17	1
PE041045	2	8888	18	1
PE041045	3	8888	25	1
PE041045	4	8888	28	1
PE041045	5	1	 	 
PE041048	1	1	6	2
PE041048	2	8888	7	2
PE041048	3	1	 	 
PE041066	1	58	23	1
PE041066	2	8888	23	1
PE041066	3	58	 	 
PE041101	1	1	22	4
PE041101	2	8888	26	2
PE041101	3	1	 	 
PE051044	1	22	24	1
PE051044	2	8888	27	1
PE051044	3	8888	28	1
PE051044	4	22	 	 
PE051100	1	15	15	1
PE051100	2	8888	16	8
PE051100	3	15	 	 
PE061001	1	1	17	13
PE061001	2	8888	18	19
PE061001	3	8888	21	16
PE061001	4	8888	21	12
PE061001	5	1	 	 
PE061044	1	1	9	1
PE061044	2	8888	12	20
PE061044	3	8888	15	2
PE061044	4	1	 	 
PE061049	1	1	9	20
PE061049	2	8888	12	12
PE061049	3	1	 	 
PE061051	1	1	24	1
PE061051	2	8888	24	1
PE061051	3	1	 	 
PE061057	1	1	24	1
PE061057	2	8888	24	1
PE061057	3	1	 	 
PE061058	1	1	4	5
PE061058	2	8888	8	1
PE061058	3	8888	17	5
PE061058	4	8888	30	8
PE061058	5	1	 	 
PE061083	1	3	16	1
PE061083	2	8888	18	1
PE061083	3	8888	20	1
PE061083	4	8888	22	1
PE061083	5	3	 	 
PE061095	1	1	17	5
PE061095	2	8888	19	12
PE061095	3	1	 	 
PE071002	1	1	26	2
PE071002	2	8888	27	15
PE071002	3	1	 	 
PE071003	1	1	25	1
PE071003	2	8888	32	13
PE071003	3	1	 	 
PE071020	1	1	20	2
PE071020	2	8888	21	2
PE071020	3	8888	23	8
PE071020	4	1	 	 
PE071023	1	1	42	6
PE071023	2	8888	43	14
PE071023	3	1	 	 
PE071038	1	1	18	1
PE071038	2	8888	21	10
PE071038	3	1	 	 
PE071039	1	1	25	13
PE071039	2	8888	39	19
PE071039	3	1	 	 
PE071043	1	1	18	1
PE071043	2	8888	21	3
PE071043	3	8888	30	1
PE071043	4	8888	31	1
PE071043	5	1	 	 
PE071048	1	1	38	8
PE071048	2	8888	39	15
PE071048	3	1	 	 
PE071064	1	1	5	4
PE071064	2	8888	20	2
PE071064	3	1	 	 
PE071082	1	1	21	1
PE071082	2	8888	24	8
PE071082	3	1	 	 
PE071086	1	1	27	10
PE071086	2	8888	27	4
PE071086	3	1	 	 
PE081007	1	1	0	15
PE081007	2	8888	19	2
PE081007	3	8888	31	13
PE081007	4	8888	38	7
PE081007	5	1	 	 
PE081033	1	86	19	1
PE081033	2	8888	22	7
PE081033	3	8888	24	1
PE081033	4	8888	24	1
PE081033	5	8888	25	1
PE081033	6	1	 	 
PE081034	1	1	6	1
PE081034	2	8888	33	8
PE081034	3	1	 	 
PE081040	1	1	15	2
PE081040	2	8888	19	15
PE081040	3	1	 	 
PE081048	1	1	21	1
PE081048	2	8888	22	2
PE081048	3	8888	22	1
PE081048	4	8888	 	 
PE081057	1	1	20	1
PE081057	2	8888	23	1
PE081057	3	1	 	 
PE081064	1	1	19	1
PE081064	2	8888	21	18
PE081064	3	1	 	 
PE081072	1	1	11	1
PE081072	2	8888	12	2
PE081072	3	1	 	 
PE081073	1	1	18	13
PE081073	2	0	20	12
PE081073	3	8888	27	1
PE081073	4	1	 	 
PE081077	1	1	25	13
PE081077	2	8888	25	7
PE081077	3	1	 	 
PE081079	1	1	25	1
PE081079	2	8888	25	19
PE081079	3	8888	27	1
PE081079	4	8888	29	12
PE081079	5	1	 	 
PE081081	1	1	21	1
PE081081	2	0	22	 
PE081081	3	1	 	 
PE081087	1	1	22	1
PE081087	2	8888	25	7
PE081087	3	1	 	 
PE081102	1	1	22	1
PE081102	2	8888	23	19
PE081102	3	8888	27	5
PE081102	4	8888	28	15
PE081102	5	8888	30	17
PE081102	6	8888	32	19
PE081102	7	1	 	 
PE091007	1	9	18	1
PE091007	2	0	18	2
PE091007	3	8888	20	1
PE091007	4	0	20	1
PE091007	5	0	24	3
PE091007	6	9	 	 
PE091010	1	10	15	1
PE091010	2	0	20	15
PE091010	3	10	 	 
PE091016	1	10	5	2
PE091016	2	8888	33	13
PE091016	3	10	 	 
PE091023	1	9	14	1
PE091023	2	0	14	2
PE091023	3	8888	16	1
PE091023	4	8888	17	15
PE091023	5	8888	17	13
PE091023	6	8888	21	4
PE091023	7	9	 	 
PE091028	1	12	14	8
PE091028	2	8888	15	15
PE091028	3	12	 	 
PE091033	1	3	17	2
PE091033	2	8888	19	15
PE091033	3	3	 	 
PE091044	1	20	19	1
PE091044	2	8888	20	8
PE091044	3	8888	21	1
PE091044	4	8888	26	5
PE091044	5	8888	27	8
PE091044	6	20	 	 
PE091047	1	20	17	1
PE091047	2	8888	7	1
PE091047	3	8888	18	4
PE091047	4	8888	21	13
PE091047	5	20	 	 
PE091051	1	20	20	5
PE091051	2	8888	21	5
PE091051	3	20	 	 
PE091054	1	23	18	1
PE091054	2	8888	18	12
PE091054	3	23	 	 
PE091072	1	15	4	1
PE091072	2	8888	22	15
PE091072	3	15	 	 
PE091094	1	40	22	1
PE091094	2	8888	26	4
PE091094	3	40	 	 
PE091103	1	41	8	1
PE091103	2	8888	18	5
PE091103	3	41	 	 
PE101001	1	1	9	10
PE101001	2	8888	10	15
PE101001	3	8888	11	12
PE101001	4	8888	26	15
PE101001	5	8888	38	1
PE101001	6	8888	41	1
PE101001	7	1	 	 
PE101010	1	82	25	13
PE101010	2	8888	26	7
PE101010	3	82	 	 
PE101016	1	82	23	1
PE101016	2	8888	31	5
PE101016	3	82	 	5
PE101017	1	82	32	5
PE101017	2	8888	38	7
PE101017	3	82	 	 
PE101035	1	82	24	1
PE101035	2	8888	26	1
PE101035	3	82	 	 
PE101039	1	82	14	15
PE101039	2	8888	15	8
PE101039	3	82	 	 
PE101045	1	82	26	8
PE101045	2	8888	27	3
PE101045	3	82	 	 
PE101059	1	82	14	7
PE101059	2	8888	15	15
PE101059	3	8888	21	7
PE101059	4	8888	22	13
PE101059	5	82	 	 
PE101063	1	82	23	1
PE101063	2	8888	24	13
PE101063	3	8888	25	2
PE101063	4	82	 	 
PE101075	1	82	27	1
PE101075	2	8888	28	1
PE101075	3	82	 	 
PE101082	1	82	18	2
PE101082	2	8888	21	18
PE101082	3	82	 	 
PE101083	1	82	29	1
PE101083	2	0	31	15
PE101083	3	82	 	 
PE101084	1	82	13	1
PE101084	2	8888	15	1
PE101084	3	82	 	 
PE101085	1	82	23	1
PE101085	2	8888	27	13
PE101085	3	82	 	 
PE101090	1	82	22	5
PE101090	2	8888	25	7
PE101090	3	82	 	 
PE101091	1	82	32	1
PE101091	2	8888	33	8
PE101091	3	82	 	 
PE101095	1	82	21	1
PE101095	2	8888	40	2
PE101095	3	82	 	 
PE111005	1	1	19	1
PE111005	2	8888	20	8
PE111005	3	1	 	 
PE111015	1	1	0	1
PE111015	2	8888	0	1
PE111015	3	8888	24	1
PE111015	4	8888	24	2
PE111015	5	1	 	 
PE111016	1	1	1	15
PE111016	2	8888	10	2
PE111016	3	0	12	1
PE111016	4	0	16	2
PE111016	5	8888	20	10
PE111016	6	1	 	 
PE111040	1	1	30	1
PE111040	2	8888	31	2
PE111040	3	1	 	 
PE111062	1	26	27	1
PE111062	2	8888	28	15
PE111062	3	26	 	 
PE111077	1	1	18	1
PE111077	2	8888	19	19
PE111077	3	8888	20	1
PE111077	4	8888	22	2
PE111077	5	8888	23	2
PE111077	6	8888	23	1
PE111077	7	8888	29	13
PE111077	8	1	 	 
PE111084	1	24	16	4
PE111084	2	8888	19	3
PE111084	3	24	 	 
PE121010	1	1	18	1
PE121010	2	8888	19	1
PE121010	3	8888	20	13
PE121010	4	1	 	 
PE121011	1	1	25	13
PE121011	2	8888	28	5
PE121011	3	1	 	 
PE121019	1	1	17	12
PE121019	2	8888	18	12
PE121019	3	1	 	 
PE121023	1	1	18	1
PE121023	2	8888	18	15
PE121023	3	1	 	 
PE121025	1	1	8	1
PE121025	2	8888	9	2
PE121025	3	1	 	 
PE121034	1	1	20	5
PE121034	2	8888	27	1
PE121034	3	8888	30	12
PE121034	4	8888	31	15
PE121034	5	1	 	 
PE121047	1	1	26	1
PE121047	2	8888	26	1
PE121047	3	8888	27	1
PE121047	4	8888	27	1
PE121047	5	1	 	 
PE121056	1	1	23	4
PE121056	2	1	 	 
PE121058	1	1	16	2
PE121058	2	8888	16	2
PE121058	3	1	 	 
PE121061	1	1	10	8
PE121061	2	8888	14	7
PE121061	3	1	 	 
