CHILDID	OUTID	REMREL	REMEST	REMGOOD
VN010002	1	13	500	100
VN010002	2	14	600	0
VN010002	3	19	200	0
VN010003	1	13	200	100
VN010003	2	19	500	0
VN010004	1	14	1400	0
VN010004	2	13	200	800
VN010004	3	19	200	100
VN010006	1	21	20	10
VN010007	1	5	200	50
VN010007	2	6	200	50
VN010007	3	21	30	0
VN010009	1	6	200	20
VN010009	2	13	100	0
VN010010	1	5	50	0
VN010010	2	6	50	0
VN010012	1	13	300	100
VN010012	2	19	400	0
VN010012	3	15	200	0
VN010012	4	5	300	0
VN010012	5	6	300	0
VN010013	1	5	1000	0
VN010014	1	6	100	50
VN010014	2	13	500	0
VN010014	3	19	500	50
VN010015	1	5	300	50
VN010015	2	6	300	50
VN010015	3	21	30	0
VN010016	1	5	50	10
VN010016	2	6	50	20
VN010018	1	5	300	50
VN010018	2	6	300	50
VN010018	3	13	100	0
VN010018	4	21	20	0
VN010019	1	6	200	0
VN010020	1	13	400	0
VN010020	2	19	200	100
VN010020	3	14	150	0
VN010021	1	13	500	0
VN010021	2	19	800	100
VN010021	3	5	200	0
VN010021	4	6	300	0
VN010022	1	13	500	0
VN010022	2	19	300	200
VN010022	3	5	50	0
VN010022	4	6	50	0
VN010024	1	5	300	0
VN010024	2	6	300	0
VN010025	1	5	300	120
VN010025	2	6	280	150
VN010025	3	21	30	0
VN010026	1	5	150	30
VN010026	2	13	200	50
VN010027	1	5	1000	50
VN010029	1	13	300	0
VN010029	2	19	100	50
VN010029	3	5	100	50
VN010029	4	6	100	40
VN010030	1	5	300	100
VN010030	2	6	300	100
VN010032	1	13	300	100
VN010032	2	19	200	0
VN010032	3	14	100	0
VN010033	1	5	150	70
VN010033	2	6	150	70
VN010033	3	13	100	50
VN010033	4	21	30	0
VN010034	1	19	250	100
VN010034	2	13	200	0
VN010035	1	19	200	0
VN010035	2	13	200	100
VN010035	3	6	200	0
VN010036	1	19	200	50
VN010036	2	13	300	0
VN010036	3	14	200	100
VN010036	4	21	200	-99
VN010037	1	5	20	0
VN010037	2	6	30	0
VN010039	1	13	150	0
VN010039	2	19	50	50
VN010040	1	5	500	200
VN010040	2	6	500	200
VN010040	3	13	200	50
VN010040	4	21	50	0
VN010041	1	13	400	0
VN010041	2	15	100	0
VN010041	3	19	300	100
VN010041	4	6	50	0
VN010041	5	5	50	0
VN010042	1	5	100	50
VN010042	2	6	100	50
VN010042	3	13	100	30
VN010042	4	21	20	0
VN010044	1	5	1000	200
VN010044	2	13	400	100
VN010044	3	21	100	0
VN010045	1	5	3000	0
VN010045	2	5	3000	0
VN010050	1	5	300	100
VN010050	2	6	300	100
VN010050	3	21	30	0
VN010051	1	5	100	40
VN010052	1	5	200	50
VN010052	2	6	200	50
VN010052	3	21	30	0
VN010053	1	14	10	0
VN010054	1	5	100	0
VN010054	2	14	100	30
VN010056	1	5	0	100
VN010056	2	6	150	0
VN010058	1	5	200	30
VN010058	2	6	200	50
VN010059	1	5	300	200
VN010059	2	6	300	200
VN010059	3	21	50	0
VN010060	1	6	200	0
VN010060	2	5	200	0
VN010060	3	14	250	0
VN010060	4	13	1200	0
VN010061	1	13	480	0
VN010061	2	5	20	0
VN010061	3	6	25	0
VN010062	1	5	500	100
VN010063	1	6	300	50
VN010063	2	5	200	100
VN010063	3	21	20	0
VN010064	1	5	100	50
VN010064	2	6	100	50
VN010065	1	5	500	150
VN010065	2	6	500	100
VN010065	3	21	20	0
VN010067	1	14	450	0
VN010067	2	19	100	50
VN010069	1	19	200	0
VN010069	2	13	250	50
VN010070	1	5	200	100
VN010070	2	6	200	150
VN010070	3	21	20	0
VN010071	1	5	1000	0
VN010072	1	6	1000	0
VN010073	1	5	300	100
VN010073	2	6	300	100
VN010073	3	13	200	70
VN010073	4	21	20	0
VN010074	1	19	500	0
VN010074	2	13	200	100
VN010074	3	14	200	0
VN010074	4	15	200	0
VN010076	1	5	100	0
VN010077	1	5	50	0
VN010077	2	6	50	0
VN010079	1	5	300	150
VN010079	2	6	300	150
VN010079	3	13	120	30
VN010079	4	21	30	0
VN010080	1	13	200	100
VN010080	2	19	200	0
VN010080	3	15	50	0
VN010081	1	5	280	50
VN010081	2	13	150	70
VN010081	3	21	30	0
VN010082	1	5	2000	150
VN010082	2	6	2000	180
VN010082	3	21	30	0
VN010083	1	5	100	0
VN010083	2	6	100	0
VN010084	1	5	50	0
VN010084	2	6	50	0
VN010086	1	13	300	50
VN010086	2	19	200	0
VN010086	3	6	500	0
VN010086	4	15	200	0
VN010087	1	13	200	100
VN010087	2	19	250	0
VN010087	3	15	50	0
VN010088	1	5	180	50
VN010088	2	6	200	100
VN010089	1	13	100	50
VN010089	2	19	150	0
VN010091	1	5	350	50
VN010091	2	6	400	100
VN010094	1	5	800	0
VN010096	1	13	100	20
VN010096	2	21	20	0
VN010097	1	6	280	50
VN010097	2	13	150	30
VN010097	3	21	30	0
VN010100	1	5	800	200
VN010100	2	13	500	100
VN010100	3	21	180	50
VN010104	1	21	400	0
VN010109	1	5	50	0
VN010109	2	6	50	0
VN010109	3	19	100	0
VN010118	1	6	250	150
VN010118	2	5	300	100
VN010118	3	21	30	10
VN010121	1	5	200	0
VN010121	2	19	800	0
VN010122	1	13	200	50
VN010122	2	19	300	0
VN010122	3	6	100	0
VN010124	1	13	200	80
VN010124	2	19	100	0
VN010124	3	5	50	0
VN010140	1	5	400	0
VN010140	2	6	400	0
VN020003	1	21	-88	30
VN020003	2	6	200	0
VN020003	3	5	-88	100
VN020004	1	21	60	0
VN020007	1	21	20	0
VN020008	1	21	30	0
VN020010	1	21	20	0
VN020011	1	6	200	100
VN020011	2	21	50	0
VN020012	1	21	40	0
VN020013	1	5	1000	0
VN020013	2	13	1000	0
VN020013	3	21	200	0
VN020016	1	21	20	0
