CHILDID	PLOTID	LAREA	LOWN	LUSE	TRANS	COLLAT	TRANSID	PLINCOME	PLVALUE	PLCOST	CROP1	CROP2	CROP3	IRRIGAT	PERIRRIG
VN010001	1	200	1	4	0	0	88	0	-88	0	 	 	 	 	 
VN010001	2	1140	1	1	0	0	88	 	 	 	1	88	88	1	4
VN010002	1	300	3	4	0	0	88	0	-88	80	 	 	 	 	 
VN010002	2	2000	1	1	0	0	88	 	 	 	1	88	88	1	4
VN010002	3	200	3	1	0	0	88	 	 	 	45	109	88	1	1
VN010003	1	60	1	4	2	0	88	0	-88	34	 	 	 	 	 
VN010003	2	500	5	1	0	0	88	 	 	 	1	88	88	1	4
VN010004	1	280	1	4	1	1	80	0	-88	100	 	 	 	 	 
VN010004	2	3500	5	1	0	0	88	 	 	 	1	88	88	1	4
VN010004	3	90	1	1	1	1	80	 	 	 	93	25	88	1	1
VN010005	1	300	3	4	0	0	88	0	-88	0	 	 	 	 	 
VN010005	2	500	5	1	0	0	88	 	 	 	1	88	88	1	4
VN010006	1	80	1	4	1	1	1	0	-88	0	 	 	 	 	 
VN010006	2	2200	1	1	0	0	88	 	 	 	1	88	88	1	4
VN010007	1	156	1	4	1	1	1	0	-88	50000	 	 	 	 	 
VN010007	2	1300	1	1	3	0	88	 	 	 	1	88	88	1	4
VN010008	1	200	1	4	0	0	88	0	-88	0	 	 	 	 	 
VN010008	2	1300	1	1	3	0	88	 	 	 	1	88	88	1	4
VN010009	1	130	1	4	1	1	1	0	-88	25000	 	 	 	 	 
VN010009	2	1250	1	1	0	0	88	 	 	 	1	88	88	1	4
VN010010	1	200	1	4	0	0	88	0	-88	0	 	 	 	 	 
VN010010	2	1320	2	1	0	0	88	 	 	 	1	88	88	1	4
VN010010	3	2500	2	1	0	0	88	 	 	 	44	25	88	1	4
VN010011	1	70	2	4	0	0	88	0	-88	0	 	 	 	 	 
VN010012	1	200	3	4	0	0	88	0	-88	23	 	 	 	 	 
VN010012	2	1500	3	1	0	0	88	 	 	 	1	88	88	1	4
VN010012	3	1000	5	1	0	0	88	 	 	 	1	88	88	1	4
VN010012	4	200	1	8	1	1	80	 	 	 	 	 	 	 	 
VN010013	1	500	1	4	1	0	88	0	-88	0	 	 	 	 	 
VN010013	2	1000	1	1	3	0	88	 	 	 	1	88	88	1	4
VN010014	1	280	3	4	0	0	88	0	-88	10050	 	 	 	 	 
VN010014	2	1500	1	1	0	0	88	 	 	 	1	88	88	1	4
VN010014	3	220	3	1	0	0	88	 	 	 	51	25	88	1	1
VN010015	1	200	1	4	1	1	1	0	-88	0	 	 	 	 	 
VN010015	2	1750	1	1	0	0	88	 	 	 	1	88	88	1	4
VN010015	3	250	1	2	1	1	1	 	 	 	 	 	 	 	 
VN010016	1	40	1	4	1	1	2	0	-88	0	 	 	 	 	 
VN010016	2	1000	1	1	0	0	88	 	 	 	1	88	88	1	4
VN010017	1	120	1	4	0	0	88	0	-88	0	 	 	 	 	 
VN010017	2	450	1	1	3	0	88	 	 	 	1	88	88	1	4
VN010018	1	130	1	4	1	1	1	0	-88	0	 	 	 	 	 
VN010018	2	1200	1	1	3	0	88	 	 	 	1	88	88	1	4
VN010019	1	200	1	4	1	1	1	0	-88	0	 	 	 	 	 
VN010019	2	940	5	1	3	0	88	 	 	 	1	88	88	1	4
VN010020	1	240	1	4	2	0	88	0	-88	0	 	 	 	 	 
VN010020	2	2500	5	1	0	0	88	 	 	 	1	88	88	1	4
VN010021	1	190	1	4	1	1	80	0	-88	25	 	 	 	 	 
VN010021	2	900	5	1	0	0	88	 	 	 	1	88	80	1	4
VN010021	3	164	1	7	1	1	80	0	-88	20	 	 	 	 	 
VN010022	1	42	1	4	2	0	88	0	-88	20	 	 	 	 	 
VN010022	2	1000	5	1	0	0	88	 	 	 	1	88	88	1	4
VN010024	1	270	1	4	1	1	1	0	-88	0	 	 	 	 	 
VN010024	2	200	1	2	1	1	1	 	 	 	 	 	 	 	 
VN010024	3	1750	1	1	3	0	88	 	 	 	1	88	88	1	4
VN010025	1	200	1	4	1	1	80	0	-88	0	 	 	 	 	 
VN010025	2	1000	1	1	0	0	88	 	 	 	1	88	88	1	4
VN010025	3	300	1	3	1	1	80	 	 	 	31	88	88	1	4
VN010026	1	80	1	4	1	1	4	0	-88	0	 	 	 	 	 
VN010026	2	1000	1	1	0	0	88	 	 	 	1	88	88	1	4
VN010026	3	230	1	3	1	1	4	 	 	 	4	88	88	1	4
VN010027	1	200	1	4	1	1	1	0	-88	0	 	 	 	 	 
VN010027	2	1500	5	1	0	0	88	 	 	 	1	88	88	1	4
VN010029	1	100	1	4	1	1	80	0	-88	25	 	 	 	 	 
