CHILDID	POSID	ID	POSHELD	POSFIRST	POSYEARS	POSTILL	POSREL	POSOUT	POSEFFEC
VN010001	1	1	18	2001	5	0	0	11	3
VN020136	1	1	6	2000	6	1	0	16	3
VN050006	1	1	13	1991	16	1	0	2	3
VN050010	1	2	18	2000	6	1	0	16	2
VN050036	1	1	1	2003	3	1	0	14	2
VN070086	1	4	7	1998	18	1	0	13	3
VN090009	1	1	7	1994	5	0	0	2	2
VN090020	1	1	18	2001	5	1	0	7	3
VN090035	1	1	15	1995	21	1	0	8	3
VN090063	1	3	18	2003	3	1	0	8	3
VN090093	1	1	18	2000	6	1	0	8	3
VN090094	1	1	8	1999	7	1	0	8	3
VN090097	1	2	18	1997	9	1	0	3	3
VN100004	1	1	18	1991	4	0	0	8	3
VN100013	1	2	18	2004	2	1	0	8	3
VN100022	1	1	13	2004	2	1	1	13	3
VN100046	1	2	18	2003	2	1	0	8	2
VN100064	1	1	15	2004	2	1	0	8	3
VN100085	1	4	15	2003	3	1	0	8	3
VN100103	1	6	18	2003	3	1	0	8	3
VN100118	1	2	18	2000	5	0	0	8	3
VN110003	1	3	11	1965	15	1	0	9	2
VN110085	1	1	6	1984	23	0	0	10	3
VN120054	1	1	18	1963	8	0	0	6	3
VN120071	1	1	18	2005	1	1	0	14	3
VN120126	1	3	14	2004	3	1	1	6	3
VN130003	1	2	18	2000	2	0	0	1	0
VN130007	1	1	18	1964	7	0	0	9	3
VN130011	1	6	7	2005	1	1	0	16	3
VN130014	1	3	18	2001	5	1	0	13	3
VN130014	2	4	17	2002	4	1	0	15	3
VN130016	1	2	8	-77	10	0	0	14	0
VN130072	1	3	18	2000	6	1	0	13	3
VN130082	1	3	15	1979	3	0	0	8	0
VN130082	2	3	17	1972	4	0	0	8	0
VN130090	1	1	18	2002	4	0	0	9	3
VN140008	1	1	18	1998	4	0	0	9	3
VN140041	1	16	18	1970	0	0	0	6	3
VN140058	1	1	15	2006	0	1	0	9	3
VN140100	1	1	17	1996	10	1	0	6	2
VN170087	1	2	7	2003	3	0	0	6	3
VN200015	1	4	18	1975	2	0	0	16	3
VN200029	1	6	11	1968	27	0	0	6	3
VN200036	1	3	18	2001	4	0	0	16	77
