CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
VN010001	1	1	4	70	1
VN010002	1	22	-99	-99	99
VN010003	1	1	4	85	2
VN010006	1	1	5	200	1
VN010007	1	23	4	500	2
VN010008	1	1	4	60	2
VN010008	2	3	1	45	2
VN010009	1	1	4	200	3
VN010012	1	8	3	350	2
VN010013	1	22	-77	-77	80
VN010014	1	1	4	100	2
VN010015	1	1	5	250	80
VN010016	1	1	2	50	2
VN010017	1	8	1	300	1
VN010017	2	1	4	50	2
VN010018	1	1	4	150	2
VN010019	1	9	4	100	2
VN010019	2	10	4	1665	2
VN010020	1	1	7	15	3
VN010020	2	3	1	35	3
VN010021	1	22	-77	-77	2
VN010024	1	1	3	50	1
VN010024	2	3	1	30	1
VN010024	3	8	1	1000	1
VN010025	1	1	3	230	80
VN010025	2	8	4	650	80
VN010026	1	1	3	180	80
VN010026	2	8	2	350	80
VN010027	1	1	4	50	1
VN010027	2	3	1	50	1
VN010029	1	1	3	30	2
VN010029	2	3	1	25	2
VN010030	1	1	4	370	80
VN010031	1	23	3	100	3
VN010033	1	1	4	180	2
VN010034	1	1	4	40	2
VN010035	1	1	-77	-77	80
VN010036	1	1	3	150	80
VN010036	2	8	1	100	80
VN010037	1	1	4	50	2
VN010037	2	3	1	80	2
VN010038	1	1	4	50	2
VN010039	1	1	4	50	2
VN010040	1	1	3	250	80
VN010042	1	1	4	130	80
VN010043	1	1	2	30	2
VN010044	1	22	-77	-77	2
VN010045	1	1	4	30	2
VN010046	1	13	3	50	4
VN010047	1	8	4	100	1
VN010048	1	4	1	5000	1
VN010048	2	1	3	30	1
VN010048	3	3	1	50	1
VN010049	1	1	3	40	2
VN010050	1	1	5	400	80
VN010051	1	1	4	160	2
VN010052	1	20	1	200	1
VN010053	1	1	1	4	1
VN010053	2	30	1	0	1
VN010054	1	1	2	12	2
VN010055	1	1	3	30	3
VN010056	1	1	2	30	80
VN010058	1	1	3	200	2
VN010059	1	1	2	60	80
VN010060	1	1	3	100	2
VN010062	1	1	3	200	3
VN010063	1	1	2	50	80
VN010064	1	1	3	50	2
VN010065	1	26	1	200	2
VN010067	1	2	3	650	1
VN010067	2	1	3	60	2
VN010068	1	1	3	30	2
VN010068	2	3	1	20	2
VN010068	3	8	2	1700	1
VN010070	1	1	4	380	80
VN010071	1	23	2	70	2
VN010073	1	1	3	280	80
VN010074	1	1	6	120	1
VN010074	2	3	1	25	1
VN010075	1	1	4	60	1
VN010075	2	8	2	400	1
VN010076	1	1	4	70	2
VN010077	1	1	3	30	1
VN010078	1	1	4	100	4
VN010079	1	1	4	270	80
VN010080	1	1	3	35	80
VN010081	1	1	5	370	80
VN010082	1	23	5	950	2
VN010083	1	1	1	70	2
VN010083	2	3	1	25	2
VN010083	3	8	1	1500	2
VN010084	1	30	0	-99	99
VN010087	1	2	1	900	80
VN010088	1	8	3	190	80
VN010089	1	31	1	120	2
VN010089	2	30	10	250	2
VN010091	1	1	4	280	2
VN010091	2	8	3	430	80
VN010092	1	13	4	40	1
VN010093	1	1	4	15	82
VN010094	1	4	1	40000	1
VN010095	1	1	4	50	3
VN010095	2	3	1	50	3
VN010096	1	1	3	200	80
VN010097	1	1	3	270	80
VN010100	1	1	5	800	80
VN010109	1	1	3	50	2
VN010109	2	8	1	500	2
VN010118	1	21	1	500	80
VN010121	1	1	6	10	2
VN010122	1	23	-77	250	2
VN010124	1	1	3	40	90
VN010124	2	3	1	15	90
VN010140	1	1	3	40	2
VN020008	1	15	1	2500	1
VN020009	1	23	3	20	2
VN020010	1	1	1	100	1
VN020012	1	23	1	200	2
VN020013	1	30	9	5000	3
VN020016	1	8	4	8000	3
VN020016	2	1	6	100	80
VN020018	1	23	1	100	2
VN020021	1	30	-77	300	1
VN020027	1	31	1	500	1
VN020027	2	30	2	500	1
VN020029	1	23	1	10000	3
VN020033	1	31	1	500	1
VN020033	2	30	3	1800	1
VN020037	1	23	2	3500	2
VN020038	1	15	1	20	2
VN020039	1	23	3	230	2
VN020050	1	22	1	100	2
VN020052	1	23	1	2200	2
VN020054	1	30	4	1400	1
VN020056	1	30	1	30	2
VN020061	1	8	1	500	1
VN020068	1	30	-77	500	1
VN020077	1	23	1	50	2
VN020081	1	30	1	1500	1
VN020088	1	15	20	80	2
VN020088	2	30	3	25	2
VN020092	1	31	1	500	1
VN020092	2	30	6	1500	1
VN020095	1	1	4	40	2
VN020096	1	1	2	5	2
VN020099	1	30	6	3600	3
VN020100	1	23	1	27	2
VN020105	1	25	1	8000	1
VN020106	1	1	4	20	2
VN020110	1	1	1	0	6
VN020114	1	8	1	2000	2
VN020133	1	23	1	100	2
VN030004	1	8	1	1000	80
VN030008	1	1	3	36	2
VN030011	1	1	2	40	1
VN030012	1	1	2	200	80
VN030012	2	30	-99	-99	99
VN030014	1	1	3	350	80
VN030014	2	8	5	600	80
VN030019	1	13	3	120	1
VN030021	1	1	3	270	80
VN030025	1	25	1	70000	80
VN030026	1	17	12	3500	2
VN030030	1	1	4	60	80
VN030030	2	8	1	200	80
VN030034	1	23	-99	-99	99
VN030041	1	1	5	40	2
VN030041	2	8	1	100	1
VN030043	1	1	5	150	80
VN030043	2	8	6	520	80
VN030044	1	30	-99	-99	99
VN030048	1	2	1	1200	1
VN030052	1	23	5	1400	2
VN030053	1	1	4	60	2
VN030055	1	13	3	50	1
VN030058	1	1	8	80	1
VN030061	1	1	3	50	3
VN030069	1	13	3	150	1
VN030072	1	1	4	150	1
VN030074	1	1	3	50	2
VN030074	2	8	1	100	2
VN030077	1	1	5	70	5
VN030077	2	8	1	40	5
VN030083	1	30	-99	-99	99
VN030084	1	8	1	200	1
VN030086	1	21	4	2100	2
VN030087	1	23	5	1200	80
VN030089	1	5	1	4800	1
VN030089	2	17	7	2500	1
VN030090	1	21	2	1000	2
VN030092	1	30	-99	-99	99
VN030093	1	1	5	200	1
VN030093	2	8	1	50	2
VN030094	1	30	-99	-99	99
VN030096	1	23	1	500	3
VN030098	1	23	4	1200	2
VN030099	1	30	2	50	1
VN030120	1	25	1	110000	80
VN030127	1	23	4	1000	2
VN030129	1	15	4	400	2
VN030132	1	5	1	4000	2
VN030132	2	23	2	100	1
VN030139	1	30	-99	-99	99
VN040002	1	30	1	700	1
VN040005	1	1	2	10	1
VN040009	1	30	1	2000	2
VN040010	1	30	1	200	1
VN040013	1	30	1	20000	2
VN040015	1	30	2	3000	1
VN040018	1	30	3	2000	1
VN040020	1	30	1	500	4
VN040021	1	30	3	3000	1
VN040024	1	31	1	15000	1
VN040024	2	30	3	500	1
VN040025	1	31	1	12000	1
VN040025	2	30	9	15000	99
VN040026	1	30	5	7500	1
VN040028	1	30	10	15000	2
VN040029	1	30	1	8000	4
VN040031	1	31	1	10000	1
VN040031	2	30	15	15000	1
VN040033	1	31	1	18000	1
VN040033	2	30	7	12000	1
VN040034	1	23	1	1700	2
VN040035	1	1	1	100	1
VN040035	2	5	1	1500	1
VN040043	1	30	1	800	3
VN040045	1	23	1	200	2
VN040050	1	25	1	200	2
VN040051	1	9	1	7000	2
VN040052	1	30	3	1400	1
VN040053	1	31	1	5000	2
VN040053	2	30	1	6000	2
VN040054	1	23	1	3700	80
VN040055	1	31	1	25000	1
VN040055	2	30	1	20000	1
VN040056	1	30	2	2400	1
VN040076	1	23	1	20	2
VN040079	1	12	4	200	2
VN040080	1	21	1	1000	2
VN040081	1	1	3	35	2
VN040083	1	23	1	120	2
VN040084	1	17	-77	12000	3
VN040087	1	30	2	1500	1
VN040088	1	25	1	3000	1
VN040093	1	22	-77	0	1
VN040094	1	1	3	30	1
VN040095	1	31	1	3000	4
VN040095	2	30	1	1500	4
VN040119	1	31	1	60	2
VN040119	2	30	1	40	2
VN040129	1	30	4	4000	80
VN040151	1	15	1	1500	2
VN040174	1	25	1	300	80
VN040174	2	1	2	12	2
VN050001	1	3	1	40	3
VN050001	2	1	2	25	3
VN050001	3	6	0	0	99
VN050003	1	1	6	30	4
VN050005	1	3	1	60	1
VN050005	2	5	1	1000	1
VN050005	3	1	3	15	1
VN050010	1	23	3	200	1
VN050011	1	31	0	-99	99
VN050011	2	30	1	20	2
VN050012	1	1	5	100	1
VN050019	1	1	3	30	2
VN050021	1	1	3	20	2
VN050023	1	8	4	150	1
VN050024	1	3	1	50	2
VN050024	2	1	2	30	2
VN050029	1	25	1	200	3
VN050033	1	1	5	100	11
VN050034	1	30	3	10	1
VN050040	1	30	1	500	1
VN050040	2	30	20	300	1
VN050042	1	1	4	80	2
VN050043	1	30	1	0	1
VN050046	1	30	1	15	2
VN050047	1	5	1	2000	1
VN050047	2	8	3	3600	1
VN050052	1	1	3	0	2
VN050055	1	30	3	9	2
VN050057	1	1	7	0	1
VN050060	1	30	28	2000	3
VN050061	1	3	1	50	4
VN050061	2	1	4	70	4
VN050062	1	30	2	5	1
VN050068	1	30	2	50	1
VN050069	1	25	1	5000	5
VN050069	2	30	3	50	5
VN050070	1	15	-77	3000	4
VN050076	1	5	1	390	1
VN050076	2	1	3	80	1
VN050077	1	25	1	6000	1
VN050078	1	3	1	80	1
VN050078	2	5	1	500	1
VN050078	3	1	2	30	1
VN050079	1	5	2	2500	1
VN050079	2	3	1	250	1
VN050079	3	1	7	200	1
VN050084	1	31	1	1000	1
VN050084	2	30	1	2000	1
VN050086	1	23	40	1000	2
VN050086	2	88	 	 	 
VN050086	3	88	 	 	 
VN050094	1	6	1	5000	2
VN050115	1	23	1	150	2
VN050115	2	31	1	4000	2
VN050117	1	23	3	100	1
VN060002	1	25	1	100	5
VN060002	2	30	1	15	5
VN060004	1	15	6	550	2
VN060012	1	23	3	100	2
VN060014	1	23	5	1600	3
VN060015	1	23	4	0	4
VN060018	1	23	3	1600	2
VN060024	1	23	2	216	1
VN060025	1	5	1	200	2
VN060028	1	1	1	200	4
VN060028	2	5	1	1000	4
VN060034	1	23	3	150	3
VN060035	1	8	2	0	3
VN060039	1	1	3	0	3
VN060052	1	1	1	14	1
VN060052	2	30	1	100	1
VN060054	1	8	2	-77	1
VN060060	1	23	1	500	1
VN060062	1	1	2	36	1
VN060062	2	8	2	402	2
VN060065	1	22	0	0	90
VN060066	1	23	60	670	2
VN060067	1	1	1	30	3
VN060068	1	4	1	5000	88
VN060069	1	1	1	0	2
VN060074	1	8	2	0	1
VN060076	1	25	1	100	3
VN060076	2	23	1	25	4
VN060076	3	23	4	20	4
VN060077	1	23	3	0	2
VN060079	1	8	4	0	1
