placeid	entryid	lclqnty	loclunit	stnqnty	stnunit
ET1011	14	 	56	 	 
ET1011	15	 	6	 	 
ET1011	9	1	12	.06	KG
ET1011	5	1	10	.6	KG
ET1011	12	4	6	1	KG
ET1011	7	1	51	.05	KG
ET1011	10	1	56	.7	KG
ET1011	1	1	51	.1	KG
ET1011	2	1	6	.25	KG
ET1011	4	1	6	.9	KG
ET1011	11	1	56	1.1	KG
ET1011	8	1	26	.25	KG
ET1011	3	1	6	.2	KG
ET1011	6	1	56	1.6	KG
ET1011	13	1	29	.3	LITRE
ET1021	27	7	56	1	01
ET1021	22	4	56	1	01
ET1021	25	5	6	1	01
ET1021	49	 	12	1	01
ET1021	42	10	56	1	01
ET1021	34	4	27	1	01
ET1021	21	4	6	1	01
ET1021	53	10	56	1	01
ET1021	18	3	6	1	01
ET1021	37	10	27	1	01
ET1021	38	18	51	1	01
ET1021	5	1	24	1	01
ET1021	6	8	95	1	01
ET1021	7	1	11	1	01
ET1021	48	1	10	1	01
ET1021	26	4	6	1	01
ET1021	17	9	6	1	01
ET1021	8	1	24	1	01
ET1021	9	8	95	1	01
ET1021	10	1	11	1	01
ET1021	50	2	56	1	01
ET1021	24	5	6	1	01
ET1021	19	2	10	1	01
ET1021	11	1	24	1	01
ET1021	12	1	11	1	01
ET1021	54	1	11	1	01
ET1021	55	20	62	1	01
ET1021	56	3	25	1	01
ET1021	16	2	6	1	01
ET1021	41	2	56	1	01
ET1021	14	2	6	1	01
ET1021	51	1	56	1	01
ET1021	20	12	95	1	01
ET1021	52	16	62	1	01
ET1021	13	8	95	1	01
ET1021	46	20	62	1	01
ET1021	44	10	12	1	01
ET1021	43	5	12	1	01
ET1021	1	84	24	100	01
ET1021	2	1	11	1	01
ET1021	23	1	56	1	01
ET1021	15	2	6	1	01
ET1021	45	5	95	1	01
ET1021	3	1	24	1	01
ET1021	4	1	11	1	01
ET1021	39	3	29	1	19
ET1021	31	16	27	1	19
ET1021	32	24	51	1	19
ET1021	40	1	11	1	19
ET1021	33	10	95	1	19
ET1021	28	2	24	1	19
ET1021	29	4	26	1	19
ET1021	47	3	29	1	19
ET1021	36	4	95	1	19
ET1021	35	1	24	1	19
ET1021	30	3	26	1	19
ET1022	49	1	12	1	01
ET1022	42	10	56	1	01
ET1022	34	4	27	1	01
ET1022	53	10	56	1	01
ET1022	37	10	27	1	01
ET1022	38	18	51	1	01
ET1022	48	1	10	1	01
ET1022	50	2	56	1	01
ET1022	54	1	11	1	01
ET1022	55	20	62	1	01
ET1022	56	3	25	1	01
ET1022	41	2	56	1	01
ET1022	51	1	56	1	01
ET1022	52	16	62	1	01
ET1022	46	20	62	1	01
ET1022	44	10	12	1	01
ET1022	43	5	12	1	01
ET1022	45	5	95	1	01
ET1022	39	3	29	1	19
ET1022	31	16	27	1	19
ET1022	32	24	51	1	19
ET1022	40	1	11	1	19
ET1022	33	10	95	1	19
ET1022	28	2	24	1	19
ET1022	29	4	26	1	19
ET1022	47	3	29	1	19
ET1022	36	4	95	1	19
ET1022	35	1	24	1	19
ET1022	30	3	26	1	19
ET1022	27	7	56	1	KG
ET1022	22	4	56	1	KG
ET1022	25	5	6	1	KG
ET1022	21	4	6	1	KG
ET1022	18	3	6	1	KG
ET1022	5	1	24	1	KG
ET1022	6	1	11	1	KG
ET1022	7	8	95	1	KG
ET1022	26	4	6	1	KG
ET1022	17	9	6	1	KG
ET1022	8	8	24	1	KG
ET1022	9	8	95	1	KG
ET1022	10	1	11	1	KG
ET1022	24	5	6	1	KG
ET1022	19	2	10	1	KG
ET1022	11	1	24	1	KG
ET1022	12	1	11	1	KG
ET1022	16	2	6	1	KG
ET1022	13	8	95	1	KG
ET1022	14	2	6	1	KG
ET1022	20	12	95	1	KG
ET1022	1	84	24	100	KG
ET1022	2	1	11	1	KG
ET1022	23	1	56	1	KG
ET1022	15	2	6	1	KG
ET1022	3	1	24	1	KG
ET1022	4	1	11	1	KG
ET1031	7	1	11	1	01
ET1031	8	1	24	1	01
ET1031	38	1	56	1	01
ET1031	10	1	11	1	01
ET1031	15	18	51	1	01
ET1031	11	1	11	1	01
ET1031	20	3	10	1	01
ET1031	9	1	24	1	01
ET1031	37	2	56	1	01
ET1031	22	4	6	1	01
ET1031	24	2	10	1	01
ET1031	12	1	11	1	01
ET1031	5	1	11	1	01
ET1031	30	20	62	1	01
ET1031	31	20	62	1	01
ET1031	32	3	25	1	01
ET1031	36	1	56	1	01
ET1031	14	2	95	1	01
ET1031	33	16	62	1	01
ET1031	25	12	95	1	01
ET1031	6	1	11	1	01
ET1031	23	1	11	1	01
ET1031	35	5	12	1	01
ET1031	34	10	12	1	01
ET1031	1	1	2	100	01
ET1031	2	1	24	1	01
ET1031	21	2	6	1	01
ET1031	3	1	24	1	01
ET1031	4	1	11	1	01
ET1031	13	1	24	1	01
ET1031	27	24	51	1	19
ET1031	28	16	27	1	19
ET1031	16	3	95	1	19
ET1031	29	2	29	1	19
ET1031	17	2	95	1	19
ET1031	19	2	24	1	19
ET1031	26	3	95	1	19
ET1031	18	3	26	1	19
ET1032	7	1	11	1	01
ET1032	8	1	24	1	01
ET1032	38	1	56	1	01
ET1032	10	1	11	1	01
ET1032	15	18	51	1	01
ET1032	11	1	11	1	01
ET1032	20	3	10	1	01
ET1032	9	1	11	1	01
ET1032	37	2	56	1	01
ET1032	22	4	6	1	01
ET1032	24	2	10	1	01
ET1032	12	1	11	1	01
ET1032	5	1	11	1	01
ET1032	30	11	24	1	01
ET1032	31	20	62	1	01
ET1032	32	3	25	1	01
ET1032	36	1	56	1	01
ET1032	14	2	95	1	01
ET1032	33	16	62	1	01
ET1032	25	12	95	1	01
ET1032	6	1	11	1	01
ET1032	23	1	11	1	01
ET1032	35	5	12	1	01
ET1032	34	10	12	1	01
ET1032	21	2	6	1	01
ET1032	3	1	24	1	01
ET1032	4	1	11	1	01
ET1032	13	1	40	1	01
ET1032	27	24	51	1	19
ET1032	28	16	27	1	19
ET1032	16	3	95	1	19
ET1032	29	2	29	1	19
ET1032	17	2	95	1	19
ET1032	19	2	24	1	19
ET1032	26	3	95	1	19
ET1032	18	3	26	1	19
ET1032	1	1	2	100	KG
ET1032	2	1	24	1	KG
ET2041	54	 	95	 	 
ET2041	56	 	29	 	 
ET2041	58	 	40	 	 
ET2041	60	 	3	 	 
ET2041	55	 	52	 	 
ET2041	51	 	6	 	 
ET2041	50	 	29	 	 
ET2041	52	 	10	 	 
ET2041	53	 	26	 	 
ET2041	59	 	95	 	 
ET2041	57	 	41	 	 
ET2041	47	1	41	50	KG
ET2041	20	3	24	1	KG
ET2041	25	.03	24	1	KG
ET2041	3	3	26	1	KG
ET2041	4	3	25	1	KG
ET2041	7	1	40	100	KG
ET2041	8	1	41	50	KG
ET2041	1	1	52	3	KG
ET2041	21	3	25	1	KG
ET2041	22	3	26	1	KG
ET2041	23	25	15	1	KG
ET2041	24	30	51	1	KG
ET2041	31	5	12	1	KG
ET2041	48	1	52	2.55	KG
ET2041	14	1	6	.25	KG
