placeid	disastid	disaster	longago	pplaftcd	askhelp1	askhelp2	askhelp3	recvhelp	rechelp2	rechelp3
IN070	1	3	5	150	1	0	0	0	0	0
IN070	2	9	1	35	1	3	0	3	0	0
IN071	1	0	88	88	88	88	88	88	88	88
IN071	2	0	88	88	88	88	88	88	88	88
IN071	3	0	88	88	88	88	88	88	88	88
IN071	4	0	88	88	88	88	88	88	88	88
IN071	5	0	88	88	88	88	88	88	88	88
IN072	1	2	28	250	1	88	88	0	88	88
IN072	2	0	88	88	88	88	88	88	88	88
IN072	3	0	88	88	88	88	88	88	88	88
IN072	4	0	88	88	88	88	88	88	88	88
IN072	5	0	88	88	88	88	88	88	88	88
IN073	1	0	88	88	88	88	88	88	88	0
IN073	2	0	88	88	88	88	88	88	88	88
IN073	3	0	88	88	88	88	88	88	88	88
IN073	4	0	88	88	88	88	88	88	88	88
IN073	5	0	88	88	88	88	88	88	88	88
IN074	1	3	24	200	1	77	77	0	77	77
IN074	2	0	88	88	88	88	88	88	88	88
IN074	3	0	88	88	88	88	88	88	88	88
IN074	4	0	88	88	88	88	88	88	88	88
IN074	5	0	88	88	88	88	88	88	88	88
IN075	1	3	24	400	1	0	0	0	0	0
IN075	2	2	12	300	1	0	0	1	0	0
IN075	3	0	88	88	88	88	88	88	88	88
IN075	4	0	88	88	88	88	88	88	88	88
IN075	5	0	88	88	88	88	88	88	88	88
IN076	1	6	2	135	1	2	3	1	2	3
IN077	1	3	5	240	1	3	0	3	0	0
IN077	2	9	2	30	1	3	0	1	3	0
IN077	3	6	2	20	1	0	0	0	0	0
IN077	4	11	6	40	3	0	0	3	0	0
IN077	5	9	13	2	1	3	0	3	1	0
IN078	1	3	3	300	1	3	0	1	3	0
IN078	2	9	2	134	1	3	0	1	0	0
IN078	3	6	2	250	1	3	0	3	0	0
IN079	1	3	5	200	1	3	0	3	0	0
IN079	2	9	1	19	1	3	0	1	3	0
IN079	3	6	1	50	0	0	0	0	0	0
IN080	1	9	2	5	1	3	0	1	3	0
IN080	2	6	2	100	1	0	0	0	0	0
IN081	1	3	6	300	1	0	0	0	0	0
