placeid	departid	clustid	survcode	survday	survmnth	survyear	survdate	popsize	housing	illoccup	othres	agric	livest	fishing	mining	indust	handicr	retail	othuse	city	timecap	trans1	trans2	trans3	howlong4	timeloc	trnslcl1	trnslcl2	trnslcl3	a_4yrslocl	pvedn	earthn	unpavedn	tracksn	rivern	airn	railn	ottrann	pvedn4yr	earth4yr	unpav4yr	track4yr	river4yr	airn4yr	railn4yr	ottrn4yr	indwprob	minwprob	garwprob	anmwprob	frmdump	firmafct	frmdump4	fmlydump	locldump	excrdump	grbbrng	indsactv	carspssg	pesticid	noisepll	stndwatr	other1	other2	lbrunion	commkitc	mthrclub	apafa	poltgrp	relggrp	svgscoop	houscoop	lendcoop	sprtassc	crmassc	psntassc	ntvassc	agriassc	prdcrs	others1	others2	others3	others4	others5	rlothr1	rlothr2	rlothr3	rlothr4	rlothr5	robbery	cttlthft	prstitn	gangs	adltbnds	drugsllg	drugadct	alchlsm	vlntcrme	othrprb1	othrprb2	lttlchld	adlscnt	fmlycmpg	theatre	videogms	bullfght	fairgrnd	slotmch	relginst	pbltele	prvtele	pblinrnt	elctrcty	drnkwatr	sewager	timerelg	timetele	timeintr	trnsrelg	trnstele	trnsint	plcsttn	nonjudg	profjudg	ntlbank	othrbank	lclgovrn	infdaycr	cmsuppre	prvpresc	prmrysc	secdrysc	hlthest	demuna	prvcbltv	pubcbltv	cellphne	serpost	othserv1	othserv2	othserv3	timepolc	timenon	timeprof	timenatl	timepriv	timegov	timeday	timecpr	timeppr	timeprm	timesec	timehlt	timeprc	timeser	timeoth1	timeoth2	timeoth3	trnspolc	trnnonjg	trnprojg	trnntabk	trnothbk	trnsgov	trnsday	trnscpr	trnsppr	trnspri	trnssec	trnshlt	trnsprc	trnsser	trnsoth1	trnsoth2	trnsoth3	toiletin	toiltout	pitin	pitout	shrpit	hillopen	rvrtoilt	othrtolt	pipedwll	pipewatr	prvttube	pubfntn	pubwell	wtrtruck	spring	other	access	days	typchrg	typngo	typwtoth	trtngo	trtwtoth	whtrngo	whtrwtot	oftnngo	oftnwtot	tyrango	tyrawtot	grbgtrck	street	wastland	regulate	rivergrb	buried	pigfeed	cropflds	othrgrb	glssmilk	foodwork	foodbskt	compfeed	othfood1	othfood2	glsmilk4	comkitc4	foodwrk4	foodbkt4	comfeed4	othfd1y4	othfd2y4	wawawasi	pronoei	schbkfst	schclth	schltext	litrcy	promlibr	altbsced	laptopch	eductn1	eductn2	wawa4yr	pron4yr	bkfst4yr	clth4yr	text4yr	ltrcy4yr	promo4yr	altbs4yr	lptop4yr	edc14yr	edc24yr	hlthinsr	grwth	fmlyplng	tubcntrl	prgimmz	hemoflu	hepb	fieamar	malaria	hivsida	mentlhth	cntrlstd	hlthoth1	hlthoth2	insr4yr	grwth4yr	fmly4yr	tub4yr	primm4yr	heflu4yr	hepb4yr	fieam4yr	malar4yr	hiv4yr	mentl4yr	std4yr	hlth14yr	hlth24yr	rprschl	rprhlth	rprwtr	rprswr	rprpit	rprbrdg	rprand	reforest	irrgtn	infroth1	infroth2	schl4yr	hlth4yr	wtr4yr	swr4yr	pit4yr	brdg4yr	and4yr	rfrst4yr	irrgn4yr	infr14yr	infr24yr	agritech	animal	agrinput	titling	techncal	microcrd	laborenr	recycprg	juntoprg	othothr1	othothr2	agrtch4y	animal4y	agrinp4y	titlng4y	tchncl4y	mcrcrd4y	lbrenr4y	recycl4y	juntos4y	a_4yothr1	a_4yothr2	agrimale	othrmale	mmonagri	mmonothr	agrifmle	othrfmle	fmonagri	fmonothr	agrchld	othrchld	cmonagri	cmonothr	lndrmale	helpmale	cnstmale	factmale	othmale1	othmale2	lndrfmle	helpfmle	cnstfmle	factfmle	othfmle1	othfmle2	lndrchld	helpchld	cnstchld	factchld	paprchld	shoechld	carwchld	stvnchld	othchld1	othchld2	othchld3	othchld4	noteprc1	shoeprc1	byshprc1	grshprc1	byptprc1	grskprc1	oralprc1	paraprc1	amoxprc1	mebeprc1	potaprc1	riceprc1	spagprc1	coffprc1	nescprc1	milkprc1	sugrprc1	oilprc1	saltprc1	cigrprc1	detgprc1	krsnprc1	mtchprc1	prcirrgt	prcdry	prcbuild	minirrgt	mindry	minbuild	maxirrgt	maxdry	maxbuild	mdrncow	tradcow	ox	donkey	mule	sheep	goat	pig	chckn	rabbit	gneapig	llama	mxbull	othanml	minmdrn	mintrad	minox	mindnky	minmule	minsheep	mingoat	minpig	minchckn	minrbbt	mingnea	minllama	minmxbll	minotanm	maxmdrn	maxtrad	maxox	maxdnky	maxmule	maxsheep	maxgoat	maxpig	maxchckn	maxrbbt	maxgnea	maxllama	maxmxbll	maxotanm	priccrop	mincrop	maxcrop
PE02MC02	20	2	7	10	9	2009	9/10/2009	1846	2	5	88	1	4	5	5	5	5	3	88	1	30	6	88	88	30	-88	88	88	88	-88	0	0	1	0	0	0	0	88	0	0	1	0	0	0	0	88	0	0	1	1	0	 	 	1	0	1	1	0	0	1	1	1	88	88	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	88	88	88	9	9	88	88	88	1	1	0	1	0	0	1	1	0	88	88	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	-88	-88	20	88	88	6	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	88	88	30	-88	30	45	45	45	30	-88	30	-88	-88	-88	30	45	-88	-88	-88	6	88	6	6	6	6	6	88	6	88	88	88	6	6	88	88	88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	1	88	12	1	1	0	88	88	88	88	88	88	88	88	88	0	0	0	0	0	0	0	0	1	1	0	1	0	1	88	1	1	0	1	0	1	88	0	1	1	0	1	0	0	0	0	88	88	0	1	0	0	1	1	0	0	0	 	88	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	1	0	0	1	1	0	1	0	0	88	88	15	-88	0	88	15	-88	0	88	15	-88	0	88	-11	-11	25	-11	-88	-88	-11	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	2	35	12	12	25	24	.5	.0299999993294477	.150000005960464	.0500000007450581	1	2	2	-88	.600000023841858	3	2	5	.300000011920929	4	1.5	-88	.300000011920929	28000	16000	5	-88	-88	-88	-88	-88	-88	3000	1000	1500	350	1000	120	120	600	10	5	-88	-88	1000	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	1.5	-88	-88
PE03MC01	20	3	69	22	9	2009	9/22/2009	220	5	5	3	1	2	5	5	5	5	5	88	1	20	1	88	88	20	-88	88	88	88	-88	0	0	1	0	0	0	0	88	0	0	1	0	0	0	0	88	0	0	0	0	0	 	 	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	88	88	88	88	5	88	88	88	88	0	1	0	0	0	0	0	1	0	88	88	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	-88	20	20	88	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	88	88	88	20	20	300	20	20	20	180	-88	300	20	20	20	20	180	-88	-88	-88	1	1	8	1	1	1	8	88	8	1	1	1	1	8	88	88	88	0	0	0	0	0	1	0	88	0	1	0	0	0	0	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	0	0	0	0	0	0	0	1	88	1	0	1	0	88	88	1	0	0	1	0	88	88	0	1	1	0	1	0	0	1	0	88	88	0	1	1	0	1	0	0	1	0	 	88	1	1	1	1	1	1	1	1	1	1	1	1	88	88	1	1	1	1	1	1	1	1	0	1	1	1	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	1	1	0	0	0	0	0	0	1	88	88	1	1	0	0	0	0	0	0	0	88	88	5	-88	6	88	-11	-88	88	88	-11	-88	88	88	-11	-11	30	-11	-88	-88	10	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	1.5	35	12	12	30	30	.5	.0299999993294477	.150000005960464	.0399999991059303	1	1.29999995231628	3	12	.600000023841858	2.5	1.70000004768372	6	.400000005960464	4.5	1	12	.200000002980232	10000	5000	5	-88	-88	-88	-88	-88	-88	2000	1000	2000	300	1500	60	-88	300	15	-88	5	-88	1500	1500	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	2	-88	-88
PE03MC02	20	3	7	20	9	2009	9/20/2009	288	2	5	88	1	3	5	5	5	5	4	88	1	15	1	88	88	15	-88	88	88	88	-88	0	0	1	0	0	0	0	88	0	0	1	0	0	0	0	88	0	0	1	1	0	 	 	0	1	1	1	0	0	1	0	1	88	88	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	88	88	15	13	5	88	88	0	0	0	0	1	0	0	1	0	88	88	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	-88	15	15	88	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	88	88	88	15	15	250	15	15	15	-77	-88	250	15	15	15	15	250	-88	-88	-88	1	1	8	1	1	1	88	88	8	1	1	1	1	8	88	88	88	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	88	12	7	0	0	1	88	1	88	1	88	4	88	4	0	0	0	0	0	0	0	1	88	1	0	1	0	0	88	1	0	0	1	0	1	88	0	1	1	0	1	0	0	1	0	88	88	0	1	1	0	1	0	0	1	0	 	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	88	88	0	0	0	0	0	0	0	1	0	88	88	0	0	0	0	0	0	0	0	1	88	88	0	1	0	0	0	0	0	0	0	88	88	6	-88	6	88	-11	-88	88	88	6	-88	6	88	-11	-11	10	-11	-11	-88	-11	-11	-11	-11	-11	-88	-11	-11	-11	-11	-11	-11	-11	-11	3	-88	-88	-88	1.20000004768372	30	10	10	20	20	.5	.100000001490116	.150000005960464	.0399999991059303	.899999976158142	1.29999995231628	3	10	.5	2.5	1.79999995231628	7	.400000005960464	4	1.20000004768372	14	.200000002980232	-77	2000	11	5000	-88	-88	6000	-88	-88	2000	-77	-77	-77	2000	60	-88	-77	20	-88	10	-88	1000	-77	-88	800	1500	300	-88	-88	-88	100	-88	-88	-88	-88	-88	600	-88	1000	2000	400	-88	-88	-88	150	-88	-88	-88	-88	-88	800	-77	-77	-77
PE03MC03	20	3	69	20	9	2009	9/20/2009	435	5	5	3	1	2	5	5	5	5	4	88	1	15	1	88	88	15	-88	88	88	88	-88	0	0	0	1	0	0	0	88	0	0	0	1	0	0	0	88	0	0	1	1	0	 	 	0	0	1	0	0	0	0	0	1	88	88	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	88	88	88	88	5	88	88	88	88	0	0	0	0	0	0	0	0	0	88	88	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	-88	-88	-88	88	88	88	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	88	88	88	15	15	240	15	15	300	300	-88	300	15	15	15	15	240	-88	-88	-88	1	1	8	1	1	8	8	88	8	1	1	1	1	8	88	88	88	0	1	0	0	0	0	0	88	1	0	0	0	0	0	0	88	12	7	0	0	1	88	1	88	1	88	1	88	4	0	0	0	0	0	0	0	1	88	1	0	1	0	88	88	1	0	0	1	0	88	88	0	1	1	0	1	0	0	1	0	88	88	0	1	1	0	1	1	0	0	0	 	88	1	1	1	1	1	1	1	1	1	1	1	1	88	88	1	1	1	1	1	1	1	1	0	1	1	1	88	88	0	0	0	0	0	0	0	0	0	0	88	1	0	0	0	1	0	0	1	0	1	88	0	0	0	0	0	0	0	0	1	88	88	0	0	0	0	0	0	0	0	0	88	88	6	-88	6	88	-11	-88	88	88	6	-88	6	88	-11	-11	25	-11	-11	-88	-11	-11	-11	-11	6	-88	-11	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	1.5	20	10	10	20	20	.5	.0299999993294477	.150000005960464	.0399999991059303	1	1.39999997615814	3.59999990463257	10	.600000023841858	3	1.5	7	.300000011920929	4	1	12	.200000002980232	10000	5000	10	-88	-88	-88	-88	-88	-88	2500	1200	1500	300	1500	60	60	150	20	-88	-88	-88	1200	800	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	3	-88	-88
PE03MC04	20	3	7	19	9	2009	9/19/2009	228	2	5	88	1	3	5	5	5	5	4	88	1	10	1	88	88	10	-88	88	88	88	-88	0	0	1	1	0	0	0	88	0	0	1	1	0	0	0	88	0	0	1	1	0	 	 	0	0	1	0	0	0	1	0	0	88	88	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	88	88	15	5	13	88	88	0	1	0	0	0	0	0	1	0	88	88	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	-88	10	10	88	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	88	88	88	10	10	250	10	10	10	-77	-88	-77	10	10	10	10	250	-88	-88	-88	1	1	8	1	1	1	88	88	88	1	1	1	1	8	88	88	88	0	0	0	0	0	1	0	88	1	0	0	0	0	0	0	88	8	7	0	0	1	88	1	88	1	88	4	88	10	0	0	0	0	0	0	0	1	88	1	0	1	0	0	88	1	0	0	1	0	1	88	0	1	1	0	1	0	0	1	0	88	88	0	1	1	0	1	1	0	1	0	 	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	88	88	1	0	0	0	0	1	0	1	1	88	88	1	1	1	0	1	0	0	0	1	88	88	0	1	0	0	0	0	0	0	0	88	88	10	-88	6	88	-11	-88	88	88	7	-88	6	88	-11	-11	20	-11	-88	-88	-11	-11	-11	-11	-88	-88	-11	-11	-11	-11	-1	-11	-11	-11	-88	-88	-88	-88	1.20000004768372	30	10	10	20	20	.5	.100000001490116	.150000005960464	.0399999991059303	.899999976158142	1.29999995231628	3	10	.5	2.5	1.79999995231628	7	.400000005960464	4	1.20000004768372	14	.200000002980232	20000	-77	16	-88	2000	-88	-88	3000	-88	2000	800	-77	300	1500	-77	-88	200	20	-88	-88	-88	1200	1000	-88	-88	1500	-88	-88	30	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	2000	-88	-88	40	-88	-88	-88	-88	-88	-88	-88	-88	-77	-77	-77
PE03MC05	20	6	69	19	9	2009	9/19/2009	90	5	5	3	1	2	5	5	5	5	5	88	1	30	1	88	88	30	-88	88	88	88	-88	0	0	1	0	0	0	0	88	0	0	1	0	0	0	0	88	0	0	0	0	0	 	 	0	0	0	0	0	0	0	0	1	1	88	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	88	88	88	88	15	88	88	88	88	0	1	0	0	0	0	0	0	0	88	88	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	-88	30	30	88	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	88	88	88	30	30	240	30	30	240	300	30	300	30	30	30	30	-99	-88	-88	-88	1	1	8	1	1	8	8	1	8	1	1	1	1	8	88	88	88	0	0	0	1	0	0	0	88	0	1	0	0	0	0	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	0	0	0	0	0	0	0	1	88	1	0	1	0	88	88	1	0	0	1	0	88	88	0	0	1	0	1	0	0	0	0	88	88	0	0	1	0	1	1	0	0	0	 	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	88	88	0	0	0	0	1	0	0	1	0	88	88	0	1	0	0	0	0	0	1	1	88	88	0	1	0	0	0	0	0	0	0	88	88	6	-88	6	88	-11	-88	88	88	6	-88	6	88	-11	-11	20	-11	-88	-88	-11	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	1.60000002384186	25	10	10	15	15	.5	.0299999993294477	.150000005960464	.0399999991059303	1	1.29999995231628	2.79999995231628	8	1	2.59999990463257	1.60000002384186	6	.400000005960464	4.5	1.79999995231628	12	.200000002980232	8000	4000	-77	-88	-88	-88	-88	-88	-88	2000	800	1200	350	1500	60	-88	100	20	-88	-88	-88	1500	1000	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	5	-88	-88
PE03MC09	20	3	7	28	9	2009	9/28/2009	132	2	5	88	1	3	5	5	5	5	4	88	1	150	1	88	88	150	-88	88	88	88	-88	0	0	1	0	0	0	0	88	0	0	1	0	0	0	0	88	0	0	0	0	0	 	 	0	0	0	0	0	0	1	0	1	88	88	0	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	88	88	88	5	15	88	88	88	0	0	0	0	0	0	0	0	0	88	88	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	-88	60	150	88	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	88	88	88	150	150	240	150	150	150	-77	30	240	-88	90	90	150	240	-88	-88	-88	1	1	9	1	1	1	88	1	9	88	1	1	9	1	88	88	88	0	0	0	1	0	0	0	88	0	0	0	0	0	0	0	1	88	88	88	88	88	88	88	88	88	88	88	88	88	0	0	1	0	0	0	0	0	88	1	0	1	0	88	88	1	0	0	1	0	88	88	0	0	1	0	1	0	0	0	0	88	88	0	0	1	0	1	0	0	0	0	 	88	1	1	1	1	1	1	1	1	1	1	0	1	1	88	1	1	1	1	1	0	1	1	1	1	0	1	1	88	1	0	0	0	0	0	0	1	0	88	88	0	0	0	0	0	0	0	1	0	88	88	0	1	0	0	0	0	0	0	1	88	88	0	0	0	0	0	0	1	0	0	88	88	7	-88	6	88	-11	-88	88	88	7	-88	6	88	-11	-11	20	-11	-11	-88	-11	-11	-11	-11	-11	-88	-11	-11	-11	-11	-11	-11	-11	-11	5	-88	-88	-88	1.20000004768372	30	10	10	20	20	.5	.200000002980232	.5	.0399999991059303	1.20000004768372	1.39999997615814	1.60000002384186	-88	.600000023841858	2.59999990463257	1.89999997615814	6.5	.400000005960464	2	1	14.5	.300000011920929	20000	10000	2	-88	-88	-88	-88	-88	-88	-77	-77	1500	400	1200	-77	-88	150	20	-88	-88	-88	1200	800	1500	800	-88	-88	-88	60	-88	-88	-88	-88	-88	-88	-88	-88	2000	1000	-88	-88	-88	80	-88	-88	-88	-88	-88	-88	-88	-88	5	-88	-88
PE03MC10	20	3	7	25	9	2009	9/25/2009	240	2	5	88	1	3	5	5	5	5	5	88	1	120	1	88	88	120	30	9	88	88	300	0	0	0	1	0	0	0	88	0	0	0	1	0	0	0	88	0	0	0	0	0	 	 	0	0	0	0	0	0	1	0	0	88	88	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	88	88	5	15	15	88	88	0	1	0	0	0	0	0	1	0	88	88	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	-88	30	120	88	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	88	88	88	120	120	-77	120	120	120	-77	30	-77	-88	30	40	120	-77	-88	-88	-88	1	1	88	1	1	1	88	1	88	88	1	1	1	88	88	88	88	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	88	88	88	88	88	88	88	88	88	88	88	88	88	0	0	0	0	0	0	0	1	88	1	0	1	0	88	88	1	0	0	1	0	88	88	0	0	1	0	1	0	0	0	0	88	88	0	0	1	0	1	0	0	0	0	 	88	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	1	1	88	88	0	1	0	0	0	0	0	0	1	88	88	0	1	0	0	0	0	0	0	0	88	88	5	-88	6	88	-11	-88	88	88	5	-88	6	88	-11	-11	20	-11	-11	-88	-11	-11	-11	-11	-11	-88	-11	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	1.20000004768372	30	10	10	20	20	.5	.0199999995529652	.150000005960464	.0399999991059303	1	1.39999997615814	3.5	10	.5	2.5	1.70000004768372	6	.300000011920929	5	1.20000004768372	12	.200000002980232	-77	-77	5	5000	300	-88	6000	4000	-88	20000	1000	2000	300	-77	-77	-88	200	12	-88	-88	-88	800	-88	-88	-88	-88	-88	100	40	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	1200	60	-88	-88	-88	-88	-88	-88	-88	-88	-77	-77	-77
PE04MC01	1	4	7	23	10	2009	10/23/2009	190	2	5	88	1	3	5	5	5	5	4	88	1	150	1	88	88	150	-88	88	88	88	-88	0	0	0	1	0	0	0	88	0	0	0	1	0	0	0	88	0	0	0	0	0	 	 	0	0	0	0	0	0	0	0	0	88	88	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	88	88	88	5	13	88	88	88	1	1	0	0	0	0	0	0	0	1	88	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	-88	-88	150	88	88	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	88	88	88	150	150	210	210	210	210	210	-88	210	-88	150	-88	210	210	-88	-88	-88	1	1	7	7	7	7	7	88	7	88	1	88	7	7	88	88	88	0	0	0	1	0	0	0	88	1	0	0	0	0	0	0	88	24	7	0	0	1	88	1	88	1	88	10	88	10	0	0	0	0	0	0	0	1	88	1	0	1	0	88	88	1	0	0	0	0	88	88	0	1	1	0	1	1	0	0	0	88	88	0	1	1	0	1	0	0	0	0	 	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	10	-88	6	88	10	-88	6	88	8	-88	6	88	-11	-11	20	-11	-88	-88	-11	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	1.5	40	18	18	25	23	-77	.0500000007450581	.200000002980232	.200000002980232	.200000002980232	2	3.20000004768372	-77	.5	2.79999995231628	2	5	.200000002980232	2	1.5	12	.25	-88	2000	5	-88	-88	-88	-88	-88	-88	2500	800	1000	400	-77	60	-88	250	20	-88	-77	-88	1000	600	-88	-88	-88	-88	1000	-88	-88	-88	-88	-88	10	-88	-88	-88	-88	-88	-88	-88	1200	-88	-88	-88	-88	-88	12	-88	-88	-88	5	-88	-88
PE04MC02	1	4	1	26	10	2009	10/26/2009	580	5	5	3	1	2	5	5	5	5	4	88	1	660	2	88	88	660	240	6	88	88	300	0	0	1	0	0	0	0	88	0	0	0	1	0	0	0	88	0	0	1	1	0	 	 	0	0	0	1	0	0	0	0	1	88	88	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	88	88	88	88	5	88	88	88	88	1	1	0	0	0	0	0	1	0	88	88	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	-88	-88	240	88	88	6	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	88	88	88	240	240	240	360	360	360	360	-88	-77	-88	-88	-88	360	360	-88	-88	-88	6	6	6	6	6	6	6	88	88	88	88	88	6	6	88	88	88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	1	88	3	7	0	1	88	1	88	1	88	4	88	1	88	0	0	0	0	0	0	0	1	88	1	0	1	0	88	88	1	0	0	1	0	88	88	0	1	1	0	0	0	0	0	0	88	88	0	1	1	0	1	1	0	0	0	 	88	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	15	-88	6	88	15	-88	6	88	10	-88	0	88	-11	-11	30	-11	-88	-88	-11	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	1.29999995231628	35	15	15	25	25	-88	.0299999993294477	.140000000596046	.0399999991059303	2	1.60000002384186	2.79999995231628	9	.0799999982118607	2.70000004768372	2.20000004768372	5.5	1.10000002384186	2.5	1.29999995231628	-88	.300000011920929	-88	4000	35	-88	-88	-88	-88	-88	-88	2500	900	2500	300	1500	200	-88	250	20	-88	10	-88	1500	900	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	5	-88	-88
