commid	anmlfdid	item	price	account	specacct
PE02C02	1	PESCADO	5	1	 
PE02C02	2	RES	8	1	 
PE02C02	3	CERDO	7	1	 
PE03C01	1	GALLINA	15	2	 
PE03C01	2	HUEVOS	.25	2	 
PE03C01	3	CERDO	9	1	 
PE03C06	1	QUESO	7	2	 
PE03C06	2	HUEVO	.349999994039536	2	 
PE03C06	3	LECHE	1.5	3	 
PE03C09	1	QUESO	4	4	MOLDE
PE03C09	2	HUEVO	.400000005960464	2	 
PE03C09	3	LECHE	1.5	3	 
PE04C01	1	HUEVOS	.349999994039536	2	 
PE04C01	2	CARNBE DE RES	8	1	 
PE04C01	3	CERDO	8	1	 
PE04C08	1	HUEVOS	.300000011920929	2	 
PE04C08	2	POLLO	8	1	 
PE04C08	3	CHANCHO	8	1	 
PE05C04	1	POLLO	7	1	 
PE05C04	2	HUEVOS	.25	2	 
PE05C04	3	RES	8	1	 
PE05C09	1	POLLO	7	1	 
PE05C09	2	HUEVOS	.25	2	 
PE05C09	3	RES	10	1	 
PE06C01	1	POLLO	5.80000019073486	1	 
PE06C01	2	QUESO	3	2	 
PE06C01	3	PESCADO	8	1	 
PE07C03	1	POLLO	6.80000019073486	1	 
PE07C03	2	CARNE	15	1	 
PE07C03	3	LECHE	2.40000009536743	2	 
PE09C02	1	CARNE DE CARNERO	8.5	1	 
PE09C02	2	GALLINA	22	2	 
PE09C02	3	CUY	12	2	 
PE09C05	1	CUY	12	2	 
PE09C05	2	GALLINA	25	2	 
PE09C05	3	CARNE DE CHANCHO	10	1	 
PE10C01	1	CUY	15	2	 
PE10C01	2	CARNE DE CHANCHO	10	1	 
PE10C01	3	GALLINA	25	2	 
PE10C05	1	CUY	15	2	 
PE10C05	2	CARNE DE CARNERO	10	1	 
PE10C05	3	GALLINA	25	2	 
PE11C03	1	CUY	10	2	 
PE11C03	2	CARNE DE CHANCHO	8	1	 
PE11C03	3	CARNE DE CARNERO	6	1	 
PE11C07	1	CARNE DE CORDERO	9	1	 
PE11C07	2	GALLINA	25	2	 
PE11C07	3	CUY	10	2	 
PE13C02	1	POLLO	8	1	 
PE13C02	2	LECHE	2	2	 
PE13C02	3	CARNE	15	1	 
PE14C02	1	POLLO	7	1	 
PE14C02	2	CARNE DE RES	7	1	 
PE14C02	3	PESCADO	6	1	 
PE15C02	1	GALLINA	20	2	 
PE15C02	2	PAVO	80	2	 
PE15C02	3	CARNE DE RES	12	1	 
PE15C07	1	POLLO	5.5	1	 
PE15C07	2	CARNE DE RES	10	1	 
PE15C07	3	HUEVO	5	1	 
PE16C01	1	QUESO	1	2	 
PE16C01	2	LECHE	1	3	 
PE16C01	3	CARNE DE CARNERO	6	1	 
PE16C05	1	TRUCHA	8	1	 
PE16C05	2	CARNE DE RES	7	1	 
PE16C05	3	GALLINA	20	2	 
PE16C08	1	QUESO	1	2	 
PE16C08	2	HUEVO	.300000011920929	2	 
PE16C08	3	LECHE	1	3	 
PE17C05	1	CARNE CORDERO	7	1	 
PE17C05	2	QUESO	5	2	 
PE17C05	3	CARNE DE CABRA	5	1	 
PE17C10	1	POLLO	8.5	1	 
PE17C10	2	CARNE DE RES	7	1	 
PE17C10	3	HUEVO	5	1	 
PE18C03	1	CARNE DE OVINO	8	1	 
PE18C03	2	LECHE	1.39999997615814	2	 
PE18C03	3	QUESO	2	2	 
PE18C07	1	POLLO	8	1	 
PE18C07	2	CARNE DE RES	10	1	 
PE18C07	3	QUESO	2.5	1	 
PE19C05	1	POLLO	7	1	 
PE19C05	2	PESCADO	8	1	 
PE19C05	3	CARNE DE RES	9	1	 
PE20C03	1	CARNE DE RES	8	1	 
PE20C03	2	CARNE DE OVINO	10	1	 
PE20C03	3	CARNE DE ALPACA	9	1	 
PE80C03	1	POLLO	8	1	 
PE80C03	2	RES	8	1	 
PE80C03	3	HUEVOS	.400000005960464	2	 
PE80C07	1	POLLO	5.40000009536743	1	 
PE80C07	2	HUEVOS	.300000011920929	2	 
PE80C07	3	LECHE	2.59999990463257	2	 
PE80C12	1	POLLO	7	1	 
PE80C12	2	CARNE DE RES	13	1	 
PE80C12	3	CHANCHO	9	1	 
PE09C07	1	GALLINA	25	2	 
PE09C07	2	HUEVO	4	1	 
PE09C07	3	CUY	10	2	 
PE01C01	1	POLLO	7	1	 
PE01C01	2	PESCADO	3	1	 
PE01C01	3	RES	11	1	 
PE02C05	1	PESCADO	6	1	 
PE02C05	2	POLLO	7	1	 
PE02C05	3	CABRITO	9	1	 
PE03C05	1	CERDO	7	1	 
PE03C05	2	HUEVO	.25	2	 
PE03C05	3	GALLINA	15	1	 
PE03C10	1	HUEVOS	.300000011920929	2	 
PE03C10	2	LECHE	1.5	3	 
PE03C10	3	CHANCHO	8	1	 
PE04C02	1	RES	7	1	 
PE04C02	2	POLLO	7.5	1	 
PE04C02	3	LECHE	1	3	 
PE04C05	1	GALLINA CRIOLLA	10	1	 
PE04C05	2	POLLO	6	1	 
PE04C05	3	HUEVO	.5	2	 
PE05C01	1	POLLO	7.5	1	 
PE05C01	2	HUEVOS	.300000011920929	2	 
PE05C01	3	CHANCHO	7	1	 
PE07C01	1	POLLO	7.5	1	 
PE07C01	2	PESCADO	6	1	 
PE07C01	3	CARNE DE CORDERO	12	1	 
PE08C02	1	POLLO	6.09999990463257	1	 
PE08C02	2	CARNE	12	1	 
PE08C02	3	LECHE	2.59999990463257	2	 
PE09C06	1	CARNE CARNERO	9	1	 
PE09C06	2	GALLINA	20	2	 
PE09C06	3	LECHE	1	3	 
PE09C09	1	CARNE DE CARNERO	10	1	 
PE09C09	2	GALLINA	25	2	 
PE09C09	3	CUY	12	2	 
