commid	projid	prjslct	prjdsgn	prjmgmt	prjsupr	prjuse
VN002	1	4	4	4	5	4
VN002	2	3	5	4	5	4
VN002	4	4	4	5	5	4
VN002	5	4	4	5	5	4
VN002	7	4	4	4	5	4
VN002	8	4	4	4	5	4
VN003	6	2	3	4	3	3
VN004	1	2	2	3	2	2
VN004	2	2	2	3	2	2
VN004	4	2	2	3	2	2
VN004	5	2	2	3	2	2
VN004	7	2	2	3	2	2
VN005	2	3	4	4	5	4
VN006	1	3	4	3	2	4
VN006	2	4	4	4	4	4
VN006	3	4	4	4	4	4
VN006	4	4	4	4	4	4
VN006	5	4	4	4	4	4
VN006	7	4	4	4	4	4
VN009	1	4	4	4	4	4
VN009	2	4	4	4	4	4
VN009	3	4	4	4	4	4
VN009	4	4	4	4	4	4
VN009	5	4	4	4	4	4
VN009	6	4	4	4	4	4
VN010	1	4	4	4	5	4
VN010	2	4	4	4	5	4
VN010	3	4	4	4	5	4
VN010	4	4	4	4	5	4
VN010	5	4	4	4	5	4
VN010	8	4	4	4	5	4
VN013	1	4	4	4	4	4
VN013	2	4	4	4	4	4
VN013	3	4	4	4	4	4
VN013	4	4	4	4	4	4
VN013	5	4	4	4	4	4
VN013	6	4	4	4	4	4
VN014	1	4	4	4	5	4
VN014	2	4	4	4	5	4
VN014	3	4	4	4	5	4
VN014	4	4	4	4	5	4
VN014	5	4	4	4	5	4
VN014	8	4	4	4	5	4
VN015	3	3	3	3	3	3
VN015	4	3	3	3	3	3
VN015	5	3	3	3	3	3
VN015	6	3	3	3	3	3
VN015	8	3	3	3	3	3
VN016	1	3	3	3	3	3
VN016	2	3	3	3	3	3
VN016	3	3	3	3	3	3
VN016	4	3	3	3	3	3
VN016	5	3	3	3	3	3
VN016	8	3	3	3	3	3
VN016	9	3	3	3	3	3
VN017	1	4	5	4	2	4
VN017	2	4	5	4	2	4
VN017	4	4	5	4	2	4
VN017	5	4	5	4	2	4
VN017	8	4	5	4	2	4
VN017	9	4	5	4	2	4
VN018	1	3	4	4	4	3
VN018	2	3	4	4	3	3
VN018	3	3	4	4	4	3
VN018	4	3	4	4	4	3
VN018	5	3	4	4	4	3
VN018	8	3	4	4	4	3
VN019	1	3	3	3	3	3
VN019	3	3	3	3	3	3
VN019	4	3	3	3	3	3
VN019	5	3	3	3	3	3
VN019	6	3	3	3	3	3
VN019	8	3	3	3	3	3
VN020	1	3	3	3	3	3
VN020	2	3	3	3	3	3
VN020	3	3	3	3	3	3
VN020	4	3	3	3	3	3
VN020	5	3	3	3	3	3
VN020	6	3	3	3	3	3
VN020	8	3	3	3	3	3
VN020	9	3	3	3	3	3
VN021	1	4	4	4	4	3
VN021	2	3	3	3	3	2
VN021	3	4	4	4	4	4
VN021	4	4	4	4	4	4
VN021	7	4	4	4	4	4
VN021	8	3	3	3	3	3
