childid	id	age	memsex	relate	livhse	dthunexp	adultedc	grade	hsstrtr3	strtyrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	hrewrkr3	nohrer3	wrkprjr3	numdysr3	rsnfewr3	tywrkr31	tywrkr32	tywrkr33	wgercdr3
ET011001	0	15	1	0	1	 	 	 	1	1995	1	7	1	 	 	2	25	0	15	12	7	2	8	0	2	0	0	9	3	2	 	 	 	 	 	 	 	 	 
ET011001	1	34	1	1	1	 	 	6	 	 	 	 	 	 	 	 	 	4	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011001	2	31	2	1	4	 	 	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011001	3	68	2	6	1	 	 	 	 	 	 	 	 	 	 	 	 	0	10	12	7	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011001	4	9	2	15	1	 	 	 	1	1998	1	4	1	 	 	2	20	0	15	12	7	2	10	0	2	0	0	9	1	2	 	 	 	 	 	 	 	 	 
ET011001	5	21	2	15	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011002	0	15	1	0	1	 	 	 	1	1993	1	8	1	 	 	3	1000	0	15	12	7	2	8	0	2	0	0	8	1	5	 	 	 	 	 	 	 	 	 
ET011002	1	55	1	1	2	 	 	13	 	 	 	 	 	 	 	 	 	0	13	12	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011002	2	45	2	1	1	 	 	12	 	 	 	 	 	 	 	 	 	0	12	12	5	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011002	3	30	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011002	4	27	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	12	12	6	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011002	5	26	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011002	6	25	2	23	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011002	7	18	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011003	0	15	2	0	1	 	 	 	1	1993	1	9	1	 	 	3	30	0	15	12	7	1	9	0	1	0	0	8	2	4	 	 	 	 	 	 	 	 	 
ET011003	1	52	1	1	1	 	 	13	 	 	 	 	 	 	 	 	 	0	13	12	5	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011003	2	43	2	1	1	 	 	12	 	 	 	 	 	 	 	 	 	0	13	12	5	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011003	3	25	2	20	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011003	4	19	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011003	15	10	2	7	1	 	 	 	1	1999	1	3	1	 	 	1	920	0	15	12	7	1	9	0	1	0	0	7	2	5	 	 	 	 	 	 	 	 	 
ET011003	16	10	1	7	1	 	 	 	1	1999	1	2	1	 	 	3	920	0	15	12	7	1	9	0	1	0	0	7	2	5	 	 	 	 	 	 	 	 	 
ET011004	0	14	1	0	1	 	 	 	1	1994	1	7	1	 	 	2	15	0	9	12	2	8	7	0	2	0	0	7	3	5	 	 	 	 	 	 	 	 	 
ET011004	1	57	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	13	12	7	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011004	2	47	2	1	1	 	 	7	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011004	3	31	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011004	4	29	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	13	12	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011004	5	25	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	13	12	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011004	6	24	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	13	12	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011004	7	21	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	13	12	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011005	0	15	2	0	1	 	 	 	1	1994	1	8	1	 	 	4	400	0	15	12	7	2	7	1	2	0	0	9	3	2	 	 	 	 	 	 	 	 	 
ET011005	1	38	1	1	1	 	 	8	 	 	 	 	 	 	 	 	 	0	13	12	7	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011005	2	36	2	1	1	 	 	8	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011005	15	10	2	7	1	 	 	 	1	1997	1	5	1	 	 	4	274	0	15	12	7	1	10	1	1	0	0	9	0	3	 	 	 	 	 	 	 	 	 
ET011005	16	2	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011006	0	15	2	0	1	 	 	 	1	1994	1	8	1	 	 	2	450	0	15	10	2	2	8	0	2	0	0	8	3	3	 	 	 	 	 	 	 	 	 
ET011006	1	35	2	1	1	 	 	7	 	 	 	 	 	 	 	 	 	0	13	9	7	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011006	2	27	1	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011006	3	19	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	0	12	2	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011006	4	12	1	7	1	 	 	 	1	1998	1	4	1	 	 	2	450	0	17	 	 	 	10	0	0	0	0	8	1	5	 	 	 	 	 	 	 	 	 
ET011006	5	24	2	13	1	 	 	 	 	 	 	 	 	 	 	 	 	0	13	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011006	6	26	2	13	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011007	0	15	2	0	1	 	 	 	1	1994	1	8	1	 	 	2	1162	0	15	12	7	1	9	0	1	0	0	8	2	4	 	 	 	 	 	 	 	 	 
