CHILDID	CROPID	CROPR3	QNTHRVR3	QNTUNTR3	VLSLDR3	CRPCSTR3
ET041001	1	5	2	41	480	30
ET041002	1	76	175	1	1400	77
ET041002	2	75	150	1	1050	77
ET041002	3	5	200	1	1400	77
ET041003	1	5	4	2	800	-77
ET041003	2	76	3	2	1700	-77
ET041003	3	42	2	2	1600	-77
ET041003	4	50	2	2	130	-77
ET041006	1	60	3	2	4500	600
ET041006	2	64	4	2	1200	200
ET041012	2	5	6	2	3600	0
ET041014	1	125	300	1	900	70
ET041014	2	15	45	1	180	40
ET041014	3	75	200	1	1000	100
ET041020	1	8	1	3	400	50
ET041022	1	75	34	2	13900	1520
ET041022	2	44	2	2	460	0
ET041022	3	5	5	2	1540	225
ET041032	1	5	50	1	0	60
ET041034	1	19	153	52	1836	66
ET041034	2	75	51	52	765	195
ET051001	1	44	0	88	-88	-88
ET051002	1	125	2.5	2	850	0
ET051002	2	43	.18	2	108	0
ET051004	1	44	0	1	0	0
ET051004	2	130	200	1	800	0
ET051004	3	8	100	1	600	0
ET051004	4	15	100	1	400	0
ET051007	1	125	0	88	0	0
ET051007	2	5	2	2	560	0
ET051007	3	8	3.5	2	2386	110
ET051007	4	130	2	2	560	0
ET051009	1	5	3.5	2	1309	264
ET051009	2	55	5	2	750	50
ET051016	1	75	255	1	1190	0
ET051016	2	125	408	1	1367	0
ET051018	1	8	357	1	2380	150
ET051018	2	125	200	1	600	0
ET051025	1	8	10	52	220	44
ET051025	2	5	40	52	680	153
ET051031	1	125	1	2	340	110
ET051031	2	8	.15	2	100	20
ET051032	1	130	1326	1	6188	0
ET051032	2	19	200	1	800	0
ET051033	1	26	1	2	378	0
ET051033	2	50	1	2	240	0
ET051035	1	125	.9	2	300	260
ET051035	2	130	1.35	2	540	800
ET051035	3	8	.45	2	300	100
ET051035	4	43	3	1	20	9
ET051036	1	130	2.4	2	1120	500
ET051036	2	125	.96	2	352	216
ET051036	3	8	1.44	2	960	168
ET051039	1	76	306	1	2040	160
ET051039	2	130	408	1	1775	50
ET051040	1	125	100	1	340	60
ET051040	2	8	0	88	-88	30
ET051042	1	130	150	1	600	0
ET051042	2	42	40	1	160	0
ET051042	3	43	30	1	210	0
ET051044	1	8	5	2	3600	200
ET051044	2	125	3	2	680	100
ET051044	3	130	4	2	1440	100
ET051044	4	44	.2	2	45	0
ET051048	1	8	2.5	2	1670	0
ET051048	2	125	1	2	350	0
ET051049	1	125	171	1	570	120
ET051049	2	76	76	1	760	150
ET051049	3	42	171	1	1311	100
ET051050	1	125	100	1	1020	16
ET061002	1	44	1	2	360	30
ET061002	2	7	1	2	1500	4
ET061002	3	79	4	41	450	25
ET061002	4	5	7	41	350	52
ET061002	5	20	3	41	400	90
ET061002	6	15	6.5	41	625	100
ET061002	7	47	40	1	80	20
ET061002	8	65	3	1	37.5	8.5
ET061002	9	50	10	41	1000	630
ET061003	1	8	1.5	2	1350	175
ET061003	2	44	2	2	700	7
ET061003	3	7	50	1	1500	3.5
ET061003	4	125	20	1	150	15
ET061004	1	15	4	2	1600	152
ET061004	2	8	4	2	3200	400
ET061004	3	7	2	2	3000	20
ET061004	4	53	2	2	800	80
ET061004	5	75	1	2	700	210
ET061004	6	20	2	2	800	80
ET061004	7	5	80	1	320	30
ET061005	1	8	1.5	2	1200	278
ET061005	2	64	1	2	460	23
ET061005	3	7	1	2	1100	65
ET061005	4	75	1	2	650	20
ET061005	5	20	2.5	2	1200	24
ET061005	6	79	1	2	480	24
ET061005	7	47	40.5	1	245	30
ET061005	8	125	1.5	2	900	80
ET061005	9	5	50	1	150	130
ET061005	10	50	2	2	700	400
ET061007	1	44	1	2	1450	100
ET061007	2	31	0	88	0	0
ET061008	1	44	1	2	480	0
ET061008	2	7	1	2	1200	70
ET061008	3	20	2	2	1060	140
ET061008	4	8	130	1	975	140
ET061008	5	15	1	2	600	72
ET061008	6	79	40	1	210	0
ET061009	1	44	60	1	300	50
ET061009	2	7	2	2	2000	240
ET061009	3	31	35	55	1000	0
ET061009	4	20	2	2	900	100
ET061009	5	76	140	1	840	440
ET061009	6	50	3	2	1000	550
ET061010	1	44	2	69	300	20
ET061010	2	125	1.5	69	225	30
ET061010	3	55	2	69	100	120
ET061010	4	79	1.5	69	120	25
ET061010	5	5	2	69	140	40
ET061011	1	44	2	9	370	50
ET061011	2	125	30	1	144	120
ET061011	3	5	60	1	222	150
ET061011	4	55	5	9	300	100
ET061011	5	76	5	9	2250	360
ET061011	6	15	70	1	385	135
ET061012	1	79	1.5	2	600	20
ET061012	2	7	1	2	2500	10
ET061012	3	125	50	1	300	50
ET061014	1	44	0	88	-88	40
ET061014	2	7	1	2	2200	0
ET061015	1	44	1	2	350	50
ET061015	2	125	2	2	900	50
ET061015	3	20	1.5	2	660	150
ET061015	4	55	3	2	450	50
ET061015	5	31	20	55	600	50
ET061015	6	47	.5	2	300	40
ET061016	1	76	5	2	3750	1194
ET061016	2	44	1	2	770	84
ET061016	3	79	1.5	2	855	91
ET061016	4	125	1	2	400	120
ET061018	1	44	2	69	200	40
ET061018	2	76	4	69	1200	400
ET061018	3	20	5	69	1000	90
ET061018	4	50	6	69	500	550
ET061019	1	44	5	2	1800	30
ET061019	2	7	4	2	10000	18
ET061019	3	8	4	2	3200	253
ET061019	4	53	1	2	450	40
ET061019	5	15	1	2	400	70
ET061019	6	20	4	2	1680	90
ET061020	1	44	3	2	990	560
ET061020	2	7	2	2	3200	320
ET061020	3	125	90	1	451	70
ET061020	4	20	2	2	1100	40
ET061020	5	5	1	2	350	90
ET061020	6	76	2	2	3300	590
ET061021	1	44	10	41	1500	16
ET061021	2	125	.5	2	225	45
ET061021	3	20	180	1	750	120
ET061021	4	76	75	1	850	170
