CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
ET011001	1	2	1	12	7	2	0
ET011002	1	2	1	12	7	2	0
ET011003	1	2	1	12	7	1	0
ET011004	1	2	1	12	5	2	0
ET011004	2	7	2	12	2	6	1
ET011005	1	2	1	12	7	2	0
ET011005	2	3	1	12	7	1	0
ET011006	1	2	1	10	2	2	0
ET011007	1	2	1	12	7	1	0
ET011008	1	2	1	12	7	1	0
ET011009	1	2	1	12	2	3	0
ET011010	1	2	1	12	7	2	0
ET011012	1	2	1	12	7	3	0
ET011013	1	2	1	12	7	2	0
ET011014	1	4	1	12	7	4	0
ET011015	1	2	1	10	5	2	0
ET011016	1	2	1	12	7	3	0
ET011017	1	2	1	12	5	2	0
ET011018	1	2	1	12	2	2	0
ET011019	1	2	1	12	7	2	0
ET011020	1	2	1	12	7	1	0
ET011021	1	2	1	10	2	3	0
ET011022	1	4	2	12	7	2	1
ET011023	1	3	1	12	7	5	3
ET011023	2	1	1	12	7	1	3
ET011024	1	2	1	12	7	1	0
ET011025	1	2	1	12	7	2	0
ET011026	1	2	1	12	7	1	0
ET011027	1	2	1	10	2	1	0
ET011029	1	2	1	12	7	1	0
ET011030	1	2	1	12	7	2	0
ET011031	1	2	1	12	7	1	0
ET011032	1	2	1	12	7	1	0
ET011033	1	2	3	12	7	3	0
ET011033	2	6	2	1	7	5	1
ET011033	3	7	1	6	3	6	0
ET011034	1	2	1	12	2	4	0
ET011035	1	2	2	10	2	2	0
ET011036	1	2	1	10	2	2	0
ET011037	1	5	2	2	6	3	1
ET011038	1	2	1	12	7	2	0
ET011042	1	2	1	10	2	1	0
ET011043	1	2	1	12	7	1	0
ET011043	2	3	1	12	7	1	0
ET011044	1	2	1	12	7	2	0
ET011045	1	2	1	12	7	2	0
ET011046	1	2	1	12	7	2	0
ET011048	1	2	1	12	7	2	0
ET011049	1	2	2	12	7	2	0
ET011049	2	3	1	12	7	1	0
ET011050	1	2	1	12	7	1	0
ET021001	1	7	1	12	7	4	0
ET021001	2	2	1	12	7	1	0
ET021001	3	3	1	12	7	1	0
ET021002	1	2	1	12	7	3	0
ET021002	2	3	1	12	7	2	0
