CHILDID	CROPID	CROPR3	QNTHRVR3	VLSLDR3	CRPCSTR3
IN011010	1	53	270	175500	144000
IN011018	1	53	70	35000	9000
IN011043	1	99	1000	600000	30000
IN011043	2	99	-77	200000	45000
IN011043	3	99	-77	100000	30000
IN011043	4	53	100	85000	45000
IN021001	1	48	5	15000	8550
IN021001	2	30	.5	2450	3250
IN021004	1	48	0	0	0
IN021004	2	30	.5	0	200
IN021005	1	71	4	48000	70000
IN021005	2	30	.1	0	300
IN021005	3	45	1	0	0
IN021006	1	37	6	0	500
IN021006	2	30	4	9000	400
IN021009	1	18	8	20000	6000
IN021009	2	30	1	3200	750
IN021010	1	18	5	9000	5580
IN021013	1	53	10	0	7160
IN021013	2	71	4	40000	27850
IN021016	1	53	35	14000	9500
IN021017	1	48	0	0	4000
IN021020	1	71	24	288000	255000
IN021020	2	48	8	32000	18000
IN021022	1	44	60	48000	28000
IN021022	2	71	20	240000	140000
IN021026	1	53	20	14000	9000
IN021026	2	18	6	12000	6000
IN021029	1	53	8	1600	2660
IN021030	1	53	18.75	11050	5600
IN021031	1	48	12	36000	4000
IN021031	2	53	17	0	8400
IN021032	1	53	60	30000	4100
IN021033	1	53	15	10000	8000
IN021035	1	53	20	0	6890
IN021035	2	44	14	10080	8430
IN021035	3	48	.5	2250	1200
IN021036	1	53	15	12000	7000
IN021037	1	53	15	3150	2000
IN021038	1	44	30	18000	4000
IN021040	1	99	0	0	67080
IN021043	1	53	30	13000	7000
IN031013	1	53	80	51000	0
IN031013	2	30	.2	0	0
IN031038	1	53	20	20000	9400
IN031038	2	30	1.2	1800	750
IN031043	1	53	240	98000	78000
IN031043	2	30	13	18000	7200
IN041001	1	48	2	9000	300
IN041001	2	37	2	2400	250
IN041001	3	30	1	3000	300
IN041002	1	53	7	0	400
IN041002	2	48	0	0	0
IN041002	3	30	1.6	4200	500
IN041003	1	53	5	0	2000
IN041004	1	53	20	0	8000
IN041004	2	48	1.5	6000	500
IN041004	3	71	.2	0	400
IN041005	1	53	24	7200	6000
IN041005	2	48	2	8000	1000
IN041006	1	48	2	10000	0
IN041006	2	53	10	0	3000
IN041006	3	57	2	0	500
IN041007	1	53	23	0	1500
IN041007	2	48	1.5	6000	300
IN041007	3	37	5	1000	0
IN041007	4	30	.5	0	0
IN041009	1	53	28	11500	7500
IN041009	2	48	10	50000	6500
IN041010	1	53	7	0	2000
IN041011	1	53	20	0	3000
IN041011	2	48	3	12000	1000
IN041012	1	53	20	7000	400
IN041012	2	48	1.5	5000	500
IN041013	1	53	16	4000	5600
IN041013	2	48	2	8000	1500
IN041014	1	53	18	0	1100
IN041014	2	48	3	15000	700
IN041015	1	53	.2	0	500
IN041016	1	53	18	0	3000
IN041016	2	48	1	3000	0
IN041017	1	53	5	0	1500
IN041017	2	48	4	16000	2000
IN041018	1	53	7	0	500
IN041019	1	48	0	0	500
IN041020	1	53	15	0	1500
IN041020	2	48	0	0	300
IN041020	3	32	3	6000	1200
IN041022	1	54	-77	2500	800
IN041022	2	99	-77	3500	1000
IN041022	3	48	3	13500	2500
IN041022	4	73	1	2000	1000
IN041023	1	53	12	4500	3000
IN041023	2	73	2	4000	1500
IN041023	3	48	3	15000	4000
IN041023	4	54	-77	1500	800
IN041024	1	73	2	5000	400
IN041024	2	48	2.5	10000	300
IN041024	3	28	1	4000	300
IN041024	4	54	-77	15000	0
IN041025	1	48	2.5	12500	500
IN041025	2	73	1.5	4500	200
IN041025	3	28	1.5	4500	200
IN041025	4	54	800	4000	500
IN041026	1	48	5	10000	300
IN041026	2	73	.15	3000	0
IN041026	3	54	1000	4000	200
IN041035	1	53	9	0	1150
IN041035	2	48	3	13500	750
IN041039	1	53	69	37500	30000
IN041045	1	53	25	0	500
IN041046	1	53	3	0	2000
IN041047	1	53	18	0	900
IN041047	2	48	2	6000	500
IN041047	3	73	5	12000	1000
IN041048	1	53	15	4500	4500
IN051001	1	53	20	18000	10000
IN051001	2	30	10	16000	5000
IN051003	1	53	8	0	4200
IN051003	2	30	.3	0	200
IN051004	1	53	8	0	3000
IN051006	1	53	10	0	4000
IN051007	1	53	8	0	3000
IN051008	1	53	16	6200	8600
IN051008	2	30	1.2	1200	500
IN051009	1	53	80	57600	40400
IN051009	2	30	.8	1000	450
IN051010	1	53	5	0	2000
IN051012	1	53	30	8000	10000
IN051012	2	32	20	10000	2000
IN051012	3	16	10	7000	3000
IN051012	4	30	2	3000	500
IN051013	1	32	3.15	6500	3000
IN051013	2	30	.6	2000	800
IN051014	1	32	1.5	1000	800
IN051014	2	30	.6	600	250
IN051016	1	53	7	0	5300
IN051016	2	18	7	18200	10600
IN051020	1	53	4	0	2000
IN051022	1	53	12.8	0	3000
IN051022	2	30	1	2000	0
IN051026	1	53	72	60000	38000
IN051026	2	30	3	4500	1600
IN051027	1	53	6	0	2800
IN051027	2	30	.2	0	200
IN051029	1	53	3	0	600
IN051030	1	53	20	7000	5000
IN051030	2	30	1	600	0
IN051031	1	53	24	20000	5000
IN051032	1	53	7.5	 	6800
IN051036	1	53	16	0	10000
IN051037	1	53	8	0	2000
IN051037	2	30	.9	0	0
IN051038	1	53	8	 	 
IN051039	1	53	12	0	4000
IN051039	2	30	2	0	700
IN051040	1	53	16	0	5000
IN051040	2	30	2	0	700
IN051041	1	53	18	 	9450
IN051041	2	30	.8	980	400
IN051048	1	53	40	21000	19500
IN051048	2	30	1.6	1950	800
IN051049	1	53	48	30000	29500
IN051049	2	67	400	48000	34000
IN051049	3	30	3	4800	1800
IN061001	1	53	70	3000	5000
IN061001	2	30	.5	0	200
IN061001	3	60	.8	1200	300
IN061002	1	53	48	11.25	7000
IN061003	1	53	26.4	7500	5000
IN061003	2	30	.5	800	500
IN061005	1	53	1.6	0	1000
IN061008	1	53	16	5000	3700
IN061009	1	53	20	17000	10000
IN061009	2	45	500	1000	0
IN061009	3	99	2	2000	1000
IN061010	1	53	16	1500	4300
IN061012	1	53	10	0	2500
IN061012	2	68	.8	0	2000
IN061014	1	53	20	 	5500
IN061015	1	53	16	0	3000
IN061016	1	53	25	12750	8000
IN061017	1	53	18	4000	2500
IN061017	2	32	20	15200	3000
IN061018	1	53	9	4200	2500
IN061018	2	32	2	4400	2000
IN061018	3	30	.2	600	500
IN061021	1	53	1.5	0	600
IN061024	1	53	18	0	6000
IN061029	1	52	45	40000	15000
IN061029	2	30	4	8000	3000
IN061030	1	53	18	0	2000
IN061030	2	72	.15	1500	1000
IN061030	3	50	5	4000	800
IN061031	1	53	17	10000	6000
IN061032	1	53	18	0	2500
IN061032	2	72	1	4000	2000
IN061033	1	53	9	0	2000
IN061033	2	50	1	0	2000
IN061033	3	72	10	10000	1000
IN061034	1	53	2	0	1200
IN061034	2	30	.15	0	200
IN061035	1	53	40	14000	15000
