CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
IN011001	1	22	0	400
IN011001	2	22	0	400
IN011002	1	13	0	400
IN011002	2	13	0	400
IN011003	1	13	0	500
IN011003	2	13	0	500
IN011003	3	13	0	500
IN011010	1	13	5000	-88
IN011010	2	13	3000	-88
IN011012	1	7	20000	0
IN011012	2	13	1500	0
IN011016	1	13	0	1000
IN011038	1	7	0	20000
IN011038	2	16	0	500
IN011038	3	13	0	500
IN011038	4	13	0	500
IN011043	1	13	-88	5000
IN011043	2	20	1000	500
IN011044	1	13	0	300
IN011044	2	13	0	300
IN011047	1	13	1000	-88
IN011048	1	6	1000	-88
IN011048	2	6	500	-88
IN021007	1	7	1000	1000
IN021011	1	15	10000	0
IN021013	1	13	-88	600
IN021013	2	13	-88	4000
IN021013	3	16	-88	4000
IN021018	1	8	-88	250
IN021018	2	8	-88	250
IN021022	1	5	10000	400
IN021023	1	13	1000	-88
IN021027	1	13	0	300
IN021027	2	13	0	300
IN021031	1	13	-88	400
IN021031	2	13	-88	400
IN021031	3	13	-88	400
IN021031	4	13	-88	400
IN021035	1	1	0	400
IN021035	2	1	0	600
IN021035	3	7	0	900
IN021035	4	7	0	800
IN021049	1	14	10000	-88
IN031002	1	1	0	1500
IN031002	2	1	2000	0
IN031004	1	13	3000	2000
IN031005	1	13	200	0
IN031012	1	13	1000	-88
IN031012	2	13	1000	-88
IN031012	3	13	1000	-88
IN031012	4	13	1000	-88
IN031012	5	13	1000	-88
IN031013	1	14	3000	3000
IN031014	1	1	0	1000
IN031018	1	13	1000	1000
IN031018	2	6	500	0
IN031018	3	5	500	0
IN031019	1	13	0	500
IN031021	1	13	300	 
IN031022	1	7	1000	0
IN031022	2	16	1000	0
IN031027	1	13	1000	0
IN031028	1	14	0	5000
IN031031	1	13	300	1500
IN031048	1	13	0	800
IN031050	1	13	0	200
IN031050	2	6	0	250
IN041012	1	13	3000	0
IN041012	2	13	4000	0
IN041027	1	15	0	15000
IN041027	2	13	0	2000
IN041029	1	13	-88	3000
IN041031	1	13	0	200
IN041031	2	13	0	200
IN041031	3	13	0	200
IN041045	1	13	0	300
IN041045	2	13	0	300
IN051002	1	13	150	300
IN051003	1	7	100	400
IN051003	2	16	500	0
IN051004	1	13	200	400
IN051005	1	13	50	300
IN051006	1	13	0	600
IN051007	1	13	0	900
IN051010	1	1	150	300
IN051012	1	13	0	1000
IN051013	1	7	200	400
IN051017	1	13	900	500
IN051022	1	13	200	600
IN051025	1	13	200	600
IN051029	1	13	0	1000
IN051030	1	13	1000	0
IN051031	1	13	-88	1000
IN051036	1	13	50	200
IN051038	1	13	5000	5000
IN051039	1	13	500	1000
IN051040	1	13	500	2000
IN051045	1	13	100	500
IN051045	2	16	1000	0
IN051045	3	7	2000	1000
IN051047	1	7	400	400
IN061001	1	14	0	2000
IN061002	1	13	0	1000
IN061010	1	7	1000	1000
IN061011	1	13	1000	2000
IN061013	1	13	1000	500
IN061015	1	13	1200	1500
IN061016	1	13	200	900
IN061017	1	13	500	1000
IN061018	1	13	300	700
IN061020	1	13	500	1000
IN061022	1	13	50	200
IN061025	1	13	500	500
IN061028	1	13	200	500
IN061030	1	13	1000	3000
IN061033	1	13	600	4000
IN061034	1	7	1000	1500
IN061035	1	13	8000	4000
IN061036	1	13	500	1000
IN061040	1	6	0	300
IN061040	2	9	0	500
IN061040	3	16	500	0
IN061041	1	13	300	600
IN061043	1	13	500	50
IN061044	1	13	1000	1000
IN061046	1	13	400	800
IN061047	1	13	150	600
IN061049	1	13	0	600
IN061050	1	13	300	500
IN071004	1	13	0	1500
IN071005	1	13	1500	600
IN071006	1	13	500	10000
IN071008	1	13	200	500
IN071009	1	7	2000	2000
IN071012	1	19	0	1000
IN071014	1	7	2000	800
IN071015	1	8	0	1000
IN071016	1	13	0	1000
IN071017	1	13	200	1000
IN071018	1	13	200	1500
IN071019	1	13	1000	1000
IN071025	1	13	300	250
IN071026	1	13	500	500
IN071029	1	8	0	2000
IN071029	2	13	0	2000
IN071030	1	8	0	5000
IN071032	1	13	300	2000
IN071035	1	13	600	400
IN071036	1	13	 	1200
IN071038	1	7	800	900
IN071040	1	13	200	1500
IN071041	1	6	12000	1000
IN071044	1	26	5000	4000
IN071045	1	13	0	500
IN071050	1	6	200	300
IN071050	2	14	300	200
IN081003	1	13	-88	1000
IN081005	1	13	-88	5000
IN081008	1	13	0	1000
IN081010	1	13	-88	2000
IN081014	1	13	-88	500
IN081015	1	13	-88	300
IN081021	1	13	0	2000
IN081022	1	7	-88	1000
IN081023	1	13	-88	1500
IN081028	1	13	0	1400
IN081030	1	11	-88	900
IN081031	1	13	-88	3000
IN081032	1	13	-88	2000
IN081037	1	13	-88	2000
IN081039	1	7	1000	3000
IN081042	1	7	-88	2000
IN081044	1	13	-88	1500
IN081046	1	13	0	600
IN081047	1	13	30000	48000
IN081050	1	13	-88	1800
IN091001	1	16	-88	1500
IN091003	1	13	-88	3000
IN091016	1	13	-88	500
IN091029	1	13	-88	1000
IN091031	1	13	-88	2000
IN091033	1	13	-88	1000
IN091042	1	13	-88	1000
IN101002	1	22	500	0
IN101003	1	6	12000	-88
IN101008	1	22	200	0
IN101019	1	14	5000	300
IN101024	1	22	1500	0
IN111002	1	13	200	1000
IN111004	1	7	3000	-88
IN111006	1	13	-88	2000
IN111008	1	13	2000	-88
IN111009	1	13	800	-88
IN111010	1	13	200	600
IN111011	1	13	600	1000
IN111013	1	13	1500	1500
IN111019	1	13	0	900
IN111020	1	7	 	4000
IN111021	1	13	-88	500
