CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
IN011001	1	2	1	12	30	1	0
IN011002	1	2	1	12	30	1	0
IN011003	1	2	1	12	30	1	0
IN011004	1	2	1	12	20	1	0
IN011004	2	6	2	4	5	8	2
IN011005	1	2	1	12	30	1	0
IN011006	1	2	1	12	30	2	0
IN011007	1	2	1	12	6	2	0
IN011008	1	2	1	12	30	1	0
IN011009	1	2	1	12	5	2	0
IN011012	1	2	1	12	30	1	0
IN011014	1	2	1	12	30	6	0
IN011015	1	2	1	12	28	2	0
IN011016	1	2	1	12	25	1	0
IN011019	1	4	1	5	20	1	0
IN011021	1	2	1	12	30	2	0
IN011023	1	2	1	12	12	1	0
IN011024	1	2	1	12	26	1	0
IN011026	1	2	1	2	15	1	0
IN011027	1	2	1	12	30	2	0
IN011028	1	6	2	8	25	10	1
IN011030	1	2	1	12	8	2	0
IN011031	1	6	2	10	20	10	1
IN011036	1	2	1	12	30	1	0
IN011037	1	2	1	12	30	1	0
IN011038	1	4	2	2	24	10	1
IN011038	2	2	1	12	30	1	0
IN011039	1	7	2	2	25	10	1
IN011039	2	4	2	2	10	4	1
IN011044	1	2	1	12	30	1	0
IN011044	2	1	2	3	20	6	1
IN011047	1	2	1	12	30	2	0
IN011048	1	2	1	12	30	1	0
IN011049	1	2	1	12	30	1	0
IN011050	1	2	1	12	30	2	0
IN021001	1	2	1	12	30	8	4
IN021001	2	6	2	3	26	7	1
IN021002	1	5	2	6	15	8	1
IN021002	2	2	1	12	27	2	4
IN021004	1	7	1	12	30	7	0
IN021005	1	2	1	3	25	2	0
IN021007	1	1	2	2	30	8	1
IN021007	2	2	1	3	15	3	0
IN021008	1	3	1	10	30	1	0
IN021008	2	2	1	12	24	2	0
IN021009	1	2	1	12	5	1	0
IN021009	2	1	2	1	7	3	1
IN021010	1	1	1	1	6	8	1
IN021010	2	2	1	3	20	2	0
IN021012	1	2	1	12	26	2	0
IN021012	2	1	2	2	20	6	1
IN021013	1	2	1	12	30	2	0
IN021013	2	1	1	3	10	1	0
IN021015	1	1	2	4	10	8	1
IN021015	2	2	1	10	20	2	0
IN021018	1	2	1	12	24	1	0
IN021020	1	2	1	2	30	2	0
IN021021	1	2	1	2	20	2	0
IN021021	2	1	2	1	4	8	1
IN021022	1	1	2	3	20	6	1
IN021022	2	2	1	3	24	2	0
IN021023	1	1	2	1	3	9	1
IN021023	2	2	1	12	10	1	0
IN021023	3	7	2	1	3	6	1
IN021024	1	2	1	3	20	2	0
IN021025	1	1	2	2	6	8	1
IN021025	2	2	1	12	8	1	0
IN021026	1	1	2	1	6	8	1
IN021026	2	2	1	2	20	2	0
IN021027	1	2	1	3	30	3	0
IN021028	1	2	1	4	30	1	0
IN021029	1	2	1	10	15	2	0
IN021030	1	1	1	3	5	5	0
IN021030	2	2	1	3	3	1	0
IN021031	1	1	1	6	15	8	0
IN021031	2	2	1	12	15	2	0
IN021032	1	1	2	12	25	8	1
IN021032	2	2	1	5	2	4	0
IN021033	1	2	1	12	24	2	0
IN021033	2	1	1	10	25	10	1
IN021034	1	1	2	6	15	8	1
IN021035	1	1	1	6	20	8	0
IN021035	2	2	1	12	30	4	0
IN021036	1	1	2	2	5	8	1
IN021036	2	2	1	5	2	1	0
IN021037	1	1	2	5	25	9	1
IN021037	2	6	2	3	10	8	1
IN021037	3	2	1	2	15	2	0
IN021038	1	1	2	4	25	7	1
IN021038	2	1	2	3	5	8	1
IN021038	3	6	2	3	10	7	1
IN021039	1	6	2	3	24	6	1
IN021042	1	2	1	3	20	2	0
IN021043	1	2	1	8	15	2	0
IN021043	2	1	1	2	30	4	1
IN021044	1	6	2	9	10	9	1
IN021044	2	2	1	10	5	2	0
IN021045	1	6	2	6	15	9	1
IN021046	1	2	1	12	25	2	0
IN021046	2	1	1	1	25	5	1
IN021047	1	2	1	12	28	2	0
IN021047	2	3	1	3	20	1	0
IN021049	1	2	1	12	30	2	0
IN021049	2	3	1	12	20	1	0
IN021050	1	6	2	3	15	8	1
IN021050	2	2	1	12	2	1	0
IN031003	1	4	1	12	30	3	0
IN031003	2	7	1	5	30	2	1
IN031016	1	4	2	12	26	11	1
IN031021	1	2	0	12	30	1	0
IN031028	1	2	1	12	30	4	0
IN031030	1	2	1	12	30	2	0
IN031032	1	6	1	4	15	8	1
IN031033	1	2	1	2	15	2	0
IN031035	1	6	1	3	30	8	1
IN031037	1	6	2	4	6	6	2
IN031039	1	2	1	12	25	1	0
IN031050	1	2	1	12	30	1	0
IN041001	1	2	1	2	20	1	0
IN041002	1	1	2	3	4	8	1
IN041002	2	1	1	4	5	6	0
IN041003	1	1	2	1	5	6	1
IN041003	2	2	1	12	30	1	0
IN041004	1	2	1	2	30	2	0
IN041006	1	2	1	3	20	1	0
IN041007	1	2	1	2	30	1	0
IN041009	1	1	1	3	3	6	0
IN041010	1	1	2	2	20	8	1
IN041010	2	2	2	2	10	8	0
IN041011	1	2	1	2	30	2	0
IN041011	2	1	2	2	10	8	1
IN041012	1	2	1	12	30	1	0
IN041013	1	7	1	3	5	6	0
IN041015	1	2	1	12	24	1	0
IN041015	2	6	1	1	7	6	1
IN041016	1	2	1	2	30	2	0
IN041017	1	6	2	1	7	8	1
IN041019	1	2	1	2	30	2	0
IN041020	1	2	1	2	30	1	0
IN041020	2	6	1	2	10	6	1
IN041021	1	6	2	2	4	8	1
IN041021	2	2	1	3	5	2	0
IN041022	1	1	2	1	10	8	1
IN041022	2	2	1	2	15	1	0
IN041023	1	1	2	6	10	7	1
IN041023	2	1	1	6	10	7	0
IN041023	3	2	1	12	5	1	0
IN041024	1	1	1	2	30	6	0
IN041024	2	6	1	1	6	5	1
IN041025	1	7	1	3	5	5	0
IN041026	1	1	2	3	20	6	1
IN041026	2	6	1	2	12	7	1
IN041026	3	2	1	9	30	2	0
IN041026	4	3	1	9	30	1	0
IN041031	1	1	1	12	30	1	0
IN041032	1	3	1	12	30	1	0
IN041033	1	6	2	2	15	7	1
IN041033	2	2	1	2	15	1	0
IN041036	1	2	1	2	26	1	0
IN041038	1	2	1	12	30	1	0
IN041039	1	2	1	12	30	2	0
IN041040	1	2	1	12	30	1	0
IN041043	1	2	1	2	10	1	0
IN041045	1	2	1	12	24	1	0
IN041046	1	2	1	2	10	2	0
IN041047	1	2	1	12	30	2	0
IN041049	1	7	1	10	5	2	0
IN051002	1	1	1	5	20	1	0
IN051005	1	1	1	4	6	1	0
IN051010	1	2	1	12	30	2	0
IN051013	1	1	2	6	15	6	1
IN051013	2	6	2	2	15	6	1
IN051014	1	6	2	6	20	6	1
IN051015	1	6	2	6	30	12	3
IN051016	1	1	1	8	5	1	0
IN051017	1	4	1	6	30	10	1
IN051019	1	5	2	10	20	10	1
IN051021	1	5	2	10	20	10	1
IN051022	1	2	1	12	30	3	0
IN051024	1	6	2	12	26	11	1
IN051025	1	2	1	12	30	2	0
IN051026	1	2	1	8	15	1	0
IN051028	1	6	2	10	20	10	1
IN051034	1	2	1	12	30	3	0
IN051037	1	2	1	12	30	2	0
IN051039	1	2	1	12	30	2	0
IN051040	1	2	1	12	30	1	0
IN051045	1	2	1	12	30	2	0
IN051046	1	6	2	10	24	9	1
IN051047	1	6	2	8	24	8	1
IN051050	1	6	2	12	30	7	2
IN061001	1	2	1	12	30	2	0
IN061002	1	2	1	12	30	2	0
IN061003	1	2	1	12	30	2	0
IN061004	1	1	1	2	24	6	1
IN061004	2	2	1	7	25	1	0
IN061006	1	6	2	12	30	8	1
IN061011	1	2	1	12	30	5	0
IN061012	1	2	1	12	30	4	0
IN061013	1	2	1	12	30	8	0
IN061014	1	2	1	10	20	1	0
IN061018	1	2	1	12	30	2	0
IN061020	1	2	1	12	30	2	0
IN061021	1	2	1	12	30	1	0
IN061022	1	2	1	12	30	6	0
IN061023	1	2	1	12	30	2	0
IN061025	1	2	1	12	20	1	0
IN061026	1	2	1	12	30	1	0
IN061026	2	7	1	3	26	9	1
IN061026	3	1	1	1	20	8	1
IN061028	1	2	1	12	20	3	0
IN061030	1	2	1	12	30	3	0
IN061031	1	6	1	3	26	10	1
IN061031	2	2	1	9	30	4	0
IN061032	1	2	1	12	30	3	0
IN061036	1	2	1	12	30	5	0
IN061037	1	2	1	10	20	1	0
IN061038	1	1	1	6	15	1	0
IN061039	1	2	1	12	30	1	0
IN061040	1	1	1	10	25	8	1
IN061041	1	2	1	4	20	1	0
