childid	id	nmprsdr3	nmdayr3	dywager3	tlwagdr3
PE018002	1	2	72	20	1440
PE018012	1	5	30	25	3750
PE018013	1	1	30	25	750
PE018045	1	2	6	40	180
PE018049	1	1	240	15	3600
PE028011	1	1	2	15	30
PE028013	1	2	2	15	60
PE028016	1	1	1	15	15
PE028017	1	10	4	15	600
PE028021	1	5	60	15	4500
PE028024	1	20	30	15	9000
PE038011	1	60	3	15	900
PE038017	1	6	3	10	180
PE038019	1	12	3	7	252
PE038021	1	9	4	7	252
PE038023	1	1	208	5	1040
PE048005	1	1	3	10	30
PE048008	1	2	20	15	250
PE048013	1	2	250	40	14400
PE048013	2	1	250	50	18000
PE048026	1	3	15	10	450
PE048026	2	3	1	10	30
PE058003	1	20	5	10	1000
PE058008	1	15	2	14	420
PE058011	1	10	9	12	1080
PE058014	1	32	2	15	480
PE058016	1	20	1	15	300
PE058019	1	2	3	12	72
PE058022	1	4	3	12	144
PE058023	1	20	20	20	400
PE058030	1	5	5	65	325
PE068012	1	1	7	10	70
PE068023	1	50	3	12	1800
PE068023	2	5	7	12	420
PE068023	3	5	7	12	420
PE078017	1	1	31	25	7800
PE078029	1	1	200	20	5200
PE078037	1	1	30	25	750
PE078051	1	3	10	25	750
PE078051	2	10	20	25	5000
PE078051	3	5	40	25	5000
PE088017	1	1	12	240	1260
PE088025	1	1	216	5	1080
PE098001	1	8	2	10	160
PE098004	1	3	20	10	200
PE098005	1	10	20	10	2000
PE098007	1	2	20	10	200
PE098008	1	3	3	13	117
PE098009	1	1	4	20	80
PE098010	1	2	90	15	1350
PE098011	1	3	4	12	144
PE098011	2	3	4	15	180
PE098013	1	4	10	80	800
PE098017	1	2	24	20	480
PE098020	2	1	240	25	6000
PE098021	1	32	3	15	1440
PE098026	1	3	10	10	100
PE098029	1	1	7	60	420
PE098029	2	2	7	40	280
PE098029	3	6	1	120	120
PE098029	4	1	6	7.5	45
PE108026	1	10	8	50	4000
PE108026	2	8	10	40	3200
PE108026	3	10	3	35	1050
PE118001	1	1	3	10	30
PE118005	1	1	6	20	120
PE118006	1	10	20	10	2000
PE118009	1	1	2	10	20
PE118010	1	4	2	9	72
PE118011	1	1	2	30	60
PE118011	2	9	1	10	90
PE118011	3	5	2	10	100
PE118017	1	1	2	20	40
PE118019	1	1	3	20	60
PE118019	2	1	3	15	45
PE118019	3	3	6	25	450
PE118019	4	1	2	20	40
PE118023	1	1	10	40	400
PE118027	1	20	1	10	200
PE118027	2	6	1	10	60
PE118027	3	5	2	10	100
PE118027	4	24	1	10	240
PE118029	1	12	1	10	120
PE128011	1	1	150	50	7500
PE128011	2	1	180	30	5400
PE128011	3	1	20	35	700
PE128039	1	1	60	24	1440
PE128045	1	1	1	20	20
PE138033	1	1	26	30	780
PE138040	1	2	6	60	18720
PE138047	1	1	132	7.30000019073486	968
PE148027	1	1	23	20	460
PE148032	1	1	60	40	2400
PE158009	1	3	80	15	3600
PE158013	1	12	1	40	480
PE158024	1	2	26	15	400
PE158031	1	6	90	20	10800
PE158031	2	3	216	20	12960
PE158036	1	10	6	15	900
PE158036	2	30	3	15	1350
PE158036	3	10	2	15	300
PE158036	4	9	4	20	720
PE158038	1	4	2	20	160
PE158038	2	4	3	20	240
PE158041	1	4	2	15	120
PE158041	2	9	7	15	945
PE158049	1	10	6	15	900
PE158049	2	5	20	15	1500
PE158051	1	1	21	42.9000015258789	900
PE158052	1	4	24	50	4800
PE158053	1	2	4	50	200
PE168002	1	2	3	15	90
PE168002	2	3	2	15	90
PE168006	1	5	1	75	75
PE168009	1	15	18	15	4050
PE168009	2	4	6	15	360
PE168010	1	3	2	15	90
PE168013	1	20	15	15	4500
PE168018	1	2	8	30	240
PE168020	1	10	5	15	750
PE168021	1	5	1	15	75
PE168021	2	5	2	15	150
PE168021	3	5	3	15	225
PE168025	1	15	6	15	1350
PE188007	1	4	40	18	2880
PE188010	1	4	2	20	160
PE188011	1	10	5	15	750
PE188011	2	10	5	15	750
PE188024	1	2	12	20	480
PE188026	1	1	1	20	20
PE188027	1	3	2	40	120
PE198006	1	3	1	35	105
PE198008	1	7	2	30	420
PE198009	1	6	2	30	360
PE198012	1	2	30	5	6000
PE198013	1	20	4	40	3200
PE198013	2	40	6	40	9600
PE198016	1	10	15	35	5250
PE198016	2	10	15	35	5250
PE198016	3	10	2	35	700
PE198016	4	10	2	35	700
PE198028	1	8	5	30	1200
PE198028	2	15	2	30	900
PE208024	1	2	4	10	160
PE208029	1	2	6	30	360
