childid	donfdid	dontypr3	donrcvr3	donamtr3	donmsrr3	donprcr3	prcmsrr3
PE018002	1	1	150	1	8	1	8
PE018002	2	9	150	1	7	.200000002980232	7
PE018003	1	10	360	1	8	1	8
PE018004	1	10	100	2	8	2.5	8
PE018007	1	1	150	3	8	.200000002980232	8
PE018007	2	9	155	3	7	.100000001490116	7
PE018010	1	8	12	2	2	2.5	2
PE018010	2	5	12	1	1	7	1
PE018010	3	6	12	1	3	1	3
PE018012	1	1	100	1	8	.5	8
PE018012	2	9	100	1	7	.100000001490116	7
PE018015	1	9	180	2	7	.200000002980232	7
PE018015	2	1	180	2	8	.5	8
PE018017	1	8	2	5	2	2.5	2
PE018018	1	10	15	4	8	.5	8
PE018018	2	1	100	1	8	.5	8
PE018018	3	9	100	1	7	.300000011920929	7
PE018019	1	1	30	3	8	.5	8
PE018019	2	9	30	3	7	.200000002980232	7
PE018020	1	10	300	1	8	.5	8
PE018020	2	9	270	1	7	.200000002980232	7
PE018020	3	1	270	2	3	.5	3
PE018027	1	9	160	2	7	.200000002980232	7
PE018027	2	10	160	2	8	.200000002980232	8
PE018028	1	1	365	1	8	1	8
PE018029	1	10	160	1	8	.5	8
PE018029	2	9	160	1	7	.300000011920929	7
PE018035	1	9	180	2	7	.200000002980232	7
PE018035	2	1	180	4	8	.200000002980232	8
PE018038	1	10	264	2	8	.5	8
PE018038	2	10	180	2	8	.5	8
PE018038	3	9	180	2	7	.200000002980232	7
PE018039	1	10	1	3	8	.5	8
PE018040	1	10	30	8	8	1.5	8
PE018044	1	1	170	1	8	.5	8
PE018045	1	9	34	1	7	.200000002980232	7
PE018046	1	10	200	2	8	.5	8
PE018047	1	1	200	1	8	.5	8
PE018047	2	9	200	1	7	.200000002980232	7
PE028006	1	10	10	1	8	1	8
PE028011	1	10	10	1	5	2	5
PE028012	1	8	4	4	2	1.60000002384186	2
PE028012	2	5	4	1	1	6	1
PE028012	3	7	4	2	6	3	6
PE028012	4	6	4	1	4	1.29999995231628	4
PE028016	1	8	8	2	2	1.79999995231628	2
PE028016	2	6	8	1	4	1.5	4
PE028016	3	5	8	1	1	7	1
PE028017	1	10	88	1	9	2	9
PE028022	1	10	190	1	8	.5	8
PE028022	2	10	60	1	5	1	5
PE028023	1	1	3	3	6	2.5	6
PE028023	2	3	3	1	2	2.5	2
PE028023	3	10	3	1	8	1	8
PE038002	1	1	12	1	8	.200000002980232	8
PE038004	1	3	6	4	2	2	2
PE038004	2	1	6	3	6	2	6
PE038006	1	1	12	5	1	1	1
PE038006	2	10	48	1	9	2	9
PE038009	1	9	39	1	7	.400000005960464	7
PE038009	2	1	10	1	2	2	2
PE038009	3	5	3	2	1	7	1
PE038009	4	8	3	2	2	1.20000004768372	2
PE038009	5	6	3	2	2	3	2
PE038012	1	1	220	1	8	1	8
PE038012	2	9	220	1	7	.5	7
PE038015	1	7	1	5	2	3.20000004768372	2
PE038017	1	1	52	1	8	.5	8
PE038017	2	9	160	1	7	.300000011920929	7
PE038019	1	5	10	2	1	6	1
