childid	id	nmprsmr3	nmmnthr3	mnwager3	tlwagmr3
PE028003	1	1	12	400	4800
PE028016	1	1	12	330	3960
PE058026	1	1	12	200	2400
PE068001	1	1	12	180	21600
PE068003	1	1	12	150	1800
PE068023	1	1	12	300	3600
PE068025	1	1	12	200	2400
PE078001	1	2	12	448	5376
PE078002	1	4	12	2650	31800
PE078004	1	8	12	4800	57600
PE078021	1	1	5	200	1000
PE078029	1	1	10	200	2000
PE078029	2	1	12	250	3000
PE088014	1	1	2	200	400
PE088029	1	1	7	200	1400
PE088029	2	1	7	50	350
PE098012	1	1	10	200	2000
PE098020	1	3	12	1000	21600
PE108007	1	1	8	50	400
PE108010	1	1	12	300	3600
PE108017	1	1	12	650	7800
PE108017	2	1	12	250	3000
PE108017	3	1	12	550	6600
PE108017	4	1	12	500	6000
PE108018	1	1	9	10	2860
PE108029	1	2	12	600	14400
PE118002	1	4	1	10	40
PE118018	1	1	6	10	60
PE128031	1	1	2	300	600
PE138005	1	3	12	600	21600
PE138005	2	1	12	200	2400
PE138013	1	5	12	4800	57600
PE138036	1	1	2	20	40
PE138038	1	3	3	2160	6480
PE148045	1	1	1	520	520
PE158007	1	2	12	320	7680
PE158011	1	8	3	400	1200
PE158040	1	3	3	1800	16200
PE158041	1	1	1	180	180
PE158041	2	1	7	400	2800
PE158042	1	4	4	260	4160
PE158049	1	1	9	400	3600
PE178001	1	7	1	140	980
PE198012	1	2	1	300	600
PE208002	1	1	3	480	1440
PE208011	1	2	6	600	7200
PE208015	1	1	2	400	800
PE208018	1	1	6	500	3000
PE208018	2	1	12	400	4800
PE208022	1	2	8	400	3200
PE208024	1	2	2	40	160
PE208042	1	2	2	150	600
PE208043	1	1	12	100	1200
PE208048	1	1	12	400	4800
