childid	grpid	groupr3	bcmmemr3	ldmemr3
PE018005	1	1	2	1
PE018009	1	2	1	1
PE018012	1	4	2	1
PE018016	1	1	3	1
PE018018	1	4	1	0
PE018019	1	4	1	0
PE018020	1	3	2	0
PE018024	1	2	3	0
PE018024	2	1	1	0
PE018024	3	15	1	1
PE018027	1	4	1	0
PE018034	1	2	3	1
PE018036	1	2	1	0
PE018038	1	2	2	0
PE018040	1	3	2	0
PE018042	1	2	3	1
PE018046	1	3	2	1
PE018049	1	2	3	0
PE018049	2	3	2	0
PE028001	1	2	3	0
PE028002	1	7	1	1
PE028014	1	3	3	0
PE028014	2	2	3	1
PE028016	1	2	2	0
PE038006	1	1	1	1
PE038012	1	3	1	0
PE038013	1	3	2	0
PE038013	2	4	2	1
PE038017	1	14	0	0
PE038021	1	1	3	1
PE038023	1	2	2	1
PE038023	2	1	2	1
PE038024	1	3	1	0
PE038025	1	1	1	0
PE048002	1	2	1	0
PE048005	1	2	2	0
PE048010	1	3	3	0
PE048012	1	2	2	0
PE048014	1	14	1	0
PE048020	1	15	2	1
PE048022	1	3	2	0
PE048025	1	3	3	0
PE048026	1	14	2	0
PE058004	1	2	2	0
PE058005	1	2	2	1
PE058006	1	2	3	0
PE058011	1	3	1	1
PE058022	1	3	2	0
PE058027	1	3	1	0
PE068001	1	3	2	0
PE068002	1	3	3	1
PE068003	1	14	2	0
PE068007	1	15	2	1
PE068008	1	4	2	0
PE068008	2	2	3	0
PE068013	1	1	2	0
PE068018	1	2	1	1
PE068019	1	3	2	0
PE068022	1	1	2	0
PE068022	2	3	2	0
PE068024	1	2	3	0
PE078001	1	14	1	0
PE078001	2	2	3	0
PE078002	1	13	1	0
PE078003	1	15	2	1
PE078003	2	13	1	1
PE078004	1	4	1	0
PE078005	1	14	2	0
PE078005	2	3	3	1
PE078005	3	2	3	1
PE078006	1	3	1	0
PE078010	1	14	1	0
PE078012	1	1	2	1
PE078014	1	2	1	0
PE078017	1	1	3	1
PE078017	2	4	3	0
PE078018	1	4	2	0
PE078019	1	4	3	0
PE078019	2	3	3	0
PE078023	1	4	2	1
PE078023	2	1	2	0
PE078027	1	14	1	1
