CHILDID	PASSID	ASSETR3	NUMOWNR3	VALASTR3	ASTACTR3
VN011001	1	24	1	30000	23
VN011001	2	23	1	20	23
VN011001	3	1	3	20	11
VN011001	4	8	1	1500	11
VN011002	1	1	4	200	11
VN011002	2	2	1	1200	11
VN011002	3	23	3	350	23
VN011003	1	1	6	350	11
VN011003	2	8	3	100	11
VN011003	3	40	5	50	30
VN011004	1	1	5	120	11
VN011004	2	2	1	1000	11
VN011004	3	3	1	50	11
VN011004	4	4	1	250	11
VN011004	5	8	4	560	11
VN011005	0	1	5	100	11
VN011005	1	1	5	100	11
VN011005	2	8	1	1000	11
VN011006	1	1	5	200	11
VN011006	2	2	1	2000	7
VN011006	3	3	1	50	11
VN011006	4	23	4	20	23
VN011008	1	1	4	100	11
VN011008	2	25	1	5000	23
VN011008	3	40	70	2000	14
VN011008	4	23	2	200	23
VN011009	1	1	4	100	11
VN011009	2	3	1	120	11
VN011009	3	8	3	250	11
VN011009	4	13	20	10000	14
VN011010	1	1	5	200	11
VN011010	2	8	4	160	11
VN011010	3	13	3	120	7
VN011011	1	1	3	50	11
VN011011	2	15	3	100	12
VN011011	3	24	1	3000	12
VN011011	4	40	1	1500	12
VN011012	1	1	5	100	11
VN011012	2	13	2	350	14
VN011012	3	8	1	200	11
VN011013	1	1	4	130	11
VN011013	2	8	4	350	11
VN011014	1	13	3	120	40
VN011015	1	1	3	80	11
VN011015	2	3	1	115	11
VN011016	1	1	11	300	11
VN011016	2	25	2	400	9
VN011017	1	1	5	250	11
VN011017	2	26	7	2600	21
VN011017	3	25	1	250000	24
VN011018	1	1	3	50	11
VN011018	2	13	2	65	7
VN011019	1	1	4	60	11
VN011019	2	8	3	50	11
VN011020	1	1	8	200	11
VN011020	2	3	1	80	11
VN011020	3	8	5	420	11
VN011020	4	15	10	250	12
VN011021	1	1	4	80	11
VN011021	2	10	5	100	7
VN011021	3	8	1	150	11
VN011022	1	1	4	40	11
VN011022	2	8	1	420	11
VN011024	1	1	4	120	11
VN011024	2	8	5	250	11
VN011024	3	13	3	1200	7
VN011025	1	1	4	150	11
VN011025	2	2	1	600	11
VN011025	3	8	5	250	11
VN011026	1	1	8	50	11
VN011026	2	25	1	2000	24
VN011028	1	1	7	200	11
VN011028	2	13	3	50	7
VN011029	1	1	5	120	11
VN011029	2	2	1	600	11
VN011029	3	3	1	80	11
VN011029	4	8	6	200	11
VN011030	1	1	5	100	11
VN011031	1	1	7	178	11
VN011032	1	1	5	200	11
VN011032	2	3	1	60	11
VN011032	3	8	6	180	11
VN011033	1	24	1	15000	23
VN011033	2	23	3	200	23
VN011033	3	40	1	2000	23
VN011033	4	25	1	500	23
VN011034	1	1	3	30	11
VN011034	2	23	2	500	23
VN011034	3	24	1	12000	23
VN011034	4	25	1	1000	23
VN011034	5	40	1	1000	23
VN011035	1	1	4	200	11
VN011035	2	99	13	100	7
VN011037	1	1	3	100	11
VN011037	2	8	3	520	11
VN011038	1	1	6	250	11
VN011038	2	2	1	600	11
VN011038	3	8	5	200	11
VN011038	4	25	1	10000	23
VN011039	1	1	8	50	11
VN011039	2	14	6	1000	9
VN011040	1	1	4	120	11
VN011040	2	3	1	80	11
VN011040	3	8	5	200	11
VN011041	1	1	8	200	11
VN011041	2	40	13	100	40
VN011041	3	8	1	500	11
VN011042	1	1	3	70	11
VN011043	1	1	2	60	11
VN011043	2	13	1	30	7
VN011044	1	1	8	200	11
VN011044	2	8	5	1200	11
VN011047	1	1	12	100	11
VN011047	2	13	15	300	7
VN011048	1	1	5	120	11
VN011050	1	1	3	100	11
VN011052	1	1	8	60	11
VN011052	2	23	19	2000	23
VN011061	1	1	3	95	11
VN011061	2	15	4	150	12
VN011061	3	24	1	9000	12
VN011063	1	1	5	150	11
VN011063	2	8	6	120	11
VN011069	1	1	6	250	11
VN011069	2	2	1	600	11
VN011069	3	3	1	70	11
VN011069	4	8	6	270	11
VN011074	1	13	2	100	7
VN011074	2	1	3	80	11
VN011088	1	1	10	1000	11
VN021002	1	1	3	60	11
VN021004	1	40	6	3000	10
VN021004	2	40	5	1000	10
VN021004	3	40	6	300	10
VN021005	1	24	1	20000	23
VN021005	2	25	1	1500	24
VN021007	1	15	-77	300	12
VN021008	1	15	-77	100	12
VN021009	1	17	5	3000	16
VN021011	1	30	1	60000	30
VN021011	2	40	1	20000	30
VN021011	3	40	3	2000	30
VN021011	4	23	3	200	23
VN021012	1	40	1	1000	11
VN021012	2	1	-77	400	11
VN021013	1	1	3	30	11
VN021014	1	23	4	100	23
VN021015	1	30	2	18000	30
VN021017	1	24	1	100000	23
VN021018	1	24	1	10000	2
VN021018	2	40	8	2000	12
VN021018	3	9	-77	1000	2
VN021020	1	25	1	3000	23
VN021022	1	25	1	6000	40
VN021022	2	13	-77	300	7
VN021022	3	1	10	250	11
VN021022	4	3	1	50	11
VN021023	1	40	1	5000	24
VN021023	2	23	4	400	23
VN021023	3	1	3	100	11
VN021023	4	3	1	60	11
VN021024	1	1	20	200	11
VN021024	2	40	1	2000	11
VN021024	3	4	1	200	11
VN021024	4	3	1	400	11
VN021025	1	1	4	100	11
VN021026	1	30	1	10000	30
VN021026	2	40	5	1000	30
VN021027	1	30	1	5000	30
VN021027	2	40	4	1000	30
VN021029	1	22	-77	500	22
VN021029	2	1	3	30	11
VN021030	1	1	4	80	11
VN021030	2	13	2	50	7
VN021031	1	3	1	80	11
VN021031	2	1	10	300	11
VN021031	3	8	2	700	11
VN021032	1	2	1	700	11
VN021032	2	1	-77	150	11
VN021033	1	2	1	1000	11
VN021033	2	4	2	200	11
VN021033	3	1	4	80	11
VN021034	1	1	3	100	11
VN021036	1	40	1	500	11
VN021036	2	1	-77	200	11
VN021037	1	4	1	100	11
VN021037	2	1	8	80	11
VN021037	3	3	1	30	11
VN021040	1	13	1	4000	7
VN021040	2	13	1	1200	7
VN021041	1	40	6	1000	30
VN021041	2	30	1	600	30
VN021041	3	1	8	150	11
VN021041	4	3	1	60	11
VN021042	1	1	10	320	11
VN021044	1	40	21	12000	30
VN021044	2	30	2	4000	30
VN021046	1	40	8	2000	30
VN021046	2	30	2	1000	30
VN021046	3	40	4	1000	30
VN021046	4	1	3	100	11
VN021046	5	3	1	50	11
VN021047	1	25	1	3000	23
VN021047	2	23	3	100	23
VN021048	1	40	25	7000	30
VN021048	2	40	1	3000	11
VN021048	3	30	2	2000	30
VN021048	4	40	1	1500	11
VN021049	1	24	1	2000000	23
VN021056	1	1	2	20	11
VN021069	1	1	5	20	11
VN021072	1	4	1	50	11
VN021072	2	3	1	200	11
VN021072	3	1	5	200	11
VN021089	1	23	1	1000	23
VN021089	2	15	-77	300	23
VN021089	3	1	5	200	11
VN021090	1	24	1	50000	23
VN021090	2	8	3	5000	11
VN021090	3	23	13	4300	23
VN021094	1	40	4	6000	11
VN021094	2	40	2	2000	11
VN021094	3	26	1	1000	21
VN021094	4	1	8	80	11
VN021094	5	4	1	60	11
VN031001	1	1	3	50	11
VN031002	1	1	10	300	11
VN031002	2	2	1	3000	11
VN031002	3	3	1	400	11
VN031002	4	4	2	600	11
VN031002	5	8	3	15000	11
VN031004	1	1	4	60	11
VN031004	2	4	1	100	11
VN031004	3	8	1	1000	11
VN031005	1	1	10	250	11
VN031005	2	2	1	1500	11
VN031005	3	4	2	350	11
VN031005	4	8	6	1200	11
VN031006	1	1	5	150	11
VN031006	2	2	1	3000	10
VN031006	3	3	1	60	11
VN031006	4	4	2	200	11
VN031006	5	8	4	2000	11
VN031007	1	1	8	100	11
VN031007	2	2	1	1500	11
VN031007	3	4	1	200	11
VN031007	4	8	3	1500	11
VN031008	1	1	6	200	11
VN031008	2	2	1	2000	11
VN031008	3	3	1	500	11
VN031008	4	4	1	400	11
VN031008	5	8	3	1000	11
VN031009	1	1	7	150	11
VN031009	2	2	1	1500	11
VN031009	3	8	2	1000	11
VN031009	4	4	2	300	11
VN031010	1	1	5	150	11
VN031010	2	2	1	1200	11
VN031010	3	4	2	400	11
VN031010	4	8	5	1500	11
VN031011	1	1	7	100	11
