CHILDID	GRPID	GROUPR3	BCMMEMR3	LDMEMR3
VN011004	1	13	3	1
VN011005	1	13	3	0
VN011011	1	13	3	1
VN011020	1	13	3	1
VN011022	1	1	1	0
VN011028	1	13	3	0
VN011028	2	88	99	99
VN011028	3	88	99	99
VN011029	1	1	1	0
VN011034	1	1	3	1
VN011041	1	1	2	0
VN011044	1	13	3	1
VN011052	1	1	2	0
VN011061	1	13	3	0
VN011074	1	1	1	0
VN011088	1	1	2	0
VN021005	1	15	1	0
VN021009	1	1	88	88
VN021017	1	4	2	0
VN021017	2	14	2	0
VN021023	1	1	2	1
VN021056	1	1	2	0
VN021072	1	14	3	1
VN021083	1	14	2	0
VN021089	1	4	2	0
VN021090	1	4	2	1
VN031001	1	1	2	0
VN031002	1	1	3	0
VN031011	1	1	2	0
VN031021	1	1	1	1
VN031033	1	1	3	1
VN031037	1	1	2	0
VN031038	1	1	2	0
VN031040	1	13	3	1
VN031043	1	1	3	1
VN031044	1	1	2	0
VN031045	1	1	2	0
VN031046	1	1	1	1
VN031048	1	1	2	0
VN031049	1	1	2	0
VN041015	1	1	2	0
VN041017	1	4	2	0
VN041028	1	14	3	0
VN041036	1	4	2	0
VN041037	1	1	2	0
VN041038	1	1	3	0
VN041046	1	14	2	0
VN041050	1	1	2	0
VN041114	1	2	3	1
VN041114	2	14	2	0
VN041130	1	13	3	1
VN051003	1	13	3	0
VN051004	1	2	3	0
VN051010	1	13	3	0
VN051011	1	13	3	0
VN051012	1	13	3	0
VN051013	1	1	3	0
VN051016	1	13	3	1
VN051018	1	1	3	0
VN051019	1	5	3	0
VN051023	1	13	3	0
VN051031	1	4	3	0
VN051031	2	4	2	0
VN051031	3	13	2	1
VN051032	1	13	3	0
VN051033	1	13	3	1
VN051038	1	4	3	0
VN051039	1	13	3	0
VN051042	1	1	2	0
VN051043	1	4	3	0
VN051048	1	13	2	0
VN051049	1	13	3	0
VN051070	1	13	3	0
VN061001	1	2	2	1
VN061003	1	13	3	0
VN061008	1	13	3	0
VN061009	1	1	2	0
VN061014	1	1	1	0
VN061016	1	2	3	1
VN061019	1	13	99	1
VN061020	1	2	3	1
VN061029	1	13	3	0
VN061032	1	13	3	0
VN061034	1	15	1	0
VN061035	1	1	1	0
VN061036	1	13	3	0
VN061037	1	13	3	0
VN061039	1	1	3	1
VN061048	1	13	1	0
VN061049	1	1	1	0
VN061055	1	1	3	0
VN071001	1	13	3	0
VN071003	1	13	3	0
VN071006	1	13	3	0
VN071013	1	13	3	0
VN071015	1	1	2	0
VN071020	1	13	3	0
VN071024	1	2	1	0
VN071026	1	1	2	0
VN071035	1	13	3	0
VN071036	1	13	3	0
VN071041	1	1	2	0
VN071046	1	13	3	1
VN071047	1	1	2	0
VN071120	1	13	3	0
VN071121	1	2	3	0
VN081007	1	13	3	0
VN081008	1	13	3	0
VN081011	1	4	3	0
VN081012	1	1	1	0
VN081023	1	13	3	0
VN081035	1	13	88	88
VN081036	1	1	3	0
VN081039	1	1	3	0
VN081042	1	13	3	0
VN081043	1	13	1	1
VN081045	1	15	1	0
VN081045	2	4	1	1
VN081047	1	13	3	0
VN081049	1	13	1	1
VN081105	1	1	2	0
VN081139	1	13	3	0
VN091003	1	1	3	0
VN091024	1	1	3	0
VN091031	1	1	1	0
VN091048	1	1	3	1
VN091048	2	15	3	0
VN101014	1	1	2	0
VN101017	1	1	2	0
VN101021	1	2	1	0
VN101027	1	1	2	0
VN101029	1	2	2	0
VN101031	1	14	3	0
VN101036	1	1	2	0
VN101037	1	1	2	0
VN101039	1	1	2	0
VN101043	1	1	1	0
VN101044	1	1	3	0
VN101064	1	1	1	0
VN111002	1	13	3	1
VN111002	2	13	3	0
VN111002	3	13	2	0
VN111013	1	4	2	0
VN111014	1	15	3	1
VN111015	1	1	2	0
VN111016	1	13	3	1
VN111016	2	13	3	1
VN111017	1	13	3	0
VN111019	1	2	2	0
VN111025	1	13	3	0
VN111031	1	1	2	0
VN111035	1	4	2	0
VN111036	1	13	3	0
VN111041	1	1	1	0
VN111041	2	2	1	0
VN121003	1	4	1	0
VN121008	1	2	3	1
VN121022	1	1	2	0
VN121025	1	14	1	1
VN121032	1	1	1	0
VN121041	1	1	2	0
VN121047	1	13	1	0
VN121094	1	14	1	1
VN131007	1	1	3	0
