CHILDID	CROPID	CROPR3	QNTHRVR3	QNTUNTR3	VLSLDR3	CRPCSTR3
ET010048	1	41	12	56	144	30
ET010048	2	10	4	3	60	15
ET010048	3	75	2	2	1200	300
ET010048	4	124	2	2	1400	400
ET010048	5	55	1	41	200	50
ET010055	1	15	2	2	900	120
ET010055	2	75	2.5	2	1150	250
ET010055	3	76	2	2	2000	300
ET010056	1	10	5	3	100	20
ET010056	2	44	50	1	200	40
ET010056	3	75	4	2	1600	1080
ET010056	4	8	6	2	3000	620
ET010056	5	123	4	2	800	300
ET020016	1	21	100	10	700	0
ET020016	2	15	4	2	2000	1000
ET020016	3	8	3	2	2500	1425
ET020016	4	42	2	2	1400	165
ET020016	5	123	3	2	600	65
ET020016	6	96	3	2	1600	125
ET020022	1	15	7	2	4200	1500
ET020076	1	10	-77	77	5000	3000
ET020076	2	96	7	2	1200	1400
ET020076	3	31	100	3	600	0
ET030096	1	19	1	2	350	49
ET030096	2	35	15	1	70	25
ET030096	3	8	4	2	3200	1280
ET040002	1	42	50	1	250	50
ET040009	1	76	2	41	1000	0
ET040009	2	42	1	41	200	0
ET040009	3	130	2.5	41	700	0
ET040011	1	5	10	41	3000	35
ET040013	1	5	3	2	1080	300
ET040014	1	124	2	41	616	320
ET040015	1	5	7	2	500	50
ET040016	2	42	100	1	1200	100
ET040016	3	5	1	2	1500	120
ET040016	4	75	50	1	289	60
ET040016	5	8	2	2	4400	300
ET040016	6	130	100	1	1800	130
ET040031	1	5	2.5	2	400	100
ET040047	2	5	3	40	600	20
ET040047	3	5	3	40	600	20
ET040058	1	5	7.5	2	4052	102
ET040058	2	75	2.5	2	1445	44
ET040058	3	42	1	2	640	0
ET040058	4	49	3	2	2160	0
ET040058	5	124	1.5	2	576	0
ET040059	1	5	5	2	1666.65	500
ET040065	1	125	3	2	1000	100
ET040065	2	5	2	2	933	80
ET040071	1	75	50	1	300	0
ET040075	1	5	3	2	1400	91
ET040076	1	8	1	2	666	25
ET040084	1	19	2.5	2	1100	107.5
ET040084	2	75	3	2	1600	107.5
ET040084	3	50	10	52	130	0
ET040084	4	21	40	56	1000	0
ET040085	1	5	10	3	1950	470
ET040086	1	8	2	2	1700	30
ET040086	2	5	3.5	2	1700	170
ET040086	3	125	1.5	2	600	0
ET040086	4	19	1	2	500	30
ET040086	5	75	1.5	2	900	160
ET040086	6	42	1	2	500	252
ET040087	1	75	2	41	500	180
ET040087	2	125	2	41	480	167
ET040087	3	5	2	2	866	80
ET040089	1	125	2	2	933	140
ET040089	2	8	1.5	2	1000	72
ET050001	1	5	0	88	-88	88
ET050001	2	125	150	1	450	0
ET050002	1	5	2	2	990	0
ET050002	2	50	1	2	600	0
ET050002	3	42	.5	2	368	0
ET050002	4	125	4.5	2	1485	0
ET050002	5	130	1	2	495	0
ET050002	6	75	5.5	2	3267	0
ET050004	1	44	30	1	120	0
ET050004	2	8	250	1	1700	0
ET050006	1	125	1071	1	3213	0
ET050006	2	42	102	1	680	0
ET050008	1	125	300	1	900	0
ET050008	2	5	500	1	1250	0
ET050008	3	75	300	1	1500	150
ET050009	1	125	250	1	833	25
ET050009	2	15	100	1	333	25
ET050009	3	8	100	1	666	0
ET050009	4	44	0	88	-88	-88
ET050010	1	44	0	88	-88	0
ET050010	2	8	250	1	1666	20
ET050010	3	8	300	1	2000	20
ET050010	4	130	100	1	433	0
