CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
ET010002	1	5	0	300
ET010009	1	6	500	0
ET010009	2	14	300	0
ET010014	1	7	1200	0
ET010016	1	6	0	30
ET010021	1	6	1500	0
ET010026	1	17	960	30
ET010029	1	18	800	120
ET010030	1	19	1000	0
ET010041	1	22	0	250
ET010062	1	5	0	500
ET010062	2	6	0	1500
ET010065	1	6	300	350
ET010077	1	18	400	44.5
ET010084	1	6	300	0
ET010091	1	19	1000	500
ET010094	1	22	100	0
ET010094	2	19	0	400
ET020008	1	19	150	0
ET020015	1	22	-77	-77
ET020017	1	17	200	0
ET020028	1	22	30	0
ET020037	1	22	400	0
ET020046	1	14	0	35
ET020047	1	5	1000	0
ET020056	1	5	300	0
ET020060	1	5	200	0
ET020061	1	8	300	900
ET020062	1	6	200	0
ET020065	1	5	84	0
ET020071	1	14	200	70
ET020076	1	17	0	150
ET020077	1	5	500	0
ET020080	1	13	1000	0
ET020091	1	5	600	0
ET020091	2	6	200	0
ET020091	3	6	200	0
ET030006	1	6	500	140
ET030020	1	16	50	50
ET030023	1	22	180	1700
ET030023	2	6	600	1100
ET030024	1	22	500	0
ET030028	1	19	1500	0
ET030031	1	6	500	200
ET030031	2	5	500	200
ET030048	1	22	500	400
ET030063	1	22	1800	500
ET030070	1	13	1200	1000
ET030071	1	6	700	0
ET030071	2	13	600	0
ET030082	1	22	0	300
ET030084	1	6	500	100
ET030086	1	22	135	100
ET030089	1	5	150	0
ET040005	1	13	10000	0
ET040016	1	18	800	0
ET040023	1	5	500	0
ET040029	1	5	3600	600
ET040030	1	13	400	0
ET040038	1	13	50	50
ET040044	1	22	300	0
ET040053	1	13	1200	0
ET040053	2	19	750	0
ET040065	1	6	500	-88
ET040077	1	6	2000	0
ET040079	1	14	2400	0
ET040093	1	13	350	0
ET050065	1	9	2700	0
ET050085	1	5	0	80
ET060004	1	14	0	40
ET060005	1	5	4	20
ET060005	2	6	10	20
ET060009	1	13	0	10
ET060010	1	19	10	0
ET060013	1	13	150	0
ET060014	1	13	0	20
ET060016	1	7	50	0
ET060018	1	13	100	0
ET060018	2	19	0	60
ET060019	1	13	0	50
ET060020	1	22	0	20
ET060023	1	13	0	20
ET060025	1	7	0	50
ET060026	1	19	0	32
ET060027	1	13	0	20
ET060027	2	5	0	30
ET060030	1	13	10	4
ET060030	2	13	10	4
ET060031	1	5	0	8
ET060031	2	13	0	26
ET060032	1	13	60	0
ET060032	2	22	50	0
ET060032	3	19	15	0
ET060039	1	13	30	0
ET060039	2	6	0	30
ET060041	1	7	2700	100
ET060046	1	5	0	32
ET060047	1	14	10	50
ET060047	2	14	10	50
ET060048	1	19	50	250
ET060051	1	1	0	30
ET060051	2	22	20	0
ET060055	1	5	40	4
ET060055	2	14	40	5
ET060056	1	7	30	0
ET060059	1	13	0	60
ET060059	2	17	0	70
ET060060	1	7	0	2000
ET060063	1	13	0	120
ET060063	2	13	0	20
