CHILDID	PLOTID	LAREAR3	LUNITR3	LOWNR3	LUSER3	COLLATR3	TRANSR3	LNDCRTR3	SEECRTR3
ET010006	1	350	17	2	8	88	88	88	88
ET010006	2	4	17	2	9	88	88	88	88
ET010014	1	16	17	2	1	0	0	2	88
ET010028	1	500	17	2	3	0	0	2	88
ET010030	1	46	17	1	1	0	1	88	88
ET010030	2	6	17	2	3	0	0	88	88
ET010033	1	96	17	2	20	88	88	88	88
ET010046	1	2	17	2	20	88	88	88	88
ET010048	1	1	4	1	2	1	1	1	2
ET010048	2	1	4	1	5	1	1	1	2
ET010048	3	1	4	1	5	1	1	1	2
ET010049	1	8	17	2	20	88	88	88	88
ET010050	1	15	17	1	1	0	1	88	88
ET010054	1	250	17	1	3	0	1	2	88
ET010055	1	.5	4	1	1	0	1	2	88
ET010055	2	1	4	1	5	0	1	2	88
ET010055	3	1	4	1	5	0	1	2	88
ET010055	4	1	4	1	5	0	1	2	88
ET010055	5	1	4	1	5	0	1	2	88
ET010056	1	1	5	1	4	1	1	1	1
ET010056	2	3	5	1	5	1	1	1	1
ET010056	3	2	5	1	5	1	1	1	1
ET010056	4	2	5	1	13	1	1	1	1
ET010056	5	1	5	1	5	1	1	1	1
ET010056	6	2	5	1	5	1	1	1	1
ET010062	1	4	17	2	8	88	88	88	88
ET010062	2	4	17	2	9	88	88	88	88
ET010066	1	9	17	2	8	0	0	2	88
ET010068	1	2	17	6	20	0	0	88	88
ET010081	1	6	17	2	8	88	88	88	88
ET010084	1	.5	4	1	10	0	2	1	1
ET010084	2	6	9	2	3	88	88	88	88
ET010086	1	12	17	2	3	88	0	88	88
ET010090	1	250	17	1	1	0	1	88	88
ET010091	1	20	17	1	1	0	1	88	88
ET010097	1	1000	17	1	8	1	1	2	88
ET010099	1	131	17	1	3	1	1	88	2
ET020005	1	42	17	1	1	0	1	88	88
ET020007	1	25	17	1	1	0	1	2	88
ET020008	1	250	17	1	1	0	1	88	88
ET020011	1	250	15	1	1	0	0	88	88
ET020016	1	2	5	1	2	1	1	2	88
ET020016	2	6	5	1	5	1	1	2	88
ET020016	3	4	5	1	5	1	1	2	88
ET020016	4	6	5	1	5	1	1	2	88
ET020016	5	1	5	1	5	1	1	2	88
ET020016	6	.5	5	1	5	1	1	2	88
ET020017	1	8	17	2	3	0	0	88	88
ET020020	1	250	17	1	1	0	1	88	88
ET020022	1	3	5	1	5	1	1	1	2
ET020022	2	200	2	1	1	1	1	1	2
ET020024	1	28	17	1	1	1	1	88	88
ET020027	1	1	5	1	10	1	1	88	88
ET020029	1	9	17	1	1	1	1	88	88
ET020030	1	20	17	1	1	0	1	88	88
ET020031	1	400	17	1	3	1	1	88	88
ET020037	1	9	17	2	3	0	0	88	88
ET020037	2	2	4	1	10	1	1	1	2
ET020037	3	3	4	1	10	1	1	1	2
ET020037	4	3	4	1	10	1	1	1	2
ET020045	1	200	17	1	1	0	1	88	88
ET020047	1	180	17	1	1	1	1	88	88
ET020053	1	16	17	2	1	0	0	88	88
ET020056	1	20	17	1	1	0	0	88	88
ET020060	1	4	17	2	8	0	0	88	88
ET020064	1	6	17	2	3	0	0	88	88
ET020067	1	500	17	1	1	0	1	88	88
ET020070	1	240	17	1	1	1	1	88	88
ET020070	2	32	17	1	9	1	1	88	88
ET020071	1	6	17	2	8	0	0	88	88
ET020072	1	120	17	1	1	1	1	88	88
ET020076	1	240	17	1	1	1	1	88	88
ET020076	2	2	4	1	2	1	1	1	2
ET020076	3	1	4	1	20	1	1	1	2
ET020076	4	5.05	4	1	10	1	1	1	2
ET020078	1	500	17	1	3	1	1	88	88
ET020078	2	9	17	2	8	0	0	88	88
ET020083	1	15	17	3	1	0	0	88	88
ET020086	1	400	17	1	1	0	0	88	88
ET020090	1	195	17	1	1	0	1	88	88
ET020091	1	65	17	1	1	1	1	88	88
ET020098	1	500	17	1	1	0	1	88	88
ET020099	1	450	17	1	1	0	1	88	88
ET030013	1	250	17	1	3	1	1	88	88
