CHILDID	PLOTID	PLINCMR3	PLVALR3	PLLCSTR3
ET010006	1	1	111000	62280
ET010006	2	1	6000	1920
ET010056	1	1	3600	2400
ET010062	1	1	7200	1560
ET010062	2	1	6000	1944
ET010066	1	1	7200	2500
ET010068	1	1	14400	4320
ET010081	1	1	5420	670
ET010084	1	1	240	0
ET010084	2	0	-88	0
ET010086	1	1	14400	1560
ET010099	1	1	108000	13540
ET020027	1	1	450	100
ET020031	1	1	3120	0
ET020037	2	1	2400	0
ET020037	3	1	3200	300
ET020037	4	1	1500	0
ET020070	2	1	2400	120
ET020076	4	1	1400	850
ET030013	1	1	2400	0
ET030034	1	1	10560	0
ET030047	1	1	3600	0
ET030072	1	1	3000	600
ET030077	1	1	4200	0
ET030088	1	1	16000	0
ET030088	2	1	7200	0
ET040001	1	1	200	0
ET040003	1	1	480	300
ET040003	2	1	2000	600
ET040004	2	1	14000	6000
ET040004	3	1	16000	11000
ET040005	1	1	126000	90000
ET040006	1	1	860	30
ET040008	1	1	1000.5	240
ET040012	1	1	885	0
ET040013	1	0	-88	0
ET040018	2	1	9600	3600
ET040019	2	1	9000	3600
ET040020	1	1	1000	0
ET040025	2	1	255	150
ET040026	1	1	119	0
ET040028	1	1	210	20
ET040028	2	1	500	35
ET040029	1	0	-88	15
ET040032	1	1	1320	0
ET040033	2	1	830	50
ET040033	3	1	210	0
ET040034	1	1	160	30
ET040034	3	1	600	0
ET040035	1	1	400	35
ET040036	1	1	550	0
ET040042	2	0	0	-88
ET040042	3	0	0	-88
ET040042	4	0	0	-88
ET040044	2	1	2000	1200
ET040046	1	1	680	30
ET040048	2	1	60000	5000
ET040048	3	1	16000	0
ET040049	2	1	1200	0
ET040051	1	1	1200	0
ET040052	2	1	15000	2000
ET040052	3	1	12000	1000
ET040054	2	1	15840	4800
ET040055	2	1	462	0
ET040055	3	1	352	0
ET040055	6	1	600	0
ET040057	2	1	300000	120000
ET040057	3	1	36000	20000
ET040068	1	1	920	33
ET040072	1	1	1833.33	0
ET040073	1	1	520	15
ET040077	2	1	600	15000
ET040078	1	1	1200	700
ET040079	2	1	12000	0
ET040081	1	1	440	30
ET040082	1	1	540	0
ET040090	1	1	210	80
ET040095	1	0	-88	33
ET050003	2	1	340	0
ET050003	3	1	952	0
ET050004	3	1	350	0
ET050007	2	1	476	0
ET050007	3	1	235	0
ET050014	1	1	672	0
ET050016	2	1	578	0
ET050016	3	1	340	0
ET050017	2	1	250	0
ET050017	3	1	240	0
ET050024	1	1	170	0
ET050024	3	1	238	0
ET050025	1	1	1190	0
ET050030	2	1	750	0
ET050034	2	1	180000	0
ET050034	3	1	1800	0
ET050035	2	1	495	0
ET050037	2	1	990	0
ET050037	3	1	330	0
ET050041	2	1	622	0
ET050041	3	1	222	0
ET050041	4	1	111	0
ET050042	1	1	160	0
ET050042	2	1	160	0
ET050046	1	1	336	0
ET050046	2	1	168	0
ET050046	3	1	337	0
ET050049	4	1	660	0
ET050049	5	1	180	0
ET050050	1	1	360	0
ET050052	2	1	480	0
ET050052	3	1	528	0
ET050053	2	1	120	34.5
ET050055	3	1	1000	0
ET050056	2	1	680	0
ET050057	2	1	150	0
ET050057	3	1	204	0
