CHILDID	WORKID	ACTR3	ACTOWNR3	ACTMNYR3	ACTHPYR3
ET020001	1	2	1	0	5
ET030071	1	21	2	1	5
ET050043	1	2	1	0	5
ET060073	1	1	2	2	5
ET070099	1	5	2	1	3
ET080041	1	24	1	0	4
ET080041	2	7	1	0	4
ET080042	1	2	1	0	2
ET080042	2	2	1	0	2
ET100030	1	23	1	3	2
ET100086	1	25	2	1	1
ET110028	1	1	3	3	3
ET110099	1	1	2	2	2
ET110099	2	1	2	2	2
ET130076	1	7	2	1	4
ET140062	1	7	1	0	5
ET140073	1	24	1	0	5
ET170001	1	24	1	0	5
ET170002	1	24	1	0	5
ET170003	1	2	1	0	5
ET170004	1	7	1	0	5
ET170004	2	24	1	0	5
ET170004	3	20	1	0	5
ET170005	1	7	1	0	4
ET170006	1	2	1	0	5
ET170007	1	23	1	2	1
ET170007	2	4	1	2	4
ET170008	1	2	1	0	5
ET170009	1	1	1	0	5
ET170010	1	24	1	0	4
ET170011	1	2	1	0	1
ET170012	1	20	1	0	5
ET170012	2	2	1	0	5
ET170013	1	2	1	0	1
ET170015	1	20	1	0	5
ET170016	1	24	1	0	5
ET170017	1	2	1	0	5
ET170018	1	24	1	0	4
ET170019	1	20	1	0	5
ET170019	2	2	1	0	5
ET170020	1	24	1	0	3
ET170021	1	20	1	0	5
ET170021	2	24	1	0	5
ET170023	1	2	1	0	2
ET170023	2	24	1	0	2
ET170024	1	2	1	0	5
ET170025	1	2	1	0	5
ET170026	1	2	1	0	5
ET170027	1	2	1	0	5
ET170028	1	2	1	0	3
ET170029	1	24	1	0	5
ET170030	1	2	1	0	5
ET170031	1	24	1	0	5
ET170032	1	2	1	0	5
ET170033	1	2	1	0	3
ET170034	1	2	1	0	3
ET170034	2	24	1	0	3
ET170035	1	24	1	0	5
ET170036	1	2	1	0	3
ET170037	1	7	1	0	5
ET170038	1	2	1	0	5
ET170038	2	24	1	0	5
ET170039	1	2	1	0	5
ET170039	2	20	1	0	5
ET170041	1	20	1	0	5
ET170041	2	2	1	0	5
ET170041	3	2	1	0	5
ET170042	1	2	1	0	2
ET170043	1	24	1	0	5
ET170044	1	24	1	0	5
ET170045	1	20	1	0	5
ET170046	1	2	1	0	4
ET170047	1	24	1	0	5
ET170047	2	20	1	0	5
ET170048	1	7	1	0	1
ET170049	1	7	1	0	4
ET170049	2	24	1	0	3
ET170050	1	20	1	0	5
ET170050	2	7	1	0	5
ET170051	1	24	1	0	2
ET170052	1	7	1	0	1
ET170053	1	24	1	0	3
ET170054	1	24	1	0	5
ET170055	1	24	1	0	4
ET170056	1	24	1	0	5
ET170056	2	21	1	0	5
ET170057	1	24	1	0	5
ET170058	1	7	1	0	5
ET170060	1	7	1	0	3
ET170061	1	24	1	0	5
ET170062	1	20	1	0	4
ET170063	1	2	1	0	5
ET170063	2	24	1	0	5
ET170064	1	24	1	0	3
ET170065	1	24	1	0	1
ET170065	2	20	1	0	2
ET170066	1	2	1	0	5
ET170067	1	24	1	0	5
ET170067	2	7	1	0	5
ET170069	1	7	1	0	5
ET170069	2	24	1	0	5
ET170070	1	24	1	0	2
ET170071	1	24	1	0	2
ET170072	1	24	1	0	5
ET170072	2	20	1	0	5
ET170073	1	24	1	0	3
ET170075	1	24	1	0	5
ET170076	1	20	1	0	5
ET170076	2	24	1	0	5
ET170077	1	7	1	0	4
ET170078	1	20	1	0	5
ET170079	1	7	1	0	5
ET170080	1	7	1	0	5
ET170081	1	7	1	0	5
ET170082	1	7	1	0	4
ET170083	1	7	1	0	3
ET170084	1	20	1	0	5
ET170084	2	7	1	0	4
ET170085	1	7	1	0	3
ET170086	1	7	1	0	4
ET170087	1	7	1	0	5
ET170088	1	24	1	0	4
ET170089	1	7	1	0	4
ET170090	1	7	1	0	5
ET170093	1	24	1	0	5
ET170094	1	24	1	0	3
ET170094	2	20	1	0	3
ET170095	1	7	1	0	5
ET170096	1	7	1	0	5
ET170097	1	20	1	0	2
ET170098	1	24	1	0	5
ET170099	1	24	1	0	5
ET170100	1	7	1	0	4
ET170100	2	24	1	0	4
ET200001	1	24	1	0	1
ET200002	1	7	1	0	4
ET200003	1	21	1	1	5
ET200004	1	24	1	0	4
ET200004	2	20	1	0	4
ET200005	1	7	1	0	4
ET200006	1	24	1	0	5
ET200007	1	24	1	0	4
ET200008	1	20	1	0	5
ET200009	1	20	1	0	5
ET200009	2	24	1	0	4
ET200010	1	7	1	0	5
ET200011	1	24	1	0	5
