childid	id	memsex	age	relate	livhse	hsstrtr3	stryrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	grdrpr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	nmeslpr3	chcarer3	hhchrer3	nmehhcr3	npywrkr3	nmenpyr3	paywrkr3	nmepayr3	schoolr3	studyr3	playr3	neg1day	ineg1w	ineg1wag	ineg2day	ineg2w	ineg2wag
IN010001	0	1	7	0	1	1	5	2	2	1	 	 	 	2	2300	0	17	11	23	7	10	1	0	0	 	0	 	0	 	7	4	3	 	 	 	 	 	 
IN010001	1	1	34	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	25	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010001	2	2	26	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010001	3	2	4	7	1	 	 	 	 	 	 	 	 	 	 	0	17	11	23	7	10	 	0	0	 	0	 	0	 	7	4	3	 	 	 	 	 	 
IN010002	0	1	8	0	1	1	5	9	3	1	 	 	 	2	3000	0	17	10	25	7	10	1	0	0	 	0	 	0	 	8	1	5	 	 	 	 	 	 
IN010002	1	1	48	1	1	 	 	 	 	 	 	 	 	 	 	3	15	5	15	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010002	2	2	39	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	24	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010003	0	1	8	0	1	1	5	8	2	1	 	 	 	2	 	0	17	10	23	7	9	1	0	0	 	0	 	0	 	7	1	7	 	 	 	 	 	 
IN010003	1	2	 	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010003	2	1	37	1	1	 	 	 	 	 	 	 	 	 	 	0	10	8	20	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010003	3	2	29	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010003	4	2	6	7	1	1	5	0	1	1	 	 	 	1	 	0	17	10	23	7	10	 	0	0	 	0	 	0	 	7	1	6	 	 	 	 	 	 
IN010004	0	2	8	0	1	1	6	0	2	1	 	 	 	2	2500	0	17	10	24	9	9	1	0	0	 	0	 	0	 	9	1	5	 	 	 	 	 	 
IN010004	1	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	25	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010004	2	2	34	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010004	3	2	13	7	1	1	5	0	8	1	 	 	 	2	4000	0	17	10	24	9	8	 	1	0	 	0	 	0	 	9	1	5	 	 	 	 	 	 
