CHILDID	CROPID	CROPR3	QNTHRVR3	VLSLDR3	CRPCSTR3
IN010023	1	53	105	91000	50000
IN010051	1	53	100	51000	32000
IN010052	1	53	75	65000	30000
IN020001	1	30	2	0	500
IN020002	1	30	1.5	0	500
IN020002	2	48	7	31500	4000
IN020003	1	30	.5	0	800
IN020003	2	48	0	0	500
IN020004	1	30	4	10000	1700
IN020005	1	48	0	0	0
IN020006	1	48	3	12000	3000
IN020006	2	30	.05	0	1000
IN020007	1	48	1	4500	1500
IN020007	2	37	2	2400	900
IN020007	3	30	.1	350	150
IN020007	4	57	.2	300	100
IN020008	1	71	1	2500	3500
IN020008	2	48	5	20000	5000
IN020008	3	30	.4	1000	500
IN020008	4	52	1	1000	400
IN020009	1	48	20	22500	4000
IN020009	2	37	.5	0	500
IN020010	1	37	.5	0	300
IN020010	2	19	3	4000	1000
IN020010	3	30	2	0	800
IN020010	4	52	1	0	150
IN020011	1	37	7	0	1500
IN020011	2	30	9	22500	3000
IN020014	1	48	15	52500	15000
IN020014	2	52	8	0	1500
IN020015	1	37	3	0	400
IN020015	2	30	1	0	300
IN020016	1	48	10	40000	4000
IN020016	2	30	.5	600	300
IN020016	3	37	.3	540	300
IN020017	1	48	0	0	500
IN020017	2	30	5	22500	4000
IN020018	1	48	6	27000	3000
IN020018	2	19	.8	2400	800
IN020018	3	99	0	0	5000
IN020019	1	48	2	8000	2000
IN020022	1	53	60	38400	15945
IN020022	2	48	1	10000	3000
IN020024	1	18	2	36000	26000
IN020025	1	18	20	50000	17000
IN020030	1	18	3	7500	3500
IN020031	1	30	14	35000	14600
IN020033	1	48	6	24000	6000
IN020035	1	71	18	216000	166520
IN020041	1	53	22.5	13650	7500
IN020041	2	71	8	60000	35000
IN020043	1	53	46	0	26000
IN020043	2	71	182	2004000	2210000
IN020044	1	53	25	0	9500
IN020049	1	71	70	840000	521700
IN020050	1	53	28	10500	5000
IN020052	1	53	25	15000	8500
IN020052	2	71	8	120000	70000
IN020053	1	18	4	6400	5000
IN020053	2	53	30	15000	8000
IN020053	3	48	5	48000	18000
IN020054	1	53	25	9000	13200
IN020054	2	44	15	9750	6900
IN020057	1	53	60	21000	17000
IN020057	2	44	30	24000	8000
IN020061	1	53	38	24700	14000
IN020061	2	71	24	360000	240000
IN020061	3	44	60	39000	27000
IN020063	1	48	8	28000	4000
IN020064	1	18	7	12600	9520
IN020065	1	71	32	480000	365000
IN020070	1	53	25	8250	16250
IN020070	2	30	2	4600	2950
IN020071	1	53	20	14000	4500
IN020072	1	53	40	25840	16100
IN020072	2	18	2	5000	4980
IN020074	1	53	15	13000	9000
IN020074	2	30	.35	1750	500
IN020076	1	53	16	0	7580
IN020076	2	44	12	14400	8000
IN020078	1	53	10	0	5000
IN020078	2	30	4	8000	1500
IN020080	1	53	60	10300	13500
IN020081	1	53	24	14400	13100
IN020083	1	53	50	36750	30600
IN020083	2	44	16	10400	7100
IN020086	1	44	0	0	2000
IN020089	1	53	68	27000	20000
IN020091	1	53	6	7800	5000
IN020094	1	48	0	0	1200
IN020095	1	53	40	18000	10000
IN020096	1	18	10	25000	18000
IN020097	1	53	58	18200	29750
IN020097	2	48	8	24000	8000
IN020097	3	18	4	8000	8805
IN020098	1	53	12	10400	6000
IN030004	1	53	8	0	0
IN030004	2	48	1	2500	0
IN030073	1	53	24	0	5000
IN030073	2	30	1	3000	3000
IN040002	1	48	0	0	3000
IN040003	1	48	2	10000	500
IN040003	2	73	1	1700	300
IN040003	3	37	3	3000	700
IN040004	1	48	2.5	10000	2000
IN040004	2	30	5	4000	300
IN040004	3	30	1.5	2400	200
IN040004	4	74	.15	0	100
IN040005	1	53	32	9200	12000
IN040005	2	48	2	8000	2500
IN040006	1	53	3	0	500
IN040006	2	48	2	10000	1000
IN040007	1	53	12	4000	3000
IN040007	2	48	13	9000	1500
IN040008	1	53	3	9000	1400
IN040008	2	48	7	21000	1500
IN040008	3	71	.2	0	500
IN040009	1	53	16	0	2500
IN040009	2	48	2	6000	2000
IN040010	1	53	5	0	1000
IN040011	1	53	15	0	1000
IN040011	2	48	1	4500	200
IN040012	1	48	6	18000	1000
IN040013	1	48	5	20000	2000
IN040013	2	53	6	0	500
IN040013	3	45	0	1500	100
IN040013	4	99	0	3000	100
IN040014	1	48	1	6000	1000
IN040014	2	73	1.5	5000	1000
IN040015	1	53	40	0	8000
IN040015	2	48	1.5	6000	1300
IN040016	1	53	45	0	10000
IN040016	2	71	.5	0	500
IN040017	1	48	4	20000	1400
IN040017	2	30	3	7500	400
IN040018	1	53	8	0	1800
IN040018	2	48	1	4000	1200
IN040019	1	53	3	0	500
IN040019	2	48	6	18000	2000
IN040021	1	53	30	6500	12000
IN040021	2	48	2	8000	800
IN040022	1	53	40	12000	2000
IN040022	2	74	.3	0	200
IN040023	1	53	12	0	3000
IN040023	2	48	4	20000	1500
IN040024	1	53	12	0	5000
IN040024	2	48	1	4000	1500
IN040024	3	30	.2	0	150
IN040025	1	53	5	0	3000
IN040025	2	48	6	18000	2000
IN040027	1	53	20	0	5000
IN040027	2	48	1	4000	700
IN040028	1	53	12	0	4000
IN040028	2	48	4	20000	1500
IN040029	1	53	30	0	3000
IN040029	2	48	2	8000	1500
IN040030	1	53	10	0	6000
IN040030	2	48	5	15000	1000
IN040031	1	48	10	40000	2000
IN040031	2	53	5	0	2000
IN040031	3	30	3	5000	600
IN040032	1	53	20	0	5000
IN040032	2	48	2	6000	0
IN040032	3	32	3	0	0
IN040034	1	53	20	0	5000
IN040037	1	53	20	0	5000
IN040037	2	48	1	5000	0
IN040038	1	53	10	0	1000
IN040038	2	48	1.5	6000	600
IN040038	3	32	2	0	1000
IN040039	1	53	15	0	1000
IN040039	2	48	2	9000	450
IN040039	3	73	1	2000	500
IN040040	1	48	3	9000	1000
IN040040	2	73	2	3000	300
IN040040	3	30	.2	0	300
IN040040	4	57	.06	0	150
IN040040	5	99	.5	0	100
IN040041	1	48	2	6000	200
IN040041	2	73	.15	2000	100
IN040042	1	48	4	20000	2000
IN040042	2	73	5	17500	2000
IN040043	1	48	2	8000	300
IN040043	2	73	2	3200	450
IN040043	3	37	2	0	200
IN040044	1	53	23	0	3000
IN040044	2	73	9	18000	2500
IN040044	3	48	6	18000	2000
IN040045	1	48	3	15000	450
IN040045	2	73	1	2600	300
IN040046	1	48	1	4000	500
IN040046	2	73	2	6000	500
IN040047	1	48	2.5	12500	1450
IN040047	2	73	1.5	3000	800
IN040049	1	73	5	15000	3500
IN040049	2	48	3.5	16800	3000
IN040049	3	28	1	2500	500
IN040049	4	54	-77	36000	4000
IN040050	1	48	5	20000	2000
IN040050	2	54	3000	7500	1000
IN040050	3	73	3	9000	1000
IN040050	4	45	0	1500	200
IN040050	5	99	0	1500	200
IN040051	1	53	4	0	1400
IN040051	2	73	3	7500	900
IN040051	3	48	3	13500	1500
IN040052	1	73	1.5	3500	1400
IN040052	2	48	6	18000	1500
IN040052	3	28	2.5	4000	400
IN040052	4	54	-77	8000	500
IN040053	1	48	3	10000	2000
IN040053	2	73	2	6000	1800
IN040053	3	54	1500	4500	1000
IN040054	1	53	10	0	4000
IN040054	2	48	4	12000	2500
IN040054	3	54	1000	4000	1500
IN040054	4	73	.08	600	100
IN040055	1	53	6	0	1700
IN040055	2	48	2	10000	2000
IN040055	3	73	1	2100	800
IN040056	1	48	6	18000	3000
IN040056	2	73	5	10000	1500
IN040056	3	28	1	1500	300
IN040056	4	54	-77	6000	1000
IN040065	1	48	10	55000	15000
