CHILDID	PASSID	NUMASTR3	ASSETR3	ASTACTR3	NUMOWNR3	VALASTR3
IN010001	1	1	25	23	1	12000
IN010003	1	1	25	23	1	1500
IN010007	1	2	12	8	2	1000
IN010008	1	5	23	23	5	500
IN010008	2	1	21	21	2	3200
IN010011	1	5	30	23	5	700
IN010011	2	1	25	23	1	500
IN010012	1	3	12	8	3	2000
IN010013	1	3	9	2	3	200
IN010014	1	1	25	23	1	30000
IN010015	1	1	25	2	1	30000
IN010016	1	10	30	26	10	3000
IN010016	2	4	25	24	4	6000
IN010017	1	2	25	26	1	800
IN010018	1	1	25	23	1	5000
IN010018	2	1	25	23	1	500
IN010019	1	1	25	26	1	30000
IN010020	1	1	25	26	1	30000
IN010021	1	1	25	26	1	500
IN010023	1	4	1	11	4	200
IN010025	1	1	25	23	1	30000
IN010026	1	1	25	23	1	30000
IN010027	1	1	25	26	1	25000
IN010027	2	2	25	26	1	1000
IN010029	1	1	25	26	1	1000
IN010030	1	5	23	23	5	5000
IN010031	1	4	25	23	4	4000
IN010032	1	3	12	8	3	1500
IN010033	1	2	25	10	2	500
IN010034	1	1	2	26	1	1000
IN010034	2	1	30	26	1	4000
IN010038	1	10	15	12	10	2000
IN010039	1	1	25	10	1	800
IN010040	1	2	30	26	2	5000
IN010041	1	1	25	26	1	30000
IN010042	1	6	13	14	1	300
IN010043	1	1	25	24	1	60000
IN010044	1	1	25	24	1	130000
IN010045	1	1	25	24	1	700
IN010047	1	1	25	26	1	20000
IN010048	1	1	30	23	1	5000
IN010050	1	1	25	24	1	30000
IN010050	2	5	21	21	5	5000
IN010051	1	1	4	11	1	500
IN010051	2	8	1	11	1	400
IN010052	1	1	24	23	1	-88
IN010053	1	1	25	22	1	30000
IN010055	1	4	13	7	4	300
IN010056	1	1	24	23	1	3000
IN010056	2	1	30	26	1	7000
IN010057	1	2	25	26	2	40000
IN010057	2	1	25	26	1	1000
IN010059	1	1	25	26	1	500
IN010060	1	10	15	12	10	3000
IN010063	1	1	25	24	1	70000
IN010065	1	2	25	16	1	500
IN010065	2	15	17	16	10	5000
