CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUPIMR301	SUPIMR302
IN010003	1	12	46	2007	99	6	0	4	4	88
IN010008	1	5	45	2006	99	8	3	4	4	6
IN010008	2	16	36	2006	99	1	4	4	1	4
IN010009	1	16	36	2005	99	6	0	4	1	6
IN010009	2	12	36	2008	99	6	6	4	1	4
IN010010	1	5	45	2006	99	8	4	4	5	3
IN010010	2	16	36	2006	99	1	3	4	2	4
IN010010	3	12	46	2006	99	4	3	4	4	88
IN010011	1	5	36	2006	99	8	2	4	2	88
IN010011	2	16	36	2001	99	6	0	4	2	4
IN010011	3	16	36	2009	99	6	3	4	2	4
IN010011	4	16	36	2007	99	6	4	4	6	88
IN010012	1	5	36	2006	99	8	2	4	4	5
IN010013	1	16	36	2006	99	6	0	4	6	88
IN010013	2	16	36	2005	99	6	3	4	4	88
IN010014	1	5	45	2007	99	6	3	4	4	5
IN010018	1	19	36	2008	2009	6	1	4	9	88
IN010020	1	19	36	2008	2009	7	3	5	9	88
IN010021	1	16	46	2007	99	1	0	5	6	4
IN010023	1	1	36	2005	99	6	2	4	1	4
IN010024	1	16	36	2006	99	1	0	4	4	88
IN010024	2	16	36	2006	99	1	2	4	6	88
IN010025	1	13	50	2000	99	5	4	5	3	88
IN010030	1	5	45	1999	99	8	3	4	4	1
IN010033	1	5	45	2007	99	6	3	3	1	88
IN010033	2	19	36	2007	99	3	1	4	5	88
IN010033	3	16	36	2008	99	6	0	3	4	88
IN010035	1	5	45	2006	99	6	2	4	2	88
IN010035	2	19	36	2007	99	3	5	4	3	88
IN010036	1	19	36	2007	2008	4	3	4	3	5
IN010037	1	19	36	2007	99	3	80	4	2	88
IN010038	1	5	36	2005	99	8	3	4	4	1
IN010041	1	5	45	2009	99	77	2	4	3	88
IN010042	1	5	45	2008	99	5	2	4	2	5
IN010042	2	16	46	2006	99	1	0	4	4	6
IN010044	1	16	36	2006	99	1	0	5	4	1
IN010044	2	5	45	2009	99	8	2	4	5	2
IN010045	1	12	36	2008	99	6	0	4	4	2
IN010046	1	5	45	2006	99	6	2	3	9	4
IN010048	1	5	45	2007	99	8	2	5	4	2
IN010048	2	19	36	2007	99	3	2	5	4	2
IN010049	1	19	36	2003	99	7	0	5	6	4
IN010051	1	5	45	2006	99	8	2	4	5	3
IN010051	2	16	36	2006	99	1	0	4	2	4
IN010051	3	12	46	2006	99	4	0	4	4	88
IN010052	1	5	45	2007	99	8	2	4	4	6
IN010054	1	5	45	2008	99	6	1	4	9	2
IN010054	2	5	45	2008	99	6	3	4	5	4
IN010055	1	19	36	2008	99	3	1	4	1	5
IN010055	2	16	36	2006	99	6	0	5	1	5
IN010055	3	12	46	2006	99	1	0	5	4	88
IN010059	1	5	36	2008	99	6	4	4	1	88
IN010059	2	19	36	2008	99	3	1	4	2	88
IN010060	1	5	36	2007	99	6	3	4	2	4
IN010060	2	16	46	2006	99	6	0	4	4	2
IN010060	3	16	46	2006	99	6	5	4	4	2
IN010063	1	5	45	2007	99	8	4	4	2	4
IN010066	1	16	36	2007	99	6	0	4	2	88
IN010066	2	5	36	2002	99	8	4	4	5	4
IN010067	1	12	43	2008	99	1	6	4	2	5
IN010068	1	5	36	2007	99	8	2	4	1	2
IN010068	2	16	36	2006	99	1	0	4	1	2
IN010068	3	12	46	2006	99	6	0	4	4	88
IN010068	4	19	36	2009	99	3	4	5	4	88
IN010071	1	16	36	2008	99	6	0	4	1	4
IN010071	2	16	36	2006	99	6	3	4	2	4
IN010072	1	5	45	2007	99	8	2	4	1	4
IN010072	2	9	36	2009	2009	7	1	5	88	88
IN010072	3	16	36	2006	99	1	0	4	2	4
IN010073	1	5	36	2008	99	6	4	4	5	4
IN010073	2	16	36	2003	99	1	5	4	2	4
IN010074	1	5	45	2007	99	5	2	4	3	6
IN010074	2	19	36	2006	99	3	4	5	5	88
IN010076	1	5	45	2008	99	6	2	4	4	6
IN010077	1	5	45	2008	99	6	4	4	1	5
IN010078	1	9	36	2008	99	8	0	4	5	88
IN010078	2	16	36	2004	99	6	4	4	4	88
IN010078	3	16	36	2003	99	6	5	4	6	88
IN010079	1	5	45	2007	99	8	9	4	2	1
IN010080	1	5	36	2007	99	6	2	4	2	4
IN010082	1	5	36	2007	99	6	2	4	2	4
IN010083	1	16	36	2007	99	1	0	5	2	4
IN010086	1	12	36	2007	99	6	0	4	2	4
IN010090	1	5	45	2006	99	6	5	4	6	88
IN010091	1	5	36	2007	99	8	2	4	2	4
IN010094	1	19	36	1999	99	3	1	4	4	88
IN010095	1	5	36	2007	99	8	3	4	2	6
IN010096	1	5	45	2008	99	6	2	4	3	88
IN010099	1	19	36	2009	99	3	3	4	5	88
IN010100	1	19	36	2006	99	3	1	4	5	88
IN020001	1	3	36	2009	99	2	80	4	1	2
IN020002	1	16	44	2006	99	6	0	4	6	88
IN020002	2	5	45	2005	99	8	2	4	1	88
IN020002	3	16	44	2004	2008	6	3	4	1	6
IN020003	1	3	36	2008	99	2	1	5	4	88
IN020003	2	16	44	2008	99	6	0	5	3	1
IN020003	3	12	43	2009	99	1	9	4	1	2
IN020004	1	3	36	2008	99	4	80	4	2	4
IN020004	2	5	45	2007	99	6	2	4	2	4
IN020004	3	12	44	2008	99	6	3	4	4	2
IN020004	4	16	36	2007	99	1	0	4	1	2
IN020005	1	16	44	2006	99	6	0	4	4	88
IN020005	2	16	44	2009	99	6	3	4	6	88
IN020005	3	5	36	2006	99	1	2	4	3	5
IN020006	1	3	36	2008	99	2	80	4	2	88
IN020006	2	5	45	2000	99	4	2	4	5	2
IN020006	3	16	36	2002	99	1	0	5	6	88
IN020007	1	3	36	2008	99	4	80	4	2	1
IN020007	2	19	36	2008	99	1	0	4	2	1
IN020008	1	19	44	2008	2009	7	3	4	9	5
IN020008	2	3	36	2008	99	5	4	4	2	1
IN020009	1	16	44	2007	99	1	0	4	2	4
IN020010	1	16	44	2007	99	1	0	4	2	4
IN020010	2	16	44	2005	99	1	5	4	2	4
IN020010	3	16	44	2009	99	1	6	4	2	4
IN020010	4	3	36	2008	99	5	80	4	1	5
IN020011	1	3	36	2008	99	4	2	4	2	88
IN020011	2	16	36	2007	99	1	0	4	1	4
IN020011	3	16	44	2001	99	1	7	4	1	4
IN020014	1	3	36	2008	99	5	80	4	1	7
IN020014	2	16	36	2007	99	1	0	4	2	6
IN020014	3	16	44	2005	99	1	7	4	2	6
IN020015	1	3	36	2008	99	4	3	4	2	4
IN020015	2	5	36	2008	99	6	4	4	2	4
IN020016	1	5	45	2006	99	4	4	3	5	2
IN020016	2	3	36	2008	99	3	80	4	2	88
IN020016	3	16	44	2004	99	1	0	5	6	4
IN020017	1	5	45	2005	99	4	3	4	3	88
IN020017	2	3	36	2008	99	2	2	3	1	88
IN020017	3	16	44	2007	99	1	0	5	1	3
IN020018	1	16	44	2007	99	1	0	5	6	4
IN020018	2	16	44	2003	99	1	6	4	1	6
IN020018	3	16	44	2004	99	1	7	4	1	6
IN020019	1	19	36	2008	2009	8	1	5	9	88
IN020019	2	16	46	2006	99	6	0	5	6	88
IN020019	3	19	36	2006	99	1	0	5	2	1
IN020020	1	16	36	2007	99	1	0	4	1	88
IN020020	2	16	36	2007	99	6	0	1	4	88
IN020020	3	5	45	2007	99	6	2	2	88	88
IN020021	1	12	36	2006	99	6	0	4	6	88
IN020021	2	5	45	2006	99	5	2	4	1	3
IN020021	3	12	36	2006	99	1	0	4	1	88
IN020021	4	3	36	2008	99	5	80	4	4	5
IN020022	1	5	45	2008	99	6	4	4	3	4
IN020022	2	3	36	2007	99	4	3	4	1	5
IN020022	3	12	36	2007	99	1	0	1	2	1
IN020022	4	12	36	2007	99	6	0	4	4	88
IN020023	1	19	36	1991	99	6	1	4	4	88
IN020024	1	5	36	2006	99	6	2	2	3	5
IN020024	2	16	36	2007	99	6	0	4	4	88
IN020024	3	16	36	2007	99	1	0	1	1	88
IN020025	1	3	36	2007	99	4	1	4	2	4
IN020025	2	12	46	2006	99	6	0	4	1	4
IN020025	3	19	36	2000	99	3	80	4	2	88
IN020026	1	5	45	1989	99	4	6	4	1	88
IN020026	2	16	36	1998	2007	4	9	3	4	88
IN020026	3	3	36	2008	99	2	6	3	7	88
IN020027	1	3	36	2007	99	3	1	4	2	88
IN020027	2	5	45	2006	99	4	2	4	5	88
IN020027	3	16	36	2006	99	1	0	4	1	88
IN020027	4	16	36	2006	99	6	0	4	4	88
IN020028	1	19	36	2006	99	3	80	4	2	88
IN020028	2	12	46	2008	99	6	0	4	2	4
IN020029	1	5	45	2006	99	8	2	3	1	2
IN020029	2	19	36	2007	99	1	0	3	2	88
IN020030	1	3	36	2007	99	4	1	4	2	4
IN020030	2	12	44	2008	99	6	0	4	4	1
IN020030	3	19	36	2001	99	3	80	4	2	88
IN020031	1	3	36	2007	99	4	2	4	2	4
IN020031	2	12	46	2002	99	6	0	4	4	1
IN020031	3	5	45	2006	99	3	3	4	4	3
IN020031	4	19	3	2004	99	3	80	4	2	88
IN020032	1	6	36	2009	99	3	1	5	2	1
IN020032	2	3	36	2008	99	5	80	4	2	1
IN020033	1	3	36	2007	99	4	80	4	2	88
IN020033	2	1	40	2009	2009	6	2	3	2	88
IN020033	3	16	46	2007	99	1	0	3	1	2
IN020034	1	5	45	2005	99	8	2	4	2	5
IN020034	2	19	36	2006	99	1	0	4	2	1
IN020034	3	19	46	2006	99	6	0	5	6	88
IN020035	1	5	45	2006	99	4	2	4	2	88
IN020035	2	16	36	2006	99	1	0	5	6	4
IN020036	1	5	36	2007	99	6	2	4	2	88
IN020037	1	16	46	2007	99	6	0	4	4	1
IN020037	2	16	36	2008	99	6	5	4	4	1
IN020037	3	19	36	1994	99	3	80	4	2	88
IN020038	1	5	45	2000	99	8	3	4	4	88
IN020038	2	16	36	2008	99	6	4	4	4	88
IN020039	1	5	45	2005	99	4	3	3	1	5
IN020039	2	3	36	2008	99	3	2	2	1	2
IN020039	3	16	36	2004	99	1	0	5	6	88
IN020039	4	12	46	2006	99	6	0	4	4	88
IN020040	1	3	36	2008	99	4	1	3	2	4
IN020040	2	12	36	2006	99	6	3	4	1	4
IN020041	1	5	36	2007	99	8	2	3	1	3
IN020041	2	16	36	2005	99	1	0	3	2	88
IN020041	3	3	36	2008	99	4	2	4	2	88
IN020042	1	3	36	2008	99	4	2	4	2	88
IN020042	2	5	36	2007	99	6	2	4	2	4
IN020042	3	12	36	2005	99	6	6	4	4	1
IN020043	1	5	45	2005	99	6	8	3	3	88
IN020044	1	3	36	2008	99	3	80	4	2	88
IN020044	2	5	45	2005	99	4	2	4	2	5
IN020044	3	16	44	2004	99	1	0	4	4	6
IN020044	4	16	44	2001	99	1	5	4	4	6
IN020045	1	5	45	2002	99	4	2	3	4	88
IN020045	2	3	36	2008	99	2	80	4	7	88
IN020045	3	16	44	2009	99	5	28	4	4	88
IN020046	1	5	45	2005	99	4	2	3	1	88
IN020046	2	3	36	2007	99	4	80	4	7	88
IN020046	3	12	44	2007	99	4	0	5	4	1
IN020047	1	12	44	2007	99	1	0	4	4	1
IN020047	2	12	44	2006	99	1	3	4	4	1
IN020047	3	5	45	2005	99	8	2	4	2	88
IN020048	1	16	44	2007	99	1	0	4	1	6
IN020049	1	5	45	2004	99	4	2	4	6	5
IN020050	1	3	36	2008	99	4	90	4	2	4
IN020050	2	5	36	2006	99	6	2	4	2	4
IN020050	3	12	36	2006	99	6	0	4	2	4
IN020051	1	3	36	2008	99	4	80	3	2	88
IN020051	2	12	36	2006	99	6	0	4	4	2
IN020052	1	5	36	1996	99	4	2	3	1	88
IN020052	2	12	46	2006	99	1	0	4	2	88
IN020052	3	12	44	2007	99	1	6	5	3	88
IN020052	4	3	36	2008	99	4	1	3	7	88
IN020053	1	16	36	2007	99	6	0	4	6	88
IN020053	2	16	44	2003	99	6	4	4	4	88
IN020053	3	5	45	2008	99	8	2	4	6	88
IN020054	1	3	36	2007	99	3	1	4	5	88
IN020054	2	16	46	2002	99	1	0	4	6	88
IN020054	3	5	45	2004	99	4	2	4	2	6
IN020055	1	19	36	2008	99	1	0	4	2	1
IN020056	1	3	36	2008	99	4	2	4	2	1
IN020056	2	5	45	2006	99	8	2	3	4	2
IN020057	1	3	36	2008	99	4	3	4	2	4
IN020057	2	5	45	2001	99	6	4	4	2	4
IN020057	3	12	36	2007	99	3	0	4	2	4
IN020058	1	5	45	2006	99	2	2	4	4	88
IN020058	2	12	44	2008	99	1	28	5	6	4
IN020058	3	12	46	2007	99	1	0	3	2	1
IN020058	4	3	36	2008	99	2	80	4	7	88
IN020059	1	16	36	2009	99	6	0	4	4	88
IN020059	2	16	36	2008	99	6	3	4	6	88
IN020059	3	3	36	2008	99	5	80	4	1	5
IN020060	1	19	36	2000	99	3	4	5	2	1
IN020060	2	19	36	2009	99	5	80	5	2	1
IN020061	1	16	44	2007	99	6	0	4	1	2
IN020061	2	3	36	2008	99	6	80	4	2	88
IN020061	3	5	45	2005	99	8	4	4	1	88
IN020062	1	5	45	2004	99	4	2	4	5	2
IN020062	2	3	36	2008	99	3	1	4	2	88
IN020062	3	16	36	2006	99	1	0	5	6	4
IN020063	1	3	36	2008	99	5	80	4	1	4
IN020063	2	5	36	2007	99	8	2	4	5	3
IN020063	3	16	44	2006	99	1	0	4	2	6
IN020063	4	16	44	2006	99	1	28	4	2	6
IN020064	1	5	45	2004	99	4	3	4	4	88
IN020064	2	12	46	2006	99	1	0	5	1	88
IN020064	3	3	36	2008	99	2	80	4	7	88
IN020065	1	5	45	2002	99	4	2	4	5	4
IN020066	1	5	45	2000	99	5	2	4	4	5
IN020066	2	16	36	2004	99	1	0	5	6	88
IN020066	3	3	36	2008	99	3	1	3	2	88
IN020067	1	5	45	2002	99	6	2	4	1	88
