CHILDID	WORKID	ACTR3	ACTOWNR3	ACTMNYR3	ACTHPYR3
IN010002	1	24	1	0	5
IN010009	1	24	1	0	5
IN010013	1	24	1	0	4
IN010017	1	1	1	0	4
IN010021	1	24	1	0	4
IN010024	1	24	1	0	4
IN010029	1	20	1	0	5
IN010030	1	24	1	0	5
IN010035	1	20	1	0	4
IN010036	1	24	1	0	4
IN010039	1	24	1	0	5
IN010042	1	24	1	0	3
IN010044	1	24	1	0	4
IN010050	1	24	1	0	5
IN010055	1	24	1	0	4
IN010057	1	24	1	0	5
IN010059	1	24	1	0	4
IN010065	1	24	1	0	4
IN010067	1	24	1	0	4
IN010068	1	24	1	0	4
IN010069	1	24	1	0	4
IN010073	1	24	1	0	5
IN010075	1	24	1	0	4
IN010076	1	24	1	0	5
IN010090	1	24	1	0	4
IN010094	1	24	1	0	4
IN010096	1	1	1	0	4
IN010099	1	24	1	0	4
IN020002	1	24	1	0	4
IN020003	1	24	1	0	4
IN020005	1	24	1	0	5
IN020006	1	1	1	0	4
IN020014	1	24	1	0	3
IN020017	1	24	1	0	5
IN020017	2	20	1	0	5
IN020020	1	24	1	0	5
IN020021	1	24	1	0	5
IN020022	1	1	1	0	5
IN020022	2	20	1	0	4
IN020027	1	1	1	0	4
IN020029	1	24	1	0	4
IN020034	1	24	1	0	5
IN020035	1	1	1	0	4
IN020036	1	24	1	0	5
IN020037	1	24	1	0	5
IN020038	1	24	1	0	2
IN020039	1	1	1	0	4
IN020044	1	24	1	0	4
IN020045	1	20	1	0	5
IN020045	2	24	1	0	4
IN020047	1	24	1	0	4
IN020050	1	24	1	0	4
IN020052	1	20	1	0	5
IN020052	2	24	1	0	4
IN020056	1	24	1	0	5
IN020056	2	1	2	1	5
IN020057	1	24	1	0	5
IN020058	1	24	1	0	5
IN020060	1	24	2	0	5
IN020063	1	24	1	0	5
IN020064	1	24	1	0	4
IN020064	2	21	1	0	4
IN020065	1	20	1	0	4
IN020067	1	24	1	0	4
IN020069	1	24	1	0	4
IN020071	1	24	1	0	5
IN020071	2	1	2	1	5
IN020074	1	1	2	1	4
IN020074	2	24	1	0	5
IN020076	1	24	1	0	4
IN020080	1	24	1	1	5
IN020083	1	20	1	0	4
IN020084	1	24	1	0	4
IN020085	1	24	1	0	5
IN020087	1	24	1	0	5
IN020088	1	24	1	0	5
IN020090	1	24	1	0	4
IN020092	1	7	2	0	3
IN020097	1	24	1	0	4
IN020098	1	1	2	1	5
IN020098	2	24	1	0	2
IN030050	1	24	1	0	5
IN030057	1	24	1	0	5
IN030069	1	24	1	0	4
IN030078	1	24	1	0	5
IN030083	1	24	1	0	3
IN030098	1	25	1	1	4
IN040004	1	24	1	0	4
IN040008	1	24	1	0	4
IN040012	1	24	1	0	4
IN040013	1	24	1	0	5
IN040015	1	1	1	0	4
IN040022	1	24	1	0	4
IN040030	1	2	1	0	4
IN040031	1	24	1	0	4
IN040038	1	24	1	0	4
IN040053	1	2	1	0	3
IN040078	1	20	1	0	5
IN040084	1	24	1	0	4
IN040084	2	21	1	0	5
IN040085	1	24	1	0	4
IN040088	1	24	1	0	4
IN040093	1	24	1	0	4
IN040095	1	24	1	0	4
IN040098	1	24	1	0	4
IN040098	2	21	1	0	4
IN050008	1	24	1	0	4
IN050019	1	24	1	0	5
IN050024	1	20	1	0	3
IN050028	1	24	1	0	5
IN050031	1	23	1	0	4
IN050035	1	24	1	0	5
IN050045	1	1	1	0	1
IN050053	1	24	1	0	4
IN050054	1	24	1	0	4
IN050058	1	24	1	0	5
IN050069	1	24	1	0	5
IN050090	1	22	1	0	4
IN050091	1	24	1	0	4
IN050096	1	24	1	0	3
IN060006	1	1	1	0	2
IN060011	1	2	1	0	4
IN060012	1	24	1	1	4
IN060012	2	20	1	0	4
IN060017	1	24	1	0	5
IN060030	1	24	1	0	4
IN060041	1	24	1	0	5
IN060042	1	24	1	0	4
IN060043	1	24	1	0	4
IN060045	1	24	1	0	4
IN060046	1	24	1	0	3
IN060058	1	24	1	0	4
IN060063	1	24	1	0	4
IN060073	1	1	1	0	1
IN060081	1	2	1	0	5
IN060097	1	24	1	0	4
IN070007	1	24	1	0	1
IN070012	1	24	1	0	5
IN070016	1	24	1	0	3
IN070025	1	24	1	0	3
IN070042	1	24	1	0	3
IN070043	1	24	1	0	5
IN070045	1	24	1	0	3
IN070047	1	24	1	0	5
IN070051	1	24	1	1	3
IN070055	1	24	1	0	5
IN070060	1	1	1	0	2
IN070068	1	24	1	0	4
IN070074	1	24	1	0	4
IN070077	1	24	1	0	5
IN070087	1	1	1	0	2
IN070092	1	24	1	0	3
IN070093	1	20	1	0	4
IN070094	1	24	1	0	3
IN070100	1	20	1	1	4
IN080003	1	1	1	0	5
IN080005	1	24	1	0	5
IN080009	1	24	1	0	5
IN080011	1	24	1	0	1
IN080012	1	24	1	0	4
IN080015	1	24	1	0	4
IN080020	1	1	1	0	5
IN080022	1	24	1	0	5
IN080024	1	24	1	0	5
IN080026	1	1	1	0	5
IN080035	1	24	1	0	2
IN080038	1	24	1	0	4
IN080057	1	1	1	0	5
IN080059	1	24	1	0	5
IN080060	1	1	1	0	5
IN080062	1	24	1	0	4
IN080063	1	24	1	0	5
IN080064	1	24	1	0	4
IN080067	1	24	1	0	5
IN080073	1	24	1	0	5
IN080089	1	24	1	0	5
IN080092	1	1	1	0	5
IN080093	1	24	1	0	4
IN080094	1	24	1	0	5
IN080097	1	24	1	0	4
IN090013	1	20	1	0	5
IN090017	1	24	1	0	2
IN090038	1	24	1	0	5
IN090051	1	1	1	0	5
IN090079	1	24	1	0	5
IN090092	1	1	1	0	5
IN090100	1	24	1	0	5
IN100010	1	24	1	0	4
IN100016	1	1	1	0	5
IN100042	1	24	1	0	5
IN100052	1	24	1	0	5
IN100053	1	24	1	0	4
IN100054	1	1	1	1	5
IN100057	1	24	1	0	5
IN100059	1	24	1	0	5
IN100061	1	7	1	0	5
IN100064	1	20	1	0	5
IN100072	1	24	1	0	5
IN100081	1	24	1	0	4
IN100083	1	1	1	0	4
IN100085	1	24	1	1	5
IN100090	1	7	1	0	5
IN100091	1	1	1	0	5
IN100092	1	24	1	0	5
IN100098	1	24	1	0	2
IN110001	1	24	1	0	4
IN110008	1	24	1	0	4
IN110012	1	24	1	0	4
IN110021	1	24	1	0	4
IN110022	1	7	1	0	1
IN110024	1	24	1	0	4
