childid	actidr3	actr3	actownr3	actmnyr3	acthpyr3
PE011006	1	3	1	0	4
PE011012	1	4	1	0	5
PE011012	2	2	1	0	4
PE011012	3	3	1	0	4
PE011014	1	2	1	0	4
PE011015	1	2	1	0	4
PE011018	1	2	1	0	5
PE011019	1	2	1	0	5
PE011019	2	3	1	0	5
PE011021	1	2	1	0	2
PE011023	1	2	1	0	5
PE011024	1	2	1	0	5
PE011024	2	3	1	0	5
PE011025	1	2	1	0	5
PE011026	1	2	1	0	5
PE011026	2	3	1	0	5
PE011032	1	2	1	0	4
PE011035	1	2	1	0	5
PE011036	1	2	1	0	4
PE011037	1	2	1	0	3
PE011039	1	2	1	5	5
PE011041	1	2	1	0	5
PE011041	2	2	1	0	5
PE011044	1	2	1	0	4
PE011046	1	2	1	0	5
PE011046	2	3	1	0	4
PE011047	1	2	1	0	3
PE011047	2	3	1	0	3
PE011048	1	4	1	1	5
PE011050	1	2	1	0	5
PE011051	1	4	1	0	5
PE011051	2	4	1	0	5
PE011054	1	2	1	0	5
PE011056	1	2	1	0	5
PE011056	2	3	1	0	5
PE011057	1	2	1	0	4
PE011060	1	2	1	2	5
PE011064	1	2	1	0	2
PE011065	1	2	1	0	4
PE011070	1	2	1	1	5
PE011071	1	2	1	0	5
PE011073	1	2	1	0	5
PE011077	1	2	1	0	5
PE011080	1	2	1	0	5
PE011080	2	3	1	0	5
PE011084	1	3	1	0	5
PE011084	2	2	1	0	5
PE011088	1	2	1	0	4
PE011089	1	2	1	0	4
PE011090	1	2	1	0	5
PE011091	1	2	1	0	5
PE011091	2	2	1	0	5
PE021003	1	2	1	0	5
PE021003	2	1	1	0	5
PE021004	1	3	1	0	4
PE021005	1	2	1	0	4
PE021010	1	2	1	5	4
PE021011	1	2	1	0	4
PE021014	1	2	1	0	4
PE021015	1	2	1	0	 
PE021016	1	2	1	0	5
PE021016	2	4	1	0	4
PE021018	1	2	1	0	5
PE021019	1	2	1	0	4
PE021020	1	2	1	0	4
PE021021	1	2	1	5	3
PE021022	1	2	1	0	5
PE021025	1	2	1	0	4
PE021029	1	2	1	0	5
PE021031	1	2	1	0	3
PE021035	1	2	1	0	4
PE021035	2	3	1	0	4
PE021037	1	2	1	0	5
PE021040	1	2	1	0	4
PE021040	2	3	1	0	5
PE021041	1	2	1	0	5
PE021042	1	2	1	0	5
PE021044	1	2	1	0	4
PE021044	2	3	1	0	4
PE021045	1	2	1	0	5
PE021049	1	2	1	0	5
PE021051	1	2	1	0	5
PE021051	2	2	1	0	4
PE021051	3	4	1	0	5
PE021052	1	2	1	0	5
PE021053	1	2	1	5	5
PE021054	1	2	1	0	5
PE021055	1	2	1	0	4
PE021056	1	2	1	0	5
PE021056	2	3	1	0	4
PE021059	1	2	1	0	4
PE021060	1	2	1	0	4
PE021060	2	3	1	0	5
PE021063	1	2	1	0	4
PE021066	1	2	1	0	5
PE021066	2	3	1	0	5
PE021068	1	3	1	0	4
PE021068	2	2	1	0	4
PE021069	1	2	1	0	4
PE021077	1	2	1	0	4
PE021077	2	2	1	0	4
PE021078	1	2	1	5	5
PE021083	1	2	1	0	4
PE021083	2	2	1	0	4
PE021083	3	3	1	0	4
PE021084	1	1	1	0	2
PE021087	1	3	1	0	4
PE021087	2	2	1	0	4
PE021089	1	1	2	1	5
PE021092	1	2	1	0	5
PE021095	1	2	1	0	5
PE021095	2	3	1	0	5
PE021097	1	2	1	0	4
PE021098	1	2	1	2	5
PE021100	1	2	1	0	4
PE031002	1	1	1	0	4
PE031002	2	2	1	0	3
PE031003	1	1	1	0	4
PE031004	1	1	1	0	4
PE031004	2	2	1	0	4
PE031004	3	2	1	0	4
PE031008	1	1	1	0	5
PE031008	2	1	1	0	4
PE031011	1	2	1	0	5
PE031011	2	2	1	0	5
PE031011	3	2	1	0	5
PE031013	1	2	1	0	4
PE031016	1	2	1	0	4
PE031016	2	1	1	0	4
PE031019	1	2	1	0	4
PE031021	1	1	1	0	5
PE031021	2	1	2	1	5
PE031021	3	1	2	1	5
PE031022	1	2	1	0	5
PE031022	2	2	1	0	4
PE031023	1	2	1	0	 
PE031023	2	2	1	0	 
PE031024	1	3	1	0	4
PE031024	2	2	1	0	4
PE031025	1	2	1	0	4
PE031026	1	2	1	0	4
PE031027	1	2	1	0	4
PE031028	1	2	1	0	4
PE031029	1	4	1	5	5
PE031032	1	2	1	0	5
PE031033	1	4	1	0	5
PE031033	2	1	1	0	3
PE031038	1	2	1	2	5
PE031039	1	2	1	0	4
PE031039	2	2	1	0	5
PE031040	1	2	1	0	5
PE031040	2	2	1	0	5
PE031041	1	2	1	0	5
PE031045	1	2	1	0	5
PE031046	1	2	1	0	4
PE031046	2	1	1	0	4
PE031048	1	2	1	0	5
PE031048	2	2	1	0	5
PE031048	3	2	1	0	5
PE031048	4	3	1	0	5
PE031050	1	2	1	0	5
PE031051	1	2	1	0	4
PE031051	2	4	1	0	4
PE031052	1	2	1	0	4
PE031053	1	2	1	0	2
PE031056	1	2	1	0	4
PE031058	1	2	1	0	4
PE031058	2	1	1	0	4
PE031059	1	2	1	0	5
PE031059	2	2	1	0	5
PE031062	1	2	1	0	4
PE031064	1	2	1	0	4
PE031064	2	2	1	0	5
PE031065	1	2	1	0	4
PE031068	1	2	1	0	5
PE031068	2	2	1	0	5
PE031070	1	2	1	0	5
PE031070	2	4	1	0	5
PE031070	3	1	1	0	4
PE031071	1	1	1	0	5
PE031071	2	2	1	0	5
PE031071	3	1	1	0	5
PE031072	1	2	1	0	5
PE031073	1	2	1	0	5
PE031073	2	2	1	0	5
PE031073	3	2	1	0	5
PE031074	1	2	1	0	5
PE031074	2	3	1	0	5
PE031074	3	1	1	0	3
PE031076	1	2	1	0	4
PE031076	2	3	1	0	4
PE031077	1	2	1	0	4
PE031078	1	2	1	0	5
PE031080	1	2	1	0	5
PE031081	1	2	1	5	5
PE031083	1	3	1	0	4
PE031083	2	1	1	0	5
PE031084	1	2	1	0	5
PE031084	2	2	1	0	5
PE031089	1	1	1	0	5
PE031091	1	2	1	0	4
PE031091	2	3	1	0	4
PE031093	1	2	1	0	5
PE031093	2	2	1	0	5
PE031093	3	3	1	0	5
PE031094	1	2	1	0	5
PE031096	1	2	1	0	4
PE031098	1	2	1	5	5
PE031099	1	2	1	0	3
PE031099	2	1	1	5	3
PE031100	1	2	1	0	5
PE031100	2	2	1	0	5
PE041002	1	2	1	0	5
PE041002	2	2	1	0	5
PE041005	1	1	2	0	4
PE041006	1	2	1	0	4
PE041006	2	2	1	0	4
PE041006	3	1	1	0	4
PE041007	1	2	1	0	5
PE041007	2	2	1	0	5
PE041007	3	2	1	0	5
PE041008	1	2	1	5	5
PE041009	1	2	1	0	4
PE041009	2	3	1	0	4
PE041010	1	4	1	0	4
PE041011	1	1	1	0	5
PE041013	1	2	1	0	5
PE041014	1	2	1	0	4
PE041014	2	3	1	0	5
PE041015	1	2	1	0	4
PE041016	1	2	1	5	5
PE041016	2	2	1	0	5
PE041017	1	2	1	0	4
PE041018	1	2	1	5	5
PE041018	2	1	1	5	5
PE041019	1	2	1	5	5
PE041021	1	3	1	0	5
PE041021	2	2	1	0	4
PE041022	1	1	1	0	4
PE041022	2	2	1	0	4
PE041022	3	2	1	0	3
PE041023	1	2	1	0	4
PE041024	1	1	1	0	2
PE041025	1	2	1	0	4
PE041025	2	2	1	0	4
PE041025	3	1	1	5	4
PE041025	4	2	1	0	4
PE041026	1	2	1	5	5
PE041026	2	2	1	0	5
