CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
VN010001	1	5	1000	200
VN010001	2	6	1000	200
VN010002	1	8	500	0
VN010002	2	22	500	0
VN010005	1	5	100	50
VN010005	2	13	100	30
VN010006	1	6	300	50
VN010006	2	5	250	50
VN010007	1	6	500	300
VN010007	2	5	500	300
VN010007	3	13	300	50
VN010007	4	22	30	0
VN010008	1	13	280	150
VN010008	2	22	20	0
VN010009	1	6	200	0
VN010009	2	22	10	0
VN010012	1	5	500	20
VN010012	2	6	500	200
VN010012	3	13	600	130
VN010013	1	6	5000	1000
VN010013	2	5	5000	1000
VN010014	1	6	350	50
VN010014	2	13	200	30
VN010014	3	22	220	0
VN010015	1	7	3000	800
VN010017	1	22	10	0
VN010021	1	6	1000	300
VN010021	2	5	1000	300
VN010021	3	13	300	120
VN010021	4	22	70	0
VN010025	1	5	500	150
VN010025	2	6	500	100
VN010026	1	13	200	50
VN010026	2	5	100	50
VN010026	3	22	40	0
VN010027	1	6	0	200
VN010027	2	5	200	300
VN010027	3	22	150	0
VN010029	1	5	500	100
VN010029	2	6	500	100
VN010029	3	13	500	0
VN010031	1	5	2000	100
VN010031	2	22	100	0
VN010034	1	5	100	0
VN010034	2	6	100	0
VN010034	3	22	20	0
VN010035	1	6	250	120
VN010035	2	0	-99	100
VN010035	3	13	100	50
VN010035	4	22	30	0
VN010036	1	5	100	0
VN010036	2	22	10	0
VN010038	1	22	50	0
VN010039	1	5	300	50
VN010039	2	6	300	50
VN010039	3	13	70	0
VN010039	4	22	20	0
VN010040	1	5	200	0
VN010040	2	6	200	0
VN010040	3	22	50	40
VN010041	1	6	1000	1000
VN010041	2	5	1000	1000
VN010041	3	13	700	300
VN010042	1	6	400	50
VN010042	2	5	350	60
VN010042	3	13	200	0
VN010042	4	22	30	0
VN010045	1	6	500	120
VN010045	2	5	500	160
VN010045	3	13	200	0
VN010045	4	22	30	0
VN010046	1	5	300	100
VN010050	1	6	500	200
VN010050	2	5	500	200
VN010050	3	22	50	30
