PLACEID	DINT	REGION	CLUSTID	CHRINF1	CHRINF2	CHRINF3	POPSIZE	VILLOC	PAVEDN	UNPAVEDN	TRACKSN	AIRRTE	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	FACTEMP	TOTMEN	TOTWOM	TOTCHILD	NTRLDIST	INDWPROB	MINWPROB	GARWPROB	ANMWPROB	HUMWPROB	FRMDUMP	FMLYDUMP	LOCLDUMP	EXCRDUMP	OPNTLT	GRBBRNG	INDSACTV	CARSPSSG	PESTICID	NOISEPLL	STNDWATR	OTHER1	OTHER2	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	GRBMTH1	GRBMTH2	GRBMTH3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	SPRINF1	SPRINF2	SPRINF3	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	GENPHYS	SPECPHYS	HLTHEXT	HLOFFIC	OTHRPERS	MIGRINF1	MIGRINF2	MIGRINF3	COMMIGR	TYPJOB	MIGRCOM	OTHRWORK	MIGRMOVM	MIGROFR	PARESTL	RESTLHH	RETUHH	RESTLARV	HHRESTL
1	01/01/2014 07:17:15	2	5	7	2	3	8300	7	1	1	1	0	0	1	0	 	0	 	 	 	 	1	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	7	5	1	5	6	7	5	9	2	7	5	3	3	2	5	7	2	4	7	2	5	1	4	1	1	0	0	0	1	0	0	0	1	1	 	7	2	5	1	1	0	 	2	0	0	 	 	0	-88
2	16/02/2014 12:44:54	2	2061	1	2	3	6500	28	0	0	1	0	0	3	2	2	0	 	 	 	 	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	3	4	1	3	4	6	88	 	2	3	4	5	6	7	1	3	4	1	3	4	1	1	1	1	1	1	1	1	0	0	0	1	1	 	2	3	4	1	1	0	 	2	0	0	 	 	0	-88
3	09/12/2013 04:03:18	2	2071	4	2	3	9994	7	1	1	1	0	0	3	2	2	2	1	15	45	90	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	5	4	1	4	6	2	8	9	6	5	2	1	6	10	11	1	4	2	1	2	4	1	1	1	1	1	0	1	1	1	1	0	1	1	 	1	4	2	1	1	0	 	2	0	0	 	 	0	-88
4	21/11/2013 12:13:39	3	8	1	2	5	3070	3	1	0	1	0	0	1	0	 	2	1	25	15	8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	3	2	6	4	88	88	 	2	5	5	2	3	6	1	2	4	2	1	5	0	2	0	1	1	1	0	0	0	0	0	1	0	 	2	4	5	1	2	0	 	77	0	0	 	 	0	-88
5	10/02/2014 17:42:50	3	9	1	3	6	4545	3	1	0	1	0	0	1	0	 	0	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	3	5	8	88	 	1	3	2	1	4	3	1	3	6	1	2	3	0	1	0	1	1	0	0	0	0	0	0	1	0	 	1	3	2	1	2	1	1	1	0	0	 	 	0	-88
6	02/03/2014 11:16:02	3	11	1	2	5	4012	3	1	1	1	0	0	1	0	 	1	3	300	15	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	5	4	1	5	4	8	2	88	1	5	4	4	9	16	1	4	5	1	4	5	1	1	0	1	1	0	1	1	0	0	0	1	0	 	2	5	4	1	2	1	1	1	0	0	 	 	0	-88
7	06/12/2013 13:14:14	4	12	1	2	3	10975	6	1	1	1	0	0	2	0	 	0	 	 	 	 	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	3	4	2	6	1	5	8	6	2	1	2	6	6	7	8	3	1	2	4	3	1	1	2	1	1	1	1	0	0	0	0	0	1	0	 	3	5	4	1	2	0	 	2	0	0	 	 	0	-88
8	19/02/2014 13:42:09	4	15	1	2	3	6633	32	1	0	0	0	0	1	0	 	2	6	16	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	2	3	1	2	3	3	4	88	1	2	4	5	6	7	1	2	3	4	2	3	0	2	1	0	0	1	1	1	1	0	1	1	1	 	1	2	3	1	1	1	1	1	0	0	 	 	0	-88
9	18/12/2013 18:53:34	4	16	2	1	3	2608	9	1	1	1	0	0	1	12	12	0	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	2	1	4	88	88	 	6	2	4	7	10	11	1	2	4	1	2	3	0	4	0	0	0	0	0	0	0	0	0	1	0	 	1	2	3	1	2	1	2	2	0	0	 	 	0	-88
10	09/12/2013 09:13:46	5	17	1	2	3	10758	4	1	0	1	0	0	1	0	 	0	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	3	1	4	2	8	3	88	1	2	4	13	14	5	1	15	4	1	2	4	1	3	1	0	1	0	0	1	1	0	0	1	1	 	1	4	3	1	2	1	2	2	0	0	 	 	0	-88
11	16/11/2013 04:32:50	5	18	2	4	1	9777	6	1	0	0	0	0	1	0	 	0	 	 	 	 	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	3	4	2	3	2	8	88	4	2	1	1	5	3	4	2	1	4	2	1	0	2	1	0	0	0	0	1	0	0	0	1	0	 	4	2	1	1	2	0	 	2	1	1	65	0	0	0
12	09/02/2014 13:22:35	5	20	1	2	3	5030	3	1	0	1	0	0	1	0	 	0	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	3	1	2	3	3	8	88	1	2	3	5	6	14	1	2	3	4	1	2	1	3	1	0	0	1	0	1	0	0	0	1	1	 	1	2	3	1	2	1	1	2	0	0	 	 	0	-88
13	26/01/2014 12:58:16	1	1	1	2	3	25500	18	1	1	1	1	0	1	12	3	2	5	-77	-77	-77	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	4	5	6	3	5	1	4	5	1	2	3	6	5	2	3	4	5	2	1	5	1	1	0	1	0	1	1	1	0	0	0	1	0	 	3	5	6	1	2	0	 	3	0	0	 	 	0	-88
14	30/03/2014 15:40:13	1	2	5	6	8	30500	32	1	1	1	0	0	1	0	 	1	4	140	35	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	4	5	8	5	8	10	1	3	2	5	8	10	1	3	7	5	8	10	1	5	8	1	6	0	1	1	1	0	1	0	0	0	1	1	 	5	8	10	0	 	1	2	1	0	0	 	 	0	-88
15	27/03/2014 22:07:20	1	3	5	3	9	19423	6	1	1	1	0	0	1	0	 	1	5	-77	-77	-77	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	3	9	5	5	3	9	1	4	3	5	3	9	6	7	11	18	3	5	1	3	8	1	4	1	1	1	1	1	1	1	1	0	1	1	 	3	5	9	0	 	0	 	1	0	1	30	0	0	-88
16	30/03/2014 18:15:23	1	2	5	1	4	28000	10	1	1	1	0	0	1	0	 	1	5	-77	-77	-77	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	5	6	2	5	2	4	1	3	4	2	5	4	7	8	9	2	3	6	1	5	2	1	3	1	1	1	0	1	1	0	1	0	1	1	 	5	6	2	0	 	0	 	1	1	0	 	 	0	-88
17	31/03/2014 03:15:53	1	3	6	3	4	20000	6	1	1	1	0	0	1	0	 	1	5	-77	-77	-77	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	6	3	4	6	3	4	1	3	2	6	3	4	2	7	8	4	5	6	1	6	5	1	2	0	1	0	1	0	1	0	1	0	1	1	 	6	9	4	0	 	0	 	2	1	1	200	0	1	50
