PLACEID	DWAGIDR4	MAVWG	MADWG01	MADWG02	MADWG03	FAVWG	FADWG01	FADWG02	FADWG03
1	1	30	2	3	88	25	3	88	88
1	2	30	2	3	88	-88	88	88	88
1	3	30	2	3	88	25	2	3	88
1	4	30	2	3	88	25	2	3	88
1	5	30	2	3	6	-88	88	88	88
1	6	4	2	2	88	4	2	2	88
1	7	12	0	88	88	-88	0	88	88
2	1	50	2	3	0	-1111	 	 	 
2	2	50	2	3	88	30	2	0	88
2	3	50	2	3	88	30	2	3	88
2	4	50	2	3	88	30	2	3	88
2	5	50	2	3	88	30	2	3	88
2	6	12	1	2	88	10	1	2	88
2	7	-88	88	88	88	-88	88	88	88
3	1	25	2	3	0	-1111	 	 	 
3	2	-2222	0	0	0	-2222	0	0	0
3	3	30	2	3	0	25	2	3	0
3	4	35	2	3	0	-1111	 	 	 
3	5	35	2	0	0	-1111	 	 	 
3	6	4	0	0	0	-1111	 	 	 
3	7	3.5	0	0	0	3.5	0	0	0
4	1	30	2	88	88	-1111	 	 	 
4	2	50	2	88	88	-1111	 	 	 
4	3	50	2	88	88	50	1	2	88
4	4	50	2	2	88	-1111	 	 	 
4	5	30	2	88	88	-1111	 	 	 
4	6	-1111	 	 	 	-1111	 	 	 
4	7	-1111	 	 	 	-1111	 	 	 
5	1	20	2	88	88	-1111	 	 	 
5	2	50	2	88	88	-1111	 	 	 
5	3	40	2	88	88	40	2	88	88
5	4	70	2	88	88	-1111	 	 	 
5	5	70	2	88	88	-1111	 	 	 
5	6	14	1	2	88	-1111	 	 	 
5	7	-88	88	88	88	-88	88	88	88
6	1	50	0	0	0	-1111	 	 	 
6	2	50	0	0	0	-1111	 	 	 
6	3	40	2	3	0	30	2	3	0
6	4	80	1	3	2	-1111	 	 	 
6	5	80	1	2	3	-1111	 	 	 
6	6	20	1	2	3	-1111	 	 	 
6	7	-88	88	88	88	-88	88	88	88
7	1	70	1	1	3	60	1	2	3
7	2	70	1	2	3	60	1	2	3
7	3	60	1	2	3	45	1	2	3
7	4	70	1	2	3	50	1	2	3
7	5	80	1	2	3	-1111	 	 	 
7	6	30	1	2	3	20	1	2	3
7	7	-88	0	0	0	-88	0	0	0
8	1	20	1	6	88	-88	88	88	88
8	2	20	1	6	88	-88	88	88	88
8	3	20	1	6	88	15	1	6	88
8	4	20	1	2	1	15	1	2	4
8	5	20	1	0	0	-88	88	88	88
8	6	-88	88	88	88	-88	88	88	88
8	7	-88	88	88	88	-88	88	88	88
9	1	40	2	88	88	30	2	88	88
9	2	40	2	88	88	30	2	88	88
9	3	40	2	88	88	30	2	88	88
9	4	40	2	88	88	30	2	88	88
9	5	40	2	88	88	30	2	88	88
9	6	25	2	88	88	20	2	88	88
9	7	-88	88	88	88	-88	88	88	88
10	1	70	0	88	88	-1111	 	 	 
10	2	70	0	88	88	-1111	 	 	 
10	3	-1111	 	 	 	40	0	88	88
10	4	100	0	88	88	50	0	88	88
10	5	70	0	0	0	-1111	 	 	 
10	6	200	0	88	88	-1111	 	 	 
10	7	-77	88	88	88	-77	88	88	88
11	1	80	1	2	3	-1111	 	 	 
11	2	80	1	2	3	-1111	 	 	 
11	3	80	1	2	3	50	1	2	3
11	4	80	1	2	3	-1111	 	 	 
11	5	80	1	2	3	-1111	 	 	 
11	6	-1111	 	 	 	-1111	 	 	 
11	7	-1111	 	 	 	-1111	 	 	 
12	1	70	1	2	3	-1111	 	 	 
12	2	70	1	2	3	-1111	 	 	 
12	3	70	1	2	3	40	1	2	6
12	4	70	1	2	3	-1111	 	 	 
12	5	70	1	2	3	-1111	 	 	 
12	6	-1111	 	 	 	-1111	 	 	 
12	7	-77	88	88	88	-77	88	88	88
13	1	-1111	 	 	 	-1111	 	 	 
13	2	-1111	 	 	 	-1111	 	 	 
13	3	-1111	 	 	 	-1111	 	 	 
13	4	-1111	 	 	 	-1111	 	 	 
13	5	-1111	 	 	 	-1111	 	 	 
13	6	-1111	 	 	 	-1111	 	 	 
13	7	-1111	 	 	 	-1111	 	 	 
14	1	-88	88	88	88	-88	88	88	88
14	2	-88	88	88	0	-88	88	88	88
14	3	-88	88	88	88	-88	88	88	88
14	4	-88	88	88	88	-88	88	88	88
14	5	-88	88	88	88	-88	88	88	88
14	6	-88	88	88	88	-88	88	88	88
14	7	-88	88	88	88	-88	88	88	88
15	1	-1111	 	 	 	-1111	 	 	 
15	2	-1111	 	 	 	-1111	 	 	 
15	3	-1111	 	 	 	-1111	 	 	 
15	4	-1111	 	 	 	-1111	 	 	 
15	5	-1111	 	 	 	-1111	 	 	 
15	6	-1111	 	 	 	-1111	 	 	 
