PLACEID	LCPRIDR4	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102
1	0	4	1	2	5	1	5
1	1	6	1	2	5.5	1	5
1	2	35	1	2	38	1	5
1	3	200	17	5	120	19	2
1	4	130	1	2	100	19	5
1	5	140	1	2	80	19	5
1	6	80	1	3	50	19	2
1	7	4	10	4	0	11	7
1	8	0	10	4	.0900000035762787	10	7
1	9	.5	10	4	-88	10	7
1	10	0	10	7	-88	10	5
1	11	15	1	3	12	1	5
1	12	48	2	2	30	1	3
1	13	-88	16	2	-88	1	5
1	14	14.7299995422363	12	7	-88	88	7
1	15	12.1599998474121	12	7	-88	12	7
1	16	12.2399997711182	19	2	12.2399997711182	19	3
1	17	1088	19	2	9.60000038146973	19	3
1	18	7.59999990463257	19	3	7.59999990463257	19	2
1	19	8.75	19	2	7.94999980926514	19	3
1	20	6.5	1	5	6.5	1	2
1	21	8.39999961853027	19	5	6.80000019073486	1	2
1	22	-88	19	5	-88	1	2
1	23	-88	1	5	-88	19	2
1	24	12	19	3	12	19	5
1	25	6	19	5	6	1	2
1	26	8.30000019073486	19	5	8.30000019073486	19	3
1	27	7.19999980926514	19	5	7.19999980926514	19	3
1	28	-88	19	5	-88	1	2
1	29	-88	19	3	-88	1	2
1	30	15	17	4	18	17	7
1	31	18	17	4	18	17	7
1	32	120	19	2	110	19	3
1	33	2	19	7	1.5	17	4
1	34	-88	1	5	-88	19	7
1	35	-88	2	2	-88	19	3
1	36	8	19	3	12.5	19	2
1	37	7.80000019073486	19	2	7.80000019073486	19	5
1	38	-88	1	2	-88	19	5
1	39	16	19	5	16	19	2
1	40	85	1	4	50	17	2
1	41	80	17	4	-88	1	5
1	42	40	19	3	35	19	4
1	43	80	17	4	-88	1	7
1	44	-88	1	2	-88	19	5
1	45	100	4	2	-88	1	7
1	46	38	17	4	40	17	2
1	47	8	17	2	10	17	1
1	48	80	1	2	60	19	3
1	49	-88	1	3	-88	19	5
1	50	15.5	1	4	15.5	1	2
1	51	4	1	2	4.19999980926514	19	5
1	52	25	1	2	25	19	5
1	53	18	1	3	12	19	2
1	54	33	1	2	35	19	3
1	55	-88	1	2	-88	19	3
1	56	1	1	2	1	17	5
1	57	-88	1	5	-88	19	1
1	58	6	19	3	5	1	4
1	59	-88	1	3	-88	19	6
1	60	-88	1	3	-88	19	4
1	61	8	19	2	9	1	3
