PLACEID	MNTRIDR4	TRANS	TITRANS
1	1	6	90
1	2	1	360
2	1	1	120
2	2	6	60
3	1	1	60
3	2	15	8
3	3	2	15
4	1	1	50
4	2	14	25
4	3	15	10
5	1	1	60
5	2	3	30
6	1	7	30
6	2	14	50
6	3	1	100
7	1	14	50
7	2	15	35
7	3	1	90
8	1	6	20
9	1	1	50
9	2	6	10
9	3	2	40
10	1	1	90
10	2	8	30
11	1	7	10
11	2	1	120
12	1	8	45
12	2	1	150
13	1	7	15
13	2	5	10
13	3	1	30
14	1	1	10
14	2	14	7
14	3	7	5
15	1	1	20
15	2	7	5
15	3	6	5
16	1	1	30
16	2	7	10
16	3	15	15
17	1	1	10
17	2	7	3
17	3	8	3
18	1	1	10
18	2	7	3
19	1	1	15
19	2	15	10
19	3	14	10
20	1	1	5
20	2	15	3
20	3	2	10
21	1	15	-88
21	2	1	-88
21	3	14	-88
22	1	15	-88
22	2	1	-88
23	1	1	-88
23	2	14	-88
24	1	7	0
24	2	8	0
24	3	6	0
24	4	15	0
24	5	4	0
24	6	3	0
