PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHELP
1	1	6	2004	12	10	19	1	1
1	2	6	2005	12	10	5	1	0
2	1	6	2003	10	5	4	3	0
2	2	4	2002	12	19	4	1	0
2	3	8	2002	7	6	88	1	0
2	4	10	2002	11	10	88	1	0
2	5	7	2003	11	10	5	4	0
2	6	4	2003	12	4	19	1	0
2	7	10	2003	11	10	88	2	0
2	8	10	2004	3	10	88	2	0
2	9	11	2004	6	5	3	2	1
2	10	7	2005	11	4	10	3	0
2	11	10	2005	7	10	88	1	0
3	1	7	2002	3	10	10	3	1
3	2	13	2004	12	4	10	2	2
3	3	3	2004	9	6	7	4	1
3	4	11	2004	7	5	88	1	1
3	5	10	2004	12	10	6	3	1
3	6	3	2005	9	10	7	4	0
3	7	11	2005	10	5	88	1	1
3	8	6	2005	11	19	8	1	0
3	9	10	2005	12	10	88	2	1
3	10	7	2006	1	10	6	3	0
3	11	12	2006	1	17	88	1	1
4	1	3	2004	7	6	6	3	1
4	2	9	2005	10	5	88	2	0
4	3	9	2005	7	6	6	3	0
4	4	9	2004	9	4	3	2	0
6	1	9	2004	3	6	6	1	0
6	2	7	2003	3	7	88	1	0
6	3	9	2006	1	7	88	3	0
6	4	10	2006	1	7	88	1	0
7	1	6	2003	11	1	9	1	1
8	1	9	2000	12	6	88	-88	1
11	1	6	2004	10	10	19	2	1
11	2	6	2005	11	10	19	2	0
11	3	3	2005	12	10	5	3	0
13	1	6	2005	12	8	1	1	1
14	1	6	2004	11	8	13	1	1
14	2	14	2004	11	8	14	1	1
15	1	12	2003	4	17	88	1	1
15	2	6	2006	1	8	11	1	1
16	1	12	2002	10	13	88	1	1
17	1	9	2005	7	9	11	1	1
17	2	6	2005	11	8	11	1	1
19	1	6	2003	12	18	6	1	1
19	2	6	2005	13	18	88	1	1
19	3	7	2004	2	10	88	1	0
21	2	9	2005	10	7	88	-88	88
