PLACEID	PSTSECID	PSTCRAVL	PSTWHEN	PSTTIME	PSTTRNS
1	11	0	 	90	6
1	12	3	 	 	 
1	13	3	 	 	 
1	14	3	 	 	 
1	15	3	 	 	 
1	16	3	 	 	 
1	17	3	 	 	 
2	11	0	 	120	1
2	12	3	 	 	 
2	13	0	 	120	1
2	14	3	 	 	 
2	15	3	 	 	 
2	16	3	 	 	 
2	17	3	 	 	 
3	11	0	 	50	1
3	12	3	 	 	 
3	13	3	 	 	 
3	14	0	 	50	1
3	15	3	 	 	 
3	16	3	 	 	 
3	17	3	 	 	 
4	11	0	 	50	1
4	12	3	 	 	 
4	13	0	 	50	1
4	14	0	 	50	1
4	15	3	 	 	 
4	16	3	 	 	 
4	17	3	 	 	 
5	11	3	 	 	 
5	12	3	 	 	 
5	13	3	 	 	 
5	14	3	 	 	 
5	15	3	 	 	 
5	16	3	 	 	 
5	17	3	 	 	 
6	11	0	 	30	7
6	12	0	 	30	7
6	13	0	 	30	7
6	14	0	 	30	7
6	15	0	 	30	7
6	16	3	 	 	 
6	17	3	 	 	 
7	11	0	 	35	15
7	12	3	 	 	 
7	13	3	 	 	 
7	14	0	 	35	15
7	15	3	 	 	 
7	16	3	 	 	 
7	17	3	 	 	 
8	11	0	 	20	6
8	12	0	 	25	6
8	13	3	 	 	 
8	14	0	 	25	6
8	15	0	 	17	6
8	16	0	 	20	14
8	17	3	 	 	 
9	11	3	 	 	 
9	12	3	 	 	 
9	13	3	 	 	 
9	14	3	 	 	 
9	15	3	 	 	 
9	16	3	 	 	 
9	17	3	 	 	 
10	11	0	 	35	8
10	12	0	 	35	8
10	13	0	 	35	8
10	14	0	 	35	8
10	15	0	 	35	8
10	16	3	 	 	 
10	17	77	 	 	 
11	11	3	 	 	 
11	12	3	 	 	 
11	13	3	 	 	 
11	14	3	 	 	 
11	15	3	 	 	 
11	16	3	 	 	 
11	17	3	 	 	 
12	11	0	 	45	8
12	12	0	 	45	8
12	13	0	 	45	8
12	14	0	 	45	8
12	15	3	 	 	 
12	16	3	 	 	 
12	17	3	 	 	 
13	11	0	 	20	1
13	12	3	 	 	 
13	13	0	 	20	1
13	14	1	1996	 	 
13	15	0	 	10	7
13	16	3	 	 	 
13	17	3	 	 	 
14	11	1	-77	 	 
14	12	3	 	 	 
14	13	0	 	30	13
14	14	3	 	 	 
14	15	3	 	 	 
14	16	1	2004	 	 
14	17	3	 	 	 
15	11	0	 	30	1
15	12	3	 	 	 
15	13	3	 	 	 
15	14	0	 	25	1
15	15	3	 	 	 
15	16	1	2005	 	 
15	17	77	 	 	 
16	11	0	 	20	7
16	12	3	 	 	 
16	13	3	 	 	 
16	14	0	 	10	1
16	15	0	 	40	15
16	16	0	 	15	7
16	17	3	 	 	 
17	11	0	 	30	1
17	12	3	 	 	 
17	13	3	 	 	 
17	14	0	 	15	1
17	15	3	 	 	 
17	16	3	 	 	 
17	17	3	 	 	 
18	11	1	1992	 	 
18	12	3	 	 	 
18	13	3	 	 	 
18	14	3	 	 	 
18	15	3	 	 	 
18	16	1	1992	 	 
18	17	3	 	 	 
19	11	1	2001	 	 
19	12	0	 	25	7
19	13	0	 	25	7
19	14	0	 	25	7
19	15	3	 	 	 
19	16	3	 	 	 
19	17	3	 	 	 
20	11	0	 	20	1
20	12	3	 	 	 
20	13	3	 	 	 
20	14	3	 	 	 
20	15	3	 	 	 
20	16	3	 	 	 
20	17	3	 	 	 
21	11	0	 	20	1
21	12	0	 	15	1
21	13	0	 	60	1
21	14	0	 	15	1
21	15	0	 	30	1
21	16	0	 	35	1
21	17	3	 	 	 
22	11	0	 	30	1
22	12	0	 	50	1
22	13	0	 	30	1
22	14	1	-77	 	 
22	15	0	 	25	1
22	16	0	 	35	1
22	17	1	2005	 	 
23	11	0	 	30	1
23	12	77	 	 	 
23	13	0	 	30	1
23	14	0	 	10	1
23	15	1	-77	 	 
23	16	0	 	25	1
23	17	0	 	30	1
24	11	3	 	 	 
24	12	3	 	 	 
24	13	3	 	 	 
24	14	3	 	 	 
24	15	3	 	 	 
24	16	3	 	 	 
24	17	3	 	 	 
