PLACEID	SERVIDR4	AVLOC	SRVRT
1	1	0	 
1	2	1	1
1	3	0	 
1	4	0	 
1	5	0	 
1	10	0	 
1	11	0	 
1	12	0	 
1	13	1	2
1	14	1	3
1	15	0	 
1	16	1	2
1	19	0	 
1	20	0	 
1	21	1	2
1	22	1	2
1	23	0	 
1	26	1	1
1	30	0	 
1	31	0	 
2	1	0	 
2	2	0	 
2	3	0	 
2	4	0	 
2	5	0	 
2	10	0	 
2	11	0	 
2	12	0	 
2	13	1	1
2	14	1	2
2	15	0	 
2	16	1	2
2	19	0	 
2	20	0	 
2	21	1	2
2	22	1	2
2	23	0	 
2	26	1	3
2	30	0	 
2	31	0	 
3	1	0	 
3	2	1	2
3	3	0	 
3	4	0	 
3	5	0	 
3	10	0	 
3	11	1	1
3	12	0	 
3	13	1	3
3	14	1	1
3	15	0	 
3	16	1	2
3	19	0	 
3	20	0	 
3	21	1	3
3	22	1	2
3	23	0	 
3	26	1	1
3	30	1	1
3	31	0	 
4	1	0	 
4	2	1	2
4	3	0	 
4	4	0	 
4	5	0	 
4	10	0	 
4	11	0	 
4	12	0	 
4	13	1	2
4	14	1	1
4	15	0	 
4	16	0	 
4	19	0	 
4	20	0	 
4	21	1	2
4	22	1	2
4	23	0	 
4	26	1	2
4	30	1	1
4	31	0	 
5	1	0	 
5	2	0	 
5	3	0	 
5	4	0	 
5	5	0	 
5	10	1	2
5	11	0	 
5	12	0	 
5	13	0	 
5	14	1	3
5	15	0	 
5	16	0	 
5	19	0	 
5	20	0	 
5	21	1	3
5	22	1	3
5	23	0	 
5	26	1	3
5	30	1	2
5	31	0	 
6	1	1	2
6	2	1	2
6	3	0	 
6	4	0	 
6	5	1	2
6	10	0	 
6	11	0	 
6	12	0	 
6	13	1	2
6	14	1	2
6	15	0	 
6	16	1	3
6	19	0	 
6	20	0	 
6	21	0	 
6	22	1	3
6	23	0	 
6	26	1	3
6	30	0	 
6	31	0	 
7	1	1	2
7	2	1	2
7	3	0	 
7	4	0	 
7	5	0	 
7	10	1	3
7	11	0	 
7	12	0	 
7	13	0	 
7	14	1	1
7	15	0	 
7	16	1	3
7	19	0	 
7	20	0	 
7	21	1	2
7	22	1	3
7	23	0	 
7	26	1	2
7	30	0	 
7	31	0	 
8	1	0	 
8	2	0	 
8	3	0	 
8	4	0	 
8	5	0	 
8	10	0	 
8	11	0	 
8	12	0	 
8	13	0	 
8	14	0	 
8	15	0	 
8	16	1	3
8	19	0	 
8	20	0	 
8	21	0	 
8	22	1	2
8	23	0	 
8	26	1	2
8	30	0	 
8	31	0	 
9	1	0	 
9	2	1	3
9	3	0	 
9	4	0	 
9	5	0	 
9	10	0	 
9	11	0	 
9	12	0	 
9	13	0	 
9	14	1	3
9	15	0	 
9	16	0	 
9	19	0	 
9	20	0	 
9	21	0	 
9	22	0	 
9	23	0	 
9	26	1	3
9	30	0	 
9	31	0	 
10	1	0	 
10	2	0	 
10	3	0	 
10	4	0	 
10	5	0	 
10	10	0	 
10	11	0	 
10	12	0	 
10	13	1	1
10	14	0	 
10	15	0	 
10	16	0	 
10	19	0	 
10	20	0	 
10	21	1	3
10	22	1	2
10	23	0	 
10	26	1	1
10	30	0	 
10	31	0	 
11	1	0	 
11	2	0	 
11	3	0	 
11	4	0	 
11	5	0	 
11	10	0	 
11	11	0	 
11	12	0	 
11	13	1	3
11	14	1	3
11	15	0	 
11	16	1	3
11	19	0	 
11	20	0	 
11	21	1	3
11	22	1	3
11	23	0	 
11	26	1	3
11	30	0	 
11	31	0	 
12	1	1	1
12	2	1	2
12	3	0	 
12	4	0	 
12	5	0	 
12	10	1	3
12	11	0	 
12	12	0	 
12	13	1	1
12	14	1	2
12	15	0	 
12	16	0	 
12	19	0	 
12	20	0	 
12	21	1	2
12	22	1	3
12	23	1	3
12	26	0	 
12	30	0	 
12	31	0	 
13	1	1	1
13	2	1	1
13	3	0	 
13	4	1	1
13	5	1	2
13	10	1	3
13	11	1	3
13	12	0	 
13	13	1	2
13	14	1	2
13	15	1	1
13	16	1	2
13	19	1	3
13	20	1	3
13	21	1	2
13	22	0	 
13	23	0	 
13	26	1	3
13	30	1	3
13	31	1	3
14	1	0	 
14	2	1	3
14	3	0	 
14	4	0	 
14	5	1	3
14	10	1	3
14	11	1	2
14	12	0	 
14	13	1	3
14	14	1	2
14	15	1	3
14	16	1	2
14	19	1	3
14	20	1	2
14	21	1	3
14	22	0	 
14	23	1	3
14	26	1	2
14	30	1	2
14	31	1	3
15	1	0	 
15	2	0	 
15	3	0	 
15	4	0	 
15	5	1	1
15	10	1	1
15	11	1	1
15	12	0	 
15	13	1	2
15	14	1	2
15	15	1	1
15	16	1	2
15	19	1	3
15	20	0	 
15	21	1	2
15	22	0	 
15	23	0	 
15	26	1	1
15	30	1	1
15	31	1	2
16	1	0	 
16	2	0	 
16	3	0	 
16	4	1	2
16	5	1	2
16	10	1	2
16	11	1	2
16	12	1	2
16	13	1	2
16	14	1	2
16	15	1	1
16	16	1	3
16	19	1	3
16	20	1	3
16	21	1	3
16	22	0	 
16	23	1	3
16	26	1	1
16	30	1	1
16	31	1	2
17	1	0	 
17	2	0	 
17	3	0	 
17	4	0	 
17	5	1	2
17	10	1	2
17	11	1	2
17	12	0	 
17	13	1	1
17	14	1	3
17	15	1	3
17	16	1	3
17	19	1	3
17	20	1	3
17	21	1	2
17	22	1	2
17	23	0	 
17	26	1	1
17	30	1	2
17	31	1	2
18	1	0	 
18	2	1	1
18	3	0	 
18	4	0	 
18	5	0	 
18	10	0	 
18	11	0	 
18	12	1	3
18	13	1	3
18	14	1	3
18	15	1	2
18	16	1	3
18	19	1	3
18	20	1	3
18	21	1	3
18	22	0	 
18	23	0	 
18	26	1	3
18	30	1	3
