PLACEID	TYWKIDR4	TYPWMALE	TYPWFMLE
1	1	-88	60
1	2	600	-88
1	3	702	702
1	4	-88	-88
1	5	600	-88
1	6	450	450
1	7	-88	100
1	8	-88	-88
1	9	1414	1414
1	10	805	-88
1	11	700	-88
1	12	-88	-88
1	14	1500	-88
1	15	-88	-88
1	16	-88	-88
1	17	1300	-88
1	21	30	-89
1	22	3120	-88
2	1	-1111	900
2	2	900	900
2	3	2000	2000
2	4	-1111	-1111
2	5	1500	-1111
2	6	550	-1111
2	7	-1111	250
2	8	750	750
2	9	1750	1750
2	10	1200	1200
2	11	2000	2000
2	12	400	400
2	14	1200	1200
2	15	1500	1500
2	16	1450	1450
2	17	-88	-88
2	21	750	600
2	22	1900	1300
3	1	-1111	175
3	2	280	-1111
3	3	1280	1000
3	4	350	350
3	5	400	-1111
3	6	200	-1111
3	7	-1111	110
3	8	-1111	-1111
3	9	900	900
3	10	720	720
3	11	500	-1111
3	12	-1111	250
3	14	-1111	-1111
3	15	1050	1050
3	16	-1111	-1111
3	17	-88	-88
3	21	900	690
3	22	2400	-1111
4	1	-1111	-1111
4	2	-1111	-1111
4	3	700	-1111
4	4	1200	1000
4	5	-1111	-1111
4	6	500	-1111
4	7	-1111	300
4	8	-1111	-1111
4	9	1400	1400
4	10	-1111	-1111
4	11	-1111	-1111
4	12	-1111	-1111
4	14	-1111	-1111
4	15	-1111	-1111
4	16	-1111	-1111
4	17	-88	-88
4	21	500	300
4	22	700	-1111
5	1	-1111	-1111
5	2	-1111	-1111
5	3	1200	-1111
5	4	-1111	-1111
5	5	-1111	-1111
5	6	480	-1111
5	7	-1111	-1111
5	8	-1111	-1111
5	9	1250	1250
5	10	-1111	-1111
5	11	-1111	-1111
5	12	-1111	-1111
5	14	-1111	-1111
5	15	-1111	-1111
5	16	-1111	-1111
5	17	-88	-88
5	21	900	900
5	22	-1111	-1111
6	1	-1111	400
6	2	1400	1200
6	3	1400	1000
6	4	814	814
6	5	1800	-1111
6	6	600	-1111
6	7	-1111	200
6	8	400	400
6	9	2147	2147
6	10	1376	1376
6	11	1200	-1111
6	12	-1111	550
6	14	1300	1300
6	15	-7777	-7777
6	16	1200	1200
6	17	-88	-88
6	21	1000	800
6	22	1400	-1111
7	1	-1111	-1111
7	2	-1111	-1111
7	3	2200	-1111
7	4	-1111	-1111
7	5	1500	-1111
7	6	700	600
7	7	350	300
7	8	350	300
7	9	2000	2000
7	10	1800	1800
7	11	-1111	-1111
7	12	-1111	500
7	14	1600	1400
7	15	-1111	-1111
7	16	-1111	-1111
7	17	-8888	-8888
7	21	1200	900
7	22	1800	1500
8	1	-88	-88
8	2	-88	-88
8	3	35	-88
8	4	600	-88
8	5	900	-88
8	6	400	-88
8	7	-88	300
8	8	-88	-88
8	9	1295	1295
8	10	1067	1067
8	11	-88	-88
8	12	-77	-77
8	14	-88	-88
8	15	-88	-88
8	16	-88	-88
8	17	-88	-88
8	21	600	-88
8	22	-77	-77
9	1	-1111	-1111
9	2	-1111	-1111
9	3	2100	1500
9	4	-1111	-1111
9	5	2100	-1111
9	6	300	-1111
9	7	-1111	-1111
9	8	-1111	-1111
9	9	1090	1090
9	10	1020	1020
9	11	-1111	-1111
9	12	-1111	-1111
9	14	-1111	-1111
9	15	-1111	-1111
9	16	-1111	-1111
9	17	88	88
9	21	1200	900
9	22	2100	-1111
10	1	-1111	-1111
10	2	-1111	-1111
10	3	150	-1111
10	4	-1111	-1111
10	5	-1111	-1111
10	6	900	-1111
10	7	200	300
10	8	-1111	-1111
10	9	1881	1644
10	10	2371	-1111
10	11	-1111	-1111
10	12	-1111	-1111
10	14	-1111	-1111
10	15	-1111	-1111
10	16	-1111	-1111
10	17	-88	-88
10	21	70	50
10	22	150	-1111
11	1	-1111	-1111
11	2	-1111	-1111
11	3	650	500
11	4	-1111	-1111
11	5	1500	-1111
11	6	700	-1111
11	7	-1111	-1111
11	8	-1111	-1111
11	9	1500	1500
11	10	1700	1700
11	11	-1111	-1111
11	12	-1111	-1111
11	14	-1111	-1111
11	15	-1111	-1111
11	16	-1111	-1111
11	17	-1111	-1111
11	21	50	-1111
11	22	-1111	-1111
12	1	-1111	-1111
12	2	-1111	-1111
12	3	150	-1111
12	4	-1111	-1111
12	5	-1111	-1111
12	6	500	-1111
12	7	-1111	-1111
12	8	-1111	-1111
12	9	1881	1881
12	10	2371	-1111
12	11	-1111	-1111
12	12	-1111	-1111
12	14	-1111	-1111
12	15	-1111	-1111
12	16	-1111	-1111
12	17	-1111	-1111
12	21	70	70
12	22	150	-1111
13	1	800	800
13	2	700	650
13	3	2400	2100
13	4	2000	1800
13	5	900	750
13	6	750	600
13	7	400	350
13	8	600	500
13	9	2000	2000
13	10	1500	1500
13	11	2000	1800
13	12	800	750
13	14	900	800
13	15	1200	1200
13	16	2000	1900
13	17	-88	-88
13	21	900	750
13	22	1500	1500
14	1	1000	-1111
14	2	1800	1400
14	3	2500	1700
14	4	1500	1500
14	5	1000	-1111
14	6	525	525
14	7	500	400
14	8	1000	1000
14	9	1499	1499
14	10	1450	1450
14	11	1200	-1111
14	12	1000	1000
14	14	800	800
14	15	1154	1154
14	16	1200	1200
14	17	-1111	-1111
14	21	700	500
14	22	1500	-1111
15	1	300	300
15	2	950	500
15	3	2050	1800
15	4	700	700
15	5	1200	1200
15	6	625	625
15	7	400	300
15	8	400	400
15	9	1800	1800
15	10	800	800
15	11	1000	1000
15	12	1000	1000
15	14	600	500
15	15	-7777	-7777
15	16	1500	1500
15	17	-1111	-1111
15	21	1100	1000
15	22	1800	-1111
16	1	-1111	800
16	2	1600	1400
16	3	3000	2000
16	4	1300	1300
16	5	1100	-1111
16	6	550	550
16	7	400	400
16	8	800	800
16	9	1450	1450
16	10	1400	1400
16	11	1500	-1111
16	12	750	750
16	14	1000	1000
16	15	-1111	-1111
16	16	1500	1500
16	17	-1111	-1111
16	21	1000	800
16	22	1600	-1111
17	1	-1111	600
17	2	900	700
17	3	2000	1500
17	4	-1111	-1111
17	5	800	800
17	6	800	800
17	7	400	350
17	8	450	450
17	9	1600	1600
17	10	1000	1000
17	11	1400	1400
17	12	900	900
17	14	800	800
17	15	-1111	-1111
17	16	1800	1800
17	17	-1111	-1111
17	21	1200	1000
17	22	2500	2000
18	1	-98	150
18	2	1500	-98
18	3	40	35
18	4	-98	-98
18	5	2250	-98
18	6	490	490
18	7	300	300
18	8	-98	-98
18	9	1233	1233
18	10	1024	1024
18	11	3500	-98
18	12	2500	2500
18	14	2000	1500
18	15	-98	-98
18	16	4000	-98
18	17	4000	-88
18	21	40	35
18	22	3300	-98
19	1	-1111	300
19	2	1600	1400
19	3	1200	900
19	4	510	510
19	5	1500	-1111
19	6	450	-1111
19	7	-1111	300
19	8	350	350
19	9	2258	2258
19	10	1376	1376
19	11	1000	-1111
19	12	-1111	500
19	14	-7777	-7777
19	15	-7777	-1111
19	16	1200	1200
19	17	-88	-88
19	21	800	600
19	22	1100	-1111
20	1	-1111	150
20	2	800	-1111
20	3	1500	1500
20	4	2000	2000
20	5	1200	-1111
20	6	800	800
20	7	-1111	200
20	8	500	500
20	9	2000	2000
20	10	1100	1100
20	11	3000	-1111
20	12	-1111	1000
20	14	1300	-1111
20	15	1100	1100
20	16	2000	-1111
20	17	-88	-88
20	21	1500	1500
20	22	1800	-1111
21	1	300	300
21	2	400	400
21	3	40	-77
21	4	700	500
21	5	400	400
21	6	500	500
21	7	200	300
21	8	300	300
21	9	1200	1200
21	10	1200	1200
21	11	1500	-77
21	12	1000	800
21	14	800	600
21	15	1000	1000
21	16	800	800
21	17	0	0
21	21	300	300
21	22	800	800
22	1	-7777	200
22	2	400	400
22	3	1800	1800
22	4	800	800
22	5	400	-77
22	6	500	500
22	7	0	200
22	8	400	400
22	9	1600	1600
22	10	1300	1300
22	11	1600	-7777
22	12	1500	1000
22	14	 	 
22	15	1200	1200
22	16	500	550
22	17	0	0
22	21	700	-2222
22	22	2000	-7777
23	1	200	200
23	2	2000	-777
23	3	1500	1500
23	4	630	630
23	5	 	 
23	6	400	400
23	7	-777	200
23	8	-2222	-2222
23	9	3000	3000
23	10	1200	1200
23	11	1800	1800
23	12	2000	2000
23	14	-7777	-7777
23	15	1280	1280
23	16	1000	1000
23	17	0	0
23	21	1200	-2222
23	22	1300	1300
24	1	-1111	-1111
24	2	-1111	-1111
24	3	3000	3000
24	4	2000	2000
24	5	2500	-1111
24	6	500	-1111
24	7	300	300
24	8	-1111	-1111
24	9	1200	1200
24	10	1200	1200
24	11	-1111	-1111
24	12	1200	1200
24	14	2500	2500
24	15	-1111	-1111
24	16	-1111	-1111
24	17	-88	-88
24	21	900	900
24	22	2000	2000
