PLACEID	RSID	CAPAC
1	1	8
1	2	8
1	3	88
1	4	8
2	1	1
2	2	2
2	3	3
2	4	10
2	5	12
2	6	8
2	7	8
2	8	8
2	9	8
2	10	8
2	11	8
2	12	8
2	13	8
2	14	88
3	1	1
3	2	7
3	3	10
3	4	8
3	5	11
3	6	8
3	7	8
3	8	8
3	9	8
3	10	8
3	11	9
3	12	10
3	13	3
3	14	88
3	15	8
3	16	3
3	17	8
4	1	7
4	2	10
4	3	3
4	4	8
4	5	8
4	6	8
4	7	8
4	8	88
4	9	8
4	10	8
5	1	7
5	2	3
5	3	10
5	4	8
5	5	8
5	6	8
5	7	8
5	8	3
5	9	8
5	10	8
5	12	88
5	13	8
5	14	8
5	15	8
5	16	8
5	17	8
5	18	8
6	1	8
6	2	1
6	3	1
6	4	8
6	5	8
6	6	8
6	7	8
6	9	88
7	1	3
7	2	11
7	3	2
7	4	3
8	1	1
8	2	3
8	3	4
8	4	10
9	1	1
9	2	4
9	3	10
9	4	3
9	5	8
9	6	8
9	7	8
10	1	7
10	2	2
10	3	6
10	4	2
11	1	8
11	2	8
11	3	2
11	4	11
12	1	5
12	2	2
12	3	11
12	4	2
13	1	2
13	2	7
13	3	8
13	4	5
14	1	8
14	2	3
14	3	10
14	4	1
14	5	3
14	6	8
14	7	8
14	8	88
14	9	8
14	10	8
14	11	8
14	12	8
14	13	8
15	1	7
15	2	10
15	3	3
15	4	1
15	5	8
15	6	8
15	7	8
15	8	8
15	9	88
15	10	8
15	11	8
16	1	1
16	2	1
16	3	10
16	4	10
16	5	3
16	6	8
16	7	8
16	8	8
16	9	8
16	10	8
16	11	3
16	12	88
17	1	9
17	2	8
17	3	1
17	4	8
17	5	8
17	6	8
17	7	8
17	8	8
17	9	8
17	10	8
17	11	8
17	12	8
17	13	88
17	14	3
18	1	1
18	2	2
18	3	2
18	4	8
18	5	8
18	6	8
18	7	11
18	8	8
18	9	8
18	10	8
18	11	8
18	12	88
19	1	2
19	2	1
19	3	2
