PLACEID	DINT	MINICOMMID	REGION	CLUSTID	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	UNPAVEDN	TRACKSN	AIRRTE	OTTRANN	MAINRTR4	FACTORY	FACTEMP	NTRLDIST	INDWPROB	MINWPROB	GARWPROB	ANMWPROB	HUMWPROB	FRMDUMP	FMLYDUMP	LOCLDUMP	EXCRDUMP	OPNTLT	GRBBRNG	INDSACTV	CARSPSSG	PESTICID	NOISEPLL	STNDWATR	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3
1	23/12/2013 10:41:20	001	3	001	1	3	3	2841	0	1	1	0	0	3	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	3	3	1	3	3	1	3	3	2	3	3
2	27/11/2013 15:09:44	002	4	90	2	1	5	3600	0	1	1	0	0	2	0	 	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	2	3	3	4	1	4	2	3	6	7	8
3	03/12/2013 18:31:09	003	4	90	1	2	11	5325	0	1	1	0	0	3	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	11	11	12	1	12	1	2	7	7	9
4	15/12/2013 04:56:55	004	4	10	1	3	2	3015	1	1	1	0	0	1	0	 	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	3	1	3	2	1	2	3	1	2	3
5	06/12/2013 15:10:30	005	4	90	1	2	3	7711	1	1	1	0	0	3	0	 	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	3	1	2	3	1	2	3	4	5	6
6	07/12/2013 05:45:57	006	4	90	1	2	3	2257	1	1	1	0	0	1	0	 	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	3	1	2	3	1	2	3	4	6	5
7	01/02/2014 14:03:19	007	3	007	2	2	4	1400	1	1	1	0	0	3	0	 	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	2	4	2	2	1	1	3	4	1	4	3
8	01/01/2014 07:34:23	008	7	008	1	2	3	15000	1	1	0	0	0	1	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	2	3	1	2	3	1	2	4
9	06/12/2013 13:33:23	009	7	009	1	2	4	2392	0	1	1	0	0	2	0	 	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	2	3	1	2	4	1	3	2	3	5	4
10	01/12/2013 09:24:02	011	4	011	4	1	2	8000	0	1	1	0	0	2	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	1	2	4	1	4	2	1	3	3
11	13/12/2013 09:42:09	010	4	010	1	2	4	40000	1	1	1	0	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	2	4	2	1	4	1	2	3
12	24/11/2013 10:59:01	012	4	012	1	2	3	12500	1	1	1	0	0	2	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	2	3	1	4	2	4	2	3
13	28/11/2013 10:23:23	013	4	013	4	1	2	5800	0	0	1	0	0	3	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	3	1	4	4	1	2	3	4	2
14	22/12/2013 11:17:25	014	4	014	1	5	3	3286	1	1	1	0	0	1	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	4	1	4	5	1	2	3	6	5	7
15	22/12/2013 11:19:12	015	4	015	1	2	3	2793	1	1	1	0	0	2	0	 	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	2	4	1	3	2	1	2	4	6	2	8
16	14/12/2013 05:26:01	016	4	016	1	1	2	7800	0	1	1	0	0	2	0	 	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	2	3	1	2	3	6	7	10
17	22/12/2013 11:20:47	017	4	017	1	2	3	7574	1	1	1	0	0	1	2	4	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	2	1	3	1	2	3	2	1	3	4	7	6
18	22/12/2013 11:23:33	018	4	018	1	2	3	27225	1	1	1	0	0	1	2	4	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	3	2	3	2	1	1	3	2	4	6	8
19	22/12/2013 11:30:56	019	4	019	1	2	3	33245	1	0	0	0	0	1	1	3	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	2	1	1	2	1	1	2	10	7	9
20	13/12/2013 19:48:05	020	4	020	1	2	3	30110	1	1	1	0	1	1	2	4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	1	3	2	4	3	1	10	12	9
21	11/12/2013 16:41:20	021	4	90	1	2	3	36768	1	1	1	0	1	1	0	 	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	2	1	3	1	2	3	1	2	3	4	5	6
22	02/12/2013 10:51:40	022	4	022	1	2	4	4500	1	0	1	0	0	3	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	4	3	1	2	3	1	1	3
23	01/03/2014 22:34:04	023	4	023	1	2	3	40000	1	1	1	0	0	2	2	4	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	2	3	1	2	3	1	2	3	1	2	3
24	22/03/2014 07:20:13	024	14	024	1	1	1	26449	1	1	1	0	0	1	1	5	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	2	3	1	1	3	3	3	3	4	6	7
25	01/03/2014 22:41:14	025	14	025	1	2	3	26000	1	1	1	0	0	1	0	 	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	1	2	3	1	2	3	1	2	3	1	2	3
26	24/03/2014 04:39:52	026	14	26	1	3	2	78000	1	1	1	0	0	1	1	4	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1	2	3	1	1	1	1	1	2	4	5	6
27	27/02/2014 06:52:45	027	14	027	2	1	5	189500	1	1	1	0	0	2	1	2	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	2	1	3	2	1	5	1	3	5	3	8	7
28	14/03/2014 14:44:56	028	4	028	4	2	1	6200	1	1	1	0	0	2	1	4	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	4	5	2	4	5	2	4	5	2	5	3	4
29	02/03/2014 10:55:59	029	14	029	1	2	3	23000	1	1	1	0	0	1	1	3	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	2	3	1	1	1	2	2	2	1	1	1
30	11/02/2014 09:06:38	030	1	90030	1	2	3	8468	1	0	1	0	0	1	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	3	1	2	3	1	2	3	5	6	7
31	14/12/2013 03:59:45	031	1	031	2	1	4	48000	1	1	1	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	4	2	1	4	2	1	4	3	1	4
32	23/12/2013 05:02:12	032	1	032	2	4	3	86000	1	1	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	2	4	3	2	3	4	1	3	2
33	16/12/2013 12:56:10	033	3	033	1	2	3	3366	1	1	1	0	0	3	0	 	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	3	4	1	4	2	1	4	3	2	4	3
34	06/02/2014 13:03:46	034	3	034	1	2	3	4000	1	0	1	0	0	3	0	 	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	2	3	1	2	3	2	1	3	1	2	3
35	14/12/2013 15:19:20	035	3	035	1	1	3	5561	1	1	1	0	0	1	0	 	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	3	2	1	3	2	1	3	1	2	3
36	02/02/2014 11:33:54	036	3	036	1	2	3	4807	1	1	1	0	0	3	0	 	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	2	3	5	1	2	1	3	3	2	3	4
37	14/03/2014 01:03:44	037	4	037	1	2	1	150000	1	1	1	0	0	1	1	5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	4	3	7
38	16/01/2014 14:02:07	038	1	038	1	2	3	315000	1	1	1	0	1	2	1	4	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	2	3	1	2	3	1	2	3	5	8	10
39	24/02/2014 08:11:39	039	1	039	1	2	3	34250	0	1	1	0	1	5	1	4	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	3	1	2	3	1	2	3	4	5	7
40	27/02/2014 05:30:16	040	4	040	1	2	3	3390	0	1	1	0	0	79	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	2	1	2	6	1	2	4	1	4	3
41	02/03/2014 13:04:37	041	14	041	1	2	3	36000	1	1	1	0	0	1	1	5	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	2	3	1	2	3	1	2	3	1	2	3
42	24/02/2014 05:40:04	042	4	042	1	2	3	5462	1	1	1	0	0	1	1	4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	3	1	2	3	1	2	3	9	7	6
43	10/02/2014 14:02:48	043	7	043	1	2	3	3623	0	1	1	0	0	2	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	2	4	1	2	3	5	6	6
44	31/01/2014 15:11:10	044	7	44	1	2	3	7721	1	1	1	0	0	2	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	4	2	1	4	3	1	5	6	8
45	02/03/2014 20:00:08	045	3	045	1	2	3	29850	1	1	1	0	0	1	0	 	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	2	5	1	2	3	1	2	3	3	5	5
46	04/03/2014 13:32:40	046	4	046	1	2	3	200064	1	0	0	0	0	1	1	4	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	3	2	1	2	4	2	1	3	8	10	13
47	03/03/2014 11:57:57	047	4	047	1	9	3	65478	1	0	0	0	0	1	1	4	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	3	4	4	5	8	1	3	5	6	7	12
48	21/02/2014 11:49:18	048	7	048	2	1	3	8320	1	1	1	0	0	2	2	6	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	2	3	1	2	3	1	2	3	3	1	2
49	21/02/2014 16:29:09	049	7	049	1	2	3	933	1	1	1	0	0	2	0	 	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	3	1	2	3	1	2	3	3	1	2
50	25/02/2014 09:26:20	050	7	050	2	1	3	6352	0	1	0	0	0	2	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	2	3	1	2	3	1	2	3
51	14/03/2014 01:33:03	051	7	051	1	2	3	48000	1	1	0	0	0	1	0	 	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	3	1	2	3	2	1	1	4	3	4
52	21/02/2014 06:30:16	052	7	052	1	2	2	4445	0	1	1	0	0	2	0	 	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	2	2	1	1	2	1	1	5	4	3
53	30/01/2014 05:21:37	053	1	053	1	2	3	4868	1	1	0	0	0	2	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	1	2	4	1	2	4	4	3	1
54	21/02/2014 08:54:29	054	7	054	1	1	2	5636	0	1	1	0	0	2	0	 	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	2	1	2	2	1	1	2	3	4	5
55	03/04/2014 15:14:57	055	3	055	1	3	2	4800	1	0	1	0	0	3	0	 	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	3	2	1	2	3	2	1	3	1	2	3
56	10/02/2014 22:02:12	056	4	056	1	2	4	15000	1	0	1	0	0	3	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	4	1	3	2	2	4	4	2	1
57	13/02/2014 20:01:39	057	4	057	1	2	4	20000	0	1	1	0	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	3	1	4	2	1	4	1	4	2
58	15/02/2014 16:53:05	058	4	058	1	4	3	15000	1	0	1	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	3	1	4	2	3	4	1	3	4
59	21/02/2014 09:06:14	059	7	059	1	3	4	7849	1	1	1	0	0	1	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	3	4	1	2	3	5	6	7
60	16/02/2014 13:27:39	060	4	060	1	3	2	4500	1	0	1	0	0	3	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	3	1	2	2	3	4	1	2	4
61	22/02/2014 16:29:01	061	4	061	1	2	4	4000	0	0	1	0	0	3	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	2	4	3	1	4	2	2	1	4
62	18/02/2014 10:03:46	062	7	062	1	2	3	3259	0	1	1	0	0	2	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	2	3	1	4	2	8	5	4
63	19/02/2014 09:05:49	063	7	063	1	2	3	10068	1	1	1	0	0	2	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	3	3	2	2	3	4	5	6
64	25/02/2014 05:08:51	064	1	064	1	2	3	61737	1	1	1	1	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	2	3	1	2	3	3	2	1
65	27/02/2014 03:45:55	065	1	065	1	2	3	19760	1	1	1	0	0	1	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	2	3	1	2	3	2	3	1
66	11/03/2014 18:07:00	066	3	066	1	2	5	8238	0	1	1	0	0	2	0	 	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	2	5	1	2	5	1	2	3	3	4	5
67	07/03/2014 16:34:20	067	3	067	1	2	3	5700	1	1	1	0	0	3	0	 	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	1	2	3	1	2	3	1	2	4	2	3	4
68	26/02/2014 11:03:45	068	3	068	1	4	2	67000	1	1	1	0	0	3	1	3	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	2	4	1	2	5	1	4	2	2	4	5
69	03/04/2014 13:01:42	069	3	069	1	2	3	279423	1	1	1	0	0	2	1	4	0	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	2	3	1	2	3	1	2	3	1	2	3
70	28/02/2014 05:48:17	070	3	070	2	1	4	63315	1	1	1	0	0	1	2	7	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	4	2	3	2	3	4	1	2	4	1	2	3
71	18/03/2014 01:45:27	071	4	071	1	2	3	28000	1	1	1	0	0	2	1	4	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	2	3	1	2	3	1	2	3	1	2	3
72	01/03/2014 18:01:24	072	4	90072	1	2	3	30000	1	0	1	0	1	3	2	4	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	3	1	2	1	2	3	2	1	3	4	5	6
73	11/03/2014 18:41:00	073	4	90073	1	2	3	1790	1	1	1	0	0	1	0	 	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	3	1	3	2	1	2	3	4	8	7
75	05/03/2014 06:08:03	075	4	90075	1	2	3	13232	1	1	1	0	1	3	0	 	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	3	1	3	3	2	1	1	2	3	7	8	4
76	18/03/2014 11:03:29	076	4	90	1	2	3	5226	0	1	1	0	0	3	0	 	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	3	1	2	3	1	2	3	1	2	3
77	03/03/2014 14:53:12	077	4	077	1	2	2	15240	0	0	1	0	0	3	0	 	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	2	1	1	2	1	1	2	1	1	2	1
78	04/03/2014 19:51:44	078	4	078	1	2	3	3749	0	0	1	0	0	3	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	2	3	1	2	6	1	2	3	3	6	5
79	03/03/2014 13:23:59	079	4	90	1	2	3	19136	1	1	1	0	0	2	1	5	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	2	3	1	2	3	1	2	3	1	2	3
80	05/03/2014 08:13:43	080	4	080	1	2	1	53648427	1	1	1	0	0	1	1	4	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	2	1	1	2	1	1	2	1	1	5	3
82	28/02/2014 08:06:28	082	4	082	1	2	3	5000	0	1	0	0	0	2	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	2	3	2	3	1	5	4	7
83	02/03/2014 08:34:01	083	1	083	1	2	3	45000	1	1	1	0	0	2	1	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2	3	1	2	3	1	2	3	4	14	8
84	06/03/2014 09:11:41	084	1	084	1	2	3	16882	1	1	1	0	0	2	0	 	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	2	3	1	2	3	1	2	3	6	7	12
85	12/03/2014 11:26:58	085	2	085	1	2	3	18000	1	1	1	0	0	1	0	 	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	3	1	2	3	1	2	3	4	8	9
86	04/03/2014 12:12:17	086	3	086	1	2	3	15362	1	1	1	0	0	1	0	 	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1	4	2	2	3	4	1	2	4	6	5	1
87	22/04/2014 18:42:14	087	3	90	1	2	4	4940	0	1	0	0	0	2	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	2	1	3	1	2	3	6	5	4
88	22/04/2014 19:59:04	088	3	90	2	3	2	35353	0	1	0	0	0	1	2	4	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	4	3	2	1	4	1	2	4	1	6	5
89	03/04/2014 14:15:59	089	3	089	1	2	3	35000	1	1	1	0	0	1	0	 	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	2	3	1	2	3	1	2	3	1	2	3
90	24/03/2014 06:49:09	090	7	90	1	2	3	5500	0	1	0	0	0	2	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	2	3	1	3	2	4	5	6
91	19/03/2014 12:47:24	091	14	091	1	4	3	22000	1	1	1	0	0	1	1	5	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	4	3	1	4	3	1	4	3	1	3	2
92	08/03/2014 10:32:49	092	14	092	1	2	3	52000	1	1	1	0	0	1	1	5	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	2	3	1	2	3	1	2	3	4	3	5
93	18/03/2014 20:01:31	093	3	093	1	2	3	10924	1	1	1	0	0	2	0	 	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	4	4	1	2	4	1	2	4	2	4	4
94	05/03/2014 11:24:57	094	3	094	1	2	4	19000	0	1	1	0	0	3	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	1	2	4	1	2	4	2	4	4
95	14/03/2014 07:42:43	095	3	095	1	4	4	37000	1	1	1	0	0	1	0	 	1	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	4	4	1	4	4	1	2	4	1	2	4
96	15/03/2014 18:10:24	096	3	096	1	4	4	4787	0	1	1	0	0	2	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	1	4	4	1	2	4	1	3	4
97	17/03/2014 07:43:57	097	3	097	1	2	4	9107	0	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	1	2	4	1	2	4	1	2	4
98	27/02/2014 12:21:00	098	4	098	1	2	3	20000	1	1	1	0	0	1	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	2	1	3	1	2	2	1	3
99	21/03/2014 07:12:12	099	4	099	1	2	3	5000	1	1	1	0	0	1	0	 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	2	3	1	2	3	1	2	3	1	2	3
100	13/03/2014 13:54:27	100	3	100	1	3	2	30000	1	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	3	2	1	3	2	1	2	3
