PLACEID	TYWKIDR4	TYPWMALE	TYPWFMLE
1	3	2000	1200
1	6	525	525
1	7	-1111	110
1	9	1200	1200
1	18	1190	1190
2	3	-1111	-1111
2	6	250	-1111
2	7	-1111	200
2	9	1400	1400
2	18	-1111	1227
3	3	-1111	-1111
3	6	630	-1111
3	7	250	200
3	9	1350	1350
3	18	-1111	1200
4	3	1500	-1111
4	6	400	-1111
4	7	-1111	-1111
4	9	900	900
4	18	-1111	1200
5	3	-1111	-1111
5	6	330	-1111
5	7	-1111	160
5	9	1850	1850
5	18	-1111	1427
6	3	1500	900
6	6	497	-1111
6	7	-1111	125
6	9	1250	1250
6	18	-1111	1114
7	3	50	40
7	6	495	-88
7	7	-88	-88
7	9	1233	1233
7	18	-88	700
8	3	70	70
8	6	350	-7777
8	7	250	250
8	9	1000	1000
8	18	800	800
9	3	-1111	-1111
9	6	250	-1111
9	7	-1111	-1111
9	9	1469	1469
9	18	900	900
10	3	60	-1111
10	6	550	-1111
10	7	-1111	200
10	9	1500	1500
10	18	1200	-1111
11	3	1200	1000
11	6	500	-1111
11	7	-1111	350
11	9	1600	1600
11	18	-1111	1800
12	3	900	700
12	6	650	-1111
12	7	-1111	200
12	9	1700	1700
12	18	-1111	1600
13	3	-1111	-1111
13	6	450	-1111
13	7	-1111	-1111
13	9	1200	1200
13	18	-1111	1500
14	3	-1111	-1111
14	6	400	-1111
14	7	-1111	-1111
14	9	1400	1400
14	18	-1111	1200
15	3	-1111	-1111
15	6	150	-1111
15	7	-1111	120
15	9	1644	1644
15	18	-1111	1233
16	3	-1111	-1111
16	6	400	-1111
16	7	-1111	250
16	9	1400	1400
16	18	-1111	1200
17	3	2000	-1111
17	6	497	-1111
17	7	300	250
17	9	1780	1780
17	18	-1111	1423
18	3	2570	1300
18	6	525	-1111
18	7	500	400
18	9	1500	1500
18	18	-1111	1400
19	3	1820	1430
19	6	500	-1111
19	7	-1111	400
19	9	1400	1400
19	18	-1111	1350
20	3	1820	1560
20	6	630	-1111
20	7	-1111	400
20	9	1600	1600
20	18	-1111	1200
21	3	3600	2200
21	6	555	555
21	7	-1111	250
21	9	2814	2814
21	18	-1111	1446
22	3	-1111	-1111
22	6	400	-1111
22	7	-1111	200
22	9	1200	1200
22	18	-1111	1500
23	3	2762	2762
23	6	567	567
23	7	480	350
23	9	1800	1800
23	18	-1111	1350
24	3	2925	2420
24	6	525	525
24	7	1000	1000
24	9	1768	1768
24	18	-1111	1700
25	3	3162	3162
25	6	580	580
25	7	580	450
25	9	1644	1644
25	18	-1111	1233
26	3	3600	3600
26	6	500	500
26	7	500	350
26	9	1233	1233
26	18	-1111	1427
27	3	4500	4500
27	6	1050	700
27	7	-1111	650
27	9	1225	1225
27	18	-1111	1190
28	3	3400	1200
28	6	600	600
28	7	400	400
28	9	1400	1400
28	18	-1111	1453
29	3	1600	800
29	6	850	850
29	7	550	550
29	9	1249	1249
29	18	-1111	1427
30	3	150	-1111
30	6	500	-1111
30	7	350	400
30	9	2807	1233
30	18	1800	1680
31	3	70	60
31	6	300	-1111
31	7	600	400
31	9	1500	1500
31	18	1400	1400
32	3	2000	1500
32	6	800	-1111
32	7	400	400
32	9	1800	1800
32	18	1000	1000
33	3	900	900
33	6	555	555
33	7	-88	120
33	9	1233	1233
33	18	-88	927
34	3	1200	1200
34	6	400	-88
34	7	-88	-88
34	9	1233	1233
34	18	-88	927
35	3	50	35
35	6	150	-88
35	7	-88	100
35	9	1233	1233
35	18	-88	758
36	3	30	30
36	6	300	-88
36	7	-88	100
36	9	1200	1200
36	18	-88	1050
37	3	3750	1500
37	6	400	400
