PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	KNDFCCL1	KNDFCCL2	KNDFCCL3	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	PRGINF1	PRGINF2	PRGINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	TYPESTB	HLTHDL01	HLTHDL02	HLTHDL03	HLTHDL04	HLTHDL05	HLTHDL06	HLTHDL07	HLTHDL08	HLTHDL09	HLTHDL10	HLTHDL11	HLTHDL12	HLTHDL13	HLTHDL14	HLTHDL15	HLTHLD16	OVRALLCN	CNDSPACE	CNDLIGHT	CNDVNTL	CNDCLEAN	CNDOTHR	CHHLTPR01	CHHLTPR02	CHHLTPR03	ADHLTPR01	ADHLTPR02	ADHLTPR03	WNHLTPR01	WNHLTPR02	WNHLTPR03	MNHLTPR01	MNHLTPR02	MNHLTPR03
1	03/02/2014 10:27:11	1	5	0	1	2	3	1410	1	1	1	1	1	0	0	3	0	 	2	6	88	 	6	10	0	0	1	1	2	6	1	2	10	1	2	5	1	2	6	11	12	13	14	15	16	17	18	19	20	1	3	10	1	1	4	6	1	0	0	1	0	1	0	0	0	0	0	0	4	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	2	1	1	1	2	88	1	6	11	1	4	11	1	12	15	1	3	10
2	02/02/2014 13:17:18	1	2	0	1	2	8	1460	0	0	1	0	0	0	0	3	0	 	2	8	18	16	8	42	6	0	1	1	5	7	1	6	8	1	4	8	1	7	2	9	11	13	15	17	19	21	23	25	27	1	4	8	1	1	3	8	0	0	0	1	1	1	0	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	2	1	1	1	1	88	15	1	4	11	17	13	8	22	5	19	13	5
3	30/01/2014 10:17:37	1	3	0	1	2	7	2278	0	0	1	0	0	0	0	3	0	 	2	8	88	 	8	30	0	0	1	1	2	7	1	7	10	1	2	8	1	7	8	11	13	15	17	19	21	23	25	27	29	1	4	10	1	1	3	9	0	0	0	1	1	1	0	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	88	1	6	11	13	6	1	21	8	3	19	1	6
4	02/02/2014 08:37:38	1	5	0	1	3	8	971	1	0	1	1	0	0	0	3	3	3	2	8	18	16	8	75	0	0	1	10	4	3	10	4	5	3	8	10	7	2	5	11	13	15	17	19	22	24	29	32	28	4	3	10	1	6	10	3	0	0	0	1	1	1	0	0	0	0	0	1	6	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	88	1	11	6	6	16	17	8	5	1	19	5	1
5	31/01/2014 11:55:27	1	5	0	1	2	3	2650	1	0	1	0	0	0	0	3	0	 	2	18	88	 	18	120	80	0	1	1	3	6	1	3	6	1	3	5	4	6	2	9	11	13	15	17	19	21	23	25	27	1	7	8	1	35	6	1	1	0	0	1	1	1	1	0	1	0	0	0	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	88	6	1	11	1	11	20	20	1	7	20	17	7
6	02/02/2014 18:05:06	1	5	0	1	2	6	1577	0	0	1	0	0	0	0	3	0	 	2	8	16	18	8	80	20	0	1	7	9	4	8	5	4	7	8	1	9	4	2	11	13	15	18	20	22	24	25	27	30	6	8	1	1	3	8	4	0	0	0	1	1	1	1	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	88	9	6	11	4	15	1	4	5	19	19	5	6
7	22/02/2014 09:55:02	1	4	0	1	2	3	1547	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	3	1	0	0	1	1	1	1	0	1	0	0	0	14	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	2	1	1	1	88	1	6	9	1	10	9	1	22	4	1	10	19
8	22/02/2014 15:14:38	1	4	0	1	2	3	610	1	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	3	1	0	0	1	1	1	0	0	0	0	0	0	14	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	2	1	1	1	88	1	20	9	1	20	4	1	13	19	1	4	22
9	23/02/2014 09:11:46	1	4	0	1	2	3	1070	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	1	0	0	1	1	1	1	0	1	0	0	0	14	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	88	1	20	6	1	4	5	1	19	22	1	10	19
10	03/03/2014 12:05:41	1	4	0	1	2	3	744	0	0	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	3	1	0	0	1	1	1	0	0	0	0	0	0	14	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	2	2	1	1	88	1	6	11	1	5	4	1	22	19	1	19	10
