PLACEID	HLTEQIDR4	ACCEQP	WRKEQP
1	1	1	1
1	2	1	1
1	3	1	1
1	4	1	2
1	5	1	1
1	6	1	1
1	7	1	1
1	8	0	 
2	1	1	1
2	2	1	1
2	3	1	1
2	4	1	1
2	5	0	 
2	6	1	1
2	7	1	1
2	8	0	 
3	1	1	1
3	2	1	1
3	3	1	1
3	4	1	1
3	5	0	 
3	6	1	1
3	7	1	1
3	8	0	 
4	1	1	1
4	2	1	1
4	3	1	1
4	4	1	1
4	5	0	 
4	6	1	1
4	7	1	1
4	8	0	 
5	1	1	1
5	2	1	1
5	3	1	1
5	4	1	1
5	5	1	1
5	6	1	1
5	7	1	1
5	8	0	 
6	1	1	1
6	2	1	1
6	3	1	1
6	4	1	1
6	5	0	 
6	6	1	1
6	7	1	1
6	8	0	 
7	1	1	1
7	2	1	1
7	3	1	1
7	4	1	1
7	5	0	 
7	6	1	1
7	7	1	1
7	8	0	 
8	1	1	1
8	2	1	1
8	3	1	1
8	4	1	1
8	5	0	 
8	6	0	 
8	7	1	1
8	8	0	 
9	1	1	1
9	2	1	1
9	3	1	1
9	4	1	1
9	5	0	 
9	6	1	1
9	7	1	1
9	8	0	 
10	1	1	1
10	2	1	1
10	3	1	1
10	4	1	1
10	5	0	 
10	6	0	 
10	7	1	1
10	8	0	 
11	1	1	1
11	2	1	1
11	3	1	1
11	4	1	1
11	5	0	 
11	6	1	1
11	7	1	1
11	8	0	 
12	1	1	1
12	2	1	1
12	3	1	1
12	4	1	1
12	5	1	3
12	6	1	1
12	7	1	1
12	8	0	 
13	1	1	1
13	2	1	1
13	3	1	1
13	4	1	2
13	5	0	 
13	6	1	1
13	7	1	1
13	8	0	 
14	1	1	1
14	2	1	1
14	3	1	1
14	4	1	1
14	5	0	 
14	6	0	 
14	7	1	1
14	8	0	 
15	1	1	1
15	2	1	1
15	3	1	1
15	4	1	1
15	5	0	 
15	6	1	1
15	7	1	1
15	8	0	 
16	1	1	1
16	2	1	1
16	3	1	1
16	4	1	1
16	5	0	 
16	6	1	1
16	7	1	1
16	8	0	 
17	1	1	1
17	2	1	1
17	3	1	1
17	4	1	1
17	5	0	 
17	6	1	1
17	7	1	1
17	8	0	 
18	1	1	1
18	2	1	1
18	3	1	1
18	4	1	1
18	5	0	 
18	6	1	1
18	7	1	1
18	8	0	 
19	1	1	1
19	2	1	1
19	3	1	1
19	4	1	1
19	5	0	 
19	6	1	2
19	7	1	1
19	8	0	 
20	1	1	1
20	2	1	1
20	3	1	1
20	4	1	1
20	5	0	 
20	6	0	 
20	7	1	1
20	8	0	 
21	1	1	1
21	2	1	1
21	3	1	1
21	4	1	1
21	5	0	 
21	6	0	 
21	7	1	1
21	8	0	 
22	1	1	1
22	2	1	1
22	3	1	1
22	4	1	1
22	5	1	1
22	6	0	 
22	7	1	2
22	8	0	 
23	1	1	1
23	2	1	1
23	3	1	1
23	4	1	1
23	5	0	 
23	6	0	 
23	7	1	1
23	8	0	 
24	1	1	1
24	2	1	1
24	3	1	1
24	4	1	1
24	5	1	1
24	6	1	1
24	7	1	1
24	8	0	 
25	1	1	1
25	2	1	1
25	3	1	1
25	4	1	1
25	5	1	1
25	6	1	2
25	7	1	1
25	8	0	 
26	1	1	1
26	2	1	1
26	3	1	1
26	4	0	 
26	5	0	 
26	6	0	 
26	7	1	1
26	8	0	 
27	1	1	1
27	2	1	1
27	3	1	1
27	4	1	1
27	5	0	 
27	6	1	1
27	7	1	1
27	8	0	 
28	1	1	1
28	2	1	1
28	3	1	1
28	4	1	1
28	5	0	 
28	6	1	1
28	7	1	1
28	8	0	 
29	1	1	1
29	2	1	1
29	3	1	1
29	4	1	1
29	5	0	 
29	6	1	1
29	7	1	1
29	8	0	 
30	1	1	1
30	2	1	1
30	3	1	1
30	4	1	1
30	5	0	 
30	6	0	 
30	7	1	1
30	8	0	 
31	1	1	1
31	2	1	1
31	3	1	1
31	4	1	1
31	5	0	 
31	6	0	 
31	7	1	1
31	8	0	 
32	1	1	1
32	2	1	1
32	3	1	1
32	4	1	1
32	5	0	 
32	6	1	1
32	7	1	1
32	8	0	 
33	1	1	1
33	2	1	1
33	3	1	1
33	4	1	1
33	5	1	1
33	6	1	1
33	7	1	1
33	8	0	 
34	1	1	1
34	2	1	1
34	3	1	1
34	4	1	1
34	5	1	1
34	6	1	1
34	7	1	1
34	8	0	 
35	1	1	1
35	2	1	1
35	3	0	 
35	4	1	1
35	5	0	 
35	6	0	 
35	7	1	1
35	8	0	 
36	1	1	1
36	2	1	1
36	3	1	1
36	4	1	1
36	5	1	1
36	6	0	 
36	7	1	1
36	8	0	 
37	1	1	1
37	2	1	1
37	3	1	1
37	4	1	1
37	5	1	1
37	6	0	 
37	7	1	1
37	8	0	 
38	1	1	1
38	2	1	1
38	3	1	1
38	4	1	1
38	5	1	1
38	6	1	1
38	7	1	1
38	8	0	 
40	1	1	1
40	2	1	1
40	3	1	1
40	4	1	1
40	5	1	1
40	6	1	1
40	7	1	1
40	8	0	 
41	1	1	1
41	2	1	1
41	3	1	1
41	4	1	1
41	5	0	 
41	6	0	 
41	7	1	1
41	8	0	 
42	1	1	1
42	2	1	1
42	3	1	1
42	4	1	1
42	5	0	 
42	6	1	1
42	7	0	 
42	8	0	 
43	1	1	1
43	2	1	4
43	3	1	1
43	4	1	1
43	5	1	1
43	6	1	1
43	7	1	1
43	8	0	 
44	1	1	1
44	2	1	4
44	3	1	1
44	4	1	1
44	5	1	1
44	6	1	1
44	7	1	1
44	8	0	 
45	1	1	1
45	2	1	4
45	3	1	1
45	4	1	1
45	5	1	1
45	6	1	1
45	7	1	1
45	8	0	 
46	1	1	1
46	2	1	4
46	3	1	1
46	4	1	1
46	5	1	1
46	6	1	1
46	7	1	1
46	8	0	 
47	1	1	1
47	2	0	 
47	3	0	 
47	4	0	 
47	5	0	 
47	6	1	2
47	7	1	1
47	8	0	 
48	1	0	 
48	2	1	1
48	3	1	1
48	4	1	1
48	5	0	 
48	6	1	1
48	7	1	1
48	8	0	 
49	1	0	 
49	2	1	1
49	3	1	1
49	4	1	1
49	5	0	 
49	6	1	1
49	7	1	1
49	8	0	 
50	1	1	2
50	2	1	1
50	3	1	1
50	4	0	 
50	5	0	 
50	6	1	2
50	7	1	1
50	8	0	 
51	1	1	2
51	2	0	 
51	3	1	2
51	4	0	 
51	5	0	 
51	6	0	 
51	7	1	2
51	8	0	 
52	1	1	2
52	2	1	2
52	3	1	2
52	4	1	1
52	5	0	 
52	6	1	1
52	7	1	2
52	8	0	 
53	1	1	2
53	2	1	2
53	3	1	2
53	4	0	 
53	5	0	 
53	6	0	 
53	7	1	1
53	8	0	 
54	1	1	2
54	2	1	2
54	3	1	1
54	4	0	 
54	5	0	 
54	6	0	 
54	7	1	1
54	8	0	 
55	1	1	2
55	2	1	1
55	3	1	1
55	4	0	 
55	5	1	1
55	6	0	 
55	7	1	1
55	8	0	 
56	1	1	1
56	2	1	1
56	3	0	 
56	4	0	 
56	5	0	 
56	6	0	 
56	7	1	1
56	8	0	 
57	1	1	1
57	2	1	1
57	3	1	1
57	4	1	1
57	5	0	 
57	6	1	1
57	7	1	1
57	8	0	 
58	1	1	1
58	2	1	2
58	3	1	2
58	4	0	 
58	5	0	 
58	6	0	 
58	7	1	1
58	8	0	 
61	1	1	1
61	2	1	1
61	3	1	1
61	4	1	1
61	5	0	 
61	6	0	 
61	7	1	1
61	8	0	 
62	1	1	1
62	2	1	2
62	3	1	1
62	4	1	1
62	5	0	 
62	6	0	 
62	7	1	1
62	8	0	 
63	1	1	1
63	2	1	2
63	3	1	1
63	4	1	1
63	5	0	 
63	6	0	 
63	7	1	1
63	8	0	 
64	1	1	1
64	2	1	1
64	3	1	1
64	4	1	1
64	5	0	 
64	6	0	 
64	7	1	1
64	8	0	 
65	1	1	1
65	2	1	1
65	3	1	1
65	4	1	1
65	5	0	 
65	6	0	 
65	7	1	1
65	8	0	 
66	1	1	1
66	2	1	1
66	3	1	1
66	4	1	1
66	5	0	 
66	6	1	2
66	7	1	1
66	8	0	 
67	1	1	1
67	2	1	1
67	3	1	1
67	4	1	1
67	5	0	 
67	6	1	2
67	7	1	1
67	8	0	 
68	1	1	1
68	2	1	1
68	3	1	1
68	4	1	1
68	5	0	 
68	6	1	2
68	7	1	1
68	8	0	 
69	1	1	1
69	2	1	1
69	3	1	1
69	4	1	1
69	5	0	 
69	6	1	2
69	7	1	1
69	8	0	 
70	1	1	1
70	2	1	1
70	3	1	1
70	4	1	1
70	5	1	2
70	6	0	 
70	7	1	1
70	8	0	 
71	1	1	1
71	2	1	1
71	3	1	1
71	4	1	1
71	5	1	1
71	6	1	1
71	7	1	1
71	8	0	 
72	1	1	1
72	2	1	1
72	3	1	1
72	4	1	1
72	5	1	1
72	6	1	1
72	7	1	1
72	8	0	 
73	1	1	1
73	2	1	1
73	3	1	1
73	4	1	1
73	5	1	1
73	6	1	1
73	7	1	1
73	8	0	 
74	1	1	1
74	2	1	1
74	3	1	1
74	4	1	1
74	5	0	 
74	6	1	1
74	7	1	1
74	8	0	 
75	1	1	1
75	2	1	1
75	3	1	1
75	4	1	1
75	5	0	 
75	6	1	1
75	7	1	1
75	8	0	 
76	1	1	1
76	2	1	1
76	3	1	1
76	4	1	1
76	5	0	 
76	6	1	1
76	7	1	1
76	8	1	1
77	1	1	3
77	2	1	1
77	3	1	1
77	4	1	1
77	5	0	 
77	6	1	4
77	7	1	1
77	8	1	1
78	1	1	3
78	2	1	1
78	3	1	1
78	4	1	1
78	5	0	 
78	6	1	4
78	7	1	1
78	8	1	1
79	1	1	3
79	2	1	1
79	3	1	1
79	4	1	1
79	5	0	 
79	6	1	4
79	7	1	1
79	8	1	1
80	1	1	3
80	2	1	1
80	3	1	1
80	4	1	1
80	5	0	 
80	6	1	4
80	7	1	1
80	8	1	1
81	1	1	1
81	2	1	1
81	3	1	1
81	4	1	1
81	5	0	 
81	6	1	1
81	7	1	1
81	8	0	 
82	1	1	1
82	2	1	1
82	3	1	1
82	4	1	1
82	5	0	 
82	6	1	1
82	7	1	1
82	8	0	 
83	1	1	1
83	2	1	1
83	3	1	1
83	4	1	1
83	5	0	 
83	6	1	1
83	7	1	1
83	8	0	 
84	1	1	1
84	2	1	1
84	3	1	1
84	4	1	1
84	5	0	 
84	6	1	1
84	7	1	1
84	8	0	 
85	1	1	1
85	2	1	1
85	3	1	1
85	4	1	1
85	5	0	 
85	6	1	1
85	7	1	1
85	8	0	 
86	1	1	1
86	2	1	1
86	3	1	1
86	4	1	1
86	5	0	 
86	6	1	1
86	7	1	1
86	8	0	 
87	1	1	1
87	2	1	1
87	3	1	1
87	4	1	1
87	5	1	1
87	6	1	1
87	7	1	1
87	8	0	 
88	1	1	1
88	2	1	1
88	3	1	1
88	4	1	1
88	5	1	1
88	6	1	1
88	7	1	1
88	8	0	 
89	1	1	1
89	2	1	1
89	3	1	1
89	4	1	1
89	5	1	1
89	6	0	 
89	7	1	1
89	8	0	 
90	1	1	2
90	2	1	1
90	3	1	1
90	4	1	1
90	5	0	 
90	6	1	2
90	7	1	1
90	8	0	 
91	1	1	1
91	2	1	1
91	3	1	1
91	4	1	1
91	5	0	 
91	6	0	 
91	7	1	1
91	8	0	 
92	1	1	1
92	2	1	1
92	3	1	1
92	4	1	1
92	5	0	 
92	6	1	1
92	7	1	1
92	8	0	 
93	1	1	1
93	2	1	1
93	3	1	1
93	4	1	1
93	5	0	 
93	6	0	 
93	7	1	1
93	8	0	 
94	1	1	1
94	2	1	1
94	3	1	1
94	4	1	1
94	5	0	 
94	6	1	1
94	7	1	1
94	8	0	 
96	1	1	1
96	2	1	1
96	3	1	1
96	4	1	1
96	5	0	 
96	6	1	1
96	7	1	1
96	8	0	 
97	1	1	1
97	2	1	1
97	3	1	1
97	4	1	1
97	5	0	 
97	6	0	 
97	7	1	1
97	8	0	 
99	1	1	1
99	2	1	1
99	3	1	1
99	4	1	1
99	5	1	1
99	6	1	1
99	7	1	1
99	8	0	 
101	1	1	1
101	2	1	1
101	3	1	1
101	4	1	1
101	5	1	1
101	6	1	1
101	7	1	1
101	8	0	 
102	1	1	1
102	2	1	1
102	3	1	1
102	4	1	1
102	5	1	1
102	6	1	1
102	7	1	1
102	8	0	 
